"","term","E","P","A","instcodes"
"1","abandon",-2.575,-0.12,0.63," 01 111111110 000"
"2","abuse",-2.785,1.045,1.135," 10 101000011 100"
"3","acclaim",1,1.07,0.465," 10 000100000 010"
"4","accommodate",1.43,0.63,-0.165," 10 111111111 000"
"5","accuse",-0.84,0.51,1.075," 10 111111111 010"
"6","address",0.825,0.39,-0.29," 10 111111110 010"
"7","admire",1.5,0.605,0.245," 01 111111111 100"
"8","admonish",-0.255,0.64,-0.13," 10 011111111 000"
"9","adopt",1.925,1.565,0.035," 10 000000010 010"
"10","adore",1.335,1.1,0.4," 01 000000111 000"
"11","advise",1.25,1.24,-0.54," 10 011111110 000"
"12","affront",-0.37,0.83,0.795," 01 111111111 000"
"13","aggravate",-1.44,0.205,1.495," 01 111111111 100"
"14","agitate",-0.935,0.505,1.385," 01 111111111 100"
"15","agree_with",0.765,0.36,-0.28," 10 111111111 000"
"16","aid",2.195,1.77,0.06," 10 111111111 000"
"17","alert",1.34,1.205,1.2," 10 010101000 000"
"18","alienate",-1.895,0.705,0.345," 01 111111110 010"
"19","amaze",0.91,1.045,0.95," 01 111111111 000"
"20","amuse",1.825,1.26,1.35," 11 111111111 100"
"21","analyze",0.185,0.855,-0.01," 10 011111110 100"
"22","anger",-1.59,1.18,1.35," 01 111111111 000"
"23","annihilate",-2.375,1.94,1.27," 10 000100000 001"
"24","annoy",-1.6,-0.01,1.185," 01 111111111 000"
"25","answer",1.34,0.715,-0.05," 10 111111111 000"
"26","antagonize",-1.565,0.66,1.19," 01 111111111 000"
"27","ape",-0.905,-0.29,1.475," 01 100000000 010"
"28","apologize_to",1.785,1.47,-0.13," 10 111111111 000"
"29","appeal_to",0.915,0.295,0.145," 10 111111111 000"
"30","appease",0.44,0.35,0.01," 10 011110110 000"
"31","applaud",1.23,0.71,1.34," 10 111111111 010"
"32","appoint",0.8,2,0.185," 10 000100000 010"
"33","appreciate",2.325,1.205,-0.26," 01 111111101 000"
"34","apprehend",0.005,1.335,1.185," 10 001000000 001"
"35","approach",0.54,1.045,0.08," 10 111111111 010"
"36","approve_of",1.695,1.12,-0.17," 01 111111111 100"
"37","argue_with",-0.45,0.945,1.535," 10 111111111 000"
"38","arm",-0.71,0.98,1.02," 10 001100000 110"
"39","arouse",0.9,1.44,1.575," 01 000000001 101"
"40","arrest",-0.53,1.73,0.945," 10 001000000 001"
"41","ask",1.075,0.66,0.375," 10 111111111 000"
"42","ask_about",0.8,0.235,0.245," 01 111111111 010"
"43","assail",-0.73,1.005,1.275," 10 001100110 001"
"44","assault",-2.545,1.165,1.505," 10 001000000 001"
"45","assist",1.8,1.6,0.05," 10 111111111 000"
"46","astonish",0.53,0.855,1.06," 01 111111111 000"
"47","astound",0.535,1.065,1.085," 01 111111111 000"
"48","attack",-2.255,1.535,2.015," 10 001100010 001"
"49","authorize",0.575,1.745,-0.01," 10 011111100 010"
"50","avoid",-0.955,-0.635,0.265," 01 111111110 010"
"51","awaken",0.16,0.71,0.685," 10 100000000 000"
"52","awe",0.63,1.42,0.54," 01 111111111 000"
"53","baby",-0.08,0.105,-0.67," 10 000000010 100"
"54","back",1.34,1.485,0.115," 10 010100000 010"
"55","badger",-1.59,0.105,1.365," 10 111111111 100"
"56","bait",-1.51,0.845,0.93," 01 111100100 000"
"57","bamboozle",-0.785,0.76,1.09," 01 111100100 000"
"58","baptize",1.095,1.105,-0.47," 10 000000100 000"
"59","bawl_out",-1.105,1.145,1.375," 10 111111111 000"
"60","beckon",0.165,0.515,-0.19," 10 100000011 010"
"61","bed",0.92,1.53,1.39," 10 000000001 000"
"62","befriend",1.395,1.305,0.11," 01 100100000 000"
"63","befuddle",-0.49,0.335,0.355," 01 111111111 100"
"64","beg",-1.155,-0.99,-0.27," 10 111111111 000"
"65","believe",1.49,1.12,-0.155," 01 111111111 000"
"66","belittle",-1.81,0.355,0.76," 10 111111111 100"
"67","berate",-1.275,0.225,0.625," 10 111111111 100"
"68","beseech",-0.33,-0.1,-0.27," 10 111111111 000"
"69","betray",-2.51,0.15,0.945," 01 001100111 010"
"70","bewilder",-0.505,1.07,1.02," 01 111111111 000"
"71","bewitch",-0.7,0.895,0.57," 01 000000101 000"
"72","bias",-1.55,0.59,0.435," 01 000100000 010"
"73","bill",-0.28,1.02,0.025," 10 010000000 010"
"74","bind",-1.5,0.855,0.525," 10 001000001 001"
"75","blackmail",-2.61,1.115,0.725," 10 011100000 010"
"76","blame",-0.965,0.06,0.685," 10 111111111 010"
"77","bless",1.75,1.095,-0.795," 10 000000100 000"
"78","bluff",-0.575,0.29,0.88," 01 111100010 000"
"79","boss",-0.98,1.4,1.32," 10 110101011 000"
"80","bother",-1.255,0.175,1.43," 01 111111111 000"
"81","bribe",-1.78,0.255,0.54," 10 011100000 110"
"82","brief",0.58,1,0.305," 10 011101000 000"
"83","browbeat",-1.495,0.175,0.365," 10 111111111 000"
"84","bully",-2.17,0.635,1.955," 10 100100011 001"
"85","bury",-0.12,0.26,-1.11," 10 000100100 000"
"86","butter_up",-0.35,0.23,0.725," 01 111111111 000"
"87","cajole",-0.325,0.145,0.905," 10 111111111 000"
"88","call",0.94,0.64,0.885," 10 111111111 010"
"89","calm",1.795,1.475,-0.93," 01 111111111 100"
"90","captivate",0.61,1.67,0.835," 01 110111111 000"
"91","capture",-0.74,1.865,1.595," 10 001100000 011"
"92","caress",1.98,1.245,0.325," 10 000000011 001"
"93","catch",0.095,1.25,1.03," 10 001000001 001"
"94","caution",1.185,0.915,-0.6," 10 111111111 100"
"95","challenge",0.465,1.5,1.375," 10 111111111 100"
"96","charm",1.05,1.295,0.375," 01 111111111 000"
"97","chase",-0.395,0.555,1.53," 10 001000001 000"
"98","chatter_to",-0.09,-0.525,1.575," 10 111111111 100"
"99","cheat",-2.37,0.045,0.43," 01 011100000 000"
"100","cheer",1.985,1.585,0.965," 10 111111111 110"
"101","chide",-1.03,0.215,0.73," 10 111111111 000"
"102","classify",-0.935,0.035,0.185," 01 011111100 000"
"103","club",-2.615,1.365,1.64," 10 001000000 001"
"104","coach",1.38,1.595,0.545," 10 011111111 010"
"105","coax",0.1,0.725,0.105," 01 111111111 100"
"106","coddle",0.035,0.245,-0.32," 11 000001011 100"
"107","coerce",-1.03,1.415,0.895," 10 111111111 000"
"108","combat",-1.15,1.255,1.925," 10 001100000 000"
"109","comfort",2.26,1.11,-0.655," 11 111111111 100"
"110","command",-0.34,1.91,0.96," 10 011111111 000"
"111","commend",1.605,1.27,-0.19," 10 011111111 010"
"112","compliment",1.71,0.975,0.385," 10 111111111 000"
"113","con",-1.87,0.86,1.31," 01 011111111 000"
"114","condemn",-1.905,0.4,0.525," 10 001100000 110"
"115","confide_in",1.275,0.72,-0.235," 10 000111111 000"
"116","confide_in",1.83,0.985,-0.09," 10 000111111 000"
"117","confine",-1.505,1.4,0.365," 10 001101010 001"
"118","confound",-0.685,1.045,0.725," 01 111111111 000"
"119","confront",0.545,1.315,0.58," 10 111111111 100"
"120","confuse",-0.82,0.49,0.935," 01 111111111 100"
"121","congratulate",1.795,1.325,0.245," 10 111111111 100"
"122","consider",1.185,0.895,-0.6," 01 111111111 010"
