"","term","E","P","A","instcodes"
"1","abandon",-2.6,0.54,0.32," 01 111111110 000"
"2","abuse",-2.86,1.19,1.24," 10 101000011 100"
"3","acclaim",1.02,1.16,0.36," 10 000100000 010"
"4","accommodate",1.48,0.57,-0.17," 10 111111111 000"
"5","accuse",-0.58,0.54,0.76," 10 111111111 010"
"6","address",0.8,0.33,-0.28," 10 111111110 010"
"7","admire",1.39,0.86,0.29," 01 111111111 100"
"8","admonish",-0.09,0.8,-0.49," 10 011111111 000"
"9","adopt",2,1.64,0.25," 10 000000010 010"
"10","adore",1.66,1.78,0.54," 01 000000111 000"
"11","advise",1.38,1.16,-0.66," 10 011111110 000"
"12","affront",-0.14,0.83,0.85," 01 111111111 000"
"13","aggravate",-1.29,0.29,1.29," 01 111111111 100"
"14","agitate",-1.06,0.56,1.11," 01 111111111 100"
"15","agree_with",0.55,0.34,-0.58," 10 111111111 000"
"16","aid",2.39,1.51,0.03," 10 111111111 000"
"17","alert",1.31,1.08,0.78," 10 010101000 000"
"18","alienate",-2.13,0.98,0.21," 01 111111110 010"
"19","amaze",0.85,0.94,0.89," 01 111111111 000"
"20","amuse",1.9,1.31,1.22," 11 111111111 100"
"21","analyze",0.18,0.72,0.02," 10 011111110 100"
"22","anger",-1.85,1.32,1.29," 01 111111111 000"
"23","annihilate",-2.01,1.43,0.68," 10 000100000 001"
"24","annoy",-1.65,0.29,0.96," 01 111111111 000"
"25","answer",1.25,0.65,0.03," 10 111111111 000"
"26","antagonize",-1.52,0.66,1.13," 01 111111111 000"
"27","ape",-0.9,-0.21,1.26," 01 100000000 010"
"28","apologize_to",1.76,1.43,0.06," 10 111111111 000"
"29","appeal_to",1.07,0.25,0.25," 10 111111111 000"
"30","appease",0.65,0.73,0.6," 10 011110110 000"
"31","applaud",0.98,0.74,1.11," 10 111111111 010"
"32","appoint",0.71,2.13,0.46," 10 000100000 010"
"33","appreciate",2.51,1.2,-0.35," 01 111111101 000"
"34","apprehend",-0.04,1.21,1.15," 10 001000000 001"
"35","approach",0.53,1.12,0.3," 10 111111111 010"
"36","approve_of",1.7,1.08,-0.18," 01 111111111 100"
"37","argue_with",-0.46,0.87,1.35," 10 111111111 000"
"38","arm",-0.81,0.58,0.93," 10 001100000 110"
"39","arouse",0.9,1.24,1.56," 01 000000001 101"
"40","arrest",-0.1,2.02,0.92," 10 001000000 001"
"41","ask",0.99,0.84,0.33," 10 111111111 000"
"42","ask_about",0.73,0.48,0.18," 01 111111111 010"
"43","assail",-0.74,0.85,1.28," 10 001100110 001"
"44","assault",-2.64,1.25,1.03," 10 001000000 001"
"45","assist",1.83,1.63,0.15," 10 111111111 000"
"46","astonish",0.28,0.47,0.83," 01 111111111 000"
"47","astound",0.36,0.86,1.03," 01 111111111 000"
"48","attack",-2.57,1.52,1.95," 10 001100010 001"
"49","authorize",0.42,1.69,0.32," 10 011111100 010"
"50","avoid",-0.86,-0.58,0.2," 01 111111110 010"
"51","awaken",0.2,0.48,0.92," 10 100000000 000"
"52","awe",0.72,1.21,0.8," 01 111111111 000"
"53","baby",0.16,0.54,-0.75," 10 000000010 100"
"54","back",1.25,1.3,0.19," 10 010100000 010"
"55","badger",-1.66,0.07,1.24," 10 111111111 100"
"56","bait",-1.4,0.99,1.07," 01 111100100 000"
"57","bamboozle",-0.79,0.55,0.88," 01 111100100 000"
"58","baptize",1.34,1.38,-0.59," 10 000000100 000"
"59","bawl_out",-1.2,1.13,1.19," 10 111111111 000"
"60","beckon",0.18,0.49,0.03," 10 100000011 010"
"61","bed",0.61,1.72,1.73," 10 000000001 000"
"62","befriend",1.22,0.97,0.24," 01 100100000 000"
"63","befuddle",-0.43,0.25,0.56," 01 111111111 100"
"64","beg",-1.17,-0.93,-0.36," 10 111111111 000"
"65","believe",1.41,1.18,-0.14," 01 111111111 000"
"66","belittle",-1.89,0.49,0.72," 10 111111111 100"
"67","berate",-1.07,-0.12,0.33," 10 111111111 100"
"68","beseech",-0.33,-0.18,-0.51," 10 111111111 000"
"69","betray",-2.63,0.12,0.68," 01 001100111 010"
"70","bewilder",-0.54,1.3,1.46," 01 111111111 000"
"71","bewitch",-0.6,0.73,0.28," 01 000000101 000"
"72","bias",-1.86,0.49,-0.09," 01 000100000 010"
"73","bill",-0.34,1.05,0.29," 10 010000000 010"
"74","bind",-1.47,0.66,0.46," 10 001000001 001"
"75","blackmail",-2.86,1.24,0.62," 10 011100000 010"
"76","blame",-0.94,0.14,0.6," 10 111111111 010"
"77","bless",2.01,1.13,-0.83," 10 000000100 000"
"78","bluff",-0.78,0.21,1.02," 01 111100010 000"
"79","boss",-1.21,1.29,1.65," 10 110101011 000"
"80","bother",-1.28,0.02,1.33," 01 111111111 000"
"81","bribe",-1.79,-0.25,0.57," 10 011100000 110"
"82","brief",0.69,1.09,0.72," 10 011101000 000"
"83","browbeat",-1.63,0.15,0.33," 10 111111111 000"
"84","bully",-2.06,0.53,1.56," 10 100100011 001"
"85","bury",-0.03,0.19,-1.16," 10 000100100 000"
"86","butter_up",-0.33,0.4,0.86," 01 111111111 000"
"87","cajole",-0.08,0.21,0.96," 10 111111111 000"
"88","call",1.01,0.6,1.03," 10 111111111 010"
"89","calm",1.88,1.56,-0.96," 01 111111111 100"
"90","captivate",0.47,1.65,0.89," 01 110111111 000"
"91","capture",-0.68,1.93,1.58," 10 001100000 011"
"92","caress",1.96,1.42,0.37," 10 000000011 001"
"93","catch",-0.09,0.97,0.99," 10 001000001 001"
"94","caution",0.96,1.06,-0.28," 10 111111111 100"
"95","challenge",0.32,1.26,1.13," 10 111111111 100"
"96","charm",0.92,1.12,0.55," 01 111111111 000"
"97","chase",-0.45,0.33,1.2," 10 001000001 000"
"98","chatter_to",0.22,-0.59,1.5," 10 111111111 100"
"99","cheat",-2.61,0.07,0.09," 01 011100000 000"
"100","cheer",2,1.46,0.42," 10 111111111 110"
"101","chide",-1.04,0.25,0.76," 10 111111111 000"
"102","classify",-1.12,0.15,0.16," 01 011111100 000"
"103","club",-2.6,1.3,1.48," 10 001000000 001"
"104","coach",1.6,1.58,0.68," 10 011111111 010"
"105","coax",0.03,0.67,-0.04," 01 111111111 100"
"106","coddle",0.1,0.48,-0.41," 11 000001011 100"
"107","coerce",-1.23,1.43,0.89," 10 111111111 000"
"108","combat",-1.37,1.08,1.69," 10 001100000 000"
"109","comfort",2.4,1.1,-0.5," 11 111111111 100"
"110","command",-0.36,1.76,0.99," 10 011111111 000"
"111","commend",1.5,1.16,-0.24," 10 011111111 010"
"112","compliment",1.72,0.8,0.42," 10 111111111 000"
"113","con",-1.85,0.81,1.31," 01 011111111 000"
"114","condemn",-1.96,0.11,0.32," 10 001100000 110"
"115","confide_in",1.13,0.56,-0.2," 10 000111111 000"
"116","confide_in",1.99,0.68,0.2," 10 000111111 000"
"117","confine",-1.36,1.64,0.44," 10 001101010 001"
"118","confound",-0.81,0.77,0.54," 01 111111111 000"
"119","confront",0.38,0.95,0.69," 10 111111111 100"
"120","confuse",-0.74,0.4,1.1," 01 111111111 100"
"121","congratulate",2.03,1.08,0.25," 10 111111111 100"
"122","consider",1.08,0.73,-0.19," 01 111111111 010"
"123","console",1.9,1.33,-0.99," 10 111111111 100"
"124","constrain",-0.75,1.02,0.82," 10 001001011 101"
"125","consult",1.26,0.56,0.01," 10 111111111 000"
"126","consult",1.05,0.38,0.17," 10 111111111 000"
"127","contemplate",0.64,0.2,-0.89," 01 100111000 100"
"128","contradict",-0.4,0.56,1.01," 10 111111111 110"
"129","control",-1.14,1.42,0.46," 01 011100010 100"
"130","convert",0.39,1.72,0.54," 01 000100100 010"
"131","convict",-0.55,1.61,-0.18," 10 001000000 010"
"132","convince",0.4,1.72,0.16," 01 111111111 100"
"133","corner",-0.93,0.58,1.32," 01 001000000 000"
"134","correct",0.57,0.66,0.24," 10 111111111 100"
"135","corrupt",-2.49,2,1.23," 01 011111111 000"
"136","counsel",1.61,1.46,-0.53," 10 011111111 000"
"137","court",1.79,0.9,0.69," 01 100000001 010"
"138","criticize",-0.34,0.48,0.48," 10 111111111 100"
"139","cross_examine",-0.69,1.23,0.53," 10 001000000 010"
"140","cuddle",1.75,0.96,-0.75," 10 000000011 001"
"141","cue",0.53,0.36,0.04," 10 111111111 010"
