"","term","E","P","A","instcodes"
"1","abandon",-2.55,-0.78,0.94," 01 111111110 000"
"2","abuse",-2.71,0.9,1.03," 10 101000011 100"
"3","acclaim",0.98,0.98,0.57," 10 000100000 010"
"4","accommodate",1.38,0.69,-0.16," 10 111111111 000"
"5","accuse",-1.1,0.48,1.39," 10 111111111 010"
"6","address",0.85,0.45,-0.3," 10 111111110 010"
"7","admire",1.61,0.35,0.2," 01 111111111 100"
"8","admonish",-0.42,0.48,0.23," 10 011111111 000"
"9","adopt",1.85,1.49,-0.18," 10 000000010 010"
"10","adore",1.01,0.42,0.26," 01 000000111 000"
"11","advise",1.12,1.32,-0.42," 10 011111110 000"
"12","affront",-0.6,0.83,0.74," 01 111111111 000"
"13","aggravate",-1.59,0.12,1.7," 01 111111111 100"
"14","agitate",-0.81,0.45,1.66," 01 111111111 100"
"15","agree_with",0.98,0.38,0.02," 10 111111111 000"
"16","aid",2,2.03,0.09," 10 111111111 000"
"17","alert",1.37,1.33,1.62," 10 010101000 000"
"18","alienate",-1.66,0.43,0.48," 01 111111110 010"
"19","amaze",0.97,1.15,1.01," 01 111111111 000"
"20","amuse",1.75,1.21,1.48," 11 111111111 100"
"21","analyze",0.19,0.99,-0.04," 10 011111110 100"
"22","anger",-1.33,1.04,1.41," 01 111111111 000"
"23","annihilate",-2.74,2.45,1.86," 10 000100000 001"
"24","annoy",-1.55,-0.31,1.41," 01 111111111 000"
"25","answer",1.43,0.78,-0.13," 10 111111111 000"
"26","antagonize",-1.61,0.66,1.25," 01 111111111 000"
"27","ape",-0.91,-0.37,1.69," 01 100000000 010"
"28","apologize_to",1.81,1.51,-0.32," 10 111111111 000"
"29","appeal_to",0.76,0.34,0.04," 10 111111111 000"
"30","appease",0.23,-0.03,-0.58," 10 011110110 000"
"31","applaud",1.48,0.68,1.57," 10 111111111 010"
"32","appoint",0.89,1.87,-0.09," 10 000100000 010"
"33","appreciate",2.14,1.21,-0.17," 01 111111101 000"
"34","apprehend",0.05,1.46,1.22," 10 001000000 001"
"35","approach",0.55,0.97,-0.14," 10 111111111 010"
"36","approve_of",1.69,1.16,-0.16," 01 111111111 100"
"37","argue_with",-0.44,1.02,1.72," 10 111111111 000"
"38","arm",-0.61,1.38,1.11," 10 001100000 110"
"39","arouse",0.9,1.64,1.59," 01 000000001 101"
"40","arrest",-0.96,1.44,0.97," 10 001000000 001"
"41","ask",1.16,0.48,0.42," 10 111111111 000"
"42","ask_about",0.87,-0.01,0.31," 01 111111111 010"
"43","assail",-0.72,1.16,1.27," 10 001100110 001"
"44","assault",-2.45,1.08,1.98," 10 001000000 001"
"45","assist",1.77,1.57,-0.05," 10 111111111 000"
"46","astonish",0.78,1.24,1.29," 01 111111111 000"
"47","astound",0.71,1.27,1.14," 01 111111111 000"
"48","attack",-1.94,1.55,2.08," 10 001100010 001"
"49","authorize",0.73,1.8,-0.34," 10 011111100 010"
"50","avoid",-1.05,-0.69,0.33," 01 111111110 010"
"51","awaken",0.12,0.94,0.45," 10 100000000 000"
"52","awe",0.54,1.63,0.28," 01 111111111 000"
"53","baby",-0.32,-0.33,-0.59," 10 000000010 100"
"54","back",1.43,1.67,0.04," 10 010100000 010"
"55","badger",-1.52,0.14,1.49," 10 111111111 100"
"56","bait",-1.62,0.7,0.79," 01 111100100 000"
"57","bamboozle",-0.78,0.97,1.3," 01 111100100 000"
"58","baptize",0.85,0.83,-0.35," 10 000000100 000"
"59","bawl_out",-1.01,1.16,1.56," 10 111111111 000"
"60","beckon",0.15,0.54,-0.41," 10 100000011 010"
"61","bed",1.23,1.34,1.05," 10 000000001 000"
"62","befriend",1.57,1.64,-0.02," 01 100100000 000"
"63","befuddle",-0.55,0.42,0.15," 01 111111111 100"
"64","beg",-1.14,-1.05,-0.18," 10 111111111 000"
"65","believe",1.57,1.06,-0.17," 01 111111111 000"
"66","belittle",-1.73,0.22,0.8," 10 111111111 100"
