"","term","E","P","A","instcodes"
"1","academic",0.975,0.735,-0.5," 11 000010000 000"
"2","accomplice",-0.325,0.465,0.915," 11 001000000 000"
"3","accountant",0.505,0.925,-0.1," 11 010000000 000"
"4","accused",-0.51,-1.275,-0.06," 11 001000000 000"
"5","acid_head",-1.98,-1.43,0.98," 11 100000000 000"
"6","actor",0.7,0.8,1.405," 11 110000000 000"
"7","addict",-1.62,-1.86,0.585," 11 101001000 000"
"8","adolescent",0.525,-0.705,2," 11 100000010 000"
"9","adult",0.745,0.875,-0.29," 11 100000010 000"
"10","adulterer",-1.805,0,0.855," 10 000000011 001"
"11","adulteress",-1.845,-0.365,1.1," 01 000000011 001"
"12","advisor",1.165,1.285,-0.635," 11 110110000 000"
"13","airline_pilot",1.355,1.725,0.545," 11 010000000 000"
"14","alcoholic",-1.6,-1.6,-0.495," 11 100001000 000"
"15","alumnus",0.675,1.435,-0.69," 11 000010000 000"
"16","amateur",0.39,-0.345,0.93," 11 100000000 000"
"17","anesthetist",0.83,0.9,-0.28," 11 000001000 001"
"18","applicant",0.55,-0.91,0.24," 11 010010000 000"
"19","apprentice",0.66,-0.545,1.075," 11 010000000 000"
"20","architect",1.06,1.04,-0.085," 11 010000000 000"
"21","ass",-2.085,-0.735,1.24," 11 100000000 000"
"22","assailant",-2.39,1.605,1.84," 11 001000000 001"
"23","assassin",-3.12,0.97,0.92," 11 001100000 001"
"24","assistant",1.03,-0.345,0.215," 11 110001000 000"
"25","athlete",1.165,1.8,1.805," 11 010010000 001"
"26","attorney",0.84,1.945,-0.335," 11 001000000 000"
"27","auctioneer",0.485,0.81,1.575," 11 010000000 000"
"28","auditor",-0.195,1.12,-0.46," 11 010000000 000"
"29","aunt",1.24,0.095,-0.435," 01 000000010 000"
"30","auntie",1.235,-0.22,-0.62," 01 000000010 000"
"31","author",1.14,0.765,-0.165," 11 010010000 000"
"32","authority",0.695,1.56,-0.12," 11 011111100 000"
"33","auto_mechanic",0.65,0.475,0.49," 11 010000000 000"
"34","babe",0.58,-0.515,1.775," 01 100000000 000"
"35","baby",2.46,-2.25,2.25," 11 100001010 001"
"36","babysitter",1.355,-0.11,1.01," 11 000000010 011"
"37","bachelor",0.92,0.74,1.73," 10 000000011 000"
"38","backer",1.26,1.885,0.45," 11 110100000 000"
"39","bailiff",0.255,0.62,-0.595," 10 001000000 001"
"40","bailsman",-0.015,0.735,-0.2," 11 001000000 000"
"41","baker",1.21,0.035,-0.56," 11 010000000 000"
"42","bandit",-1.73,1.03,1.165," 11 001000000 000"
"43","bank_teller",1.085,0.065,-0.235," 11 010000000 000"
"44","banker",0.65,1.59,-0.49," 11 010000000 001"
"45","barkeeper",0.76,0.49,0.11," 11 010000000 000"
"46","barmaid",0.49,-0.315,1.58," 01 010000000 000"
"47","bartender",0.72,0.41,0.115," 11 010000000 000"
"48","beauty",1.53,0.48,1.385," 01 100000000 001"
"49","beggar",-0.96,-2.125,-1.38," 11 100000000 000"
"50","beginner",0.745,-1.13,0.71," 11 100000000 000"
"51","bellboy",0.47,-1.03,1.09," 10 010000000 000"
"52","bellhop",0.845,-0.955,1.27," 11 010000000 000"
"53","bellman",0.62,-0.245,-0.03," 10 010000000 000"
