"","term","E","P","A","instcodes"
"1","academic",0.84,0.76,-0.5," 11 000010000 000"
"2","accomplice",-0.19,0.4,0.74," 11 001000000 000"
"3","accountant",0.73,1.22,0.3," 11 010000000 000"
"4","accused",-0.31,-1.2,-0.19," 11 001000000 000"
"5","acid_head",-1.87,-0.91,0.58," 11 100000000 000"
"6","actor",0.78,1.02,1.45," 11 110000000 000"
"7","addict",-0.97,-1.76,0.4," 11 101001000 000"
"8","adolescent",0.63,-0.62,2.11," 11 100000010 000"
"9","adult",0.86,0.96,-0.33," 11 100000010 000"
"10","adulterer",-1.64,0.16,0.75," 10 000000011 001"
"11","adulteress",-1.6,-0.35,1.21," 01 000000011 001"
"12","advisor",1.34,1.3,-0.57," 11 110110000 000"
"13","airline_pilot",1.33,1.71,0.47," 11 010000000 000"
"14","alcoholic",-1.34,-1.83,-0.58," 11 100001000 000"
"15","alumnus",0.75,1.54,-0.64," 11 000010000 000"
"16","amateur",0.54,-0.29,0.59," 11 100000000 000"
"17","anesthetist",0.94,1,-0.3," 11 000001000 001"
"18","applicant",0.53,-0.79,0.19," 11 010010000 000"
"19","apprentice",0.64,-0.58,0.88," 11 010000000 000"
"20","architect",1.06,0.92,-0.02," 11 010000000 000"
"21","ass",-2.08,-0.09,1.06," 11 100000000 000"
"22","assailant",-2.35,2.03,1.83," 11 001000000 001"
"23","assassin",-2.76,1.19,1," 11 001100000 001"
"24","assistant",1.13,-0.27,0.29," 11 110001000 000"
"25","athlete",1,1.78,1.48," 11 010010000 001"
"26","attorney",0.86,2.01,-0.42," 11 001000000 000"
"27","auctioneer",0.4,1.27,1.24," 11 010000000 000"
"28","auditor",0.28,1.17,-0.18," 11 010000000 000"
"29","aunt",1.3,0.16,-0.18," 01 000000010 000"
"30","auntie",1.41,0.1,-0.38," 01 000000010 000"
"31","author",1,0.33,-0.08," 11 010010000 000"
"32","authority",0.62,1.42,0.14," 11 011111100 000"
"33","auto_mechanic",0.81,0.5,0.69," 11 010000000 000"
"34","babe",0.29,-0.27,1.75," 01 100000000 000"
"35","baby",2.94,-1.95,2.03," 11 100001010 001"
"36","babysitter",1.4,0.13,0.9," 11 000000010 011"
"37","bachelor",1.06,0.78,1.72," 10 000000011 000"
"38","backer",0.98,1.98,0.97," 11 110100000 000"
"39","bailiff",0.27,0.85,-0.58," 10 001000000 001"
"40","bailsman",0.21,0.72,-0.09," 11 001000000 000"
"41","baker",1.36,0.33,-0.63," 11 010000000 000"
"42","bandit",-1.54,1.25,1.15," 11 001000000 000"
"43","bank_teller",1.03,0.04,-0.73," 11 010000000 000"
"44","banker",0.71,1.74,-0.24," 11 010000000 001"
"45","barkeeper",0.56,0.59,0.24," 11 010000000 000"
"46","barmaid",0.5,-0.33,1.68," 01 010000000 000"
"47","bartender",0.69,0.53,0.02," 11 010000000 000"
"48","beauty",1.33,0.41,1.32," 01 100000000 001"
"49","beggar",-0.76,-2.06,-1.47," 11 100000000 000"
"50","beginner",1.13,-1.02,0.79," 11 100000000 000"
"51","bellboy",0.41,-0.83,1.13," 10 010000000 000"
"52","bellhop",1.15,-0.49,1.58," 11 010000000 000"
"53","bellman",0.87,0.07,0.16," 10 010000000 000"
"54","big_shot",-1.18,0.31,1.43," 11 100000000 000"
"55","bigamist",-1.82,0.24,0.69," 11 001000011 011"
"56","bigot",-1.9,-0.43,-0.32," 11 100000000 000"
"57","bill_collector",-0.24,0.97,0.32," 11 010000000 000"
"58","bisexual",-1.16,-0.56,0.88," 11 000000001 001"
"59","bitch",-1.96,1,1.58," 01 100000000 000"
"60","blabbermouth",-1.82,0.14,1.55," 11 100000000 000"
"61","blacksmith",1.12,1.38,-0.56," 11 010000000 000"
"62","bleeder",-0.6,-0.37,-0.2," 11 000001000 011"
"63","blind_date",-0.37,-0.25,0.59," 11 000000001 001"
"64","blockhead",-0.25,-0.86,-0.37," 11 100000000 000"
"65","boarder",0.41,-0.23,0.13," 11 010000000 000"
"66","bodyguard",0.71,1.81,1.16," 11 001100000 001"
"67","bohemian",-0.12,0.45,0.47," 11 100000000 000"
"68","bonehead",-0.29,-1.59,0.1," 11 100000000 000"
"69","boob",-0.07,-0.58,1.06," 11 100000000 000"
"70","bookie",-1.16,0.77,0.35," 11 011000000 000"
"71","bookkeeper",0.77,-0.28,-0.85," 11 010000000 000"
"72","bookworm",0.95,-0.11,-1.19," 11 000010000 000"
"73","boor",-0.71,-0.21,-0.41," 11 100000000 000"
"74","bootblack",0.13,-0.82,-0.08," 11 010000000 000"
"75","boss",0.39,2.19,0," 11 010000000 000"
"76","bouncer",-0.7,1.93,1.13," 10 010000000 001"
"77","boxer",-0.34,1.73,2.38," 10 010000000 001"
"78","boy",1.8,0.63,1.38," 10 100000010 000"
"79","boyfriend",2.34,1.62,1.68," 10 000000001 001"
"80","boy_scout",2.06,0.59,1.69," 10 100000000 000"
"81","braggart",-1.55,-1.06,1.52," 11 100000000 000"
"82","brain",1.72,1.9,0.67," 11 000010000 000"
"83","brat",-2.01,0.61,2.58," 11 100000010 000"
"84","broad",-0.18,0.27,1.23," 01 100000000 000"
"85","brother",2.39,1.48,1.04," 10 000000010 000"
"86","my_brother",1.68,1.47,1.92," 10 000000010 000"
"87","brother_in_law",1.18,0.42,0.46," 10 000000010 000"
"88","brute",-1.8,1.1,1.72," 10 100000000 001"
"89","buddy",2.51,1.38,0.78," 11 100000000 000"
"90","buffoon",-0.71,0.06,0.48," 11 100000000 000"
"91","bulldozer_operator",0.24,0.87,0.55," 11 010000000 000"
"92","bully",-1.97,1.86,2.33," 11 100000000 001"
"93","bum",-1.06,-1.14,-1.13," 11 100000000 000"
"94","bumpkin",0.11,-1.16,0.21," 11 100000000 000"
"95","burglar",-1.93,0.69,0.84," 11 011000000 000"
"96","bus_driver",0.74,0.25,0.27," 11 010000000 000"
"97","busboy",0.93,-0.22,1.19," 10 010000000 000"
"98","busybody",-1.46,-0.01,1.06," 11 100000000 000"
"99","butcher",0.28,0.82,0.32," 11 010000000 000"
"100","butterfingers",0.08,-0.58,0.6," 11 100000000 000"
"101","bystander",0,-0.69,-0.38," 11 100000000 000"
"102","cad",-1.41,-0.3,1.1," 10 100000000 000"
"103","call_girl",-1.29,-0.56,2.06," 01 000000001 001"
"104","captive",-0.52,-0.71,-0.42," 11 001100001 001"
"105","card",0.7,0.27,1.59," 11 100000000 000"
"106","carpenter",0.89,0.56,0.27," 11 010000000 000"
"107","cashier",0.44,-0.58,-0.02," 11 010000000 000"
