"","term","E","P","A","instcodes"
"1","academic",1.11,0.71,-0.5," 11 000010000 000"
"2","accomplice",-0.46,0.53,1.09," 11 001000000 000"
"3","accountant",0.28,0.63,-0.5," 11 010000000 000"
"4","accused",-0.71,-1.35,0.07," 11 001000000 000"
"5","acid_head",-2.09,-1.95,1.38," 11 100000000 000"
"6","actor",0.62,0.58,1.36," 11 110000000 000"
"7","addict",-2.27,-1.96,0.77," 11 101001000 000"
"8","adolescent",0.42,-0.79,1.89," 11 100000010 000"
"9","adult",0.63,0.79,-0.25," 11 100000010 000"
"10","adulterer",-1.97,-0.16,0.96," 10 000000011 001"
"11","adulteress",-2.09,-0.38,0.99," 01 000000011 001"
"12","advisor",0.99,1.27,-0.7," 11 110110000 000"
"13","airline_pilot",1.38,1.74,0.62," 11 010000000 000"
"14","alcoholic",-1.86,-1.37,-0.41," 11 100001000 000"
"15","alumnus",0.6,1.33,-0.74," 11 000010000 000"
"16","amateur",0.24,-0.4,1.27," 11 100000000 000"
"17","anesthetist",0.72,0.8,-0.26," 11 000001000 001"
"18","applicant",0.57,-1.03,0.29," 11 010010000 000"
"19","apprentice",0.68,-0.51,1.27," 11 010000000 000"
"20","architect",1.06,1.16,-0.15," 11 010000000 000"
"21","ass",-2.09,-1.38,1.42," 11 100000000 000"
"22","assailant",-2.43,1.18,1.85," 11 001000000 001"
"23","assassin",-3.48,0.75,0.84," 11 001100000 001"
"24","assistant",0.93,-0.42,0.14," 11 110001000 000"
"25","athlete",1.33,1.82,2.13," 11 010010000 001"
"26","attorney",0.82,1.88,-0.25," 11 001000000 000"
"27","auctioneer",0.57,0.35,1.91," 11 010000000 000"
"28","auditor",-0.67,1.07,-0.74," 11 010000000 000"
"29","aunt",1.18,0.03,-0.69," 01 000000010 000"
"30","auntie",1.06,-0.54,-0.86," 01 000000010 000"
"31","author",1.28,1.2,-0.25," 11 010010000 000"
"32","authority",0.77,1.7,-0.38," 11 011111100 000"
"33","auto_mechanic",0.49,0.45,0.29," 11 010000000 000"
"34","babe",0.87,-0.76,1.8," 01 100000000 000"
"35","baby",1.98,-2.55,2.47," 11 100001010 001"
"36","babysitter",1.31,-0.35,1.12," 11 000000010 011"
"37","bachelor",0.78,0.7,1.74," 10 000000011 000"
"38","backer",1.54,1.79,-0.07," 11 110100000 000"
"39","bailiff",0.24,0.39,-0.61," 10 001000000 001"
"40","bailsman",-0.24,0.75,-0.31," 11 001000000 000"
"41","baker",1.06,-0.26,-0.49," 11 010000000 000"
"42","bandit",-1.92,0.81,1.18," 11 001000000 000"
"43","bank_teller",1.14,0.09,0.26," 11 010000000 000"
"44","banker",0.59,1.44,-0.74," 11 010000000 001"
