"","term","E","P","A","instcodes"
"1","no_emotion",0,0,0," 10 100000000 000"
"2","abandoned",-1.225,-1.92,-0.93," 10 000100000 000"
"3","absent_minded",-0.595,-0.82,-0.775," 10 010000000 000"
"4","abusive",-2.03,0.05,1.26," 10 010000000 000"
"5","accommodating",1.115,0.39,-0.32," 10 010000000 000"
"6","active",1.605,1.34,2.27," 10 010000000 000"
"7","adventurous",1.405,1.085,2.16," 10 010000000 000"
"8","affectionate",2.115,0.83,0.24," 10 010000000 000"
"9","afraid",-0.88,-1.865,-0.225," 10 100000000 000"
"10","aggressive",-0.15,1.72,1.73," 10 010000000 000"
"11","agreeable",1.51,0.06,-0.125," 10 010000000 000"
"12","aimless",-1.43,-1.655,-0.23," 10 010000000 000"
"13","alert",1.195,1.1,1.6," 10 010000000 000"
"14","aloof",-0.69,-0.285,-0.15," 10 010000000 000"
"15","ambitious",1.215,1.485,1.685," 10 010000000 000"
"16","amusing",1.555,0.435,1.245," 10 010000000 000"
"17","angry",-0.87,0.34,1.495," 10 100000000 000"
"18","annoyed",-1.115,-0.175,0.41," 10 100010000 000"
"19","annoying",-1.365,-0.475,1.24," 10 010000000 000"
"20","antisocial",-1.555,-0.835,-0.775," 10 000100000 000"
"21","anxious",-0.35,-0.175,0.9," 10 100000000 000"
"22","apathetic",-1.125,-1.14,-0.61," 10 110000000 000"
"23","appreciative",1.69,0.72,-0.215," 10 110000000 000"
"24","apprehensive",-0.555,-1.145,-0.365," 10 100000000 000"
"25","aroused",1.185,0.85,1.7," 10 000000000 000"
"26","arrogant",-1.18,0.67,1.485," 10 010000000 000"
"27","ashamed",-0.77,-0.8,-0.53," 10 100010000 000"
"28","astonished",0.265,0.025,0.605," 10 010000000 000"
"29","attractive",1.325,1.215,1.08," 10 000100000 000"
"30","authoritarian",-0.49,1.59,-0.24," 10 010000000 000"
"31","average",-0.11,-0.38,-0.14," 10 001000000 000"
"32","awkward",-0.74,-0.92,0.09," 10 000100000 000"
"33","bad",-2.29,-0.33,0.15," 10 001000000 000"
"34","baptist",0.615,0.57,-0.175," 10 001000000 000"
"35","belligerent",-1.125,0.825,1.1," 10 010000000 000"
"36","betrayed",-1.665,-0.865,-0.245," 10 000100000 000"
"37","bitchy",-1.765,0.205,1.56," 10 010000000 000"
"38","bitter",-1.325,-0.36,-0.135," 10 100010000 000"
"39","black",0.38,0.03,0.78," 10 001000000 000"
"40","blue",-0.625,-0.755,-0.67," 10 100000000 000"
"41","bold",0.84,2.055,1.65," 10 010000000 000"
"42","bored",-1.6,-1.03,-0.755," 10 010100000 000"
"43","boring",-1.5,-1.38,-1.315," 10 000100000 000"
"44","bossy",-1.295,0.88,0.955," 10 010000000 000"
"45","brave",1.925,1.695,1.205," 10 010000000 000"
"46","bright",1.625,1.62,0.955," 10 010000000 000"
"47","calm",1.3,0.535,-1.34," 10 100010000 000"
"48","candid",0.985,0.66,0.95," 10 010000000 000"
"49","captivated",0.295,-0.13,0.35," 10 010100000 000"
"50","carefree",1.045,0.215,1.43," 10 010000000 000"
"51","careless",-1.16,-0.77,0.845," 10 010000000 000"
"52","catholic",0.295,0.505,-0.315," 10 001000000 000"
"53","cautious",0.83,0.12,-0.985," 10 010000000 000"
"54","charming",1.87,0.7,0.64," 10 010000000 000"
"55","cheerful",2.23,0.95,1.125," 10 110000000 000"
"56","childish",-0.92,-1.135,1.45," 10 010000000 000"
"57","clean_cut",0.85,0.44,-0.34," 10 000100000 000"
"58","clever",1.715,1.175,0.69," 10 010000000 000"
"59","cocky",-1.035,0.365,1.84," 10 010000000 000"
"60","cold",-1.345,-0.37,-0.6," 10 010000000 000"
"61","colorless",-0.73,-0.97,-0.85," 10 000100000 000"
"62","compassionate",2.135,0.945,-0.04," 10 110000000 000"
"63","competent",1.755,1.415,0.54," 10 010000000 000"
"64","composed",1.325,0.945,-0.48," 10 010000000 000"
"65","compulsive",-0.89,-0.495,1.015," 10 010000000 000"
"66","conceited",-1.77,-0.275,1.095," 10 010000000 000"
"67","confident",1.805,1.755,0.5," 10 010000000 000"
"68","confused",-0.81,-1.055,0.425," 10 010000000 000"
"69","conscientious",1.84,1.285,-0.305," 10 010000000 000"
"70","conservative",0.185,0.56,-1.225," 10 011000000 000"
"71","considerate",2.34,1.06,-0.06," 10 010000000 000"
"72","contemptuous",-1.54,0.44,0.445," 10 110000000 000"
"73","conventional",0.035,0.095,-0.84," 10 000100000 000"
"74","cooperative",1.805,0.45,-0.4," 10 010000000 000"
"75","cowardly",-1.545,-2.495,-0.3," 10 010000000 000"
"76","coy",-0.02,0.185,1.03," 10 010000000 000"
"77","crafty",0.1,0.825,0.57," 10 010000000 000"
"78","crazy",-0.52,-0.305,1.21," 10 011000000 000"
"79","creative",1.89,1.425,1.075," 10 010000000 000"
"80","critical",-0.38,0.64,0.27," 10 010000000 000"
"81","crude",-1.74,-0.395,0.9," 10 010000000 000"
"82","cruel",-2.755,0.445,0.9," 10 010000000 000"
"83","curious",0.93,0.43,1.33," 10 010000000 000"
"84","cynical",-1.33,-0.405,0.405," 10 010000000 000"
"85","daring",0.525,1.05,2.26," 10 010000000 000"
"86","deceitful",-1.9,-0.11,0.235," 10 010000000 000"
"87","defensive",-0.685,-0.315,0.915," 10 010000000 000"
"88","defiant",-0.19,1.105,1.37," 10 010000000 000"
"89","delicate",1.05,-1.535,-0.58," 10 000100000 000"
"90","delighted",1.725,0.52,0.84," 10 100000000 000"
"91","demanding",-0.51,0.775,0.92," 10 010000000 000"
"92","dependable",1.895,1.26,-0.38," 10 010000000 000"
"93","dependent",-0.27,-0.875,-0.285," 10 010000000 000"
"94","depressed",-1.475,-1.07,-1.02," 10 100010000 000"
"95","desperate",-1.45,-0.98,0.765," 10 110000000 000"
"96","dignified",1.15,1.115,-1.095," 10 000100000 000"
"97","disagreeable",-1.24,0.265,0.55," 10 010000000 000"
"98","disappointed",-1.08,-0.525,-0.235," 10 100000000 000"
"99","discreet",0.815,0.345,-0.53," 10 010000000 000"
"100","disgusted",-1.03,-0.58,-0.02," 10 100010000 000"
"101","dishonest",-2.31,-0.82,0.32," 10 010100000 000"
"102","disobedient",-1.38,-0.155,1.335," 10 010000000 000"
"103","disreputable",-1.26,-0.915,0.455," 10 010000000 000"
"104","disrespectful",-1.76,-0.745,1.395," 10 010000000 000"
"105","dissatisfied",-0.76,-0.47,0.34," 10 100000000 000"
"106","disturbed",-1.33,-0.445,-0.04," 10 110000000 000"
"107","divorced",-0.565,-0.37,0.68," 10 001000000 000"
"108","dogmatic",-0.5,0.695,-0.035," 10 010000000 000"
"109","dominant",-0.325,1.595,0.66," 10 010000000 000"
"110","domineering",-1.105,1.255,0.695," 10 010000000 000"
"111","doubtful",-0.73,-0.75,-0.515," 10 000100000 000"
"112","drowsy",-0.295,-0.96,-1.295," 10 000100000 000"
"113","drunken",-1.43,-1.395,0.38," 10 001100000 000"
"114","dull",-1.08,-1.265,-1.765," 10 000100000 000"
"115","earnest",1.67,0.87,-0.105," 10 010000000 000"
"116","earthy",1.26,0.64,-0.115," 10 010000000 000"
"117","easygoing",1.43,0.34,-0.015," 10 010000000 000"
"118","eccentric",0.045,0.525,-0.645," 10 010000000 000"
"119","educated",1.935,1.7,0.41," 10 001000000 000"
"120","efficient",1.655,1.57,0.64," 10 010000000 000"
"121","egotistical",-1.61,0.345,1.23," 10 010000000 000"
"122","elated",1.835,1.03,1.425," 10 100000000 000"
"123","embarrassed",-1.105,-0.985,-0.34," 10 100010000 000"
"124","emotional",0.54,0.125,0.87," 10 110000000 000"
"125","employed",1.855,1.08,0.335," 10 001000000 000"
"126","energetic",1.4,1.305,2.405," 10 010000000 000"
"127","enthusiastic",1.565,1.11,2.135," 10 110000000 000"
"128","envious",-1.31,-1.245,0.675," 10 100000000 000"
"129","excited",1.225,0.91,2.395," 10 100010000 000"
"130","experienced",1.3,1.215,-0.51," 10 001000000 000"
"131","extravagant",-0.215,1.15,1.25," 10 000100000 000"
"132","extroverted",1.215,1.3,1.99," 10 010000000 000"
"133","faithful",1.965,1.18,-0.675," 10 010000000 000"
"134","fearful",-1.2,-1.355,-0.555," 10 100000000 000"
"135","female",1.565,0.43,0.97," 10 001000000 000"
"136","feminine",1.55,0.26,0.49," 10 010000000 000"
"137","fickle",-1.225,-1.185,0.54," 10 010000000 000"
"138","finicky",-0.955,-0.795,0.2," 10 010000000 000"
"139","flexible",1.545,0.845,0.855," 10 010000000 000"
"140","flustered",-0.7,-0.88,0.665," 10 100010000 000"
"141","foolish",-1.085,-1.015,0.78," 10 010000000 000"
"142","forgetful",-0.925,-1.355,-0.64," 10 010000000 000"
"143","forgiving",2.37,2.085,-0.28," 10 010000000 000"
"144","friendly",2.44,1.505,1.075," 10 010000000 000"
"145","frivolous",-0.41,-0.645,1.295," 10 000100000 000"
"146","frustrated",-1.115,-0.945,0.2," 10 100000000 000"
"147","furious",-1.145,0.67,1.305," 10 100010000 000"
"148","generous",1.945,1.505,-0.155," 10 010000000 000"
