"","term","E","P","A","instcodes"
"1","no_emotion",0,0,0," 10 100000000 000"
"2","abandoned",-1.3,-1.91,-0.99," 10 000100000 000"
"3","absent_minded",-0.75,-1,-0.9," 10 010000000 000"
"4","abusive",-2.07,0.21,1.04," 10 010000000 000"
"5","accommodating",1.26,0.45,-0.43," 10 010000000 000"
"6","active",1.59,1.25,2.36," 10 010000000 000"
"7","adventurous",1.52,1.16,2.19," 10 010000000 000"
"8","affectionate",1.97,0.76,-0.03," 10 010000000 000"
"9","afraid",-1.19,-1.96,-0.34," 10 100000000 000"
"10","aggressive",-0.13,1.52,1.72," 10 010000000 000"
"11","agreeable",1.31,-0.09,-0.07," 10 010000000 000"
"12","aimless",-1.43,-1.33,-0.05," 10 010000000 000"
"13","alert",1.24,1.03,1.38," 10 010000000 000"
"14","aloof",-0.88,-0.16,-0.54," 10 010000000 000"
"15","ambitious",1.1,1.34,1.76," 10 010000000 000"
"16","amusing",1.41,0.5,1.44," 10 010000000 000"
"17","angry",-1.02,0.34,1.49," 10 100000000 000"
"18","annoyed",-1.18,-0.42,0.39," 10 100010000 000"
"19","annoying",-1.63,-0.6,1.36," 10 010000000 000"
"20","antisocial",-1.56,-0.65,-0.87," 10 000100000 000"
"21","anxious",-0.52,-0.33,0.89," 10 100000000 000"
"22","apathetic",-1.64,-1.56,-0.95," 10 110000000 000"
"23","appreciative",1.6,0.55,-0.28," 10 110000000 000"
"24","apprehensive",-0.78,-1.22,-0.55," 10 100000000 000"
"25","aroused",0.88,0.48,1.66," 10 000000000 000"
"26","arrogant",-1.49,0.51,1.49," 10 010000000 000"
"27","ashamed",-0.91,-0.91,-0.43," 10 100010000 000"
"28","astonished",0.25,-0.07,0.54," 10 010000000 000"
"29","attractive",1.57,1.16,1.05," 10 000100000 000"
"30","authoritarian",-0.7,1.39,-0.33," 10 010000000 000"
"31","average",-0.38,-0.45,-0.26," 10 001000000 000"
"32","awkward",-0.82,-1.04,0," 10 000100000 000"
"33","bad",-2.53,-0.27,0.05," 10 001000000 000"
"34","baptist",0.48,0.55,-0.42," 10 001000000 000"
"35","belligerent",-1.12,1,1.26," 10 010000000 000"
"36","betrayed",-1.87,-0.94,-0.41," 10 000100000 000"
"37","bitchy",-1.78,-0.1,1.69," 10 010000000 000"
"38","bitter",-1.36,-0.5,-0.16," 10 100010000 000"
"39","black",-0.03,0.23,0.55," 10 001000000 000"
"40","blue",-0.74,-0.86,-0.85," 10 100000000 000"
"41","bold",0.93,1.71,1.53," 10 010000000 000"
"42","bored",-1.72,-1.22,-1.27," 10 010100000 000"
"43","boring",-1.56,-1.24,-1.31," 10 000100000 000"
"44","bossy",-1.2,0.92,0.68," 10 010000000 000"
"45","brave",2.1,1.7,1.38," 10 010000000 000"
"46","bright",1.84,1.4,1.05," 10 010000000 000"
"47","calm",1.27,0.3,-1.28," 10 100010000 000"
"48","candid",1.09,0.63,0.95," 10 010000000 000"
"49","captivated",0.3,-0.33,0.22," 10 010100000 000"
"50","carefree",1.04,0,1.34," 10 010000000 000"
"51","careless",-1.07,-0.69,0.96," 10 010000000 000"
"52","catholic",0.15,0.36,-0.39," 10 001000000 000"
"53","cautious",0.74,0.06,-1.07," 10 010000000 000"
"54","charming",1.99,0.51,0.51," 10 010000000 000"
"55","cheerful",2.27,0.69,1.27," 10 110000000 000"
"56","childish",-1.18,-1.15,1.45," 10 010000000 000"
"57","clean_cut",0.62,0.13,-0.44," 10 000100000 000"
"58","clever",1.9,1.38,0.79," 10 010000000 000"
"59","cocky",-0.85,0.39,1.7," 10 010000000 000"
"60","cold",-1.44,-0.27,-0.73," 10 010000000 000"
"61","colorless",-0.94,-1.13,-0.94," 10 000100000 000"
"62","compassionate",2.27,0.91,0.01," 10 110000000 000"
"63","competent",1.9,1.63,0.6," 10 010000000 000"
"64","composed",1.41,1,-0.4," 10 010000000 000"
"65","compulsive",-0.95,-0.48,1.05," 10 010000000 000"
"66","conceited",-1.8,0.05,0.92," 10 010000000 000"
"67","confident",1.99,1.71,0.8," 10 010000000 000"
"68","confused",-1.09,-1.26,0.43," 10 010000000 000"
"69","conscientious",1.75,1.04,-0.44," 10 010000000 000"
"70","conservative",-0.13,0.68,-1.68," 10 011000000 000"
"71","considerate",1.97,1.15,0.01," 10 010000000 000"
"72","contemptuous",-1.64,0.06,0.46," 10 110000000 000"
"73","conventional",0,-0.06,-0.89," 10 000100000 000"
"74","cooperative",1.75,0.34,-0.48," 10 010000000 000"
"75","cowardly",-1.77,-2.52,-0.3," 10 010000000 000"
"76","coy",0.11,-0.01,1.03," 10 010000000 000"
"77","crafty",0.47,0.82,0.67," 10 010000000 000"
"78","crazy",-0.69,-0.27,1.4," 10 011000000 000"
"79","creative",2.02,1.65,1.31," 10 010000000 000"
"80","critical",-0.38,0.73,0.22," 10 010000000 000"
"81","crude",-1.87,-0.21,1.06," 10 010000000 000"
"82","cruel",-2.63,0.3,1.18," 10 010000000 000"
"83","curious",1.01,0.51,1.04," 10 010000000 000"
"84","cynical",-1.29,-0.41,0.41," 10 010000000 000"
"85","daring",0.77,1.13,2.4," 10 010000000 000"
"86","deceitful",-2.03,-0.37,0.1," 10 010000000 000"
"87","defensive",-0.83,-0.55,0.83," 10 010000000 000"
"88","defiant",0.17,1.24,1.35," 10 010000000 000"
"89","delicate",0.75,-1.46,-0.63," 10 000100000 000"
"90","delighted",1.75,0.7,0.76," 10 100000000 000"
"91","demanding",-0.13,0.72,0.89," 10 010000000 000"
"92","dependable",2.09,1.32,-0.64," 10 010000000 000"
"93","dependent",-0.55,-1.09,-0.17," 10 010000000 000"
"94","depressed",-1.66,-1.31,-0.89," 10 100010000 000"
"95","desperate",-1.46,-1,0.98," 10 110000000 000"
"96","dignified",1.33,1.1,-1.16," 10 000100000 000"
"97","disagreeable",-1.24,0.23,0.87," 10 010000000 000"
"98","disappointed",-1.15,-0.67,-0.52," 10 100000000 000"
"99","discreet",0.9,0.33,-1.11," 10 010000000 000"
"100","disgusted",-1.14,-0.47,0.02," 10 100010000 000"
"101","dishonest",-2.47,-0.54,-0.01," 10 010100000 000"
"102","disobedient",-1.39,-0.16,1.33," 10 010000000 000"
"103","disreputable",-1.32,-0.97,0.61," 10 010000000 000"
"104","disrespectful",-1.74,-0.72,1.64," 10 010000000 000"
"105","dissatisfied",-1.01,-0.51,0.42," 10 100000000 000"
"106","disturbed",-1.65,-0.67,0.12," 10 110000000 000"
"107","divorced",-0.64,-0.46,0.6," 10 001000000 000"
"108","dogmatic",-0.53,0.44,0," 10 010000000 000"
"109","dominant",-0.34,1.57,0.61," 10 010000000 000"
"110","domineering",-1.17,0.97,0.53," 10 010000000 000"
"111","doubtful",-0.92,-1.06,-0.94," 10 000100000 000"
"112","drowsy",-0.48,-0.92,-1.3," 10 000100000 000"
"113","drunken",-1.51,-1.53,0.6," 10 001100000 000"
"114","dull",-1.29,-1.43,-1.89," 10 000100000 000"
"115","earnest",1.73,0.97,-0.16," 10 010000000 000"
"116","earthy",1.08,0.28,0.14," 10 010000000 000"
"117","easygoing",1.47,0.24,0.07," 10 010000000 000"
"118","eccentric",0.04,0.32,-0.99," 10 010000000 000"
"119","educated",2.06,1.55,0.2," 10 001000000 000"
"120","efficient",1.79,1.63,0.54," 10 010000000 000"
"121","egotistical",-1.63,0.44,1.2," 10 010000000 000"
"122","elated",1.77,0.92,1.57," 10 100000000 000"
"123","embarrassed",-1.26,-1.03,-0.29," 10 100010000 000"
"124","emotional",0.54,0.15,1.21," 10 110000000 000"
"125","employed",2.16,1.11,0.32," 10 001000000 000"
"126","energetic",1.74,1.36,2.37," 10 010000000 000"
"127","enthusiastic",1.59,1.03,2.37," 10 110000000 000"
"128","envious",-1.39,-1.41,0.73," 10 100000000 000"
"129","excited",1.32,1.09,2.43," 10 100010000 000"
"130","experienced",1.38,1.06,-0.6," 10 001000000 000"
"131","extravagant",-0.29,0.93,1.18," 10 000100000 000"
"132","extroverted",1.49,1.18,1.88," 10 010000000 000"
"133","faithful",1.97,1.3,-0.36," 10 010000000 000"
"134","fearful",-1.52,-1.52,-0.94," 10 100000000 000"
"135","female",1.86,0.27,1.01," 10 001000000 000"
"136","feminine",1.29,-0.29,0.7," 10 010000000 000"
"137","fickle",-1.4,-1.53,0.58," 10 010000000 000"
"138","finicky",-1.04,-0.87,0.11," 10 010000000 000"
"139","flexible",1.56,0.95,0.72," 10 010000000 000"
"140","flustered",-0.9,-0.88,0.84," 10 100010000 000"
"141","foolish",-1.29,-1.06,0.77," 10 010000000 000"
"142","forgetful",-0.99,-1.44,-0.71," 10 010000000 000"
"143","forgiving",2.17,1.7,-0.6," 10 010000000 000"
"144","friendly",2.4,1.18,1.27," 10 010000000 000"
"145","frivolous",-0.55,-0.68,1.52," 10 000100000 000"
"146","frustrated",-1.31,-1.24,0.3," 10 100000000 000"
"147","furious",-1.22,0.55,1.31," 10 100010000 000"
"148","generous",1.89,1.3,0.11," 10 010000000 000"
"149","gentle",1.52,0.23,-0.8," 10 010000000 000"
"150","giddy",-0.57,-0.93,1.01," 10 010000000 000"
"151","gloomy",-1.58,-1.12,-1.15," 10 110000000 000"
"152","good",2.47,1.44,0.65," 10 001000000 000"
"153","gossipy",-1.66,-1.01,0.84," 10 010100000 000"
"154","grateful",1.09,0.28,-0.53," 10 100000000 000"
"155","greedy",-1.89,0.71,0.77," 10 010000000 000"
"156","grouchy",-1.58,-0.36,-0.46," 10 010000000 000"
"157","guilty",-1.8,-0.92,-0.27," 10 101000000 000"
"158","gullible",-1.51,-1.75,-0.61," 10 010000000 000"
"159","happy",2.39,1.15,0.49," 10 100010000 000"
"160","hassled",-1.32,-0.79,0.75," 10 000100000 000"
"161","haughty",-1.72,-0.19,0.6," 10 010000000 000"
"162","heart_broken",-1.36,-0.94,-0.76," 10 100000000 000"
"163","helpful",2.08,1.44,0.36," 10 010000000 000"
"164","helpless",-1.63,-2.26,-0.47," 10 000100000 000"
"165","homey",0.27,-0.68,-1.46," 10 000100000 000"
"166","homosexual",-1.45,-0.8,0.82," 10 001100000 000"
"167","honest",2.42,1.38,0.37," 10 010000000 000"
"168","honorable",2.15,1.29,-0.34," 10 010000000 000"
"169","hopeful",1.51,0.66,0.17," 10 110000000 000"
"170","hopeless",-2.23,-1.82,-0.67," 10 100100000 000"
"171","horny",0.1,0.35,1.61," 10 010100000 000"
"172","horrified",-1.72,-0.85,0.88," 10 100000000 000"
"173","hostile",-1.83,-0.01,1.11," 10 110000000 000"
"174","hotheaded",-1.58,0.24,2.03," 10 010000000 000"
"175","humble",1.11,-0.53,-1.14," 10 110000000 000"
"176","humiliated",-1.63,-1.32,-0.46," 10 100000000 000"
"177","hurt",-1.68,-0.26,-0.46," 10 100100000 000"
"178","idealistic",1.2,0.49,0.7," 10 010000000 000"
"179","ignorant",-2.1,-1.71,0.01," 10 000100000 000"
"180","immature",-1.21,-1.13,1.32," 10 010000000 000"
"181","immoral",-1.55,-0.33,1.09," 10 000100000 000"
"182","impatient",-0.67,-0.1,1.71," 10 100010000 000"
"183","impolite",-1.77,-0.48,1.17," 10 010000000 000"
"184","impotent",-1.8,-1.79,-1.03," 10 000100000 000"
"185","impractical",-0.9,-0.72,0.49," 10 010000000 000"
"186","impressionable",0.21,-0.32,0.75," 10 010000000 000"
"187","impulsive",-0.6,0.11,1.79," 10 010000000 000"
"188","incompetent",-1.83,-1.47,-0.49," 10 000100000 000"
"189","inconsiderate",-2,-0.71,1.14," 10 010000000 000"
"190","incredulous",-0.3,-0.52,0.67," 10 000100000 000"
"191","indecisive",-1.53,-1.73,-0.31," 10 010000000 000"
"192","independent",1.5,1.65,1.43," 10 010000000 000"
"193","indifferent",-0.71,-0.71,-0.8," 10 010000000 000"
"194","industrious",1.98,1.74,1.89," 10 010000000 000"
"195","inexperienced",-0.77,-1.13,0.66," 10 000100000 000"
