"","term","E","P","A","instcodes"
"1","adult_bookstore",-0.605,-0.215,0.83," 10 010000001 000"
"2","air_raid",-1.78,2.275,2.1," 01 000100000 001"
"3","airplane",1.59,1.895,1.7," 10 110000000 000"
"4","airport",1.135,2.04,2.135," 10 110000000 000"
"5","alley",-0.69,-0.11,0.065," 10 100000000 000"
"6","ambulance",1.08,1.58,2.01," 10 000001000 001"
"7","amusement_park",1.975,0.575,2.195," 10 110000000 000"
"8","animal_shelter",1.555,0.425,0.84," 10 100001000 000"
"9","apartment",1.055,0.27,0.645," 10 100000010 001"
"10","april_fools_day",1.22,0.225,1.35," 01 100000000 000"
"11","art_gallery",2.025,0.795,-0.785," 10 010000000 000"
"12","asylum",-1.015,0.175,-0.425," 10 000001000 001"
"13","athletic_club",1.41,0.82,1.295," 10 100000000 101"
"14","attack",-1.655,1.465,1.06," 01 000100000 001"
"15","attic",1.38,0.05,-1.42," 10 000000010 000"
"16","auction",1.08,0.345,1.16," 01 010000000 000"
"17","bakery",1.42,0.02,0.145," 10 010000000 000"
"18","ballet",1.125,0.465,0.08," 11 010010000 000"
"19","ball_game",1.845,1.495,1.825," 10 110010000 000"
"20","banquet",1.395,0.52,0.375," 01 100110110 000"
"21","bar",0.555,0.565,1.78," 10 110000000 000"
"22","barber_shop",0.775,-0.35,-0.74," 10 110000000 000"
"23","barn",1.445,0.175,-0.615," 10 100000000 100"
"24","barrack",-0.285,0.725,1.27," 10 001100000 000"
"25","basement",0.52,0.03,-0.455," 10 000000010 100"
"26","basketball_game",1.945,1.345,2.545," 11 110010000 001"
"27","battle",-1.51,1.75,1.825," 01 000100000 001"
"28","battlefield",-1.445,1.245,1.015," 10 000100000 001"
"29","beach",2.79,1.595,1.455," 10 100000000 100"
"30","beauty_parlor",0.335,-0.3,0.85," 10 010000000 000"
"31","bed",2.25,0.605,-0.435," 10 000001001 101"
"32","bedroom",1.865,0.845,-0.575," 10 000000011 101"
"33","board_walk",1.17,0.27,0.715," 10 100000000 000"
"34","boarding_house",0.465,-0.035,-0.035," 10 010000000 100"
"35","bookstore",1.805,0.555,-0.615," 10 010000000 100"
"36","boot_camp",-0.77,1.205,1.41," 10 000100000 011"
"37","boutique",1.085,-0.23,0.555," 10 010000000 000"
"38","bowery",-0.77,-0.45,-0.11," 10 100000000 100"
"39","bowling_alley",0.98,0.25,1.585," 10 010000000 000"
"40","brewery",0.825,0.9,0.93," 10 010000000 000"
"41","brothel",-0.575,0.015,1.47," 10 010000001 001"
"42","bull_session",0.855,0.105,1.26," 01 100000000 000"
"43","burlesque_show",-0.065,0.03,1.975," 11 010000001 000"
