"","term","E","P","A","instcodes"
"1","adult_bookstore",-0.73,-0.24,0.75," 10 010000001 000"
"2","air_raid",-1.48,2.38,1.92," 01 000100000 001"
"3","airplane",1.57,2.13,1.82," 10 110000000 000"
"4","airport",1.35,2.27,2.16," 10 110000000 000"
"5","alley",-0.67,0.04,0.14," 10 100000000 000"
"6","ambulance",1.54,1.76,1.94," 10 000001000 001"
"7","amusement_park",2.51,0.58,2.33," 10 110000000 000"
"8","animal_shelter",2.01,0.59,0.54," 10 100001000 000"
"9","apartment",0.89,0.2,0.53," 10 100000010 001"
"10","april_fools_day",1.25,0.47,1.16," 01 100000000 000"
"11","art_gallery",2.06,0.65,-0.71," 10 010000000 000"
"12","asylum",-0.8,0.39,-0.91," 10 000001000 001"
"13","athletic_club",1.68,0.84,1.19," 10 100000000 101"
"14","attack",-1.74,1.72,1," 01 000100000 001"
"15","attic",1.6,0.06,-1.26," 10 000000010 000"
"16","auction",1.16,0.32,1.07," 01 010000000 000"
"17","bakery",1.41,0.29,0.25," 10 010000000 000"
"18","ballet",1.69,0.83,0.46," 11 010010000 000"
"19","ball_game",1.72,1.53,2," 10 110010000 000"
"20","banquet",1.44,0.41,0.2," 01 100110110 000"
"21","bar",0.11,0.58,1.92," 10 110000000 000"
"22","barber_shop",0.69,-0.15,-0.65," 10 110000000 000"
"23","barn",1.53,0.01,-0.43," 10 100000000 100"
"24","barrack",-0.33,0.87,1.53," 10 001100000 000"
"25","basement",0.68,0.21,-0.23," 10 000000010 100"
"26","basketball_game",2.26,1.3,2.36," 11 110010000 001"
"27","battle",-1.85,1.67,1.77," 01 000100000 001"
"28","battlefield",-1.7,1.48,1.18," 10 000100000 001"
"29","beach",3.14,2.05,1.56," 10 100000000 100"
"30","beauty_parlor",0.57,-0.08,0.85," 10 010000000 000"
"31","bed",2.43,0.52,-0.68," 10 000001001 101"
"32","bedroom",1.57,0.75,-0.32," 10 000000011 101"
"33","board_walk",1.15,0.25,0.48," 10 100000000 000"
"34","boarding_house",0.38,0.12,0.18," 10 010000000 100"
"35","bookstore",2.05,0.35,-0.57," 10 010000000 100"
"36","boot_camp",-0.59,1.34,1.32," 10 000100000 011"
"37","boutique",1.44,-0.02,0.74," 10 010000000 000"
"38","bowery",-0.45,-0.22,-0.11," 10 100000000 100"
"39","bowling_alley",0.95,0.37,1.54," 10 010000000 000"
"40","brewery",0.46,0.83,1," 10 010000000 000"
"41","brothel",-0.79,0.5,1.31," 10 010000001 001"
"42","bull_session",0.85,0.42,1.27," 01 100000000 000"
"43","burlesque_show",-0.71,-0.09,1.82," 11 010000001 000"
"44","bus",0.1,0.61,0.64," 10 110000000 100"
"45","bus_stop",0.14,-0.21,0.73," 10 100000000 100"
"46","business_meeting",0.42,1.18,0.04," 11 010000000 000"
"47","by_road",0.71,-0.2,-1.03," 10 100000000 100"
"48","cabaret",1.34,0.25,1.88," 10 010000000 000"
"49","cabin",1.9,0.42,-0.68," 10 100000000 101"
"50","cafe",1.08,-0.24,-0.31," 10 010000000 000"
"51","cafeteria",1.11,0.22,0.62," 10 010011000 100"
"52","campground",1.43,0.12,0.22," 10 110000010 000"
"53","campus",1.88,1.33,1.35," 10 000010000 100"
"54","car",1.67,2.21,1.56," 10 100000000 100"
"55","carnival",2.26,0.66,2.19," 11 110000000 000"
"56","casino",-0.36,1.31,1.6," 10 010000000 100"
"57","castle",1.42,1.47,-0.48," 10 100100010 100"
"58","cathedral",2.27,2.1,-1.28," 10 000000100 100"
"59","caucus",0.6,1.63,0.27," 01 000100000 000"
"60","celebration",2.59,1.42,2.23," 01 100100110 000"
"61","cellar",0.05,-0.1,-0.84," 10 000000010 100"
"62","cemetery",-0.11,0.15,-1.53," 10 100000100 100"
"63","chapel",2.89,1.54,-0.81," 10 000000100 100"
"64","charm_school",0.12,0.04,0.17," 10 010010000 000"
"65","christmas",3.46,2.71,1.38," 01 100000110 000"
"66","church",2.6,1.72,-0.65," 10 000000100 100"
"67","cinema",1.01,0.41,0.28," 10 010000000 100"
"68","circus",2.28,0.48,1.79," 11 010000010 000"
"69","classroom",0.45,0.63,0.36," 10 000010000 000"
"70","clinic",1.85,1.43,0.14," 10 000001000 001"
"71","clubhouse",1.49,0.78,1.48," 10 100000000 001"
"72","coal_mine",-0.63,0.62,-0.07," 10 010000000 000"
"73","cocktail_lounge",1.05,0.54,1.17," 10 010000001 000"
"74","coffee_break",1.81,0.34,-0.35," 01 110001000 100"
"75","coffee_shop",1.22,-0.21,-0.61," 10 010000000 100"
"76","college",2.15,2.39,1.82," 10 000010000 000"
"77","committee_meeting",0.97,1.25,0.23," 01 010111100 000"
"78","commune",-0.21,0.08,0.65," 10 000000010 000"
"79","computer_center",0.89,1.37,1.08," 10 011011000 000"
"80","concentration_camp",-2.45,2.13,-0.17," 10 001100000 001"
"81","concert",1.73,0.79,1.32," 11 110010000 000"
"82","conference",0.68,1.27,-0.16," 01 011111100 000"
"83","convent",1.63,0.45,-1.58," 10 000000100 100"
"84","cook_out",2.59,0.29,1.46," 01 100000010 000"
"85","copy_center",0.7,0.51,0.9," 10 010000000 000"
"86","cottage",1.97,0.08,-0.77," 10 100000000 101"
"87","country_club",0.81,0.71,-0.13," 10 010000000 000"
"88","courtroom",0.34,1.97,0.02," 10 001000000 000"
"89","crowd",-0.11,2.08,1.66," 01 100000000 000"
"90","cruise",2.39,0.67,0.64," 01 010000000 000"
"91","dairy",1.58,0.65,-0.61," 10 010000000 100"
"92","dance",1.85,0.32,1.74," 01 100000001 001"
"93","daycare_center",1.84,0.43,2.06," 10 010010010 001"
"94","death_row",-1.16,0.87,-0.2," 10 001000000 100"
"95","debate",0.68,1.3,1.24," 01 101110000 000"
"96","delicatessen",1.41,0,0.56," 10 010000000 000"
"97","den",1.91,0.06,-0.25," 10 000000010 100"
"98","department_store",0.92,0.82,1.43," 10 010000000 000"
"99","desert",-0.03,0.41,-1," 10 100000000 100"
"100","dime_store",0.96,-0.12,0.06," 10 010000000 000"
"101","dining_room",1.56,0.34,0.26," 10 000000010 100"
"102","disco",1.22,0.83,2.64," 10 010000001 000"
"103","discount_store",1.02,0.58,0.67," 10 010000000 000"
"104","doctor's_office",0.05,1.25,-0.39," 10 000001000 000"
"105","dormitory",1.66,0.99,2.16," 10 000010000 000"
"106","downtown",0.42,1.09,1.2," 10 100000000 000"
"107","drive_in_movie",0.79,0.15,1.25," 10 010000001 001"
"108","drugstore",1.14,0.61,-0.13," 10 010001000 000"
"109","dry_cleaners",0.86,0.07,0.15," 10 010000000 000"
"110","dude_ranch",0.59,0.53,0.92," 10 010000000 000"
"111","dungeon",-1.82,1.27,-1.07," 10 001000001 101"
"112","easter",2.4,1.71,0.04," 01 100000100 000"
"113","elementary_school",1.58,0.77,1.81," 10 000010000 000"
"114","elevator",1.04,0.73,0.25," 10 100000000 100"
"115","embassy",1.56,1.91,-0.02," 10 000100000 000"
"116","emergency_room",0.11,1.12,1.98," 10 000001000 001"
"117","encounter_group",0.97,0.89,0.06," 01 000001000 000"
"118","examination",-1.14,1.16,-0.16," 01 000011000 000"
"119","experiment",0.62,0.56,0.35," 01 000010000 000"
"120","factory",-0.05,2.4,1.16," 10 010000000 000"
"121","fairground",0.99,0.81,1.98," 10 100000000 000"
"122","family_reunion",1.57,0.53,0.61," 01 000000010 000"
"123","farm",1.92,0.76,-1.09," 10 010000000 100"
"124","fashion_show",1.05,0.34,0.13," 01 010000000 000"
"125","ferry",1.36,0.68,-0.51," 10 110000000 100"
"126","festival",1.8,1.42,1.84," 01 100000000 000"
"127","fight",-1.54,0.7,1.61," 01 101000000 001"
"128","finishing_school",0.58,0.43,0.17," 10 010010000 000"
"129","fire",-1.26,1.69,1.31," 01 100000000 001"
"130","fire_drill",0.67,1.1,1.73," 01 100000000 000"
"131","fire_station",1.9,1.95,1.17," 10 001000000 000"
"132","flophouse",-0.91,-0.68,-0.69," 10 010000000 100"
"133","foot_path",1.51,-0.37,-0.61," 10 100000000 100"
"134","football_stadium",1.65,1.84,2.15," 10 010010000 000"
"135","fortress",0.67,2.14,0.49," 10 001100000 000"
"136","fraternity_house",0.67,0.85,2.43," 10 000010000 000"
"137","freighter",0.27,1.09,0.4," 10 010000000 000"
"138","funeral",-1.08,-0.1,-1.52," 01 000000100 000"
"139","funeral_home",-0.77,0.2,-1.56," 10 010000000 000"
"140","garden",2.52,0.6,-0.12," 10 100000000 100"
"141","gas_station",0.75,0.43,0.43," 10 010000000 000"
"142","gay_bar",-0.8,-0.28,0.97," 10 010000001 001"
"143","ghetto",-1.41,-0.21,0.67," 10 100000000 100"
"144","ghost_town",0.04,-0.2,-1.53," 10 100000000 100"
"145","golf_course",1.19,0.38,0.61," 10 010000000 000"
"146","gourmet_store",1.12,0.19,0.1," 10 010000000 000"
"147","graduation",1.95,0.89,0.6," 01 100010000 010"
"148","graveyard",-0.53,0.31,-1.81," 10 100000100 100"
"149","greasy_spoon",-0.93,-0.52,0.29," 10 010000000 000"
"150","grocery",1.62,0.62,0.83," 10 110000000 100"
"151","gymnasium",1.59,1.13,2.22," 10 010010000 101"
"152","hamburger_stand",0.94,-0.03,1.74," 10 010000000 000"
"153","hangout",0.33,0.96,1.65," 10 100000000 000"
"154","hayride",1.91,0.31,0.84," 01 100000000 000"
"155","health_food_store",1.16,0.24,0.74," 10 010000000 000"
"156","heaven",3.64,2.66,-0.13," 01 000000100 000"
"157","hell",-2.64,2.39,0.47," 01 000000100 001"
"158","hideout",0.3,0.36,0.51," 10 100000000 100"
"159","high_school",1.5,1.26,1.87," 10 000010000 000"
"160","highway",0.48,1.22,1.9," 10 100000000 100"
"161","holiday",2.99,1.3,1.41," 01 100000010 000"
"162","home",3.28,2.13,-0.26," 10 000000010 101"
"163","hospital",1.57,1.91,-0.61," 10 000001000 001"
"164","hostel",0.49,-0.09,0.53," 10 010000000 000"
"165","hotel",0.74,0.63,0.47," 10 010000000 000"
"166","house",2.31,1.12,0.07," 10 100000010 000"
"167","infirmary",0.68,1.01,0.31," 10 000011000 001"
"168","interrogation",-0.62,1.43,0.68," 01 001000000 000"
"169","interview",0.61,0.55,0.27," 01 011011100 000"
"170","jail",-1.32,1.3,-0.15," 10 001000000 000"
"171","journey",2.02,1.27,1.67," 01 100000000 100"
"172","judge's_chamber",0.79,1.89,-1.22," 10 001000000 000"
"173","junior_college",0.87,-0.11,0.91," 10 000010000 000"
"174","junkyard",-0.83,-0.42,-0.25," 10 010000000 100"
"175","juvenile_court",-0.53,1.36,0.06," 10 001000000 000"
"176","kindergarten",1.91,0.43,1.99," 10 000010000 000"
"177","kitchen",2.27,0.97,0.09," 10 000000010 100"
"178","laboratory",0.96,1.29,0.08," 10 010011000 100"
"179","lane",1,-0.2,-0.48," 10 100000000 100"
"180","laundromat",-0.04,-0.43,0.41," 10 010000000 100"
"181","lawyers_office",0.56,1.47,-0.31," 10 001000000 000"
"182","lecture",0.48,0.94,-0.18," 01 000010000 000"
"183","legislature",0.85,2.26,0.09," 10 000100000 000"
"184","lesson",1.09,1.22,-0.29," 01 100010000 000"
"185","library",2.09,1.54,-1.64," 10 100010000 100"
"186","living_room",1.6,0.24,-0.13," 10 000000010 100"
"187","locker_room",0.02,0.54,1.17," 10 100010000 000"
"188","lovers_lane",1.11,0.59,0.93," 10 000000001 001"
"189","lumberyard",0.76,0.9,0.62," 10 010000000 000"
"190","luncheon",0.65,0.1,-0.07," 01 110110000 000"
"191","luncheonette",0.65,-0.39,0.65," 10 010000000 000"
"192","machine_shop",0.46,0.69,0.68," 10 010000000 100"
"193","mall",0.91,1.09,1.42," 10 110000010 000"
"194","mansion",0.91,1.93,-0.78," 10 000000010 000"
"195","market",0.88,0.75,0.84," 11 010000000 000"
"196","marriage_counselor's_office",1.02,0.83,0.22," 11 000000101 100"
"197","mass",1.35,1.24,-0.94," 01 000000100 000"
"198","massage_parlor",-0.53,0.36,1.03," 10 010000001 001"
"199","maternity_ward",2.32,0.77,0.92," 10 000001010 000"
"200","maternity_ward",1.9,0.63,0.53," 10 000001010 000"
"201","mealtime",2.23,0.6,0.18," 01 100000010 100"
"202","memorial_service",0.35,0.62,-1.32," 01 100000100 000"
"203","military_school",0.13,1.8,0.3," 10 000010000 000"
"204","mob",-1.23,1.86,2.01," 01 100000000 001"
"205","mobile_home",-0.54,-0.48,-0.05," 10 000000010 100"
"206","monastery",1.23,1.21,-1.6," 10 000000100 100"
"207","morgue",-1.01,-0.05,-1.85," 10 001001000 000"
"208","mortuary",-0.95,0.54,-1.66," 10 010000100 000"
"209","motel",1.09,0.06,0.08," 10 010000010 100"
"210","movie",1.26,0.59,0.76," 11 010000000 100"
"211","museum",1.79,0.41,-1.21," 10 100010000 100"
"212","music_lesson",1.34,0.34,0.18," 01 010010000 000"
"213","new_year's_eve",1.91,1.18,2.35," 01 100000000 000"
"214","news_stand",0.9,0.76,0.96," 10 010000000 000"
"215","nightclub",0.85,0.56,1.9," 10 010000001 000"
"216","nursery_school",1.69,-0.01,2.4," 10 000010000 001"
"217","nursing_home",0.42,0.22,-2.03," 10 010001000 101"
"218","office",0.92,1.13,0.28," 10 011011100 100"
"219","opera",0.86,0.52,-0.19," 11 010010000 000"
"220","orgy",-1.7,-0.01,1.57," 01 000000001 001"
"221","outdoors",3.11,2.45,0.03," 10 100000000 100"
"222","packing_plant",0.07,0.19,0.83," 10 010000000 000"
