"","term","E","P","A","instcodes"
"1","adult_bookstore",-0.48,-0.19,0.91," 10 010000001 000"
"2","air_raid",-2.08,2.17,2.28," 01 000100000 001"
"3","airplane",1.61,1.66,1.58," 10 110000000 000"
"4","airport",0.92,1.81,2.11," 10 110000000 000"
"5","alley",-0.71,-0.26,-0.01," 10 100000000 000"
"6","ambulance",0.62,1.4,2.08," 10 000001000 001"
"7","amusement_park",1.44,0.57,2.06," 10 110000000 000"
"8","animal_shelter",1.1,0.26,1.14," 10 100001000 000"
"9","apartment",1.22,0.34,0.76," 10 100000010 001"
"10","april_fools_day",1.19,-0.02,1.54," 01 100000000 000"
"11","art_gallery",1.99,0.94,-0.86," 10 010000000 000"
"12","asylum",-1.23,-0.04,0.06," 10 000001000 001"
"13","athletic_club",1.14,0.8,1.4," 10 100000000 101"
"14","attack",-1.57,1.21,1.12," 01 000100000 001"
"15","attic",1.16,0.04,-1.58," 10 000000010 000"
"16","auction",1,0.37,1.25," 01 010000000 000"
"17","bakery",1.43,-0.25,0.04," 10 010000000 000"
"18","ballet",0.56,0.1,-0.3," 11 010010000 000"
"19","ball_game",1.97,1.46,1.65," 10 110010000 000"
"20","banquet",1.35,0.63,0.55," 01 100110110 000"
"21","bar",1,0.55,1.64," 10 110000000 000"
"22","barber_shop",0.86,-0.55,-0.83," 10 110000000 000"
"23","barn",1.36,0.34,-0.8," 10 100000000 100"
"24","barrack",-0.24,0.58,1.01," 10 001100000 000"
"25","basement",0.36,-0.15,-0.68," 10 000000010 100"
"26","basketball_game",1.63,1.39,2.73," 11 110010000 001"
"27","battle",-1.17,1.83,1.88," 01 000100000 001"
"28","battlefield",-1.19,1.01,0.85," 10 000100000 001"
"29","beach",2.44,1.14,1.35," 10 100000000 100"
"30","beauty_parlor",0.1,-0.52,0.85," 10 010000000 000"
"31","bed",2.07,0.69,-0.19," 10 000001001 101"
"32","bedroom",2.16,0.94,-0.83," 10 000000011 101"
"33","board_walk",1.19,0.29,0.95," 10 100000000 000"
"34","boarding_house",0.55,-0.19,-0.25," 10 010000000 100"
"35","bookstore",1.56,0.76,-0.66," 10 010000000 100"
"36","boot_camp",-0.95,1.07,1.5," 10 000100000 011"
"37","boutique",0.73,-0.44,0.37," 10 010000000 000"
"38","bowery",-1.09,-0.68,-0.11," 10 100000000 100"
"39","bowling_alley",1.01,0.13,1.63," 10 010000000 000"
"40","brewery",1.19,0.97,0.86," 10 010000000 000"
"41","brothel",-0.36,-0.47,1.63," 10 010000001 001"
"42","bull_session",0.86,-0.21,1.25," 01 100000000 000"
"43","burlesque_show",0.58,0.15,2.13," 11 010000001 000"
"44","bus",0.11,0.69,0.54," 10 110000000 100"
"45","bus_stop",0.02,-0.63,-0.16," 10 100000000 100"
"46","business_meeting",0.26,1.48,-0.44," 11 010000000 000"
"47","by_road",0.64,0.02,-0.61," 10 100000000 100"
"48","cabaret",1.47,0.32,1.97," 10 010000000 000"
"49","cabin",1.96,-0.04,-0.86," 10 100000000 101"
"50","cafe",1.11,-0.25,0.02," 10 010000000 000"
"51","cafeteria",1.06,0.04,1.16," 10 010011000 100"
"52","campground",1.57,-0.21,-0.26," 10 110000010 000"
"53","campus",1.84,1.32,1.73," 10 000010000 100"
"54","car",1.14,1.99,1.45," 10 100000000 100"
"55","carnival",1.32,0.33,2.34," 11 110000000 000"
"56","casino",0.31,1.31,2.04," 10 010000000 100"
"57","castle",1.16,1.6,-1.44," 10 100100010 100"
"58","cathedral",1.72,1.82,-1.64," 10 000000100 100"
"59","caucus",0.48,0.99,0.69," 01 000100000 000"
"60","celebration",2.45,1.56,2.16," 01 100100110 000"
"61","cellar",0.44,0.13,-1.54," 10 000000010 100"
"62","cemetery",-0.46,-0.58,-2.48," 10 100000100 100"
"63","chapel",2.17,0.99,-1.36," 10 000000100 100"
"64","charm_school",-0.46,-0.47,-0.19," 10 010010000 000"
"65","christmas",2.84,2.31,1.11," 01 100000110 000"
"66","church",1.8,1.21,-0.99," 10 000000100 100"
"67","cinema",1.36,0.18,0.18," 10 010000000 100"
"68","circus",1.5,0.41,2.06," 11 010000010 000"
"69","classroom",0.7,1.08,0.75," 10 000010000 000"
"70","clinic",1.54,1.15,0.22," 10 000001000 001"
"71","clubhouse",1.37,0.44,1.64," 10 100000000 001"
"72","coal_mine",-0.64,1.1,-0.08," 10 010000000 000"
"73","cocktail_lounge",1.18,0.23,0.85," 10 010000001 000"
"74","coffee_break",1.26,-0.09,-0.03," 01 110001000 100"
"75","coffee_shop",1.38,-0.38,-0.16," 10 010000000 100"
"76","college",1.98,1.91,1.15," 10 000010000 000"
"77","committee_meeting",0.45,0.75,-0.35," 01 010111100 000"
"78","commune",0.1,0.14,0.55," 10 000000010 000"
"79","computer_center",0.6,1.36,1," 10 011011000 000"
"80","concentration_camp",-3.4,2.08,-0.29," 10 001100000 001"
"81","concert",1.88,1.35,1.35," 11 110010000 000"
"82","conference",0.75,1.29,-0.21," 01 011111100 000"
"83","convent",0.78,0.22,-1.71," 10 000000100 100"
"84","cook_out",2.03,0.06,1.39," 01 100000010 000"
"85","copy_center",0.69,0.34,1.08," 10 010000000 000"
"86","cottage",1.68,-0.24,-0.88," 10 100000000 101"
"87","country_club",0.8,1.11,-0.88," 10 010000000 000"
"88","courtroom",0.34,2.11,-0.53," 10 001000000 000"
"89","crowd",-0.08,1.99,1.65," 01 100000000 000"
"90","cruise",1.84,0.63,0.18," 01 010000000 000"
"91","dairy",1.32,0.11,-0.44," 10 010000000 100"
"92","dance",1.41,0.38,1.86," 01 100000001 001"
"93","daycare_center",1.52,0.59,2.1," 10 010010010 001"
"94","death_row",-2.1,0.3,-1.75," 10 001000000 100"
"95","debate",1.01,0.94,1.19," 01 101110000 000"
"96","delicatessen",0.99,-0.14,1.1," 10 010000000 000"
"97","den",1.84,0.14,-0.7," 10 000000010 100"
"98","department_store",0.51,0.76,0.9," 10 010000000 000"
"99","desert",-0.03,0.89,-1.61," 10 100000000 100"
"100","dime_store",0.89,-0.29,-0.28," 10 010000000 000"
"101","dining_room",1.19,0.47,-0.12," 10 000000010 100"
"102","disco",0.7,0.71,2.85," 10 010000001 000"
"103","discount_store",0.41,0.43,0.69," 10 010000000 000"
"104","doctor's_office",0.38,1.23,-0.38," 10 000001000 000"
"105","dormitory",0.9,0.64,1.78," 10 000010000 000"
"106","downtown",0.45,1.31,1.03," 10 100000000 000"
"107","drive_in_movie",0.83,-0.38,1.26," 10 010000001 001"
"108","drugstore",1.29,0.32,-0.88," 10 010001000 000"
"109","dry_cleaners",0.55,-0.46,0.29," 10 010000000 000"
"110","dude_ranch",0.23,0.23,0.6," 10 010000000 000"
"111","dungeon",-2.16,1.2,-1.9," 10 001000001 101"
"112","easter",2.19,1.56,-0.75," 01 100000100 000"
"113","elementary_school",1.27,0.11,2.5," 10 000010000 000"
"114","elevator",0.53,0.16,0.07," 10 100000000 100"
"115","embassy",1.3,1.51,-0.44," 10 000100000 000"
"116","emergency_room",-0.29,1.42,1.85," 10 000001000 001"
"117","encounter_group",0.37,0.34,0.51," 01 000001000 000"
"118","examination",0.04,1.19,-0.24," 01 000011000 000"
"119","experiment",1.23,1.31,0.09," 01 000010000 000"
