"","term","E","P","A","instcodes"
"1","abandon",-1.73,-0.69,0.17," 01 111111110 000"
"2","abet",-0.43,1.465,-0.515," 10 001000000 010"
"3","abhor",-1.115,0.325,0.465," 01 111111110 000"
"4","abuse",-2.355,-0.655,1.06," 10 101000011 100"
"5","accept",1.595,1.305,0.445," 01 111111111 010"
"6","accommodate",1.67,0.84,0.65," 10 111111111 000"
"7","accost",-1.165,0.25,0.565," 10 101000001 001"
"8","accuse",-1.64,-0.325,0.125," 10 111111111 010"
"9","acknowledge",1.295,0.03,0.325," 10 111111110 010"
"10","acquit",0.925,0.87,-0.1," 10 001000000 010"
"11","admit",-0.17,0.86,0.735," 10 111111111 010"
"12","adopt",2.61,1.38,0.89," 10 000000010 010"
"13","adore",0.965,-0.045,0.49," 01 000000111 000"
"14","advise",1.87,0.805,-0.285," 10 011111110 000"
"15","affect",-0.48,0.255,0.895," 01 000000100 000"
"16","agree_with",1.145,0.33,0.005," 10 111111111 000"
"17","aid",1.785,1.515,0.515," 10 111111111 000"
"18","alarm",-0.655,-0.04,0.955," 01 111111111 000"
"19","amuse",2.005,1.675,1.405," 11 111111111 100"
"20","annihilate",-2.155,1.455,0.6," 10 000100000 001"
"21","annoy",-2.33,-0.685,1.09," 01 111111111 000"
"22","anoint",1.19,1.495,-0.085," 10 000100100 010"
"23","answer",1.08,0.72,0.52," 10 111111111 000"
"24","antagonize",-1.73,-0.295,1.16," 01 111111111 000"
"25","apologize_to",2.025,1.18,0.04," 10 111111111 000"
"26","appeal_to",1.115,0.345,0.79," 10 111111111 000"
"27","applaud",1.615,1.13,1.19," 10 111111111 010"
"28","appoint",0.96,1.41,0.635," 10 000100000 010"
"29","appreciate",1.73,1.2,0.72," 01 111111101 000"
"30","apprehend",-0.245,1.42,0.68," 10 001000000 001"
"31","approach",0.715,0.005,0.515," 10 111111111 010"
"32","approve",1.305,0.63,0.675," 10 000100000 010"
"33","argue_with",-0.43,0.92,0.865," 10 111111111 000"
"34","arrest",-0.775,1.64,1.045," 10 001000000 001"
"35","ask",1.085,0.17,0.32," 10 111111111 000"
"36","assail",-1.115,1.165,1.39," 10 001100110 001"
"37","assassinate",-2.055,0.36,1.19," 10 000100000 011"
"38","assist",2.19,1.415,0.31," 10 111111111 000"
