"","term","E","P","A","instcodes"
"1","abandon",-1.75,-0.39,0.01," 01 111111110 000"
"2","abet",-0.79,1.84,-1.03," 10 001000000 010"
"3","abhor",-2.1,-0.51,0.83," 01 111111110 000"
"4","abuse",-2.86,-0.6,1.48," 10 101000011 100"
"5","accept",1.96,1.47,0.17," 01 111111111 010"
"6","accommodate",1.87,1.03,0.39," 10 111111111 000"
"7","accost",-1.23,0.37,0.13," 10 101000001 001"
"8","accuse",-2.06,-0.63,0.27," 10 111111111 010"
"9","acknowledge",1.92,0.34,0.53," 10 111111110 010"
"10","acquit",1.15,1.73,0," 10 001000000 010"
"11","admit",-0.22,0.89,0.51," 10 111111111 010"
"12","adopt",2.45,1.43,1.09," 10 000000010 010"
"13","adore",0.17,0.34,0.33," 01 000000111 000"
"14","advise",1.86,1.39,-0.13," 10 011111110 000"
"15","affect",-0.44,0.05,1.05," 01 000000100 000"
"16","agree_with",1.61,0.17,0.37," 10 111111111 000"
"17","aid",2.05,1.87,0.55," 10 111111111 000"
"18","alarm",-1.03,-0.3,1.14," 01 111111111 000"
"19","amuse",1.86,1.54,1.43," 11 111111111 100"
"20","annihilate",-2.57,1.06,0.32," 10 000100000 001"
"21","annoy",-2.23,-0.25,1.43," 01 111111111 000"
"22","anoint",1.7,1.6,-0.3," 10 000100100 010"
"23","answer",1.24,1.21,0.77," 10 111111111 000"
"24","antagonize",-2.22,-0.54,1.16," 01 111111111 000"
"25","apologize_to",1.99,1.27,-0.16," 10 111111111 000"
"26","appeal_to",1.28,0.98,1.24," 10 111111111 000"
"27","applaud",1.68,1.95,1.61," 10 111111111 010"
"28","appoint",1,0.86,0.76," 10 000100000 010"
"29","appreciate",2.23,1.28,0.61," 01 111111101 000"
"30","apprehend",-0.32,1.19,0.59," 10 001000000 001"
"31","approach",0.43,0.26,0.5," 10 111111111 010"
"32","approve",0.94,0.71,0.31," 10 000100000 010"
"33","argue_with",-0.64,0.73,1.41," 10 111111111 000"
"34","arrest",-1,1.31,1.24," 10 001000000 001"
"35","ask",1.35,0.55,0.57," 10 111111111 000"
"36","assail",-0.35,0.69,1.11," 10 001100110 001"
"37","assassinate",-2.47,0.24,1.27," 10 000100000 011"
"38","assist",2.4,1.19,0.59," 10 111111111 000"
"39","assure",1.69,1.9,0.42," 10 111111111 000"
"40","astound",1.1,1.14,0.6," 01 111111111 000"
"41","attack",-2.27,0.76,0.59," 10 001100010 001"
"42","attract",1.5,1.43,1.18," 01 100000001 010"
"43","authorize",-0.37,2.07,0.26," 10 011111100 010"
"44","avenge",-1.45,1.02,1.08," 01 100100000 010"
"45","avoid",-1.6,-1.53,0.6," 01 111111110 010"
"46","baffle",-1.21,0.47,1.35," 01 111111110 000"
"47","bamboozle",-0.85,0.32,-0.68," 01 111100100 000"
"48","ban",-1.29,0.63,-0.29," 10 010100110 010"
"49","banish",-1.56,0.55,-0.12," 10 000100000 010"
"50","banter_with",-1.1,0.14,1.6," 10 110111011 000"
"51","baptize",1.83,1.18,-0.45," 10 000000100 000"
"52","barricade",-1.29,0.03,0.84," 10 000100000 010"
"53","bash",-2.29,0.33,0.78," 10 101000010 001"
"54","bathe",0.91,0.43,0.33," 10 000001011 101"
"55","bayonet",-3.51,-0.04,1.88," 10 000100000 011"
"56","beat",-2.47,0.12,1.26," 10 001100010 001"
"57","beg_from",-1.3,-1.4,-0.65," 10 110000000 000"
"58","begrudge",-2.33,0.13,0.5," 01 100100000 010"
"59","believe",1.53,0.48,-0.29," 01 111111111 000"
"60","bequeath_to",1.68,0.82,-0.6," 10 001000010 010"
"61","beseech",-0.72,0.97,0.55," 10 111111111 000"
"62","betray",-3.21,-1.33,0.01," 01 001100111 010"
"63","bewilder",-1.42,-0.51,0.65," 01 111111111 000"
"64","bewitch",-2,0.96,0.74," 01 000000101 000"
"65","bite",-2.52,-0.3,1.27," 10 100000001 001"
"66","blackmail",-2.97,-0.47,0.2," 10 011100000 010"
"67","bless",2.01,1.84,-0.44," 10 000000100 000"
"68","blind",-3.54,-1.44,0.01," 10 001001000 001"
"69","block",-1.48,0.72,1.21," 01 011100010 000"
"70","bluff",-1.27,-1.01,0.47," 01 111100010 000"
"71","bribe",-2.74,0.17,0.74," 10 011100000 110"
"72","call",0.42,0.1,0.31," 10 111111111 010"
"73","captivate",-1.06,0.86,0.09," 01 110111111 000"
"74","capture",-1.76,1.28,0.91," 10 001100000 011"
"75","carry",0.73,1.02,2.12," 10 000001010 001"
"76","censure",-0.67,1.03,0.5," 10 000100000 010"
"77","charge",-1.1,-0.12,0.3," 10 010000000 000"
"78","charm",1.51,0.9,0.23," 01 111111111 000"
"79","chase",-0.55,0.63,2.5," 10 001000001 000"
"80","cheer",1.75,1.63,1.56," 10 111111111 110"
"81","chloroform",-1.87,0.24,0.71," 10 000001000 001"
"82","choke",-3.11,0.35,0.73," 10 001000011 001"
"83","choose",1.09,0.83,1.29," 10 110100101 010"
"84","christen",2.07,2.05,-0.21," 10 000000100 000"
"85","club",-2.71,0.06,1.05," 10 001000000 001"
"86","coax",0.25,0.15,-0.15," 01 111111111 100"
"87","coddle",1.78,0.61,0.06," 11 000001011 100"
"88","coerce",-1.95,0.19,0.36," 10 111111111 000"
"89","coexist_with",0.9,-0.17,0.88," 01 000100000 010"
"90","collaborate_with",0.07,1.02,0.54," 10 011111000 010"
"91","combat",-0.38,1.03,0.73," 10 001100000 000"
"92","commend",1.82,1.35,0.57," 10 011111111 010"
"93","compensate",1.18,1.83,-0.04," 10 010100000 010"
"94","compete_with",0.26,0.38,0.17," 10 010110010 010"
"95","complain_about",-1.34,0.56,0.12," 10 111111111 010"
"96","compliment",2.3,1.33,1.24," 10 111111111 000"
"97","conceal",-1.5,-0.23,0.27," 01 101000010 010"
"98","concur_with",0.72,0.07,0.25," 10 011111111 010"
"99","condemn",-2.23,0.79,-0.37," 10 001100000 110"
"100","condole",1.69,0.76,-0.12," 01 111111110 000"
"101","confess_to",1.36,1.22,0.13," 10 011011111 000"
"102","confide_in",1.44,0.55,0.33," 10 000111111 000"
"103","confine",-1.16,0.21,0.11," 10 001101010 001"
"104","confuse",-1,-0.61,0.66," 01 111111111 100"
"105","congratulate",2.26,1.49,1.07," 10 111111111 100"
"106","console",1.92,1.48,0.15," 10 111111111 100"
"107","conspire_with",-1.63,0.09,0.31," 11 010100011 010"
"108","consult",0.91,0.26,0.07," 10 111111111 000"
"109","contemplate",0.02,0.62,0.9," 01 100111000 100"
"110","contradict",-0.77,-0.51,0.85," 10 111111111 110"
"111","control",-0.32,1.68,0.4," 01 011100010 100"
"112","convert",0.93,1.64,0.01," 01 000100100 010"
"113","convince",0.48,1.1,0.46," 01 111111111 100"
"114","correct",0.77,0.63,-0.23," 10 111111111 100"
"115","corrupt",-2.95,0.51,1.65," 01 011111111 000"
"116","cover",1.03,0.11,0.01," 10 100001011 100"
"117","cripple",-3.07,-0.88,0.7," 10 001001000 001"
"118","criticize",-2.2,0.74,0.33," 10 111111111 100"
"119","cross_examine",-0.67,0.79,0.7," 10 001000000 010"
"120","curse",-2.43,0.54,0.04," 10 111111111 100"
"121","curtsey_to",1.24,-0.21,-0.11," 10 000100110 000"
"122","cut",-2.6,-0.21,0.3," 10 001001000 101"
"123","deafen",-1.98,-0.77,1.59," 01 001001000 000"
"124","debate_with",0.81,1.26,1.11," 10 111111110 000"
"125","deceive",-3.35,-1.85,0.47," 01 111111111 000"
"126","decorate",1.37,0.85,0.88," 10 000100000 010"
"127","defame",-2.27,0.76,0.38," 10 011111110 010"
"128","defeat",0.84,1.72,1.3," 10 000100000 010"
"129","defend",1.69,2,0.78," 10 111111111 110"
"130","defy",-1.78,0.57,0.77," 10 011111110 000"
"131","delight",2.24,0.9,0.67," 01 111111111 100"
"132","denounce",-1.71,-0.99,0.24," 10 111111111 010"
"133","deny",-1.77,-1.08,0.07," 10 001100111 100"
"134","desert",-2.02,-0.85,0.42," 01 110100010 010"
"135","despise",-1.74,0.43,0.39," 01 111111111 100"
"136","destroy",-3.42,0.53,0.54," 10 010111110 010"
"137","detest",-1.09,0.5,0.5," 01 111111111 000"
"138","diagnose",0.65,1.27,-0.4," 10 000001000 000"
"139","direct",1.38,1.14,0.51," 10 011111111 000"
"140","disable",-2.5,-0.63,0.27," 10 001001000 001"
"141","disagree_with",-0.01,0.1,0.6," 10 111111111 000"
"142","disappoint",-2.93,-1.04,0.26," 01 111111111 100"
"143","discharge",0.58,1.08,0.18," 10 001101000 010"
"144","discipline",0.43,1.62,0.02," 10 011111111 100"
"145","discourage",-1.37,-0.29,0.49," 10 111111111 100"
"146","discredit",-2.25,-0.72,0.3," 10 111111111 010"
"147","discriminate_against",-2.27,0.63,0.33," 01 011111111 010"
"148","disgrace",-2.36,0.19,1.15," 01 111111111 010"
"149","disgust",-2.6,-1.08,0.5," 01 111111111 000"
"150","disinherit",-2.17,0.37,-0.62," 10 000000010 010"
"151","dismay",-1.06,0.39,0.51," 01 111111111 010"
"152","dismiss",-1.35,1.1,0.24," 10 001110000 000"
"153","disobey",-1.43,-1.19,1.1," 10 011111111 000"
"154","dispossess",-1.05,0.08,0," 10 001000010 010"
"155","disqualify",-1.75,0.85,0.37," 10 000100000 010"
"156","disregard",-2.25,-0.27,0.66," 01 111111111 010"
"157","disrobe",-2.24,-0.42,0.97," 10 000001011 001"
"158","dissuade",-0.13,0.25,-0.13," 01 111111111 000"
"159","distract",-1.54,-0.33,0.12," 10 111111111 010"
"160","disturb",-1.9,-0.65,0.59," 01 111111111 010"
"161","divorce",-1.75,-0.83,0.39," 10 000000001 010"
"162","dominate",-2.59,-0.46,1.17," 01 111111111 000"
"163","doubt",-1.08,-0.31,-0.23," 01 111111111 100"
"164","drug",-2.88,-0.73,0.94," 10 001001000 000"
"165","duel_with",-2.4,0.23,0.76," 10 000100000 011"
"166","eat_with",1.52,0.47,0.59," 10 100000011 000"
"167","educate",2.09,2.5,1.43," 10 011111111 100"
"168","eject",-0.86,0.79,0.75," 10 011111111 011"
"169","embezzle_from",-2.73,-0.09,1.13," 01 010000000 000"
"170","embrace",2.23,1.98,0.99," 10 100000011 001"
"171","employ",1.61,1.14,0.27," 10 010000000 000"
"172","emulate",0.83,1.14,0," 01 111111111 010"
"173","enchant",1.24,0.73,0.72," 01 100100011 000"
"174","endorse",0.78,0.25,0.08," 10 010100100 010"
"175","enjoy",2.17,0.68,0.65," 01 111111111 100"
"176","enslave",-2.59,1.44,0.56," 10 000100000 001"
"177","entertain",1.94,1.56,1.47," 01 110110011 100"
