"","term","E","P","A","instcodes"
"1","abandon",-1.71,-0.99,0.33," 01 111111110 000"
"2","abet",-0.07,1.09,0," 10 001000000 010"
"3","abhor",-0.13,1.16,0.1," 01 111111110 000"
"4","abuse",-1.85,-0.71,0.64," 10 101000011 100"
"5","accept",1.23,1.14,0.72," 01 111111111 010"
"6","accommodate",1.47,0.65,0.91," 10 111111111 000"
"7","accost",-1.1,0.13,1," 10 101000001 001"
"8","accuse",-1.22,-0.02,-0.02," 10 111111111 010"
"9","acknowledge",0.67,-0.28,0.12," 10 111111110 010"
"10","acquit",0.7,0.01,-0.2," 10 001000000 010"
"11","admit",-0.12,0.83,0.96," 10 111111111 010"
"12","adopt",2.77,1.33,0.69," 10 000000010 010"
"13","adore",1.76,-0.43,0.65," 01 000000111 000"
"14","advise",1.88,0.22,-0.44," 10 011111110 000"
"15","affect",-0.52,0.46,0.74," 01 000000100 000"
"16","agree_with",0.68,0.49,-0.36," 10 111111111 000"
"17","aid",1.52,1.16,0.48," 10 111111111 000"
"18","alarm",-0.28,0.22,0.77," 01 111111111 000"
"19","amuse",2.15,1.81,1.38," 11 111111111 100"
"20","annihilate",-1.74,1.85,0.88," 10 000100000 001"
"21","annoy",-2.43,-1.12,0.75," 01 111111111 000"
"22","anoint",0.68,1.39,0.13," 10 000100100 010"
"23","answer",0.92,0.23,0.27," 10 111111111 000"
"24","antagonize",-1.24,-0.05,1.16," 01 111111111 000"
"25","apologize_to",2.06,1.09,0.24," 10 111111111 000"
"26","appeal_to",0.95,-0.29,0.34," 10 111111111 000"
"27","applaud",1.55,0.31,0.77," 10 111111111 010"
"28","appoint",0.92,1.96,0.51," 10 000100000 010"
"29","appreciate",1.23,1.12,0.83," 01 111111101 000"
"30","apprehend",-0.17,1.65,0.77," 10 001000000 001"
"31","approach",1,-0.25,0.53," 10 111111111 010"
"32","approve",1.67,0.55,1.04," 10 000100000 010"
"33","argue_with",-0.22,1.11,0.32," 10 111111111 000"
"34","arrest",-0.55,1.97,0.85," 10 001000000 001"
"35","ask",0.82,-0.21,0.07," 10 111111111 000"
"36","assail",-1.88,1.64,1.67," 10 001100110 001"
"37","assassinate",-1.64,0.48,1.11," 10 000100000 011"
"38","assist",1.98,1.64,0.03," 10 111111111 000"
"39","assure",1.16,1.71,0.57," 10 111111111 000"
"40","astound",1.63,0.86,1.42," 01 111111111 000"
"41","attack",-3.26,0.33,1.06," 10 001100010 001"
"42","attract",1.26,0.66,0.42," 01 100000001 010"
"43","authorize",-0.22,1.66,0.43," 10 011111100 010"
"44","avenge",-0.84,0.6,0.98," 01 100100000 010"
"45","avoid",-0.49,-0.53,0.1," 01 111111110 010"
"46","baffle",-0.03,1.05,1.43," 01 111111110 000"
"47","bamboozle",-2.28,-0.49,-0.74," 01 111100100 000"
"48","ban",-1.11,1.08,0.56," 10 010100110 010"
"49","banish",-1.93,1.23,1.19," 10 000100000 010"
"50","banter_with",0.19,0.51,2.38," 10 110111011 000"
"51","baptize",2.12,1.95,1.24," 10 000000100 000"
"52","barricade",-0.97,0.4,1.18," 10 000100000 010"
"53","bash",-1.8,-0.63,1.3," 10 101000010 001"
"54","bathe",1.73,0.6,0.32," 10 000001011 101"
"55","bayonet",-1.48,1.51,1.79," 10 000100000 011"
"56","beat",0.14,1.44,1.52," 10 001100010 001"
"57","beg_from",-1.17,-0.82,-0.2," 10 110000000 000"
"58","begrudge",-1.04,-0.38,0.58," 01 100100000 010"
"59","believe",0.65,0.41,-0.14," 01 111111111 000"
"60","bequeath_to",1.29,1.39,1.06," 10 001000010 010"
"61","beseech",0.32,-0.06,1.02," 10 111111111 000"
"62","betray",-2.79,-0.76,0.28," 01 001100111 010"
"63","bewilder",-0.59,1.1,0.4," 01 111111111 000"
"64","bewitch",-2.71,0.1,0.24," 01 000000101 000"
"65","bite",-2.46,0.06,1.36," 10 100000001 001"
"66","blackmail",-3.06,1.44,0.41," 10 011100000 010"
"67","bless",1.34,1.02,0.43," 10 000000100 000"
"68","blind",-2.65,-0.26,0.11," 10 001001000 001"
"69","block",-0.68,0.84,0.32," 01 011100010 000"
"70","bluff",-1.01,-0.19,-0.3," 01 111100010 000"
"71","bribe",-2.15,0.51,0.64," 10 011100000 110"
"72","call",0.23,0.82,0.12," 10 111111111 010"
"73","captivate",-2.07,1.18,-0.3," 01 110111111 000"
"74","capture",-1.32,1.7,1.34," 10 001100000 011"
"75","carry",1.14,1.27,0.9," 10 000001010 001"
"76","censure",0.97,1.37,0.83," 10 000100000 010"
"77","charge",-2.07,0.89,-0.34," 10 010000000 000"
"78","charm",1.59,0.24,0.9," 01 111111111 000"
"79","chase",-0.24,0.48,1.98," 10 001000001 000"
"80","cheer",1.35,0.29,1.53," 10 111111111 110"
"81","chloroform",-0.31,0.98,1.09," 10 000001000 001"
"82","choke",-2.15,0.35,0.5," 10 001000011 001"
"83","choose",-0.04,1.19,0.25," 10 110100101 010"
"84","christen",1.3,0.52,-0.08," 10 000000100 000"
"85","club",-1.3,0.6,0.89," 10 001000000 001"
"86","coax",0.65,0.37,0.72," 01 111111111 100"
"87","coddle",1.59,0.68,0.81," 11 000001011 100"
"88","coerce",0.27,0.78,0.04," 10 111111111 000"
"89","coexist_with",0.52,-0.41,0.52," 01 000100000 010"
"90","collaborate_with",-0.26,-0.7,0.14," 10 011111000 010"
"91","combat",-0.8,1.1,1.37," 10 001100000 000"
"92","commend",0.84,1.22,0.04," 10 011111111 010"
"93","compensate",1.38,0.52,0.03," 10 010100000 010"
"94","compete_with",1.18,1.14,1.57," 10 010110010 010"
"95","complain_about",-0.49,0.38,0.65," 10 111111111 010"
"96","compliment",1.74,1.31,0.08," 10 111111111 000"
"97","conceal",0.13,1.11,0.81," 01 101000010 010"
"98","concur_with",-0.21,0.32,0," 10 011111111 010"
"99","condemn",-1.66,0.49,0.07," 10 001100000 110"
"100","condole",0.73,0.94,0.31," 01 111111110 000"
"101","confess_to",1.68,1.33,0.01," 10 011011111 000"
"102","confide_in",1.7,1.77,1.04," 10 000111111 000"
"103","confine",-1.07,0.87,-0.05," 10 001101010 001"
"104","confuse",-1.32,0.5,0.89," 01 111111111 100"
"105","congratulate",1.47,0.29,0.52," 10 111111111 100"
"106","console",1.01,0.04,0.04," 10 111111111 100"
"107","conspire_with",-0.51,0.64,0.6," 11 010100011 010"
"108","consult",1.05,0.85,-0.12," 10 111111111 000"
"109","contemplate",0.41,0,-0.74," 01 100111000 100"
