"","term","E","P","A","instcodes"
"1","abbot",2.03,1.41,-0.78," 10 000000100 000"
"2","abortionist",-1.48,-0.015,0.145," 11 000001001 011"
"3","accomplice",-0.05,0.205,1.185," 11 001000000 000"
"4","acquaintance",1.605,0.07,0.2," 11 100000000 000"
"5","adolescent",0.35,-0.335,2.255," 11 100000010 000"
"6","adult",1.64,0.865,-0.265," 11 100000010 000"
"7","agent",0.53,0.34,0.29," 11 010100000 000"
"8","aggressor",-1.845,1.395,0.955," 11 100000000 000"
"9","agnostic",-0.535,-0.95,1.275," 11 000000100 000"
"10","airman",0.66,1.235,1.625," 10 000100000 000"
"11","alcoholic",-0.925,-1.525,-0.91," 11 100001000 000"
"12","alderman",1.045,0.57,-1.08," 11 000100000 000"
"13","ally",1.26,1.075,1.515," 11 100100000 000"
"14","amateur",0.955,-0.585,1.145," 11 100000000 000"
"15","ambassador",0.985,2.64,-0.05," 11 000100000 000"
"16","american",1.515,1.68,1.44," 11 100100000 000"
"17","anarchist",0.04,0.865,1.045," 11 000100000 000"
"18","angel",3.185,2.135,-0.18," 11 100000100 000"
"19","anglican",0.84,0.07,-0.28," 11 000000100 000"
"20","announcer",0.85,0.53,0.18," 11 010000000 000"
"21","antagonist",-1.575,0.805,1.6," 11 100000000 000"
"22","antiquarian",1.245,-0.73,-1.055," 11 100000000 000"
"23","apprentice",0.995,-0.745,1.68," 11 010000000 000"
"24","archbishop",2.01,1.675,-1.555," 10 000000100 000"
"25","aristocrat",-0.3,1.085,-0.015," 11 000100000 000"
"26","army_chaplain",0.66,0.6,-0.77," 11 000100100 000"
"27","artist",1.46,0.725,0.505," 11 110010000 000"
"28","assassin",-2.065,0.485,1.31," 11 001100000 001"
"29","assistant",1.15,-0.725,1.425," 11 110001000 000"
"30","astrologer",0.475,-0.265,-0.62," 11 100000100 000"
"31","atheist",1.215,0.63,-0.39," 11 000000100 000"
"32","athlete",0.805,2.475,3.01," 11 010010000 001"
"33","attendant",1.475,-0.045,0.255," 11 010001000 001"
"34","author",1.2,0.495,0.2," 11 010010000 000"
"35","autocrat",-0.16,1.275,0.42," 11 000100000 000"
"36","avenger",-0.31,1.25,1.375," 11 100100000 000"
"37","baby",2.69,-2.05,1.525," 11 100001010 001"
"38","bachelor",0.99,0.67,0.905," 10 000000011 000"
"39","backer",-0.32,0.705,-0.4," 11 110100000 000"
"40","bailiff",-0.685,1.575,-0.2," 10 001000000 001"
"41","bandit",-1.585,1.305,1.65," 11 001000000 000"
"42","barbarian",-1.755,2.025,1.32," 11 100100000 000"
"43","bard",0.24,0.45,0.1," 11 100010000 000"
"44","barman",1.155,0.365,0.315," 11 010000000 000"
"45","baron",0.41,1.365,-0.55," 10 000100000 000"
"46","baroness",0.85,0.65,-0.035," 01 000100000 000"
"47","batsman",0.84,0.42,1.625," 11 100000000 000"
"48","beadle",-0.035,-0.88,-0.58," 11 000000100 000"
"49","beggar",0.74,-1.405,-1.555," 11 100000000 000"
"50","benefactor",0.97,0.43,-0.035," 11 010100000 000"
"51","bigot",-2.09,0.16,0.37," 11 100000000 000"
"52","biographer",0.535,0.265,-0.435," 11 000010000 000"
"53","bishop",2.475,2.21,-1.43," 10 000000100 000"
"54","blabbermouth",-1.86,-1.515,1.465," 11 100000000 000"
"55","blackguard",-1.47,0.52,0.835," 11 100000000 000"
"56","blasphemer",-1.81,-0.225,0.55," 11 000000100 000"
"57","blessed_virgin",3.04,1.84,-0.05," 01 000000100 000"
"58","blood_donor",2.75,0.755,0.00499999999999999," 11 000001000 001"
"59","boarder",0.505,-0.055,0.605," 11 010000000 000"
"60","bomber",-1.54,1.365,1.09," 11 000100000 001"
"61","booby",-0.23,0.495,0.215," 11 001000000 001"
"62","boor",-0.745,-0.835,-0.145," 11 100000000 000"
"63","bore",-2.24,-1.245,-0.64," 11 100000000 000"
"64","boss",0.305,1.76,-0.535," 11 010000000 000"
"65","boy",0.545,0.52,2.635," 10 100000010 000"
"66","braggard",-1.43,-0.705,0.235," 11 100000000 000"
"67","brat",-1.67,-0.885,2.81," 11 100000010 000"
"68","bride",2.725,-0.415,1.455," 01 000000010 001"
"69","bridegroom",1.89,0.32,1.27," 10 000000010 001"
"70","bridesmaid",2.265,-0.32,1.575," 01 000000010 000"
"71","brigadier",-0.36,1.74,-0.27," 11 000100000 000"
"72","brigand",-1.925,0.43,0.88," 11 001000000 000"
"73","brit",-1.25,0.065,0.005," 11 000100000 000"
"74","british_soldier",-1.025,0.55,1.085," 11 000100000 001"
"75","brother",1.445,0.965,1.52," 10 000000010 000"
"76","brute",-1.56,1.065,0.85," 10 100000000 001"
"77","bus_driver",1.06,-0.16,-0.145," 11 010000000 000"
"78","bystander",-0.22,-0.36,-0.07," 11 100000000 000"
"79","caddie",1.035,-0.295,0.65," 11 010000000 000"
"80","cadet",0.05,0.16,1.845," 11 000010000 000"
"81","caller",0.77,0.14,0.47," 11 100000000 000"
"82","candidate",0.6,0.355,0.465," 11 000100000 000"
"83","capitalist",-0.345,0.89,-0.375," 11 010000000 000"
"84","captain",0.325,1.89,0.125," 11 000100000 000"
"85","captive",-0.36,-1.235,0.275," 11 001100000 001"
"86","cardinal",2.31,2.23,-1.535," 11 000000100 000"
"87","caretaker",1.215,-0.28,-1," 11 010000000 000"
"88","catholic",2.505,1.175,0.835," 11 000000100 000"
"89","censor",-0.32,0.07,0.09," 11 000100000 000"
"90","chairman",0.635,1.85,-0.625," 11 011100000 000"
"91","chairwoman",0.51,0.685,0.295," 01 011110000 000"
"92","champion",0.92,1.965,1.985," 11 100010000 001"
"93","chancellor",-0.365,2.35,-0.965," 11 000110000 000"
"94","chaperone",0.565,-0.095,-0.875," 11 000000010 000"
"95","chaplain",1.655,0.365,-0.375," 11 000000100 000"
"96","chauffeur",0.91,-0.905,-0.565," 11 010100000 000"
"97","cheat",-2.395,-1.55,0.84," 11 110000000 000"
"98","chemist",1.525,0.32,-0.27," 11 010010000 000"
"99","chief",0.585,2.525,-0.08," 11 000100000 000"
"100","child",1.65,-1.255,2.43," 11 100000010 000"
"101","christ",2.805,3.135,0.57," 11 000000100 000"
"102","christian",2.16,0.675,0.015," 11 000000100 010"
"103","citizen",0.95,0.185,0.39," 11 000100000 000"
"104","clergyman",1.89,0.85,-0.9," 11 000000100 000"
"105","clown",1.755,0.12,1.67," 11 100000000 000"
"106","collaborator",-1.025,-0.335,-0.05," 11 000100000 000"
"107","commander",-0.265,1.715,0.655," 11 000100000 000"
"108","commando",0.295,2.51,2.115," 11 000100000 001"
"109","commissioner",0.33,2.13,-0.24," 11 000100000 000"
"110","communist",-0.425,0.445,0.78," 11 000100000 000"
"111","companion",2.315,1.385,2.08," 11 100000000 000"
"112","comrade",2.225,1.295,1.66," 11 100100000 000"
"113","confederate",0.09,0.685,0.715," 11 011100000 000"
"114","conqueror",-1.115,2.505,0.685," 11 000100000 001"
"115","conscript",0.53,-0.535,0.73," 11 000100000 001"
"116","conservative",0.605,1.35,-0.065," 11 000100000 000"
"117","conspirator",-1.43,0.545,0.875," 11 011100000 000"
"118","constable",-0.5,0.855,0.36," 11 001000000 001"
"119","consumer",0.76,0.095,0.435," 11 010000000 000"
"120","convict",-1.645,0.28,0.915," 11 001000000 001"
"121","coroner",0.67,0.97,-0.53," 11 001001000 000"
"122","councillor",1.285,1.005,-0.075," 11 001100000 000"
"123","count",0.78,1.155,-0.105," 10 000100000 000"
"124","countess",0.855,0.69,-0.085," 01 000100000 000"
"125","coward",-0.895,-1.62,-0.355," 11 100000000 000"
"126","crank",-1.02,0.18,0.115," 11 100000000 000"
"127","creditor",0.155,0.535,-0.585," 11 010000000 000"
"128","cripple",0.825,-1.17,-1.375," 11 100001000 000"
"129","critic",-1.045,1.035,0.48," 11 100110000 000"
"130","culprit",-0.92,-0.48,1.83," 11 001000000 010"
"131","cumann_ban_member",0.56,1.125,1.58," 11 000100000 000"
"132","custodian",0.27,0.435,-0.495," 11 010000000 000"
"133","customer",1.18,-0.475,0.02," 11 010000000 000"
"134","customs_officer",0.135,1.2,-0.205," 11 001000000 000"
"135","cynic",-1.155,-0.735,0.07," 11 100110000 000"
"136","daughter",1.96,-0.775,2.355," 01 000000010 000"
"137","deacon",0.74,0.055,-0.195," 11 000000100 000"
"138","dean",0.925,1.805,-1.19," 11 000010000 000"
"139","debtor",-0.575,-0.185,-0.075," 11 010000000 000"
"140","decoy",-0.705,0.28,0.28," 11 001100000 000"
"141","defendant",0.85,0.16,0.13," 11 001000000 000"
"142","degenerate",-1.29,-0.92,0.425," 11 100001001 001"
"143","delegate",1.12,0.805,0.14," 11 000100000 000"
"144","delinquent",-0.83,-0.855,2.35," 11 001000000 000"
"145","demonstrator",0.41,0.29,2.575," 11 000100000 001"
"146","desperado",-1.355,1.91,1.955," 11 001000000 001"
"147","detective",0.305,1.125,0.675," 11 001000000 001"
"148","devil",-2.745,0.87,0.63," 11 100000100 000"
"149","dictator",-1.015,1.765,0.775," 11 000100000 000"
"150","dignitary",0.14,1.655,-0.745," 11 000110100 000"
"151","diplomat",0.55,1.375,0.275," 11 000100000 000"
"152","director",0.63,2.525,-0.075," 11 010000000 000"
"153","disciple",2.39,1.055,-0.18," 11 000110100 000"
"154","disciplinarian",-0.855,0.505,-1.07," 11 000010110 001"
"155","doctor",2.185,2.08,-0.32," 11 000001000 101"
"156","drug_addict",-1.325,-1.17,0.115," 11 001001000 000"
"157","duchess",0.54,-0.205,-1.05," 01 000100000 000"
"158","duke",0.535,0.01,-0.835," 10 000100000 000"
"159","dummy",1.09,-1.51,-0.645," 11 100000000 000"
"160","dwarf",1.195,-0.615,0.145," 11 100001000 000"
"161","earl",0.765,1.12,-0.44," 10 000100000 000"
"162","electrician",1.065,1.16,0.53," 11 010000000 000"
"163","elf",1.155,-1.195,0.24," 11 100000000 000"
"164","emigrant",1.56,-0.41,0.525," 11 000100000 000"
"165","employer",1.2,1.92,-0.06," 11 010000000 000"
"166","enemy",-2.005,0.605,0.25," 11 100100000 001"
"167","englishman",-0.5,-0.345,-0.035," 11 000100000 000"
"168","entertainer",2.11,1.18,2.085," 11 110000000 000"
"169","envoy",0.495,0.685,0.12," 11 000100000 000"
"170","escort",1.525,1.195,1.105," 11 100100001 001"
"171","evangelist",1.68,0.895,-0.285," 11 000000100 000"
"172","executioner",-1.82,1.325,0.8," 11 001000000 001"
"173","exile",-0.185,-0.255,-0.075," 11 000100000 000"
"174","exorcist",-0.63,2.08,0.215," 10 000000100 000"
"175","expert",1.205,2.22,0.19," 11 011111000 000"
"176","eyewitness",0.87,0.525,-0.02," 11 001000000 000"
"177","fairy",2.07,0.3,1.05," 11 100000000 000"
