"","term","E","P","A","instcodes"
"1","abbot",1.36,0.5,-0.49," 10 000000100 000"
"2","abortionist",-2.43,-0.33,-0.17," 11 000001001 011"
"3","accomplice",-0.34,-0.04,1.39," 11 001000000 000"
"4","acquaintance",2,-0.07,0.4," 11 100000000 000"
"5","adolescent",1.06,-0.08,2.53," 11 100000010 000"
"6","adult",1.23,0.8,-0.2," 11 100000010 000"
"7","agent",0.51,0.55,0.57," 11 010100000 000"
"8","aggressor",-2.15,1.34,0.86," 11 100000000 000"
"9","agnostic",-0.26,-1.12,1.17," 11 000000100 000"
"10","airman",1.04,1.4,1.75," 10 000100000 000"
"11","alcoholic",-1.17,-1.56,-0.8," 11 100001000 000"
"12","alderman",1.41,0.73,-1.49," 11 000100000 000"
"13","ally",0.96,1.3,1.65," 11 100100000 000"
"14","amateur",1.19,-0.81,1.24," 11 100000000 000"
"15","ambassador",0.56,2.3,-0.26," 11 000100000 000"
"16","american",2,1.81,1.45," 11 100100000 000"
"17","anarchist",-0.95,0.29,0.41," 11 000100000 000"
"18","angel",3.33,2.04,-0.22," 11 100000100 000"
"19","anglican",0.72,0.35,-0.56," 11 000000100 000"
"20","announcer",1.04,0.2,0.35," 11 010000000 000"
"21","antagonist",-2.01,-0.18,1.21," 11 100000000 000"
"22","antiquarian",1.46,-0.68,-0.75," 11 100000000 000"
"23","apprentice",1,-0.87,1.71," 11 010000000 000"
"24","archbishop",1.91,1.67,-1.32," 10 000000100 000"
"25","aristocrat",-0.54,1.75,-0.35," 11 000100000 000"
"26","army_chaplain",1.02,0.42,-0.9," 11 000100100 000"
"27","artist",1.39,0.56,0.71," 11 110010000 000"
"28","assassin",-2.31,0.34,0.95," 11 001100000 001"
"29","assistant",1.55,-0.81,1.61," 11 110001000 000"
"30","astrologer",0.66,-0.13,-0.29," 11 100000100 000"
"31","atheist",1.23,0.98,-0.03," 11 000000100 000"
"32","athlete",0.63,2.14,2.8," 11 010010000 001"
"33","attendant",1.91,-0.3,-0.02," 11 010001000 001"
"34","author",1.38,0.42,0.12," 11 010010000 000"
"35","autocrat",-0.16,1.07,-0.38," 11 000100000 000"
"36","avenger",-0.72,1.57,1.09," 11 100100000 000"
"37","baby",2.49,-2.02,1.63," 11 100001010 001"
"38","bachelor",0.84,-0.01,0.78," 10 000000011 000"
"39","backer",-0.3,0.59,-0.16," 11 110100000 000"
"40","bailiff",-0.66,1.49,-0.3," 10 001000000 001"
"41","bandit",-1.63,1.05,1.47," 11 001000000 000"
"42","barbarian",-2.37,2.2,1.63," 11 100100000 000"
"43","bard",1.12,0.58,0.54," 11 100010000 000"
"44","barman",1,-0.14,0.02," 11 010000000 000"
"45","baron",0.69,1.19,-0.62," 10 000100000 000"
"46","baroness",0.71,0.84,0.06," 01 000100000 000"
"47","batsman",0.93,0.09,1.8," 11 100000000 000"
"48","beadle",-0.9,-0.06,-0.35," 11 000000100 000"
"49","beggar",0.42,-1.2,-1.56," 11 100000000 000"
"50","benefactor",1.72,0.72,-0.53," 11 010100000 000"
"51","bigot",-2.06,0.55,0.05," 11 100000000 000"
"52","biographer",0.48,0.2,-0.33," 11 000010000 000"
"53","bishop",2.01,2.11,-1.29," 10 000000100 000"
"54","blabbermouth",-2.23,-2.13,1.26," 11 100000000 000"
"55","blackguard",-1.44,0.54,0.56," 11 100000000 000"
"56","blasphemer",-1.73,0.28,0.21," 11 000000100 000"
"57","blessed_virgin",3.15,3.12,0.05," 01 000000100 000"
"58","blood_donor",2.37,-0.01,0.24," 11 000001000 001"
"59","boarder",0.44,0.01,0.69," 11 010000000 000"
"60","bomber",-1.07,1.63,0.98," 11 000100000 001"
"61","booby",-1.04,0.53,0.88," 11 001000000 001"
"62","boor",-1.52,-0.52,-0.42," 11 100000000 000"
"63","bore",-2.3,-1.06,-0.61," 11 100000000 000"
"64","boss",0.61,2.15,-0.6," 11 010000000 000"
"65","boy",0.39,0.36,2.72," 10 100000010 000"
"66","braggard",-1.63,-0.55,0.42," 11 100000000 000"
"67","brat",-2.24,-0.91,2.74," 11 100000010 000"
"68","bride",2.64,-0.2,1.21," 01 000000010 001"
"69","bridegroom",2.33,0.38,1.34," 10 000000010 001"
"70","bridesmaid",2.34,0.05,1.48," 01 000000010 000"
"71","brigadier",-0.7,1.64,0.05," 11 000100000 000"
"72","brigand",-2.21,0.36,1.18," 11 001000000 000"
"73","brit",-1.65,-0.15,-0.06," 11 000100000 000"
"74","british_soldier",-1.53,0.01,1.44," 11 000100000 001"
"75","brother",1.13,0.34,1.87," 10 000000010 000"
"76","brute",-1.77,1.55,1.16," 10 100000000 001"
"77","bus_driver",1.65,-0.33,0.06," 11 010000000 000"
"78","bystander",-0.01,-0.25,0.09," 11 100000000 000"
"79","caddie",0.99,0,0.92," 11 010000000 000"
"80","cadet",-0.3,-0.1,1.65," 11 000010000 000"
"81","caller",0.54,0.01,0.13," 11 100000000 000"
"82","candidate",0.17,0.03,0.89," 11 000100000 000"
"83","capitalist",-0.47,1.08,-0.07," 11 010000000 000"
"84","captain",0.18,1.7,-0.37," 11 000100000 000"
"85","captive",-0.52,-1.32,0.6," 11 001100000 001"
"86","cardinal",2.14,1.95,-1.6," 11 000000100 000"
"87","caretaker",1.87,-0.19,-1.09," 11 010000000 000"
"88","catholic",2.62,1.13,0.88," 11 000000100 000"
"89","censor",0.39,0.84,0.33," 11 000100000 000"
"90","chairman",1.01,1.88,0.12," 11 011100000 000"
"91","chairwoman",0.57,1.08,0.13," 01 011110000 000"
