"","term","E","P","A","instcodes"
"1","abbot",2.7,2.32,-1.07," 10 000000100 000"
"2","abortionist",-0.53,0.3,0.46," 11 000001001 011"
"3","accomplice",0.24,0.45,0.98," 11 001000000 000"
"4","acquaintance",1.21,0.21,0," 11 100000000 000"
"5","adolescent",-0.36,-0.59,1.98," 11 100000010 000"
"6","adult",2.05,0.93,-0.33," 11 100000010 000"
"7","agent",0.55,0.13,0.01," 11 010100000 000"
"8","aggressor",-1.54,1.45,1.05," 11 100000000 000"
"9","agnostic",-0.81,-0.78,1.38," 11 000000100 000"
"10","airman",0.28,1.07,1.5," 10 000100000 000"
"11","alcoholic",-0.68,-1.49,-1.02," 11 100001000 000"
"12","alderman",0.68,0.41,-0.67," 11 000100000 000"
"13","ally",1.56,0.85,1.38," 11 100100000 000"
"14","amateur",0.72,-0.36,1.05," 11 100000000 000"
"15","ambassador",1.41,2.98,0.16," 11 000100000 000"
"16","american",1.03,1.55,1.43," 11 100100000 000"
"17","anarchist",1.03,1.44,1.68," 11 000100000 000"
"18","angel",3.04,2.23,-0.14," 11 100000100 000"
"19","anglican",0.96,-0.21,0," 11 000000100 000"
"20","announcer",0.66,0.86,0.01," 11 010000000 000"
"21","antagonist",-1.14,1.79,1.99," 11 100000000 000"
"22","antiquarian",1.03,-0.78,-1.36," 11 100000000 000"
"23","apprentice",0.99,-0.62,1.65," 11 010000000 000"
"24","archbishop",2.11,1.68,-1.79," 10 000000100 000"
"25","aristocrat",-0.06,0.42,0.32," 11 000100000 000"
"26","army_chaplain",0.3,0.78,-0.64," 11 000100100 000"
"27","artist",1.53,0.89,0.3," 11 110010000 000"
"28","assassin",-1.82,0.63,1.67," 11 001100000 001"
"29","assistant",0.75,-0.64,1.24," 11 110001000 000"
"30","astrologer",0.29,-0.4,-0.95," 11 100000100 000"
"31","atheist",1.2,0.28,-0.75," 11 000000100 000"
"32","athlete",0.98,2.81,3.22," 11 010010000 001"
"33","attendant",1.04,0.21,0.53," 11 010001000 001"
"34","author",1.02,0.57,0.28," 11 010010000 000"
"35","autocrat",-0.16,1.48,1.22," 11 000100000 000"
"36","avenger",0.1,0.93,1.66," 11 100100000 000"
"37","baby",2.89,-2.08,1.42," 11 100001010 001"
"38","bachelor",1.14,1.35,1.03," 10 000000011 000"
"39","backer",-0.34,0.82,-0.64," 11 110100000 000"
"40","bailiff",-0.71,1.66,-0.1," 10 001000000 001"
"41","bandit",-1.54,1.56,1.83," 11 001000000 000"
"42","barbarian",-1.14,1.85,1.01," 11 100100000 000"
"43","bard",-0.64,0.32,-0.34," 11 100010000 000"
"44","barman",1.31,0.87,0.61," 11 010000000 000"
"45","baron",0.13,1.54,-0.48," 10 000100000 000"
"46","baroness",0.99,0.46,-0.13," 01 000100000 000"
"47","batsman",0.75,0.75,1.45," 11 100000000 000"
"48","beadle",0.83,-1.7,-0.81," 11 000000100 000"
"49","beggar",1.06,-1.61,-1.55," 11 100000000 000"
"50","benefactor",0.22,0.14,0.46," 11 010100000 000"
"51","bigot",-2.12,-0.23,0.69," 11 100000000 000"
"52","biographer",0.59,0.33,-0.54," 11 000010000 000"
"53","bishop",2.94,2.31,-1.57," 10 000000100 000"
"54","blabbermouth",-1.49,-0.9,1.67," 11 100000000 000"
"55","blackguard",-1.5,0.5,1.11," 11 100000000 000"
"56","blasphemer",-1.89,-0.73,0.89," 11 000000100 000"
"57","blessed_virgin",2.93,0.56,-0.15," 01 000000100 000"
"58","blood_donor",3.13,1.52,-0.23," 11 000001000 001"
"59","boarder",0.57,-0.12,0.52," 11 010000000 000"
"60","bomber",-2.01,1.1,1.2," 11 000100000 001"
"61","booby",0.58,0.46,-0.45," 11 001000000 001"
"62","boor",0.03,-1.15,0.13," 11 100000000 000"
"63","bore",-2.18,-1.43,-0.67," 11 100000000 000"
"64","boss",0,1.37,-0.47," 11 010000000 000"
"65","boy",0.7,0.68,2.55," 10 100000010 000"
"66","braggard",-1.23,-0.86,0.05," 11 100000000 000"
"67","brat",-1.1,-0.86,2.88," 11 100000010 000"
"68","bride",2.81,-0.63,1.7," 01 000000010 001"
"69","bridegroom",1.45,0.26,1.2," 10 000000010 001"
"70","bridesmaid",2.19,-0.69,1.67," 01 000000010 000"
"71","brigadier",-0.02,1.84,-0.59," 11 000100000 000"
"72","brigand",-1.64,0.5,0.58," 11 001000000 000"
"73","brit",-0.85,0.28,0.07," 11 000100000 000"
"74","british_soldier",-0.52,1.09,0.73," 11 000100000 001"
"75","brother",1.76,1.59,1.17," 10 000000010 000"
"76","brute",-1.35,0.58,0.54," 10 100000000 001"
"77","bus_driver",0.47,0.01,-0.35," 11 010000000 000"
"78","bystander",-0.43,-0.47,-0.23," 11 100000000 000"
"79","caddie",1.08,-0.59,0.38," 11 010000000 000"
"80","cadet",0.4,0.42,2.04," 11 000010000 000"
"81","caller",1,0.27,0.81," 11 100000000 000"
"82","candidate",1.03,0.68,0.04," 11 000100000 000"
"83","capitalist",-0.22,0.7,-0.68," 11 010000000 000"
"84","captain",0.47,2.08,0.62," 11 000100000 000"
"85","captive",-0.2,-1.15,-0.05," 11 001100000 001"
"86","cardinal",2.48,2.51,-1.47," 11 000000100 000"
"87","caretaker",0.56,-0.37,-0.91," 11 010000000 000"
"88","catholic",2.39,1.22,0.79," 11 000000100 000"
"89","censor",-1.03,-0.7,-0.15," 11 000100000 000"
"90","chairman",0.26,1.82,-1.37," 11 011100000 000"
"91","chairwoman",0.45,0.29,0.46," 01 011110000 000"
"92","champion",0.86,1.64,1.94," 11 100010000 001"
"93","chancellor",-0.24,2.45,-1.14," 11 000110000 000"
"94","chaperone",0.39,0.15,-1.46," 11 000000010 000"
"95","chaplain",1.5,0.14,0," 11 000000100 000"
"96","chauffeur",0.05,-1.15,-0.78," 11 010100000 000"
"97","cheat",-2.15,-1.46,0.38," 11 110000000 000"
"98","chemist",1.86,0.68,-0.4," 11 010010000 000"
"99","chief",0.7,2.56,-0.69," 11 000100000 000"
"100","child",2.06,-1.69,2.18," 11 100000010 000"
"101","christ",2.74,3.47,1.41," 11 000000100 000"
"102","christian",2.25,0.09,0.11," 11 000000100 010"
"103","citizen",0.93,0.61,0.28," 11 000100000 000"
"104","clergyman",1.56,0.69,-1," 11 000000100 000"
"105","clown",1.78,0.15,2.42," 11 100000000 000"
"106","collaborator",-0.84,-0.81,-0.95," 11 000100000 000"
"107","commander",0.08,1.28,0.97," 11 000100000 000"
"108","commando",0.43,2.83,2.51," 11 000100000 001"
"109","commissioner",0.77,2.38,0.2," 11 000100000 000"
"110","communist",-0.49,-0.29,0.69," 11 000100000 000"
"111","companion",1.85,1.54,2.14," 11 100000000 000"
"112","comrade",2.35,1.31,1.7," 11 100100000 000"
"113","confederate",-0.33,0.61,1.42," 11 011100000 000"
"114","conqueror",-1.34,2.84,0.88," 11 000100000 001"
"115","conscript",0.62,-0.81,0.76," 11 000100000 001"
"116","conservative",0.51,1.93,0.25," 11 000100000 000"
"117","conspirator",-1.48,0.39,1.24," 11 011100000 000"
"118","constable",0.1,1.23,0.82," 11 001000000 001"
"119","consumer",0.89,0.04,0.09," 11 010000000 000"
"120","convict",-1.45,0.42,0.73," 11 001000000 001"
"121","coroner",0.53,0.73,0.21," 11 001001000 000"
"122","councillor",0.98,0.93,-0.13," 11 001100000 000"
"123","count",0.87,1.2,0.36," 10 000100000 000"
"124","countess",0.66,0.91,0.11," 01 000100000 000"
"125","coward",-0.72,-1.63,-0.51," 11 100000000 000"
"126","crank",-0.81,0.51,0.41," 11 100000000 000"
"127","creditor",0.16,0.43,-0.17," 11 010000000 000"
"128","cripple",0.99,-1.38,-1.73," 11 100001000 000"
"129","critic",-1,1.66,-0.35," 11 100110000 000"
"130","culprit",-0.48,-0.09,1.97," 11 001000000 010"
"131","cumann_ban_member",1.27,2.24,1.83," 11 000100000 000"
"132","custodian",0.62,-0.78,-0.45," 11 010000000 000"
"133","customer",1.02,-0.48,0.08," 11 010000000 000"
"134","customs_officer",0.06,1.37,0.09," 11 001000000 000"
"135","cynic",-0.9,-0.1,0.57," 11 100110000 000"
"136","daughter",2.17,-0.94,2.41," 01 000000010 000"
"137","deacon",1.11,0.03,0.64," 11 000000100 000"
"138","dean",0.47,2.29,-1.15," 11 000010000 000"
"139","debtor",-0.6,-0.3,-0.29," 11 010000000 000"
"140","decoy",-0.5,0.1,0.06," 11 001100000 000"
"141","defendant",0.38,-0.14,-0.03," 11 001000000 000"
"142","degenerate",-1.94,-1.12,0.52," 11 100001001 001"
"143","delegate",1.02,0.68,-0.19," 11 000100000 000"
"144","delinquent",-0.49,-0.56,1.91," 11 001000000 000"
"145","demonstrator",0.03,0.13,2.45," 11 000100000 001"
"146","desperado",-0.74,2.37,2.3," 11 001000000 001"
"147","detective",0.19,1.18,0.22," 11 001000000 001"
"148","devil",-2.53,0.99,1.09," 11 100000100 000"
"149","dictator",-0.77,1.72,0.43," 11 000100000 000"
"150","dignitary",-0.38,1.36,-0.63," 11 000110100 000"
"151","diplomat",0.17,1.28,0.5," 11 000100000 000"
"152","director",0.11,2.57,-0.77," 11 010000000 000"
"153","disciple",2.41,0.79,-0.02," 11 000110100 000"
"154","disciplinarian",-0.78,-1.21,-1.36," 11 000010110 001"
"155","doctor",2.03,1.73,-0.3," 11 000001000 101"
"156","drug_addict",-0.85,-1.18,-0.31," 11 001001000 000"
"157","duchess",0.57,-0.11,-1.03," 01 000100000 000"
"158","duke",0.16,0.07,-1.02," 10 000100000 000"
"159","dummy",1.01,-1.25,-1.29," 11 100000000 000"
"160","dwarf",1.78,-0.24,0.41," 11 100001000 000"
"161","earl",0.81,0.9,-0.43," 10 000100000 000"
"162","electrician",1.05,1.46,0.82," 11 010000000 000"
"163","elf",0.65,-1.36,0.65," 11 100000000 000"
"164","emigrant",1.86,-1.29,0.81," 11 000100000 000"
"165","employer",1.13,2.21,0.36," 11 010000000 000"
"166","enemy",-2.03,0.94,0.16," 11 100100000 001"
"167","englishman",-0.21,0.27,0.46," 11 000100000 000"
"168","entertainer",2.22,1.6,2.54," 11 110000000 000"
"169","envoy",0.27,0.22,0.11," 11 000100000 000"
"170","escort",1.14,1.46,0.87," 11 100100001 001"
"171","evangelist",1.97,1.44,0.29," 11 000000100 000"
"172","executioner",-1.71,1.42,1.73," 11 001000000 001"
"173","exile",-0.39,-0.36,0.19," 11 000100000 000"
"174","exorcist",-0.66,1.8,0.3," 10 000000100 000"
"175","expert",1.25,1.98,0.27," 11 011111000 000"
"176","eyewitness",0.57,0.46,-0.09," 11 001000000 000"
"177","fairy",1.91,-0.63,1.13," 11 100000000 000"
"178","fake",-1.95,-0.37,0.07," 11 100000000 000"
"179","farmer",1.21,1.3,0.29," 11 010000000 000"
"180","fascist",-1.27,-0.67,0.86," 11 000100000 000"
"181","fatalist",-0.29,2.22,0," 11 100000000 000"
"182","father",2.54,2.32,-0.53," 10 000000010 001"
"183","felon",-1.33,-0.04,-0.34," 11 001000000 001"
"184","female",1.9,0.5,1.22," 01 100000001 000"
"185","fiance_(male)",1.29,0.06,0.79," 10 000000010 001"
"186","fiend",-1.07,0.65,1.73," 11 000001101 000"
"187","fighter",0.29,2.31,2.75," 11 100000000 001"
"188","film_star",1.39,2.18,1.7," 11 010000000 000"
"189","fool",0.35,-0.27,1.1," 11 100000000 000"
"190","fortune_teller",0.33,-0.27,-0.09," 11 010000100 000"
"191","freak",-0.34,-1.41,0.74," 11 100000000 000"
"192","freedom_fighter",0.95,1.22,2.72," 11 000100000 000"
"193","friar",2.12,-0.04,-0.58," 10 000000100 000"
"194","fugitive",-1.08,-0.36,1.04," 11 001000000 001"
"195","gambler",-0.05,0.22,1.34," 11 110000000 000"
"196","gangster",-1.72,2.26,1.83," 10 011000000 000"
"197","general",-0.21,2.89,-0.91," 11 000100000 000"
"198","ghost",0.07,0.85,-0.14," 11 000000100 000"
"199","girl",1.67,0.71,1.59," 01 100000001 000"
"200","girlfriend",3.16,0.5,1.56," 01 000000001 001"
"201","god_the_father",3.95,3.61,-0.68," 10 000000100 000"
"202","god",2.72,2.82,0.28," 11 000000100 000"
"203","governess",0.17,1.01,-0.48," 01 000000010 001"
"204","governor",0.79,0.94,-0.9," 11 000100000 000"
"205","grave_digger",-0.1,1.22,-0.83," 11 010000000 000"
"206","guard",0.28,1.2,0.13," 11 010000000 001"
"207","gunman",-1.88,0.97,1.39," 10 001000000 001"
"208","gypsy",-0.27,-0.78,-0.13," 11 100100000 000"
"209","headmaster",0.36,2.2,-1.48," 10 000010000 001"
"210","headmistress",0.35,0.69,-0.75," 01 000010000 001"
"211","heir",0.11,1.62,0.4," 11 000000010 000"
"212","heretic",-0.27,-0.36,1.38," 11 000000100 000"
"213","hero",1.47,1.82,1.34," 10 100000000 000"
"214","highwayman",-1.45,2,2.29," 10 001000000 001"
"215","hijacker",-0.92,0.97,1.44," 11 011100000 001"
"216","hobgoblin",-0.44,-0.26,1.95," 11 100000000 000"
"217","holy_spirit",3.02,3.27,0.68," 11 000000100 000"
"218","homosexual",-0.48,-0.69,1.68," 11 000000001 000"
"219","horseman",0.43,1.28,1.07," 11 100000000 000"
"220","hostage",0.55,-1.7,-0.68," 11 001100000 001"
"221","housekeeper",0.56,-0.36,-0.9," 11 010000010 000"
"222","hunger_striker",0.23,-0.66,-0.47," 11 000100000 001"
"223","hunter",-0.52,0.72,0.62," 11 100000000 000"
"224","husband",1.95,1.35,0.33," 10 000000011 001"
"225","hypocrite",-1.74,-0.69,0.33," 11 100000000 000"
"226","idealist",1.51,0.3,-0.4," 11 100000000 000"
"227","illiterate",0.08,-0.3,0.87," 11 000010000 000"
"228","imbecile",-1.05,-1.3,1.13," 11 100000000 000"
"229","imp",0.73,-0.45,0.95," 11 100000000 000"
"230","imposter",-1.05,0.26,0.86," 11 001000000 000"
"231","infant",2,-1.78,2.72," 11 000001010 001"
"232","informant",-1.46,-1.25,-0.84," 11 001100000 000"
"233","inmate",1.53,0.79,0.76," 11 001000000 001"
"234","innocent",2.54,-0.64,-0.56," 11 100000000 000"
"235","inspector",0.45,0.64,-0.3," 11 001000000 001"
"236","internee",0.35,0.69,1.34," 11 001000000 001"
"237","interpreter",0.57,1.19,0.52," 11 010100000 000"
"238","interrogator",-1.76,2.42,1.41," 11 001000000 000"
"239","intruder",-0.86,0.16,0.27," 11 101000000 000"
"240","invader",-1.77,2.09,1.67," 11 000100000 001"
"241","invalid",1.71,-0.81,-0.81," 11 000001000 001"
"242","investigator",0.37,1.08,-0.01," 11 001000000 000"
"243","irishman",2.18,2.59,2.63," 11 000100000 000"
"244","ironmonger",-0.26,0.11,-0.34," 11 010000000 000"
"245","itinerant",0.48,0.27,0.92," 11 001000000 000"
"246","jack_of_all_trades",0.48,0.79,-0.47," 11 010000000 000"
"247","jackass",-0.33,-0.72,1.7," 11 100000000 000"
"248","jailer",-0.83,0.87,-0.42," 11 001000000 001"
"249","jay_walker",-0.04,0,1.44," 11 001000000 000"
"250","jesuit",1.44,1.51,-0.67," 10 000000100 000"
"251","jew",0.23,-0.29,0.13," 11 000000100 000"
"252","joker",0.79,0.44,1.95," 11 100000000 000"
"253","journalist",0.03,1.06,1.11," 11 010100000 000"
"254","judge",0.29,2.38,-1.88," 11 001000000 000"
"255","juror",0.54,1.76,-1.23," 11 001000000 001"
"256","justice_of_the_peace",-0.14,1,-1.38," 11 001000000 000"
"257","juvenile",0.12,-0.5,2.37," 11 001000010 000"
"258","kidnapper",-1.71,1.31,1.98," 11 001000000 001"
"259","king_billy",-1.71,0.05,0.06," 10 000100000 000"
"260","king",0.92,2.57,-0.72," 10 000100000 000"
"261","knave",0.35,-0.14,1.23," 11 100000000 000"
"262","labourer",0.86,1.05,1.26," 11 010000000 000"
"263","lad",0.56,0.24,1.5," 10 100000000 000"
"264","lady",1.34,-0.88,-0.38," 01 100000000 000"
"265","lame_duck",0.81,-1.96,-1.4," 11 000100000 000"
"266","landlady",0.69,1.17,-0.47," 01 010000000 000"
"267","landlord",-0.94,0.28,-1.13," 10 010000000 000"
"268","lass",1.91,0.21,1.46," 01 100000000 000"
"269","lawyer",0.53,1.31,0.27," 11 001000000 000"
"270","layman",0.13,0.4,0.17," 11 011111100 000"
"271","lecturer",0.68,1.26,-0.5," 11 000010000 000"
"272","leprechaun",2.41,0.91,1.53," 11 100000000 000"
"273","liar",-1.91,-1.18,1.15," 11 100000000 000"
"274","lieutenant",-0.21,1,1.88," 11 000100000 000"
"275","lodger",1.41,-0.71,0.87," 11 010000000 000"
"276","look_out",0.86,0.13,1.31," 11 001000000 000"
"277","lord",1.51,2.19,-1.43," 10 000100000 000"
"278","lorry_driver",1.51,0.23,-0.43," 11 010000000 000"
"279","lover",2.1,0.77,0.88," 11 000000001 001"
"280","loyalist",-1.09,0.19,-0.17," 11 000100000 000"
"281","lunatic",-1.95,-0.71,1.07," 11 100001000 000"
"282","madman",-1.04,0.08,1.12," 10 100001000 000"
"283","madwoman",-1.48,-0.82,2.1," 01 100001000 000"
"284","magistrate",-0.11,2.2,-1.96," 11 001000000 000"
"285","maid_of_honour",1.96,-0.7,-0.27," 01 000000010 000"
"286","maid",1.27,-0.81,1.06," 01 010000000 000"
"287","maiden",1.86,-1.12,1.51," 01 100000000 000"
"288","major",-0.31,2.1,0.13," 11 000100000 000"
"289","male",1.31,1.76,1.02," 10 100000001 000"
"290","maniac",-1.56,0.57,0.55," 11 100001000 001"
"291","mannequin",-0.61,-0.93,-0.33," 11 100000000 000"
"292","marine",-0.15,0.88,1.14," 11 000100000 001"
"293","marksman",-0.44,2.09,1.52," 10 001000000 000"
"294","marshal",0.5,1.99,0.85," 11 000100000 000"
"295","martyr",1.67,0.3,-0.86," 11 000100100 000"
"296","mason",1.13,1.27,0.27," 11 010000000 000"
"297","master",0.61,0.33,-0.44," 11 000110101 000"
"298","matron",0.43,0.82,-0.91," 01 100000000 000"
"299","mayor",-0.12,1.61,-1.7," 11 000100000 000"
"300","mercenary",-1.84,0.98,1.79," 11 000100000 001"
"301","merchant",0.59,1.64,0.65," 11 010000000 000"
"302","migrant",0.49,-0.67,0.04," 11 000100000 000"
"303","milkman",1.33,-0.03,0.35," 11 010000000 000"
