"","term","E","P","A","instcodes"
"1","abandon",-2.84,0.06,0.66," 01 111111110 000"
"2","abuse",-3.03,1.21,1.88," 10 101000011 100"
"3","acclaim",1.9,0.8,0," 10 000100000 010"
"4","accommodate",2.31,0.87,0.12," 10 111111111 000"
"5","accuse",-1.73,0.97,0.85," 10 111111111 010"
"6","address",1.36,0.36,-0.15," 10 111111110 010"
"7","admire",1.87,1.09,-0.22," 01 111111111 100"
"8","admonish",-1.13,1.33,0.87," 10 011111111 000"
"9","adopt",2.58,1.17,0.46," 10 000000010 010"
"10","adore",2.42,1.15,0.5," 01 000000111 000"
"11","advise",1.79,1.83,0.13," 10 011111110 000"
"12","affront",-0.92,1.12,0.92," 01 111111111 000"
"13","aggravate",-1.97,1.13,1.29," 01 111111111 100"
"14","agitate",-1.69,1.1,1.66," 01 111111111 100"
"15","agree_with",1.04,-0.17,-0.21," 10 111111111 000"
"16","aid",2.75,1.22,0.69," 10 111111111 000"
"17","alert",1.88,1.08,1.16," 10 010101000 000"
"18","alienate",-2.24,0.71,0.53," 01 111111110 010"
"19","amaze",1.36,1.48,1.05," 01 111111111 000"
"20","amuse",2.27,0.97,1.23," 11 111111111 100"
"21","analyze",-0.03,0.97,-0.57," 10 011111110 100"
"22","anger",-1.66,1.25,1.63," 01 111111111 000"
"23","annihilate",-2.68,1.91,1.05," 10 000100000 001"
"24","annoy",-1.94,0.97,1.13," 01 111111111 000"
"25","answer",1.34,0.5,0.31," 10 111111111 000"
"26","antagonize",-1.93,1.55,1.62," 01 111111111 000"
"27","ape",-1.25,0.33,1.33," 01 100000000 010"
"28","apologize_to",2.63,1.5,-0.53," 10 111111111 000"
"29","appeal_to",2.27,1.23,0.7," 10 111111111 000"
"30","appease",1.21,0.32,-1.1," 10 011110110 000"
"31","applaud",2.19,1.34,1.53," 10 111111111 010"
"32","appoint",1.28,2.27,0.19," 10 000100000 010"
"33","appreciate",2.4,1.08,-0.2," 01 111111101 000"
"34","apprehend",-0.1,1.26,1.61," 10 001000000 001"
"35","approach",1.29,1.25,1.04," 10 111111111 010"
"36","approve_of",1.33,1.54,0.33," 01 111111111 100"
"37","argue_with",-1,0.48,1.92," 10 111111111 000"
"38","arm",-1.88,1.19,0.96," 10 001100000 110"
"39","arouse",1.1,1.65,1.55," 01 000000001 101"
"40","arrest",-0.24,2.09,1.55," 10 001000000 001"
"41","ask",1.46,0.33,0.63," 10 111111111 000"
"42","ask_about",1.3,0.1,0.17," 01 111111111 010"
"43","assail",-1.26,1.53,1.42," 10 001100110 001"
"44","assault",-2.97,2.03,1.93," 10 001000000 001"
