"","term","E","P","A","instcodes"
"1","academic",1.375,1.035,-0.42," 11 000010000 000"
"2","accomplice",-0.93,0.295,0.885," 11 001000000 000"
"3","accountant",0.685,0.605,-0.21," 11 010000000 000"
"4","accused",-1.215,-1.2,0.375," 11 001000000 000"
"5","acid_head",-1.785,-1.975,1.85," 11 100000000 000"
"6","actor",0.895,0.64,1.225," 11 010000000 000"
"7","addict",-1.825,-2.23,0.82," 11 101001000 000"
"8","adolescent",0.51,-0.96,2.335," 11 100000010 000"
"9","adult",1.04,1.565,-0.6," 11 100000010 000"
"10","adulterer",-1.925,0.5,0.89," 10 000000011 001"
"11","adulteress",-1.58,0.57,0.98," 01 000000011 001"
"12","advisor",1.64,1.39,-0.525," 11 110110000 000"
"13","african",0.36,0.015,0.71," 11 000100000 000"
"14","airline_pilot",1.305,1.685,0.355," 11 010000000 000"
"15","alcoholic",-1.835,-1.765,-0.65," 11 100001000 000"
"16","alderman",0.485,1.225,-0.42," 11 000100000 000"
"17","alumnus",0.68,0.545,-0.225," 11 000010000 000"
"18","amateur",0.555,-0.27,0.725," 11 100000000 000"
"19","anesthetist",0.89,0.85,-0.165," 11 000001000 001"
"20","applicant",0.75,-1.33,0.41," 11 010010000 000"
"21","apprentice",0.975,-0.93,0.885," 11 010000000 000"
"22","architect",0.825,0.88,0.075," 11 010000000 000"
"23","ass",-1.14,-1.32,0.95," 11 100000000 000"
"24","assailant",-2.88,2.035,1.685," 11 001000000 001"
"25","assassin",-3.125,2.24,1.44," 11 001100000 001"
"26","assistant",0.78,-0.145,0.69," 11 110001000 000"
"27","athlete",1.16,1.715,2.065," 11 010010000 001"
"28","attorney_general",0.78,2.2,-0.905," 11 001100000 000"
"29","attorney",0.915,1.73,0.73," 11 001000000 000"
"30","auctioneer",0.515,1.19,1.36," 11 010000000 000"
"31","auditor_general",0.53,1.56,-0.805," 11 000100000 000"
"32","auditor",-0.14,1.005,-0.205," 11 010000000 000"
"33","aunt",1.605,0.035,-0.77," 01 000000010 000"
"34","auntie",1.77,-0.48,-1.06," 01 000000010 000"
"35","australian",1.245,0.37,0.6," 11 000100000 000"
"36","austrian",1.135,0.3,0.38," 11 000100000 000"
"37","author",0.93,0.645,-0.265," 11 010010000 000"
"38","authority",0.5,2.18,-0.305," 11 011111100 000"
"39","auto_mechanic",0.725,0.585,0.615," 11 010000000 000"
"40","babe_(female)",1.725,-1.315,1.48," 01 100000000 000"
"41","baby",1.785,-2.005,1.63," 11 100001010 001"
"42","babysitter",1.685,0.49,0.33," 11 000000010 011"
"43","bachelor",1.2,0.74,1.05," 10 000000011 000"
"44","backbencher",0.275,-0.5,-0.61," 11 000100000 000"
"45","backer",0.875,2.12,0.425," 11 110100000 000"
"46","bailiff",-0.065,0.73,-0.41," 10 001000000 001"
"47","bailsman",0.385,0.57,-0.25," 11 001000000 000"
"48","baker",1.445,-0.04,-0.86," 11 010000000 000"
"49","bandit",-2.185,1.535,1.975," 11 001000000 000"
"50","bank_teller",0.785,-0.52,-0.2," 11 010000000 000"
"51","banker",0.325,1.455,-0.505," 11 010000000 001"
"52","barkeeper",0.93,0.48,0.18," 11 010000000 000"
"53","barmaid",0.825,-0.675,1.255," 01 010000000 000"
"54","bartender",1.145,0.93,0.38," 11 010000000 000"
"55","beauty",1.005,0.335,1.185," 01 100000000 001"
"56","beggar",-0.97,-2.275,-1.43," 11 100000000 000"
"57","beginner",0.735,-0.985,0.94," 11 100000000 000"
"58","belgian",0.66,0.345,0.26," 11 000100000 000"
"59","bellboy",0.74,-1.125,0.665," 10 010000000 000"
"60","bellhop",1.275,-0.875,1.405," 11 010000000 000"
"61","bellman",1.295,-0.37,-0.42," 10 010000000 000"
"62","big_shot",-1.23,1.22,1.56," 11 100000000 000"
"63","bigamist",-2.16,0.195,0.7," 11 001000011 011"
"64","bigot",-2.48,0.045,0.55," 11 100000000 000"
"65","bill_collector",-0.835,1.12,0.22," 11 010000000 000"
"66","bisexual",-0.645,-0.515,0.565," 11 000000001 001"
"67","bitch",-2.3,0.24,1.435," 01 100000000 000"
"68","blabbermouth",-2.035,-0.15,1.52," 11 100000000 000"
"69","black",0.91,0.13,0.655," 11 000100000 000"
"70","blacksmith",0.885,0.785,0.03," 11 010000000 000"
"71","bleeder",-1.095,-1.375,-0.33," 11 000001000 011"
"72","blind_date",0.08,-0.25,0.76," 11 000000001 001"
"73","blockhead",-1,-1.415,-0.005," 11 100000000 000"
"74","boarder",0.43,-0.64,0.685," 11 010000000 000"
"75","bodyguard",0.54,2.31,1.615," 11 001100000 001"
"76","bohemian",0.1,0.145,0.785," 11 100000000 000"
"77","bonehead",-0.84,-1.435,0.365," 11 100000000 000"
"78","boob",-0.605,-0.94,0.58," 11 100000000 000"
"79","bookie",-1.085,1.05,0.735," 11 011000000 000"
"80","bookkeeper",0.635,-0.18,-1.46," 11 010000000 000"
"81","bookworm",0.61,-1.32,-1.06," 11 000010000 000"
"82","boor",-1.125,-0.855,0.01," 11 100000000 000"
"83","bootblack",0.575,-0.765,-0.14," 11 010000000 000"
"84","boss",0.365,1.83,-0.59," 11 010000000 000"
"85","bouncer",-0.27,2.23,1.765," 10 010000000 001"
"86","boxer",0.105,2.13,2.475," 10 010000000 001"
"87","boy_scout",1.705,-0.245,1.605," 10 100000000 000"
"88","boy",0.78,-0.025,2.195," 10 100000010 000"
"89","boyfriend",1.91,1.335,1.345," 10 000000001 001"
"90","braggart",-2.075,-0.71,1.53," 11 100000000 000"
"91","brain",1.25,1.805,-0.105," 11 000010000 000"
"92","brat",-1.78,-0.93,2.645," 11 100000010 000"
"93","briton",0.92,0.355,-0.095," 11 000100000 000"
"94","broad",-0.175,0.01,1.035," 01 100000000 000"
"95","brother_in_law",1.53,0.18,0.68," 10 000000010 000"
"96","brother",1.995,1.02,1.335," 10 000000010 000"
"97","brute",-2.565,2.305,2.1," 10 100000000 001"
"98","buddy",2.82,1.095,1.14," 11 100000000 000"
"99","buffoon",-0.355,-0.795,1.035," 11 100000000 000"
"100","bulldozer_operator",0.245,1.07,0.255," 11 010000000 000"
"101","bully",-2.115,1.67,2.2," 11 100000000 001"
"102","bum",-1.145,-1.985,-1.345," 11 100000000 000"
"103","bumpkin",0.435,-0.695,-0.015," 11 100000000 000"
"104","burglar",-2.29,0.785,1.235," 11 011000000 000"
"105","bus_driver",0.91,0.325,-0.565," 11 010000000 000"
"106","busboy",0.55,-1.17,0.98," 10 010000000 000"
"107","busybody",-1.6,-0.4,0.32," 11 100000000 000"
"108","butcher",0.675,0.325,-0.16," 11 010000000 000"
"109","butterfingers",0.115,-1.235,0.51," 11 100000000 000"
"110","bystander",0.175,-0.83,-0.375," 11 100000000 000"
"111","cad",-1.455,-0.1,0.745," 10 100000000 000"
"112","call_girl",-0.68,-0.56,1.98," 01 000000001 001"
"113","captive",0.12,-2.33,-0.585," 11 001100000 001"
"114","card",0.795,0.175,0.695," 11 100000000 000"
"115","carpenter",1.315,0.455,-0.405," 11 010000000 000"
"116","cashier",0.67,-0.48,0.265," 11 010000000 000"
"117","celebrity",0.905,1.39,0.905," 11 110000000 000"
"118","center",0.425,0.595,1.08," 10 010010000 001"
"119","chambermaid",1.09,-1.42,-0.25," 01 010000000 000"
"120","champion",1.495,1.86,1.79," 11 100010000 001"
"121","chap",1.62,-0.02,-0.085," 10 100000000 000"
"122","chaperone",0.385,1.045,-0.975," 11 000000010 000"
"123","chatterbox",-0.69,-0.78,1.615," 11 100000000 000"
"124","cheerleader",0.945,-0.18,2.56," 11 010010000 000"
"125","chef",1.39,0.965,0.22," 11 010000000 000"
"126","chemist",1.185,1.07,-0.63," 11 010010000 000"
"127","chick",0.925,-0.74,1.685," 01 100000000 000"
"128","chief_elect_officer",0.385,1.58,-0.37," 11 000100000 000"
"129","chief_justice_of_the_supreme_court",1.255,2.81,-1.52," 11 001000000 000"
