"","term","E","P","A","instcodes"
"1","no_emotion",0,0,0," 10 100000000 000"
"2","abandoned",-2.64,-1.33,-0.75," 10 100000000 000"
"3","absent_minded",-1.5,-1.35,-0.62," 10 010000000 000"
"4","abusive",-3.24,-0.09,0.68," 10 010000000 000"
"5","accommodating",1.81,0.31,-0.44," 10 010000000 000"
"6","active",2.29,1.86,2.4," 10 010000000 000"
"7","adventurous",2.37,1.46,1.83," 10 010000000 000"
"8","affectionate",2.96,1.18,0.11," 10 010000000 000"
"9","afraid",-2.24,-1.93,0.31," 10 100000000 000"
"10","aggravated",-1.78,-0.38,0.28," 10 100000000 000"
"11","aggressive",0.74,1.89,1.74," 10 010000000 000"
"12","agitated",-1.93,-0.6,0.37," 10 100000000 000"
"13","agreeable",1.91,0.79,-0.15," 10 010000000 000"
"14","aimless",-1.92,-2.27,-0.81," 10 010000000 000"
"15","alert",2.06,1.78,1.31," 10 010000000 000"
"16","aloof",-0.7,-0.83,0.43," 10 010000000 000"
"17","ambitious",2.21,2.35,1.71," 10 010000000 000"
"18","amused",2.31,0.9,1.03," 10 100000000 000"
"19","amusing",2.12,1.5,1.21," 10 010000000 000"
"20","angry",-1.78,0.72,1.16," 10 100000000 000"
"21","anguished",-2.07,-1.3,-0.78," 10 100000000 000"
"22","annoyed",-1.81,0.16,0.53," 10 100010000 000"
"23","annoying",-2.21,-0.82,1.5," 10 010000000 000"
"24","antisocial",-1.85,-1.62,-1.5," 10 000100000 000"
"25","anxious",-0.03,-0.07,1.34," 10 100000000 000"
"26","apathetic",0.43,0.04,-0.39," 10 110000000 000"
"27","appreciative",2.53,1.71,0.06," 10 110000000 000"
"28","apprehensive",-1.18,-1.14,-0.18," 10 100000000 000"
"29","aroused",1.69,1.27,1.38," 10 000000000 000"
"30","arrogant",-2.21,0.15,1.06," 10 010000000 000"
"31","ashamed",-2.38,-1.91,-1," 10 100010000 000"
"32","astonished",0.53,0.21,0.56," 10 010000000 000"
"33","at_ease",2.87,0.97,-0.03," 10 100000000 000"
"34","attractive",2.17,1.66,0.97," 10 000100000 000"
"35","authoritarian",0.06,1.27,0.58," 10 010000000 000"
"36","average",0.34,-0.16,-0.13," 10 001000000 000"
"37","awe_struck",0.86,-0.07,0.59," 10 100000000 000"
"38","awkward",-1.21,-1.61,-0.25," 10 000100000 000"
"39","bad",-2.06,-0.54,1.2," 10 001000000 000"
"40","baptist",0.3,-0.03,-0.36," 10 001000000 000"
"41","belligerent",-1.65,-0.71,0.18," 10 010000000 000"
"42","betrayed",-2.94,-0.58,-0.38," 10 000100000 000"
"43","bitchy",-2.53,-0.41,1.06," 10 010000000 000"
"44","bitter",-2.17,-0.48,-0.14," 10 100010000 000"
"45","black",1.11,0.19,0.03," 10 001000000 000"
"46","blue",-1.72,-1.48,-1.31," 10 100000000 000"
"47","bold",0.04,1.44,1.11," 10 010000000 000"
"48","bored",-1.88,-1,-1.82," 10 010100000 000"
"49","boring",-2.21,-1.74,-1.88," 10 000100000 000"
"50","bossy",-1.94,-0.09,1.03," 10 010000000 000"
"51","brave",2.14,2.08,1.36," 10 010000000 000"
"52","bright",2.54,2.07,1," 10 010000000 000"
"53","broken_hearted",-2.93,-1.25,-0.61," 10 100000000 000"
"54","calm",2.06,1.5,0.19," 10 100010000 000"
"55","candid",1.05,0.38,0.71," 10 010000000 000"
"56","captivated",0.42,-0.09,0.67," 10 010100000 000"
"57","carefree",1.91,0.97,1.21," 10 010000000 000"
"58","careless",-2,-0.91,0.18," 10 010000000 000"
"59","catholic",0.65,0.25,-0.06," 10 001000000 000"
"60","cautious",1.88,1.03,-0.06," 10 010000000 000"
"61","charmed",2.06,1.48,1.1," 10 100000000 000"
"62","charming",2.06,1.47,0.75," 10 010000000 000"
"63","cheered",2.13,1.39,1.45," 10 100000000 000"
"64","cheerful",2.63,1.09,1.09," 10 110000000 000"
"65","cheerless",-1.97,-1.32,-1.16," 10 100000000 000"
"66","childish",-1.5,-1.61,0.39," 10 010000000 000"
"67","clean_cut",1.47,0.72,0.19," 10 000100000 000"
"68","clever",2.31,2.07,0.61," 10 010000000 000"
"69","cocky",-1.18,0.21,1.74," 10 010000000 000"
"70","cold",-2.11,-0.96,-0.21," 10 010000000 000"
"71","colorless",-0.92,-1,-0.67," 10 000100000 000"
"72","compassionate",2.96,1.14,-0.18," 10 110000000 000"
"73","competent",2.68,2.18,0.46," 10 010000000 000"
"74","composed",2.11,0.96,-0.37," 10 010000000 000"
"75","compulsive",-0.07,-0.04,1.61," 10 010000000 000"
"76","conceited",-2.29,-0.61,1.14," 10 010000000 000"
"77","confident",2.18,2.21,0.61," 10 010000000 000"
"78","confused",-1.11,-1.79,0.54," 10 010000000 000"
"79","conscientious",2.54,1.82,-0.18," 10 010000000 000"
"80","conservative",0.22,-0.19,-1.07," 10 011000000 000"
"81","considerate",2.74,1.07,-0.56," 10 010000000 000"
"82","contemptuous",-1.57,-0.13,0.45," 10 110000000 000"
"83","contented",1.81,1.19,0.1," 10 100010000 000"
"84","conventional",0.31,0.31,-0.46," 10 000100000 000"
"85","cooperative",2.52,1.63,0.04," 10 010000000 000"
"86","cowardly",-1.77,-2.31,-0.94," 10 010000000 000"
"87","coy",-0.44,0.38,0.65," 10 010000000 000"
"88","crafty",-0.4,1.11,0.66," 10 010000000 000"
"89","crazy",-0.17,-0.17,1.63," 10 011000000 000"
"90","creative",2.19,1.47,0.75," 10 010000000 000"
"91","critical",-0.68,0.07,0.29," 10 010000000 000"
"92","crude",-2.26,-0.59,1.38," 10 010000000 000"
"93","cruel",-3.24,-0.35,1.03," 10 010000000 000"
"94","crushed",-2.86,-2.89,-0.89," 10 100000000 000"
"95","curious",1.88,1.18,1.47," 10 010000000 000"
"96","cynical",-1.78,-0.44,0.48," 10 010000000 000"
"97","daring",1.09,1.06,2.35," 10 010000000 000"
"98","deceitful",-2.86,-0.11,0.72," 10 010000000 000"
"99","defensive",-0.68,-0.25,0.89," 10 010000000 000"
"100","defiant",-1.43,-0.17,0.96," 10 010000000 000"
