"","term","E","P","A","instcodes"
"1","abandon",-2.35,0.625,-0.09," 01 111111110 000"
"2","abuse",-3.19,1.445,0.21," 10 101000011 100"
"3","acclaim",1.26,1.15,0.58," 10 000100000 010"
"4","accommodate",1.495,0.575,0.27," 10 111111111 000"
"5","accuse",-1.62,1.01,0.52," 10 111111111 010"
"6","address",1.105,0.5,0.145," 10 111111110 010"
"7","admire",1.735,0.755,0.825," 01 111111111 100"
"8","admonish",-0.75,0.535,0.03," 10 011111111 000"
"9","adopt",2.295,1.575,0.755," 10 000000010 010"
"10","adore",2.31,1.21,1.285," 01 000000111 000"
"11","advise",1.515,0.98,-0.29," 10 011111110 000"
"12","affront",-0.005,0.705,0.24," 01 111111111 000"
"13","aggravate",-1.63,0.425,0.36," 01 111111111 100"
"14","agitate",-1.395,0.435,0.515," 01 111111111 100"
"15","agree_with",1.4,0.655,0.49," 10 111111111 000"
"16","aid",2.205,1.67,0.53," 10 111111111 000"
"17","alert",1.545,1.255,0.66," 10 010101000 000"
"18","alienate",-2.14,1.055,0.125," 01 111111110 010"
"19","amaze",1.96,1.68,1.02," 01 111111111 000"
"20","amuse",1.885,1.035,1.46," 11 111111111 100"
"21","analyze",0.375,0.82,0.125," 10 011111110 100"
"22","anger",-1.42,0.965,0.76," 01 111111111 000"
"23","annihilate",-2.175,2.12,1.005," 10 000100000 001"
"24","annoy",-1.41,0.35,0.78," 01 111111111 000"
"25","answer",1.375,0.68,0.215," 10 111111111 000"
"26","antagonize",-1.465,0.855,0.445," 01 111111111 000"
"27","ape",-1.06,0.125,0.525," 01 100000000 010"
"28","apologize_to",2.055,1.08,0.02," 10 111111111 000"
"29","appeal_to",1.52,0.485,0.76," 10 111111111 000"
"30","appease",0.37,-0.12,0.155," 10 011110110 000"
"31","applaud",2,0.785,0.76," 10 111111111 010"
"32","appoint",1.595,1.73,0.11," 10 000100000 010"
"33","appreciate",2.425,1.365,0.445," 01 111111101 000"
"34","apprehend",0.775,1.535,1.175," 10 001000000 001"
"35","approach",0.995,0.545,0.455," 10 111111111 010"
"36","approve_of",1.915,1.055,0.155," 01 111111111 100"
"37","argue_with",-0.91,0.905,0.775," 10 111111111 000"
"38","arm",-1.085,0.75,0.335," 10 001100000 110"
"39","arouse",1.65,1.58,1.505," 01 000000001 101"
"40","arrest",-0.245,1.735,0.63," 10 001000000 001"
"41","ask_about",1.32,0.3,0.5," 01 111111111 010"
