"","term","E","P","A","instcodes"
"1","abandon",-1.94,-0.05,-0.14," 01 111111110 000"
"2","abuse",-2.97,0.56,0.01," 10 101000011 100"
"3","acclaim",1.36,0.89,0.65," 10 000100000 010"
"4","accommodate",0.95,0.55,0.35," 10 111111111 000"
"5","accuse",-1.44,0.28,0.44," 10 111111111 010"
"6","address",1,0.46,0.13," 10 111111110 010"
"7","admire",1.51,0.86,0.61," 01 111111111 100"
"8","admonish",-0.83,0.37,0.04," 10 011111111 000"
"9","adopt",1.92,1.39,0.6," 10 000000010 010"
"10","adore",2.14,1.04,1.5," 01 000000111 000"
"11","advise",1.42,0.91,-0.24," 10 011111110 000"
"12","affront",0,0.57,0.03," 01 111111111 000"
"13","aggravate",-1.4,0.23,0.1," 01 111111111 100"
"14","agitate",-0.73,-0.07,0.58," 01 111111111 100"
"15","agree_with",1.35,0.58,0.74," 10 111111111 000"
"16","aid",1.66,1.52,0.65," 10 111111111 000"
"17","alert",1.37,1.27,0.8," 10 010101000 000"
"18","alienate",-1.75,0.82,0.09," 01 111111110 010"
"19","amaze",1.97,1.44,1.04," 01 111111111 000"
"20","amuse",1.69,0.85,1.2," 11 111111111 100"
"21","analyze",0.35,0.42,0.49," 10 011111110 100"
"22","anger",-1.12,0.56,0.56," 01 111111111 000"
"23","annihilate",-1.91,1.57,0.76," 10 000100000 001"
"24","annoy",-1.18,0.34,0.52," 01 111111111 000"
"25","answer",1.2,0.56,0.08," 10 111111111 000"
"26","antagonize",-0.89,0.6,0.48," 01 111111111 000"
"27","ape",-0.47,-0.38,0.88," 01 100000000 010"
"28","apologize_to",1.86,1.12,0.08," 10 111111111 000"
"29","appeal_to",1.63,0.28,0.96," 10 111111111 000"
"30","appease",0.28,-0.21,0.47," 10 011110110 000"
"31","applaud",1.74,0.52,0.52," 10 111111111 010"
"32","appoint",1.77,1.58,0.26," 10 000100000 010"
"33","appreciate",2.1,1.06,0.71," 01 111111101 000"
"34","apprehend",1.04,1.22,1.08," 10 001000000 001"
"35","approach",0.95,1.1,0.47," 10 111111111 010"
"36","approve_of",1.66,0.9,-0.03," 01 111111111 100"
"37","argue_with",-0.78,0.8,0.67," 10 111111111 000"
"38","arm",-0.44,0.73,0.11," 10 001100000 110"
"39","arouse",1.54,1.27,1.37," 01 000000001 101"
"40","arrest",0.03,1.25,0.62," 10 001000000 001"
"41","ask_about",1.28,0.53,0.39," 01 111111111 010"
"42","ask",1.28,0.2,0.89," 10 111111111 000"
"43","assail",0.08,1.39,0.17," 10 001100110 001"
"44","assault",-2.35,1.28,0.63," 10 001000000 001"
"45","assist",2.23,1.27,0.82," 10 111111111 000"
"46","astonish",1.49,1,0.84," 01 111111111 000"
"47","astound",1.64,1.28,1.08," 01 111111111 000"
