"","term","E","P","A","instcodes"
"1","abominable_snowman_(mythical)",-1.07,2.2,-0.57," 10 100000000 000"
"2","academic",1.74,1.45,0.17," 11 000010000 000"
"3","accomplice",-1.43,0.24,0.96," 11 001000000 000"
"4","accountant",0.76,1.3,-0.53," 11 010000000 000"
"5","accused",-0.87,-1.51,0.12," 11 001000000 000"
"6","acid_head",-1.42,-1.92,0.99," 11 100000000 000"
"7","activist",1.66,0.96,1.88," 11 000100000 010"
"8","actor",1.28,1.76,1.71," 11 010000000 000"
"9","addict",-1.56,-2.48,0.59," 11 101001000 000"
"10","adolescent",1.4,-0.85,3.01," 11 100000010 000"
"11","adult",1.29,1.71,-0.19," 11 100000010 000"
"12","adulterer",-2.71,-0.14,0.53," 10 000000011 001"
"13","adulteress",-2.41,-0.21,1.16," 01 000000011 001"
"14","advertising_copy_writer",0.39,1.01,0.93," 11 010000000 000"
"15","advertising_executive",0.45,2.34,1.66," 11 010000000 000"
"16","advisor",1.54,1.62,-0.4," 11 110110000 000"
"17","african",1.69,0.01,1.05," 11 000100000 000"
"18","agnostic",0.29,-0.32,0.39," 11 000000100 000"
"19","airline_pilot",2.06,2.45,0.5," 11 010000000 000"
"20","alcoholic",-1.72,-2.28,-0.99," 11 100001000 000"
"21","alderman",0.83,0.84,-0.86," 11 000100000 000"
"22","alien_(immigrant)",0.91,-1.69,-0.06," 11 000100000 000"
"23","alumnus",1.19,0.78,-1.37," 11 000010000 000"
"24","amateur",0.98,-1.19,1.44," 11 100000000 000"
"25","anesthetist",0.89,1.03,-0.19," 11 000001000 001"
"26","angel_(mythical)",3.64,2.28,1.41," 11 100000100 000"
"27","ankle_biter",-0.26,-0.9,2.32," 11 100000000 000"
"28","anorexic",-1.48,-2.58,-0.04," 11 000001000 100"
"29","antagonist",-1.16,1.06,0.3," 11 100000000 000"
"30","applicant",0.95,-1.16,1.16," 11 010010000 000"
"31","apprentice",1.41,-0.68,1.67," 11 010000000 000"
"32","architect",1.62,1.24,0.6," 11 010000000 000"
"33","ass",-1.56,-0.65,0.64," 11 100000000 000"
"34","assailant",-1.85,1.1,1.16," 11 001000000 001"
"35","assassin",-3.45,2.38,1.1," 11 001100000 001"
"36","assembly_line_worker",0.46,-1.74,-1," 11 010000000 000"
"37","assistant",1.77,-0.58,1.48," 11 110001000 000"
"38","astronaut",2.21,2.24,1.15," 11 000100000 000"
"39","atheist",0.54,0.14,0.81," 11 000000100 000"
"40","athlete",1.75,1.72,2.7," 11 010010000 001"
"41","attorney_general",1.35,2.86,-0.88," 11 001100000 000"
"42","attorney",0.2,2.31,0.91," 11 001000000 000"
"43","auctioneer",0.91,0.81,1.07," 11 010000000 000"
"44","auditor_general",0.4,2.27,-0.89," 11 000100000 000"
"45","auditor",-0.58,1.57,-0.65," 11 010000000 000"
"46","aunt",2.24,0.92,-0.38," 01 000000010 000"
"47","auntie",2.68,0.71,-0.66," 01 000000010 000"
"48","australian",1.36,0.39,0.95," 11 000100000 000"
"49","austrian",1,0.19,0.23," 11 000100000 000"
"50","author",1.79,1.49,-0.59," 11 010010000 000"
"51","authority",0.43,2.69,-0.83," 11 011111100 000"
"52","autistic_person",1.23,-1.14,0.2," 11 000001000 000"
"53","auto_mechanic",0.78,0.41,-0.42," 11 010000000 000"
"54","babe_(female)",1.4,0.93,2.4," 01 100000000 000"
"55","baby",3.21,-1.85,2.5," 11 100001010 001"
"56","babysitter",2.22,0.52,2.36," 11 000000010 011"
"57","bachelor",0.99,0.77,1.78," 10 000000011 000"
"58","backbencher",0.23,-0.73,0.16," 11 000100000 000"
"59","backer",0.94,0.75,0.58," 11 110100000 000"
"60","bailiff",0.73,1.5,-0.8," 10 001000000 001"
"61","bailsman",0.47,0.39,-0.8," 11 001000000 000"
"62","baker",2.04,-0.09,-1.41," 11 010000000 000"
"63","ballet_dancer",1.95,0.36,2.2," 11 010010000 000"
"64","bandit",-2.12,0.54,1.38," 11 001000000 000"
"65","bank_teller",1.27,0.19,0.53," 11 010000000 000"
"66","banker",0.88,1.29,-0.58," 11 010000000 001"
"67","barkeeper",1.28,1.02,1.27," 11 010000000 000"
"68","barmaid",1.14,-0.65,1.54," 01 010000000 000"
"69","bartender",1.61,0.66,1.79," 11 010000000 000"
"70","bean_counter",0.59,-1.91,-1.2," 11 110100000 000"
"71","beautician",2.04,-0.07,1.63," 11 010000000 001"
"72","beauty",1.72,1,2.25," 01 100000000 001"
"73","beggar",-0.42,-2.74,-1.75," 11 100000000 000"
"74","beginner",1.28,-2.08,1.26," 11 100000000 000"
"75","belgian",0.86,-0.16,-0.21," 11 000100000 000"
"76","bellhop",1.46,-1.28,0.67," 11 010000000 000"
"77","big_shot",-1.11,0.92,1.25," 11 100000000 000"
"78","bigamist",-3.24,-0.39,-1.52," 11 001000011 011"
"79","bigfoot_(mythical)",0.92,1.52,-0.65," 11 100000000 000"
"80","bigot",-2.93,-0.48,-0.61," 11 100000000 000"
"81","bill_collector",-1.42,1.41,-0.69," 11 010000000 000"
"82","biologist",1.21,1.37,-0.45," 11 010010000 000"
"83","bisexual",1.37,-0.27,1.31," 11 000000001 001"
"84","bitch",-1.78,0.94,0.93," 01 100000000 000"
"85","blabbermouth",-1.64,-0.26,1.56," 11 100000000 000"
"86","black",1.8,0.68,1.05," 11 000100000 000"
"87","blacksmith",1.58,0.02,-1.4," 11 010000000 000"
"88","bleeder",-0.2,-1.43,-0.07," 11 000001000 011"
"89","blind_date",0.5,-0.28,1.79," 11 000000001 001"
"90","bloc_quebecois",-0.64,0.55,-0.44," 11 000100000 000"
"91","blockhead",-0.72,-0.95,-0.39," 11 100000000 000"
"92","blonde",1.16,-0.32,1.8," 01 100000001 000"
"93","blood_donor",3.26,1.59,0.74," 11 000001000 001"
"94","boarder",0.79,-0.71,0.74," 11 010000000 000"
"95","bodyguard",1.6,2.67,1.66," 11 001100000 001"
"96","bohemian",0.83,0.21,0.77," 11 100000000 000"
"97","bonehead",-0.69,-1.38,0.15," 11 100000000 000"
"98","boob",0.24,-0.96,-0.38," 11 100000000 000"
"99","bookie",-0.92,1.73,0.23," 11 011000000 000"
"100","bookkeeper",1.05,-0.27,-1.49," 11 010000000 000"
"101","bookworm",1.54,-0.15,-1.26," 11 000010000 000"
"102","boor",-1.53,-0.59,-1.78," 11 100000000 000"
"103","bosnian",0.75,-0.54,-0.2," 11 000100000 000"
"104","boss",0.09,2.51,-0.72," 11 010000000 000"
"105","bouncer",-0.11,2.19,1.92," 10 010000000 001"
"106","boxer",0.35,2.01,2.1," 10 010000000 001"
"107","boy_scout",2.02,-0.56,2.62," 10 100000000 000"
"108","boy",1.02,-0.15,2.48," 10 100000010 000"
"109","boyfriend",2.78,1.28,2.46," 10 000000001 001"
"110","braggart",-1.22,-1.16,1.06," 11 100000000 000"
"111","brain",1.76,2.17,0.72," 11 000010000 000"
"112","brat",-1.66,-0.63,2.46," 11 100000010 000"
"113","breadwinner",1.49,2.07,0.44," 11 000000010 000"
"114","bricklayer",1.02,0.31,-0.44," 11 010000000 000"
"115","briton",0.47,0.21,-0.13," 11 000100000 000"
"116","broad",-0.41,-0.56,0.45," 01 100000000 000"
"117","brother_in_law",1.31,0.78,1," 10 000000010 000"
"118","brother",2.2,1.07,2.03," 10 000000010 000"
"119","brunette",1.28,0.32,0.94," 01 100000001 000"
"120","brute",-2.11,1.22,-0.04," 10 100000000 001"
"121","buddhist",1.48,0.79,-1.11," 11 000000100 000"
"122","buddy",2.38,1.13,1.89," 11 100000000 000"
"123","buffoon",-1.07,-0.81,0.03," 11 100000000 000"
"124","building_contractor",1.12,1.48,-0.21," 11 010000000 000"
"125","bulimic",-0.85,-2.53,0.97," 11 000001000 100"
"126","bulldozer_operator",0.95,0.58,-0.85," 11 010000000 000"
"127","bully",-2.52,1.67,1.6," 11 100000000 001"
"128","bum",-0.3,-2.75,-1.81," 11 100000000 000"
"129","bumpkin",0.26,-1.37,-0.36," 11 100000000 000"
"130","burglar",-2.82,0.65,1.3," 11 011000000 000"
"131","bus_driver",1.07,-0.28,-1.08," 11 010000000 000"
"132","busboy",1.09,-1.38,1.72," 10 010000000 000"
"133","busybody",-0.49,-0.04,1.32," 11 100000000 000"
"134","butch",-0.9,0.95,0.47," 01 100000001 000"
"135","butcher",0.64,0.19,-1.18," 11 010000000 000"
"136","butterfingers",-0.03,-1.22,0.43," 11 100000000 000"
"137","bystander",0.66,0.17,0.24," 11 100000000 000"
"138","c.e.o._(chief_executive_officer)",0.38,3.23,-0.64," 11 010000000 000"
"139","cad",-1.07,0.09,-0.15," 10 100000000 000"
"140","call_girl",-1.34,-1.14,2.01," 01 000000001 001"
"141","captive",0.23,-3.43,-0.34," 11 001100000 001"
"142","card",1.45,0.39,0.85," 11 100000000 000"
"143","carpenter",1.36,0.54,-0.66," 11 010000000 000"
"144","cashier",1.4,-0.75,0.31," 11 010000000 000"
"145","celebrity",1.28,2.92,1.82," 11 110000000 000"
"146","center_(hockey)",1.53,2.17,2.59," 10 110000000 000"
"147","chambermaid",1.15,-1.37,0.25," 01 010000000 000"
