"","term","E","P","A","instcodes"
"1","abominable_snowman_(mythical)",-1.05,2.36,0.03," 10 100000000 000"
"2","academic",1.53,1.02,0.3," 11 000010000 000"
"3","accomplice",-0.15,0.38,0.92," 11 001000000 000"
"4","accountant",0.95,0.62,-0.47," 11 010000000 000"
"5","accused",-0.88,-1.16,0.12," 11 001000000 000"
"6","acid_head",-1.13,-1.54,0.92," 11 100000000 000"
"7","activist",1.15,1.12,1.84," 11 000100000 010"
"8","actor",1.16,0.64,1.07," 11 010000000 000"
"9","addict",-1.34,-2.01,0.07," 11 101001000 000"
"10","adolescent",0.88,-0.8,2.06," 11 100000010 000"
"11","adult",0.92,1.35,-0.39," 11 100000010 000"
"12","adulterer",-1.93,-0.04,0.09," 10 000000011 001"
"13","adulteress",-1.29,-0.29,0.58," 01 000000011 001"
"14","advertising_copy_writer",0.41,0.31,0.58," 11 010000000 000"
"15","advertising_executive",0.4,1.61,1.02," 11 010000000 000"
"16","advisor",1.51,1.1,-0.16," 11 110110000 000"
"17","african",1.23,0.17,0.66," 11 000100000 000"
"18","agnostic",0.62,0.47,0.41," 11 000000100 000"
"19","airline_pilot",1.56,1.79,-0.02," 11 010000000 000"
"20","alcoholic",-1.41,-2.01,-1.26," 11 100001000 000"
"21","alderman",0.98,0.74,-0.62," 11 000100000 000"
"22","alien_(immigrant)",0.56,-1.07,0.39," 11 000100000 000"
"23","alumnus",0.79,1.02,-0.96," 11 000010000 000"
"24","amateur",0.75,-0.76,1.48," 11 100000000 000"
"25","anesthetist",1.06,0.78,-0.03," 11 000001000 001"
"26","angel_(mythical)",3.18,2.31,1.31," 11 100000100 000"
"27","ankle_biter",-0.5,-1.48,1.32," 11 100000000 000"
"28","anorexic",-1.1,-1.69,0.66," 11 000001000 100"
"29","antagonist",-1.08,0.54,0.61," 11 100000000 000"
"30","applicant",0.86,-0.79,0.88," 11 010010000 000"
"31","apprentice",1.27,-0.76,1.32," 11 010000000 000"
"32","architect",1.56,1.48,0.16," 11 010000000 000"
"33","ass",-1.84,-1.43,0.05," 11 100000000 000"
"34","assailant",-1.31,0.73,1.66," 11 001000000 001"
"35","assassin",-2.21,1.94,1.63," 11 001100000 001"
"36","assembly_line_worker",0.57,-1.2,-0.48," 11 010000000 000"
"37","assistant",1.23,-0.53,0.98," 11 110001000 000"
"38","astronaut",1.73,1.97,1.09," 11 000100000 000"
"39","atheist",0,-0.2,0.35," 11 000000100 000"
"40","athlete",1.56,1.8,2.26," 11 010010000 001"
"41","attorney_general",0.99,2.8,-1.23," 11 001100000 000"
"42","attorney",0.42,1.71,0.4," 11 001000000 000"
"43","auctioneer",0.66,0.56,0.86," 11 010000000 000"
"44","auditor_general",0.62,1.67,-1.34," 11 000100000 000"
"45","auditor",-0.97,1.48,-0.79," 11 010000000 000"
"46","aunt",2.24,0.05,-0.93," 01 000000010 000"
"47","auntie",2.12,-0.02,-1.43," 01 000000010 000"
"48","australian",0.72,0.25,0.49," 11 000100000 000"
"49","austrian",0.71,0.33,0.16," 11 000100000 000"
"50","author",1.64,0.9,-0.9," 11 010010000 000"
"51","authority",0.15,2.47,-1.04," 11 011111100 000"
"52","autistic_person",0.54,-1.83,-0.74," 11 000001000 000"
"53","auto_mechanic",0.8,0.72,0.15," 11 010000000 000"
"54","babe_(female)",2.29,0.44,2.87," 01 100000000 000"
"55","baby",2.4,-2.28,2.58," 11 100001010 001"
"56","babysitter",1.43,-0.04,1.58," 11 000000010 011"
"57","bachelor",1.06,0.48,1.68," 10 000000011 000"
"58","backbencher",0.05,-0.27,-0.22," 11 000100000 000"
"59","backer",1.33,0.78,0.58," 11 110100000 000"
"60","bailiff",0.79,0.89,-0.57," 10 001000000 001"
"61","bailsman",0.44,0.82,-0.16," 11 001000000 000"
"62","baker",1.14,-0.28,-0.28," 11 010000000 000"
"63","ballet_dancer",1.03,-0.51,2.02," 11 010010000 000"
"64","bandit",-1.55,0.7,1.22," 11 001000000 000"
"65","bank_teller",1.04,-0.07,0.03," 11 010000000 000"
"66","banker",0.8,1.04,-0.53," 11 010000000 001"
"67","barkeeper",1.35,0.54,1.4," 11 010000000 000"
"68","barmaid",1.2,-0.46,1.56," 01 010000000 000"
"69","bartender",1.41,0.68,1.23," 11 010000000 000"
"70","bean_counter",0.1,-1.29,-0.94," 11 110100000 000"
"71","beautician",1.29,-0.72,1.45," 11 010000000 001"
"72","beauty",1.84,0.88,2.25," 01 100000000 001"
"73","beggar",-1.06,-2.42,-1.02," 11 100000000 000"
"74","beginner",0.93,-1.75,1.06," 11 100000000 000"
"75","belgian",0.56,0.29,0.02," 11 000100000 000"
"76","bellhop",0.93,-0.78,0.94," 11 010000000 000"
"77","big_shot",-0.66,1.15,1.12," 11 100000000 000"
"78","bigamist",-2.07,0.06,-0.45," 11 001000011 011"
"79","bigfoot_(mythical)",0.41,2.06,-0.13," 11 100000000 000"
"80","bigot",-2.16,-0.88,-0.77," 11 100000000 000"
"81","bill_collector",-1.34,0.95,-0.24," 11 010000000 000"
"82","biologist",0.8,0.5,-0.19," 11 010010000 000"
"83","bisexual",0.39,-0.38,1.33," 11 000000001 001"
"84","bitch",-1.84,-0.54,0.65," 01 100000000 000"
"85","blabbermouth",-1.35,-0.89,0.93," 11 100000000 000"
"86","black",1.18,0.4,0.7," 11 000100000 000"
"87","blacksmith",0.86,0.72,-1.08," 11 010000000 000"
"88","bleeder",-0.41,-1,-0.06," 11 000001000 011"
"89","blind_date",0.71,-0.05,1.33," 11 000000001 001"
"90","bloc_quebecois",-0.62,0.62,-0.62," 11 000100000 000"
"91","blockhead",-0.5,-0.95,-0.3," 11 100000000 000"
"92","blonde",1.71,-0.04,1.49," 01 100000001 000"
"93","blood_donor",2.83,1.07,1.14," 11 000001000 001"
"94","boarder",0.26,-0.29,0.76," 11 010000000 000"
"95","bodyguard",1.3,2.12,1.18," 11 001100000 001"
"96","bohemian",0.78,-0.19,0.57," 11 100000000 000"
"97","bonehead",-0.83,-1.16,0.14," 11 100000000 000"
"98","boob",0.33,-0.67,0.3," 11 100000000 000"
"99","bookie",-0.62,1.54,-0.1," 11 011000000 000"
"100","bookkeeper",0.79,0.02,-0.92," 11 010000000 000"
"101","bookworm",0.63,-0.56,-0.57," 11 000010000 000"
"102","boor",-1.22,-0.5,-0.79," 11 100000000 000"
"103","bosnian",0.42,-0.3,-0.03," 11 000100000 000"
"104","boss",0.34,2.45,-0.82," 11 010000000 000"
"105","bouncer",-0.05,1.87,1.54," 10 010000000 001"
"106","boxer",0.67,1.99,1.98," 10 010000000 001"
"107","boy_scout",1.43,-0.55,2.16," 10 100000000 000"
"108","boy",1.18,-0.78,2.16," 10 100000010 000"
"109","boyfriend",1.08,0.77,1.35," 10 000000001 001"
"110","braggart",-1.13,-0.64,0.43," 11 100000000 000"
"111","brain",1.56,1.67,0.92," 11 000010000 000"
"112","brat",-1.92,-1.11,1.72," 11 100000010 000"
"113","breadwinner",1.42,1.67,0.72," 11 000000010 000"
"114","bricklayer",0.88,0.49,-0.34," 11 010000000 000"
"115","briton",1.25,0.42,0.27," 11 000100000 000"
"116","broad",0.81,-0.35,1.11," 01 100000000 000"
"117","brother_in_law",1.23,0.4,1.03," 10 000000010 000"
"118","brother",1.66,1.28,1.35," 10 000000010 000"
"119","brunette",1.22,0.07,1.23," 01 100000001 000"
"120","brute",-1.02,1.1,-0.04," 10 100000000 001"
"121","buddhist",1.29,0.58,-0.13," 11 000000100 000"
"122","buddy",2.41,1.06,1.86," 11 100000000 000"
"123","buffoon",-1.48,-1.89,-0.34," 11 100000000 000"
"124","building_contractor",0.97,1.58,-0.16," 11 010000000 000"
"125","bulimic",-0.96,-2.02,1.06," 11 000001000 100"
"126","bulldozer_operator",0.4,0.24,-0.26," 11 010000000 000"
"127","bully",-1.77,1.17,1.29," 11 100000000 001"
