"","term","E","P","A","instcodes"
"1","no_emotion",0,0,0," 10 100000000 000"
"2","abandoned",-2.33,-1.345,-0.37," 10 000100000 000"
"3","absent_minded",-1.43,-1.465,-0.585," 10 010000000 000"
"4","abusive",-2.9,0.965,0.285," 10 010000000 000"
"5","accommodating",1.82,1.315,0.3," 10 010000000 000"
"6","active",2.315,1.525,2.275," 10 010000000 000"
"7","adventurous",1.76,1.485,1.755," 10 010000000 000"
"8","affectionate",2.3,1.505,0.93," 10 010000000 000"
"9","afraid",-1.89,-1.35,-0.1," 10 100000000 000"
"10","aggravated",-1.84,-0.46,0.25," 10 100000000 000"
"11","aggressive",-0.39,1.51,1.57," 10 010000000 000"
"12","agitated",-1.645,-0.545,0.135," 10 100000000 000"
"13","agreeable",1.555,0.475,0.075," 10 010000000 000"
"14","aimless",-1.23,-1.09,-0.365," 10 010000000 000"
"15","alert",1.695,1.33,1.115," 10 010000000 000"
"16","aloof",-0.575,-0.51,-0.425," 10 010000000 000"
"17","ambitious",1.82,1.755,1.5," 10 010000000 000"
"18","amused",2,0.97,1.3," 10 100000000 000"
"19","amusing",1.81,1.25,1.545," 10 010000000 000"
"20","angry",-1.92,0.165,0.25," 10 100000000 000"
"21","anguished",-1.765,-1.255,-0.54," 10 100000000 000"
"22","annoyed",-1.815,-0.62,-0.06," 10 100010000 000"
"23","annoying",-1.99,-0.51,0.145," 10 010000000 000"
"24","antisocial",-1.67,-1.53,-0.815," 10 000100000 000"
"25","anxious",-1.085,-0.915,0.745," 10 100000000 000"
"26","apathetic",0.14,-0.105,-0.5," 10 110000000 000"
"27","appreciative",2.145,1.12,0.385," 10 110000000 000"
"28","apprehensive",-0.975,-0.79,-0.605," 10 100000000 000"
"29","aroused",2.1,1.025,1.465," 10 000000000 000"
"30","arrogant",-1.695,0.075,0.585," 10 010000000 000"
"31","ashamed",-2.28,-1.435,-0.73," 10 100010000 000"
"32","astonished",0.795,0.335,0.78," 10 010000000 000"
"33","at_ease",2.05,1,-0.19," 10 100000000 000"
"34","attractive",2.115,1.935,1.57," 10 000100000 000"
"35","authoritarian",-0.82,1.53,-0.195," 10 010000000 000"
"36","average",-0.12,-0.415,-0.03," 10 001000000 000"
"37","awe_struck",1.75,0.67,1.24," 10 100000000 000"
"38","awkward",-0.95,-0.985,-0.23," 10 000100000 000"
"39","bad",-2.285,-0.03,0.68," 10 001000000 000"
"40","baptist",0.41,0.195,-0.115," 10 001000000 000"
"41","belligerent",-1.845,-0.65,0.28," 10 010000000 000"
"42","betrayed",-2.39,-0.82,-0.26," 10 000100000 000"
"43","bitchy",-2.05,0.405,0.71," 10 010000000 000"
"44","bitter",-1.89,-1.06,-0.545," 10 100010000 000"
"45","black",1,0.24,0.63," 10 001000000 000"
"46","blue",-1.855,-1.545,-1.05," 10 100000000 000"
"47","bold",0.94,1.485,0.88," 10 010000000 000"
"48","bored",-1.395,-1.085,-0.705," 10 010100000 000"
"49","boring",-1.67,-1.38,-1.18," 10 000100000 000"
"50","bossy",-1.74,1.075,0.255," 10 010000000 000"
"51","brave",2.115,2.145,1.135," 10 010000000 000"
"52","bright",2.035,1.66,1.2," 10 010000000 000"
"53","broken_hearted",-2.625,-2.21,-0.92," 10 100000000 000"
"54","calm",1.78,1.125,-0.24," 10 100010000 000"
"55","candid",0.975,0.715,0.24," 10 010000000 000"
"56","captivated",0.79,-0.06,0.365," 10 010100000 000"
"57","carefree",1.505,0.955,1.685," 10 010000000 000"
"58","careless",-1.325,-0.96,0.405," 10 010000000 000"
"59","catholic",0.06,0.075,-0.38," 10 001000000 000"
"60","cautious",0.8,0.175,-0.64," 10 010000000 000"
"61","charmed",1.98,1.13,1.29," 10 100000000 000"
"62","charming",1.975,1.495,1.055," 10 010000000 000"
"63","cheered",2.205,1.725,1.505," 10 100000000 000"
"64","cheerful",1.975,1.21,1.535," 10 110000000 000"
"65","cheerless",-1.745,-1.485,-1.14," 10 100000000 000"
"66","childish",-0.275,-1.02,1.905," 10 010000000 000"
"67","clean_cut",1.01,0.73,0.35," 10 000100000 000"
"68","clever",1.905,1.65,0.935," 10 010000000 000"
"69","cocky",-1.325,0.61,1.035," 10 010000000 000"
"70","cold",-1.69,-0.555,-0.385," 10 010000000 000"
"71","colorless",-0.105,-0.06,-0.27," 10 000100000 000"
"72","compassionate",2.32,1.6,0.27," 10 110000000 000"
"73","competent",1.865,1.42,0.46," 10 010000000 000"
"74","composed",1.5,1.435,-0.105," 10 010000000 000"
"75","compulsive",-0.855,-0.465,0.525," 10 010000000 000"
"76","conceited",-1.72,0.225,0.295," 10 010000000 000"
"77","confident",2.09,2.085,1.105," 10 010000000 000"
"78","confused",-1.13,-1.32,-0.22," 10 010000000 000"
"79","conscientious",1.925,1.15,0.205," 10 010000000 000"
"80","conservative",-0.265,0.125,-1.34," 10 011000000 000"
"81","considerate",2.21,1.36,0.175," 10 010000000 000"
"82","contemptuous",-1.375,0.11,0.09," 10 110000000 000"
"83","contented",1.795,1.145,0.19," 10 100010000 000"
"84","conventional",0.03,-0.085,-0.73," 10 000100000 000"
"85","cool",1.515,1.375,1.19," 10 010000000 000"
"86","cooperative",1.96,0.82,0.395," 10 010000000 000"
"87","cowardly",-1.605,-1.87,-0.425," 10 010000000 000"
"88","coy",0.035,0.27,0.585," 10 010000000 000"
"89","crafty",1.14,0.89,0.92," 10 010000000 000"
"90","crazy",-0.41,-0.385,0.675," 10 011000000 000"
"91","creative",2.42,1.665,1.39," 10 010000000 000"
"92","critical",-0.17,0.995,-0.075," 10 010000000 000"
"93","crude",-1.495,-0.4,0.26," 10 010000000 000"
"94","cruel",-2.485,0.315,0.055," 10 010000000 000"
"95","crushed",-2.565,-2.03,-0.445," 10 100000000 000"
"96","curious",1.72,0.75,1.395," 10 010000000 000"
"97","cynical",-1.32,-0.14,-0.49," 10 010000000 000"
"98","daring",1.28,1.36,1.83," 10 010000000 000"
"99","deceitful",-1.945,0.06,0.3," 10 010000000 000"
"100","defensive",-0.71,-0.415,-0.08," 10 010000000 000"
"101","defiant",-0.35,0.84,1.085," 10 010000000 000"
"102","deflated",-1.79,-1.43,-0.89," 10 100000000 000"
"103","dejected",-2.025,-1.31,-0.51," 10 100000000 000"
"104","delicate",0.69,-0.085,-0.315," 10 000100000 000"
"105","delighted",2.245,1.38,1.55," 10 100000000 000"
"106","demanding",-0.975,0.365,0.51," 10 010000000 000"
"107","dependable",2.485,1.58,0.28," 10 010000000 000"
"108","dependent",-0.43,-1.29,-0.49," 10 010000000 000"
"109","depressed",-2.785,-2.165,-1.445," 10 100010000 000"
"110","desperate",-1.575,-1.905,0.055," 10 110000000 000"
"111","dignified",1.415,1.525,-0.085," 10 000100000 000"
"112","disagreeable",-1.135,-0.19,0.025," 10 010000000 000"
"113","disappointed",-1.95,-1.35,-0.605," 10 100000000 000"
"114","discontented",-1.71,-1.125,-0.43," 10 100000000 000"
"115","discreet",1.005,0.605,-0.59," 10 010000000 000"
"116","disgusted",-1.675,-0.66,-0.155," 10 100010000 000"
"117","dishonest",-1.99,-0.33,0.195," 10 010100000 000"
"118","disobedient",-0.925,0.035,0.66," 10 010000000 000"
"119","displeased",-1.605,-0.86,-0.555," 10 100000000 000"
"120","disreputable",-1.6,-0.555,-0.31," 10 010000000 000"
"121","disrespectful",-2.33,-0.815,0.315," 10 010000000 000"
"122","dissatisfied",-1.72,-1.27,-0.72," 10 100000000 000"
"123","distressed",-2.045,-1.42,-0.405," 10 100000000 000"
"124","disturbed",-1.385,-0.655,-0.425," 10 110000000 000"
"125","divorced",-0.91,-0.3,-0.275," 10 001000000 000"
"126","dogmatic",-1.005,-0.12,-0.545," 10 010000000 000"
"127","dominant",-0.065,1.895,0.745," 10 010000000 000"
"128","domineering",-1.05,1.18,0.135," 10 010000000 000"
"129","doubtful",-0.635,-0.6,-0.48," 10 000100000 000"
"130","downhearted",-1.555,-1.12,-0.67," 10 100000000 000"
