"","term","E","P","A","instcodes"
"1","no_emotion",0,0,0," 10 100000000 000"
"2","abandoned",-1.88,-1.68,-0.35," 10 000100000 000"
"3","absent_minded",-1,-0.91,-0.55," 10 010000000 000"
"4","abusive",-2.23,0.34,-0.02," 10 010000000 000"
"5","accommodating",1.72,1.39,0.42," 10 010000000 000"
"6","active",2.13,1.33,1.84," 10 010000000 000"
"7","adventurous",1.4,1.09,1.24," 10 010000000 000"
"8","affectionate",2,1.03,0.86," 10 010000000 000"
"9","afraid",-1.7,-1.55,-0.52," 10 100000000 000"
"10","aggravated",-1.67,-0.38,-0.15," 10 100000000 000"
"11","aggressive",-0.07,1.2,1.44," 10 010000000 000"
"12","agitated",-1.6,-0.77,-0.52," 10 100000000 000"
"13","agreeable",1.38,0.62,0.31," 10 010000000 000"
"14","aimless",-1.03,-0.65,-0.19," 10 010000000 000"
"15","alert",1.43,1.15,0.87," 10 010000000 000"
"16","aloof",-0.29,-0.02,-0.05," 10 010000000 000"
"17","ambitious",1.46,1.4,0.92," 10 010000000 000"
"18","amused",1.83,0.58,0.76," 10 100000000 000"
"19","amusing",1.68,0.95,1.53," 10 010000000 000"
"20","angry",-1.87,-0.15,-0.14," 10 100000000 000"
"21","anguished",-1.28,-0.99,-0.82," 10 100000000 000"
"22","annoyed",-1.72,-0.68,-0.09," 10 100010000 000"
"23","annoying",-1.65,-0.64,0.08," 10 010000000 000"
"24","antisocial",-1.52,-1.51,-0.59," 10 000100000 000"
"25","anxious",-0.73,-0.91,0.52," 10 100000000 000"
"26","apathetic",0.45,0.01,-0.18," 10 110000000 000"
"27","appreciative",1.68,0.92,0.35," 10 110000000 000"
"28","apprehensive",-0.74,-0.34,-0.64," 10 100000000 000"
"29","aroused",2.24,1,1.16," 10 000000000 000"
"30","arrogant",-1.36,-0.51,0.46," 10 010000000 000"
"31","ashamed",-2.04,-1.54,-0.87," 10 100010000 000"
"32","astonished",0.84,0.23,0.65," 10 010000000 000"
"33","at_ease",1.86,0.81,-0.07," 10 100000000 000"
"34","attractive",2.07,1.62,1.62," 10 000100000 000"
"35","authoritarian",-0.45,1.12,-0.43," 10 010000000 000"
"36","average",-0.32,-0.66,-0.26," 10 001000000 000"
"37","awe_struck",1.81,0.95,1.48," 10 100000000 000"
"38","awkward",-0.8,-0.83,0.06," 10 000100000 000"
"39","bad",-2.29,-0.24,0.56," 10 001000000 000"
"40","baptist",0.37,0.23,0.08," 10 001000000 000"
"41","belligerent",-1.53,-0.63,0.03," 10 010000000 000"
"42","betrayed",-2.01,-0.94,-0.12," 10 000100000 000"
"43","bitchy",-2.16,-0.02,0.46," 10 010000000 000"
"44","bitter",-1.78,-0.92,-0.49," 10 100010000 000"
"45","black",0.87,-0.12,0.6," 10 001000000 000"
"46","blue",-1.52,-1.4,-0.8," 10 100000000 000"
"47","bold",0.78,1.15,0.68," 10 010000000 000"
"48","bored",-1.1,-0.54,-0.31," 10 010100000 000"
"49","boring",-1.73,-1.38,-1.08," 10 000100000 000"
"50","bossy",-1.58,1.11,0.28," 10 010000000 000"
"51","brave",2.01,1.97,1.18," 10 010000000 000"
