"","term","E","P","A","instcodes"
"1","abortion_clinic",-0.665,1.765,-0.78," 10 000001000 000"
"2","adult_bookstore",0.26,-0.36,-0.82," 10 010000001 000"
"3","airplane",1.05,1.8,1.635," 10 110000000 000"
"4","amusement_park",2.295,1.7,3.04," 10 110000000 000"
"5","april_fools_day",0.895,0.035,1.27," 01 100000000 000"
"6","assembly_line",-0.485,0.445,1.275," 10 010000000 000"
"7","athletic_club",1.905,0.925,2.15," 10 100000000 101"
"8","auction",0.94,0.645,1.205," 01 010000000 000"
"9","ball_game",1.835,1.145,1.88," 11 110010000 000"
"10","banquet",1.81,0.59,0.84," 01 100110110 000"
"11","bar",1.925,1.14,2.78," 10 110000000 000"
"12","barber_shop",1.33,-0.69,-0.435," 10 110000000 000"
"13","basketball_game",1.59,0.84,2.54," 11 110010000 001"
"14","battlefield",-2.67,2.45,2.825," 10 000100000 001"
"15","beach",2.78,0.505,1.3," 10 100000000 100"
"16","beauty_salon",1.225,-0.13,0.35," 10 110000000 001"
"17","bed",2.495,0,-1.3," 10 000001001 101"
"18","bedroom",2.17,0.37,-0.805," 10 000000011 101"
"19","board_room",0.245,1.255,-0.105," 10 010000000 000"
"20","military_boot_camp",-1.35,2.15,2.305," 10 000100000 011"
"21","bowling_alley",1.255,0.16,1.755," 10 010000000 000"
"22","brothel",-1.08,0.115,1.12," 10 010000001 001"
"23","bull_session",-0.445,0.465,1.395," 01 100000000 000"
"24","bus_stop",0.145,-0.475,-0.55," 10 100000000 100"
"25","bus",0.42,0.21,0.78," 10 110000000 100"
"26","business_meeting",-0.00499999999999999,1.78,0.065," 11 010000000 000"
"27","cafe",1.985,-0.31,-0.37," 10 010000000 000"
"28","cafeteria",1.025,-0.15,1.895," 10 010011000 100"
"29","camp",1.88,0.4,1.585," 10 100100010 100"
"30","campground",2.075,-0.035,0.655," 10 110000010 000"
"31","campus",1.635,1.43,1.715," 10 000010000 100"
"32","car",1.87,1.77,2.005," 10 100000000 100"
"33","carnival",1.9,0.965,2.85," 11 110000000 000"
"34","casino",0.215,2.09,2.575," 10 010000000 100"
"35","cathedral",1.745,2.115,-1.815," 10 000000100 100"
"36","catholic_mass",0.785,1.495,-1.415," 01 000000100 000"
"37","celebration",2.855,1.7,2.335," 01 100100110 000"
"38","cemetery",-1.38,-0.03,-2.415," 10 100000100 100"
"39","chapel",1.47,1.605,-1.465," 10 000000100 100"
"40","christmas",2.95,1.87,1.645," 01 100000110 000"
"41","church",1.425,1.95,-1.785," 10 000000100 100"
"42","classroom",1.2,0.98,0.33," 10 000010000 000"
"43","clinic",-0.035,0.38,0.19," 10 000001000 001"
"44","cocktail_lounge",1.525,0.215,0.555," 10 010000001 000"
"45","coffee_break",2.07,-0.33,-0.46," 01 110001000 100"
"46","coffee_house",1.645,-0.33,0.035," 10 010000000 100"
