"","term","E","P","A","instcodes"
"1","abortion_clinic",-0.52,2.23,-0.96," 10 000001000 000"
"2","adult_bookstore",0.21,-0.2,-0.89," 10 010000001 000"
"3","airplane",0.91,2.13,1.61," 10 110000000 000"
"4","amusement_park",2.77,1.79,3.22," 10 110000000 000"
"5","april_fools_day",0.77,-0.05,1.62," 01 100000000 000"
"6","assembly_line",-0.21,0.3,1.23," 10 010000000 000"
"7","athletic_club",1.81,0.99,2.14," 10 100000000 101"
"8","auction",1.24,0.83,1.04," 01 010000000 000"
"9","ball_game",1.94,1.02,2.04," 11 110010000 000"
"10","banquet",1.83,0.59,1.15," 01 100110110 000"
"11","bar",1.98,1.23,3.09," 10 110000000 000"
"12","barber_shop",1.26,-0.89,-0.61," 10 110000000 000"
"13","basketball_game",2.08,1.2,2.76," 11 110010000 001"
"14","battlefield",-2.68,2.66,2.79," 10 000100000 001"
"15","beach",2.98,0.52,1.35," 10 100000000 100"
"16","beauty_salon",1.65,0.06,0.94," 10 110000000 001"
"17","bed",2.43,0.5,-1.11," 10 000001001 101"
"18","bedroom",2.27,0.39,-0.98," 10 000000011 101"
"19","board_room",0.3,1.54,-0.39," 10 010000000 000"
"20","military_boot_camp",-1.21,2.47,2.57," 10 000100000 011"
"21","bowling_alley",1.36,0.25,2.2," 10 010000000 000"
"22","brothel",-1.46,0.25,1.05," 10 010000001 001"
"23","bull_session",-0.59,0.27,1.47," 01 100000000 000"
"24","bus_stop",0.17,-0.82,-0.81," 10 100000000 100"
"25","bus",0.52,0.04,0.87," 10 110000000 100"
"26","business_meeting",-0.15,2.2,-0.08," 11 010000000 000"
"27","cafe",2.16,-0.36,-0.15," 10 010000000 000"
"28","cafeteria",1.28,-0.43,2.27," 10 010011000 100"
"29","camp",2.07,0.56,2.15," 10 100100010 100"
"30","campground",2.05,0.03,1.26," 10 110000010 000"
"31","campus",1.58,1.54,2.09," 10 000010000 100"
"32","car",2.12,1.89,2," 10 100000000 100"
"33","carnival",2.25,0.92,3.08," 11 110000000 000"
"34","casino",0.52,2.2,2.56," 10 010000000 100"
"35","cathedral",1.71,2.14,-2.09," 10 000000100 100"
"36","catholic_mass",0.82,1.52,-1.84," 01 000000100 000"
"37","celebration",2.96,1.74,2.49," 01 100100110 000"
"38","cemetery",-1.73,-0.14,-2.58," 10 100000100 100"
"39","chapel",1.59,1.4,-1.4," 10 000000100 100"
"40","christmas",3.25,1.91,2.03," 01 100000110 000"
"41","church",1.51,2.03,-1.83," 10 000000100 100"
"42","classroom",1.26,1.22,0.7," 10 000010000 000"
"43","clinic",0,0.73,0.25," 10 000001000 001"
"44","cocktail_lounge",1.87,0.49,1.16," 10 010000001 000"
"45","coffee_break",2.06,-0.35,-0.56," 01 110001000 100"
"46","coffee_house",1.87,-0.3,0.24," 10 010000000 100"
"47","committee_meeting",0.79,1.5,0.25," 01 010111100 000"
"48","concert",3.05,2.44,3.11," 11 110010000 000"
"49","conference_room",0.09,1.92,-0.48," 10 011111100 000"
"50","cook_out",2.09,0.17,1.44," 01 100000010 000"
"51","country_club",1.1,1.68,-1.13," 10 010000000 000"
"52","courtroom",-0.31,2.78,-0.32," 10 001000000 000"
"53","crowd",-0.24,1.81,2.26," 01 100000000 000"
"54","dance",2.45,0.69,2.36," 01 100000001 001"
"55","daycare_center",1.94,-0.26,2.96," 10 010010010 001"
"56","debate",0.48,1.91,1.6," 01 101110000 000"
"57","desert_(dry_place)",-0.99,-0.18,-2," 10 100000000 100"
"58","dining_room",1.46,-0.15,-0.22," 10 000000010 100"
"59","disco",2.19,0.49,3.03," 10 010000001 000"
"60","doctor's_office",0.06,0.96,-1.18," 10 000001000 000"
"61","dorm_room",1.8,0.44,2.3," 10 000010000 101"
"62","drive_in_movie",2.16,0.25,0.52," 10 010000001 001"
"63","easter",2.2,1.24,0.27," 01 100000100 000"
"64","elevator",-0.28,0.06,-1.27," 10 100000000 100"
"65","emergency_room",-1.27,2.28,2.72," 10 000001000 001"
"66","encounter_group",1.03,0.88,0.19," 01 000001000 000"
"67","examination",-1.94,2.57,-1.33," 01 000011000 000"
"68","execution",-3.44,2.63,-0.89," 11 101100000 011"
"69","factory",-0.88,-0.25,1.23," 10 010000000 000"
"70","fairground",2.11,0.67,2.66," 10 100000000 000"
"71","family_reunion",2.08,1.05,1.31," 01 000000010 000"
"72","festival",2.5,1.72,2.2," 01 100000000 000"
"73","fight",-2.79,2.28,2.46," 01 101000000 001"
"74","fire_drill",-0.21,1.99,2.64," 01 100000000 000"
"75","flea_market",0.93,-0.9,1.29," 10 010000000 000"
"76","flophouse",-0.23,0.17,0.23," 10 010000000 100"
"77","funeral_home",-1.43,0.82,-2.74," 10 010000000 000"
"78","funeral",-2.88,1.49,-3.25," 01 000000100 000"
"79","gay_bar",1.06,0.39,2.18," 10 010000001 001"
"80","ghetto",-2.13,0.52,1.35," 10 100000000 100"
"81","government_office",0.3,2.15,-0.52," 10 001100000 000"
"82","graduation_ceremony",2.69,2.11,1.14," 01 100010000 010"
"83","graveyard",-1.81,-0.02,-3.14," 10 100000100 100"
"84","greasy_spoon",-0.68,-1.09,-0.1," 10 010000000 000"
"85","grocery_store",1.59,-0.16,0.97," 10 110000000 100"
"86","gunfight",-3.53,2.82,2.88," 01 001000000 001"
"87","gymnasium",1.81,0.57,2.31," 10 010010000 101"
"88","halloween",2.38,1.08,2.58," 01 100000010 000"
"89","health_food_store",1.24,-0.21,-0.38," 10 010000000 000"
"90","heaven",3.69,3.4,-1.59," 01 000000100 000"
"91","hell",-3.77,2.51,2.23," 01 000000100 001"
"92","hideout",0.23,0.03,-1.66," 10 100000000 100"
"93","home",2.58,0.93,0.3," 10 000000010 101"
"94","honeymoon",3.27,1.61,1.33," 01 000000001 000"
"95","hospital_room",-1.57,0.03,-2.39," 10 000001000 101"
"96","hotel_room",1.22,0.15,-0.07," 10 110000011 101"
"97","interrogation",-2.27,1.4,0.37," 01 001000000 000"
