"","term","E","P","A","instcodes"
"1","abortion_clinic",-0.81,1.3,-0.6," 10 000001000 000"
"2","adult_bookstore",0.31,-0.52,-0.75," 10 010000001 000"
"3","airplane",1.19,1.47,1.66," 10 110000000 000"
"4","amusement_park",1.82,1.61,2.86," 10 110000000 000"
"5","april_fools_day",1.02,0.12,0.92," 01 100000000 000"
"6","assembly_line",-0.76,0.59,1.32," 10 010000000 000"
"7","athletic_club",2,0.86,2.16," 10 100000000 101"
"8","auction",0.64,0.46,1.37," 01 010000000 000"
"9","ball_game",1.73,1.27,1.72," 11 110010000 000"
"10","banquet",1.79,0.59,0.53," 01 100110110 000"
"11","bar",1.87,1.05,2.47," 10 110000000 000"
"12","barber_shop",1.4,-0.49,-0.26," 10 110000000 000"
"13","basketball_game",1.1,0.48,2.32," 11 110010000 001"
"14","battlefield",-2.66,2.24,2.86," 10 000100000 001"
"15","beach",2.58,0.49,1.25," 10 100000000 100"
"16","beauty_salon",0.8,-0.32,-0.24," 10 110000000 001"
"17","bed",2.56,-0.5,-1.49," 10 000001001 101"
"18","bedroom",2.07,0.35,-0.63," 10 000000011 101"
"19","board_room",0.19,0.97,0.18," 10 010000000 000"
"20","military_boot_camp",-1.49,1.83,2.04," 10 000100000 011"
"21","bowling_alley",1.15,0.07,1.31," 10 010000000 000"
"22","brothel",-0.7,-0.02,1.19," 10 010000001 001"
"23","bull_session",-0.3,0.66,1.32," 01 100000000 000"
"24","bus_stop",0.12,-0.13,-0.29," 10 100000000 100"
"25","bus",0.32,0.38,0.69," 10 110000000 100"
"26","business_meeting",0.14,1.36,0.21," 11 010000000 000"
"27","cafe",1.81,-0.26,-0.59," 10 010000000 000"
"28","cafeteria",0.77,0.13,1.52," 10 010011000 100"
"29","camp",1.69,0.24,1.02," 10 100100010 100"
"30","campground",2.1,-0.1,0.05," 10 110000010 000"
"31","campus",1.69,1.32,1.34," 10 000010000 100"
"32","car",1.62,1.65,2.01," 10 100000000 100"
"33","carnival",1.55,1.01,2.62," 11 110000000 000"
"34","casino",-0.09,1.98,2.59," 10 010000000 100"
"35","cathedral",1.78,2.09,-1.54," 10 000000100 100"
"36","catholic_mass",0.75,1.47,-0.99," 01 000000100 000"
"37","celebration",2.75,1.66,2.18," 01 100100110 000"
"38","cemetery",-1.03,0.08,-2.25," 10 100000100 100"
"39","chapel",1.35,1.81,-1.53," 10 000000100 100"
"40","christmas",2.65,1.83,1.26," 01 100000110 000"
"41","church",1.34,1.87,-1.74," 10 000000100 100"
"42","classroom",1.14,0.74,-0.04," 10 000010000 000"
"43","clinic",-0.07,0.03,0.13," 10 000001000 001"
"44","cocktail_lounge",1.18,-0.06,-0.05," 10 010000001 000"
"45","coffee_break",2.08,-0.31,-0.36," 01 110001000 100"
"46","coffee_house",1.42,-0.36,-0.17," 10 010000000 100"
"47","committee_meeting",0.6,0.84,0.25," 01 010111100 000"
"48","concert",2.2,1.58,2.69," 11 110010000 000"
"49","conference_room",-0.04,1.26,-0.46," 10 011111100 000"
