"","term","E","P","A"
"1","to_veto_someones_bill",-0.22,2.1,0.48
"2","to_pass_a_law",1.64,2.56,0.31
"3","to_endorse_someone",1.71,1.43,0.73
"4","to_support_someone",2.74,2.24,1.18
"5","to_favor_someone",0.69,0.97,0.64
"6","to_oppose_someone",0.07,1.2,1.28
"7","to_reject_someone",-1.54,0.89,0.31
"8","to_logroll_with_someone",0.48,0.45,0.93
"9","to_frame_political_document",-0.47,0.85,0.43
"10","to_define_something_political",0.34,0.89,0.12
"11","to_analyze_something",1.67,1.16,-0.12
"12","to_oppress_someone",-2.52,1.37,0.32
"13","to_pork_barrel_something",-0.56,-0.06,0
"14","to_defend_something",2.05,1.86,1.84
"15","to_authorize_someone_to_do_something",0.93,2.11,0.9
"16","to_control_someone",-1.59,1.73,1.14
"17","to_empower_someone",1.03,2.25,1.56
"18","to_make_a_decision_about_something",2.06,1.72,0.92
"19","to_coerce_someone",-1.45,1.08,0.83
"20","to_negotiate_with_someone",1.73,1.48,0.63
"21","having_authority_over_others",0.53,2.34,1.22
