"","term","E","P","A"
"1","to_veto_someones_bill",-0.03,2.12,0.66
"2","to_pass_a_law",1.07,1.59,-0.12
"3","to_endorse_someone",1.05,1.27,0.74
"4","to_support_someone",1.89,1.63,1.29
"5","to_favor_someone",0.87,1.29,0.5
"6","to_oppose_someone",0.37,0.81,0.95
"7","to_reject_someone",-1.03,0.57,0.65
"8","to_logroll_with_someone",-0.16,0.27,1.24
"9","to_frame_political_document",0.47,1.34,0.52
"10","to_define_something_political",0.18,0.97,0.31
"11","to_analyze_something",2.32,1.83,-0.53
"12","to_oppress_someone",-2.81,1.36,0.95
"13","to_pork_barrel_something",-1.01,0.96,-0.5
"14","to_defend_something",2.4,1.59,2.17
"15","to_authorize_someone_to_do_something",1.26,1.98,0.12
"16","to_control_someone",-1.38,2.1,0.06
"17","to_empower_someone",1.92,1.8,1.25
"18","to_make_a_decision_about_something",1.95,1.75,0.72
"19","to_coerce_someone",-0.61,1.62,0.06
"20","to_negotiate_with_someone",2.28,1.55,0.67
"21","having_authority_over_others",0.21,1.73,0.82
