"","term","E","P","A"
"1","majority",0.72,2.62,1.54
"2","plurality",0.245,0.33,0.385
"3","bureaucracy",-0.085,1.225,-0.115
"4","electorate",0.685,0.96,0.045
"5","group",1.2,1.45,1.31
"6","society",1.375,2.17,1.68
"7","special_interest_group",0.85,1.005,1.24
"8","minority",0.56,-0.81,0.015
"9","constituency",1.02,0.825,-0.06
"10","assembly",1.38,1.24,1.09
"11","community",2.135,1.2,1.09
"12","the_u.s._congress",0.875,2.485,0.685
"13","institution",0.84,1.485,0.205
"14","the_u.s._government",0.745,2.705,1.21
"15","political_party",0.56,1.905,1.45
"16","committee",1.055,1.11,0.54
"17","bureaucrat",0.415,0.665,0.075
"18","candidate",1.2,0.985,1.515
"19","citizen",1.8,0.125,0.1
"20","civil_servant",1.585,0.155,0.09
"21","congressman",0.54,1.785,1
"22","conservative",0.65,0.97,-0.17
"23","constituent",0.81,0.435,0.245
"24","democrat",0.77,1.135,0.755
"25","demagogue",0.11,0.43,0.205
"26","dictator",-2.09,2.81,2.035
"27","governor",1.065,1.545,1.075
"28","head_of_a_department",1.01,1.8,0.985
"29","leader",1.6,2.38,1.975
"30","left_winger",0.14,0.2,0.665
"31","legislator",1.125,1.505,0.56
"32","liberal",0.595,0.48,0.76
"33","lobbyist",0.285,0.845,1.08
"34","mayor",1.335,1.49,1.135
"35","member_of_the_u.s._house_of_representatives",0.865,1.545,0.64
"36","member_of_the_u.s._senate",0.795,1.795,0.755
"37","patriot",1.965,1.365,1.8
"38","politician",-0.065,1.75,1.59
"39","protestor",0.57,0.635,2.18
"40","radical",-0.085,0.285,1.95
"41","representative",0.855,1.23,0.855
"42","republican",-0.07,1.605,0.385
"43","right_winger",0.105,0.735,0.31
"44","senator",0.435,1.875,0.985
"45","supreme_court_justice",1.585,2.64,-0.22
"46","taxpayer",1.73,-0.725,-0.235
"47","terrorist",-3.585,1.32,0.815
"48","traitor",-2.785,0.485,0.24
"49","voter",2.43,0.54,0.21
"50","alderman",0.735,0.905,0.335
"51","the_u.s._president",0.705,2.545,1.655
