"","term","E","P","A"
"1","majority",0.67,2.52,1.75
"2","plurality",0.04,0.67,0.69
"3","bureaucracy",0.26,1.54,0.63
"4","electorate",0.56,0.7,0.5
"5","group",1.48,1.54,1.65
"6","society",1.64,2.13,1.64
"7","special_interest_group",1.41,1.28,1.45
"8","minority",0.63,-0.77,-0.04
"9","constituency",0.69,0.58,0.23
"10","assembly",1.25,1.43,1.12
"11","community",2.17,1.08,1.54
"12","the_u.s._congress",0.69,2.67,1.22
"13","institution",1,1.72,0.72
"14","the_u.s._government",0.58,3.05,1.46
"15","political_party",0.53,1.98,1.69
"16","committee",1.36,1.35,1.21
"17","bureaucrat",0.31,1.36,1.02
"18","candidate",0.92,0.9,1.71
"19","citizen",1.76,-0.23,0.6
"20","civil_servant",1.44,-0.06,0.06
"21","congressman",0.41,1.81,1.11
"22","conservative",0.54,0.91,-0.52
"23","constituent",0.43,0.57,0.52
"24","democrat",1.24,1.4,1.21
"25","demagogue",0.19,0.42,-0.13
"26","dictator",-2.15,2.8,2.4
"27","governor",1.16,1.69,1.25
"28","head_of_a_department",1.12,1.95,1.53
"29","leader",1.35,2.66,1.98
"30","left_winger",0.15,0.29,0.79
"31","legislator",1.09,1.76,0.91
"32","liberal",0.92,0.83,1.17
"33","lobbyist",0.52,0.95,1.17
"34","mayor",1.33,1.78,1.3
"35","member_of_the_u.s._house_of_representatives",0.89,1.57,0.99
"36","member_of_the_u.s._senate",1.03,1.9,0.89
"37","patriot",2.08,1.4,1.62
"38","politician",-0.29,1.89,1.73
"39","protestor",0.34,0.86,2.31
"40","radical",-0.38,0.42,1.76
"41","representative",1.09,1.26,1.08
"42","republican",0.06,1.69,0.52
"43","right_winger",-0.09,0.71,0.32
"44","senator",0.58,1.84,1.18
"45","supreme_court_justice",1.66,2.75,0.64
"46","taxpayer",1.45,-0.79,-0.1
"47","terrorist",-3.81,1.74,0.86
"48","traitor",-2.87,0.02,0.62
"49","voter",2.34,0.64,0.39
"50","alderman",0.65,0.85,0.52
"51","the_u.s._president",0.56,2.58,1.46
