"","term","E","P","A"
"1","majority",0.77,2.72,1.33
"2","plurality",0.45,-0.01,0.08
"3","bureaucracy",-0.43,0.91,-0.86
"4","electorate",0.81,1.22,-0.41
"5","group",0.92,1.36,0.97
"6","society",1.11,2.21,1.72
"7","special_interest_group",0.29,0.73,1.03
"8","minority",0.49,-0.85,0.07
"9","constituency",1.35,1.07,-0.35
"10","assembly",1.51,1.05,1.06
"11","community",2.1,1.32,0.64
"12","the_u.s._congress",1.06,2.3,0.15
"13","institution",0.68,1.25,-0.31
"14","the_u.s._government",0.91,2.36,0.96
"15","political_party",0.59,1.83,1.21
"16","committee",0.75,0.87,-0.13
"17","bureaucrat",0.52,-0.03,-0.87
"18","candidate",1.48,1.07,1.32
"19","citizen",1.84,0.48,-0.4
"20","civil_servant",1.73,0.37,0.12
"21","congressman",0.67,1.76,0.89
"22","conservative",0.76,1.03,0.18
"23","constituent",1.19,0.3,-0.03
"24","democrat",0.3,0.87,0.3
"25","demagogue",0.03,0.44,0.54
"26","dictator",-2.03,2.82,1.67
"27","governor",0.97,1.4,0.9
"28","head_of_a_department",0.9,1.65,0.44
"29","leader",1.85,2.1,1.97
"30","left_winger",0.13,0.11,0.54
"31","legislator",1.16,1.25,0.21
"32","liberal",0.27,0.13,0.35
"33","lobbyist",0.05,0.74,0.99
"34","mayor",1.34,1.2,0.97
"35","member_of_the_u.s._house_of_representatives",0.84,1.52,0.29
"36","member_of_the_u.s._senate",0.56,1.69,0.62
"37","patriot",1.85,1.33,1.98
"38","politician",0.16,1.61,1.45
"39","protestor",0.8,0.41,2.05
"40","radical",0.21,0.15,2.14
"41","representative",0.62,1.2,0.63
"42","republican",-0.2,1.52,0.25
"43","right_winger",0.3,0.76,0.3
"44","senator",0.29,1.91,0.79
"45","supreme_court_justice",1.51,2.53,-1.08
"46","taxpayer",2.01,-0.66,-0.37
"47","terrorist",-3.36,0.9,0.77
"48","traitor",-2.7,0.95,-0.14
"49","voter",2.52,0.44,0.03
"50","alderman",0.82,0.96,0.15
"51","the_u.s._president",0.85,2.51,1.85
