"","term","E","P","A","instcodes"
"1","buddy",2.595,1.76,1.615," 11 100000000 000"
"2","bully",-2.735,1.165,1.49," 11 100000000 001"
"3","classmate",1.54,0.49,0.665," 11 000010000 000"
"4","co_worker",0.955,0.41,0.56," 11 010000000 000"
"5","dummy",-0.745,-1.615,-1.375," 11 100000000 000"
"6","enemy",-2.29,0.65,0.555," 11 100100000 001"
"7","foe",-1.6,0.235,0.035," 11 111100000 000"
"8","follower",-0.74,-1.63,-1.795," 11 100100100 000"
"9","friend",3.13,2.195,1.67," 11 100000000 000"
"10","loser",-1.77,-1.67,-1.64," 11 100000000 000"
"11","miser",-0.88,-0.385,-0.48," 11 100000000 000"
"12","opportunist",1.77,1.705,1.565," 11 110100000 000"
"13","partner",2.335,1.81,1.035," 11 111000001 000"
"14","robber",-2.905,0.35,0.195," 11 011000000 000"
"15","scrooge",-2.275,-0.17,-0.855," 11 110000000 000"
"16","traitor",-2.58,-0.495,-0.405," 11 100100000 000"
