"","term","E","P","A","instcodes"
"1","buddy",2.91,1.91,1.58," 11 100000000 000"
"2","bully",-2.86,1.16,1.6," 11 100000000 001"
"3","classmate",1.56,0.43,0.56," 11 000010000 000"
"4","co_worker",1.29,0.69,0.58," 11 010000000 000"
"5","dummy",-0.44,-1.61,-1.58," 11 100000000 000"
"6","enemy",-2.47,0.55,0.92," 11 100100000 001"
"7","foe",-1.52,0.19,0.07," 11 111100000 000"
"8","follower",-0.42,-1.52,-1.77," 11 100100100 000"
"9","friend",3.51,2.51,1.96," 11 100000000 000"
"10","loser",-1.74,-1.97,-1.65," 11 100000000 000"
"11","miser",-1.36,-0.7,-0.46," 11 100000000 000"
"12","opportunist",1.78,1.78,1.71," 11 110100000 000"
"13","partner",2.51,1.98,1.12," 11 111000001 000"
"14","robber",-2.91,0.53,-0.02," 11 011000000 000"
"15","scrooge",-2.4,-0.13,-1.17," 11 110000000 000"
"16","traitor",-2.64,-0.7,-0.33," 11 100100000 000"
