"","term","E","P","A","instcodes"
"1","buddy",2.28,1.61,1.65," 11 100000000 000"
"2","bully",-2.61,1.17,1.38," 11 100000000 001"
"3","classmate",1.52,0.55,0.77," 11 000010000 000"
"4","co_worker",0.62,0.13,0.54," 11 010000000 000"
"5","dummy",-1.05,-1.62,-1.17," 11 100000000 000"
"6","enemy",-2.11,0.75,0.19," 11 100100000 001"
"7","foe",-1.68,0.28,0," 11 111100000 000"
"8","follower",-1.06,-1.74,-1.82," 11 100100100 000"
"9","friend",2.75,1.88,1.38," 11 100000000 000"
"10","loser",-1.8,-1.37,-1.63," 11 100000000 000"
"11","miser",-0.4,-0.07,-0.5," 11 100000000 000"
"12","opportunist",1.76,1.63,1.42," 11 110100000 000"
"13","partner",2.16,1.64,0.95," 11 111000001 000"
"14","robber",-2.9,0.17,0.41," 11 011000000 000"
"15","scrooge",-2.15,-0.21,-0.54," 11 110000000 000"
"16","traitor",-2.52,-0.29,-0.48," 11 100100000 000"
