"","term","E","P","A","instcodes"
"1","adopt",3.035,1.875,1.255," 10 000000010 010"
"2","aggravate",-1.775,0.45,0.675," 01 111111111 100"
"3","anger",-1.72,0.495,0.4," 01 111111111 000"
"4","antagonize",-1.52,0.305,0.525," 01 111111111 000"
"5","apologize_to",2.085,1.055,0.45," 10 111111111 000"
"6","appeal_to",2,1.23,0.935," 10 111111111 000"
"7","applaud",2.52,1.575,0.95," 10 111111111 010"
"8","apprehend",0.415,1.615,1.115," 10 001000000 001"
"9","approach",0.765,0.575,0.58," 10 111111111 010"
"10","approve_of",1.655,1.11,0.375," 01 111111111 100"
"11","argue_with",-1.13,0.49,0.73," 10 111111111 000"
"12","arouse",1.73,1.775,1.585," 01 000000001 101"
"13","arrest",-0.02,1.495,0.72," 10 001000000 001"
"14","ask_about",1.325,0.29,0.325," 01 111111111 010"
"15","assault",-2.52,1.265,1.04," 10 001000000 001"
"16","assist",2.275,1.39,0.59," 10 111111111 000"
"17","astonish",1.23,1.14,0.895," 01 111111111 000"
"18","astound",1.24,1.175,0.965," 01 111111111 000"
"19","attack",-2.48,0.485,1.165," 10 001100010 001"
"20","avoid",-1.345,-0.74,-0.085," 01 111111110 010"
"21","baby",-0.175,-0.085,-0.185," 10 000000010 100"
"22","back",1.79,1.46,0.855," 10 010100000 010"
"23","badger",-1.585,0.285,0.52," 10 111111111 100"
"24","beg",-1.035,-1.29,-0.015," 10 111111111 000"
"25","belittle",-1.89,0.03,0.07," 10 111111111 100"
"26","beseech",-0.24,0.48,0.25," 10 111111111 000"
"27","bind",-1.215,0.7,0.465," 10 001000001 001"
"28","blame",-1.455,0.095,0.075," 10 111111111 010"
"29","bless",2.47,1.59,0.17," 10 000000100 000"
"30","boss",-0.825,1.02,0.04," 10 110101011 000"
"31","bribe",-1.495,0.59,0.37," 10 011100000 110"
"32","bury",-1.08,-0.015,-0.835," 10 000100100 000"
"33","cajole",0.415,0.39,0.655," 10 111111111 000"
"34","call",1.625,0.87,0.85," 10 111111111 010"
"35","caress",2.45,1.43,0.755," 10 000000011 001"
"36","caution",1.52,0.93,0.365," 10 111111111 100"
"37","challenge",0.99,1.39,1.25," 10 111111111 100"
"38","charm",1.98,1.5,0.99," 01 111111111 000"
"39","chatter_to",0.65,0.205,0.845," 10 111111111 100"
"40","cheer_for",2.385,1.32,1.36," 10 111111111 110"
"41","coach",2.055,1.67,0.845," 10 011111111 010"
"42","coach",2.465,2.15,1.425," 10 011111111 010"
"43","coax",-0.395,0.605,0.45," 01 111111111 100"
"44","coddle",0.07,0.04,0.24," 11 000001011 100"
"45","combat",-0.505,0.99,0.905," 10 001100000 000"
"46","command",-0.235,1.495,0.255," 10 011111111 000"
"47","commend",2.23,1.335,0.665," 10 011111111 010"
"48","compliment",2.53,1.59,0.765," 10 111111111 000"
"49","confine",-0.86,0.92,0.035," 10 001101010 001"
"50","confront",0.73,1.325,0.915," 10 111111111 100"
"51","congratulate",2.415,1.635,0.87," 10 111111111 100"
"52","console",2.415,1.45,0.11," 10 111111111 100"
"53","consult",1.4,0.435,0.03," 10 111111111 000"
"54","contradict",-0.345,0.815,0.59," 10 111111111 110"
"55","convict",0.105,1.53,0.16," 10 001000000 010"
"56","correct",0.76,1.17,0.14," 10 111111111 100"
"57","counsel",2.35,1.75,0.48," 10 011111111 000"
"58","court",1.94,0.955,1.085," 01 100000001 010"
"59","criticize",-0.95,0.55,0.265," 10 111111111 100"
"60","cross_examine",-0.125,1.14,0.555," 10 001000000 010"
"61","curse",-2.13,0.115,0.195," 10 111111111 100"
"62","cuss",-1.905,-0.16,0.745," 10 111111111 100"
"63","damn",-2.025,0.235,-0.045," 10 100000100 000"
"64","dance_with",2.29,1.26,1.725," 10 100000001 011"
"65","debate_with",0.94,1.335,1.08," 10 111111110 000"
"66","defend",2.385,2.035,0.925," 10 111111111 110"
"67","defile",-1.355,0.53,0.08," 10 000000001 111"
"68","deflate",-1.265,0.225,-0.27," 01 111111111 000"
"69","defy",-1.265,0.9,0.835," 10 011111110 000"
"70","delay",-1.1,-0.18,-0.465," 01 011111110 000"
"71","delight",2.065,1.32,1," 01 111111111 100"
"72","desire_sexually",1.41,0.895,1.705," 11 000000001 011"
"73","deter",-0.34,0.44,0.495," 01 011111111 000"
"74","disagree_with",-0.17,0.205,0.32," 10 111111111 000"
"75","discipline",0.475,1.465,0.14," 10 011111111 100"
"76","disconcert",-1.1,0.2,0.115," 01 111111111 000"
"77","discourage",-1.24,-0.15,-0.165," 10 111111111 100"
"78","disenchant",-0.655,0.125,-0.43," 01 111111111 100"
"79","disillusion",-1.325,0.695,0.325," 01 111111111 000"
"80","disobey",-1.365,0.04,0.415," 10 011111111 000"
"81","displease",-1.755,-0.345,0.05," 01 111111111 100"
"82","disturb",-1.505,-0.06,0.395," 01 111111111 010"
"83","doubt",-1.005,-0.075,-0.13," 01 111111111 100"
"84","educate",2.86,2.385,0.55," 10 011111111 100"
"85","elude",-0.29,0.735,0.51," 01 111111111 010"
"86","embarrass",-1.68,-0.245,0.275," 01 111111111 010"
"87","embrace",2.58,1.85,0.53," 10 100000011 001"
"88","emulate",0.645,0.55,0.14," 01 111111111 010"
"89","encourage",2.07,1.63,1.015," 10 111111111 100"
"90","endanger",-2.535,0.52,0.335," 01 101001000 100"
"91","enrage",-1.575,0.885,0.55," 01 111111111 100"
"92","entertain",2.18,1.435,1.46," 01 110110011 100"
"93","escape",0.82,0.92,0.785," 10 101100001 000"
"94","evaluate",0.525,0.94,0.21," 01 111111111 100"
"95","exalt",1.195,1.28,0.47," 10 110110101 100"
"96","exclude",-1.94,0.12,0.12," 10 100100001 010"
"97","execute",-1.99,0.875,-0.045," 10 001000000 001"
"98","explain_something_to",1.785,1.67,0.5," 10 111111111 000"
"99","extol",0.115,0.47,0.1," 10 111111111 010"
"100","eye",0.345,0.555,0.995," 10 100001011 000"
"101","face",0.685,1.07,0.77," 10 111010011 000"
"102","feed",2.215,1.62,0.45," 10 100001010 101"
"103","fine",-0.71,0.555,-0.025," 10 001000010 000"
"104","fire_(an_employee)",-1.095,1.13,-0.075," 10 010000000 000"
"105","flatter",1.87,1.445,1.075," 10 111111111 000"
"106","flee_from",-0.61,-0.75,0.89," 10 101100011 000"
"107","flunk",-2.7,-1.15,0.1," 10 000010000 000"
"108","foil",-0.255,0.68,0.21," 01 001100000 010"
"109","follow",-0.44,-0.455,0.14," 10 101000011 000"
"110","fondle",-0.225,0.44,1.065," 10 000000011 101"
"111","forget",-1.975,-0.565,-0.93," 01 100011011 010"
"112","forgive",2.495,1.8,0.715," 01 100000111 100"
"113","forsake",-1.155,0.34,0.085," 01 100100110 000"
"114","frighten",-0.935,0.885,0.84," 01 101000111 100"
"115","frisk",-0.66,0.855,0.835," 10 001000000 001"
"116","frustrate",-1.615,0.19,0.255," 01 101100011 100"
"117","gape_at",-0.665,-0.32,0.5," 10 100000011 000"
"118","give_a_raise_to",2.11,1.585,0.95," 10 010000000 000"
"119","glorify",1.9,1.345,0.875," 10 000100100 010"
"120","goad",-0.38,0.075,0.04," 01 100100011 000"
"121","grab",-0.57,0.8,0.755," 10 101001011 001"
"122","halt",-0.13,0.12,-0.055," 10 001000001 110"
"123","handcuff",-0.795,1.745,0.69," 10 001000000 001"
"124","harangue",-0.69,0.015,0.245," 10 111111111 000"
"125","harm",-2.385,0.47,0.445," 10 101101011 100"
"126","hassle",-1.435,0.15,0.05," 10 101100011 000"
"127","heal",2.88,2.08,0.715," 10 000001110 100"
"128","help",2.695,2.09,0.615," 10 111111111 100"
"129","hide_from",-0.75,-0.83,0.18," 01 101100000 010"
"130","hire",1.595,1.545,0.565," 10 010000000 000"
"131","hit",-2.51,0.545,0.81," 10 101000011 101"
"132","horrify",-1.895,0.785,0.66," 01 100100011 100"
"133","humiliate",-2.76,0,0.65," 01 111111111 000"
"134","hurry",-0.33,0.045,1.545," 10 110011011 100"
"135","hush",-0.46,0.655,-0.28," 10 111111111 010"
"136","ignore",-1.21,0.545,-0.075," 11 100100011 010"
"137","imitate",-0.425,0.135,0.77," 10 110000011 000"
"138","impede",-0.745,0.16,0.26," 10 011000010 000"
"139","incarcerate",-0.88,1.28,0.375," 10 001000000 010"
"140","indoctrinate",-0.195,0.945,-0.245," 10 000100111 000"
"141","indulge",0.97,1.08,0.605," 01 100000011 100"
"142","influence",0.945,1.495,0.66," 01 111111111 000"
"143","inform",1.78,1.52,0.385," 10 111111111 100"
"144","initiate",0.43,0.735,0.76," 10 100010101 000"
"145","injure",-2.12,0.285,0.41," 10 101001011 101"
"146","instruct",1.93,1.775,0.35," 10 011111111 000"
"147","insult",-2.4,0.07,0.285," 10 111111111 000"
"148","interest",2.07,1.4,1.055," 01 110110111 100"
"149","interrogate",-0.605,1.645,0.47," 10 001000000 000"
"150","interrupt",-1.435,0.24,0.71," 10 111111111 100"
"151","interview",1.18,1.275,0.49," 10 011011000 000"
"152","intimidate",-1.62,0.91,0.465," 01 101100011 000"
"153","irritate",-1.635,0.08,0.615," 01 111111111 100"
"154","jeer",-0.985,0.17,0.4," 10 100100001 000"
"155","jest",0.15,0.335,0.595," 10 111111111 000"
"156","jostle",-0.365,0.31,0.48," 10 101000011 000"
"157","judge",-1.405,-0.055,-0.03," 01 111111111 100"
"158","kick",-2.355,0.375,0.365," 10 001000000 001"
"159","kid",0.345,0.09,0.55," 10 100100011 000"
"160","kiss",2.835,1.875,1.38," 10 000000011 001"
"161","laugh_at",-0.745,0.025,0.495," 10 111111111 100"
"162","laugh_with",2.7,1.3,1.67," 10 111111111 000"
"163","lead",1.725,1.865,0.88," 10 100100011 000"
"164","leave",-1.33,0.135,0.175," 10 111111111 010"
"165","listen_to",2.215,1.295,0.225," 10 111111111 000"
"166","look_at",0.935,0.57,0.745," 10 111111111 100"
"167","lure",-0.895,0.96,0.615," 01 111100001 000"
"168","make_love_to",2.81,2.49,1.765," 10 000000001 001"
"169","marry",2.755,1.805,1.73," 10 000000001 010"
"170","massage",2.455,1.5,0.745," 10 110001011 101"
"171","medicate",1.445,1.46,0.335," 10 000001000 100"
"172","mimic",-0.635,0.095,0.475," 10 110010010 010"
"173","miss",-0.105,-0.235,0.03," 01 100000010 010"
"174","molest",-3.445,0.135,-0.41," 10 000000001 001"
"175","mother",1.89,1.395,0.43," 10 000001010 001"
"176","nag",-1.35,-0.285,-0.26," 10 100000011 000"
"177","need",0.805,-0.33,0.2," 01 100000011 010"
"178","needle",-1.305,0.175,0.09," 10 111111111 000"
