"","term","E","P","A","instcodes"
"1","adopt",3.21,1.94,1.54," 10 000000010 010"
"2","aggravate",-1.92,0.55,0.83," 01 111111111 100"
"3","anger",-1.82,0.82,0.82," 01 111111111 000"
"4","antagonize",-1.59,0.35,0.75," 01 111111111 000"
"5","apologize_to",2.26,1.25,0.46," 10 111111111 000"
"6","appeal_to",1.64,1.32,0.86," 10 111111111 000"
"7","applaud",2.67,1.52,0.93," 10 111111111 010"
"8","apprehend",0.59,1.99,0.97," 10 001000000 001"
"9","approach",0.66,0.37,0.47," 10 111111111 010"
"10","approve_of",1.93,0.97,0.27," 01 111111111 100"
"11","argue_with",-1.57,0.4,0.85," 10 111111111 000"
"12","arouse",1.78,1.61,1.55," 01 000000001 101"
"13","arrest",-0.27,1.98,0.94," 10 001000000 001"
"14","ask_about",1.75,0.15,0.42," 01 111111111 010"
"15","assault",-2.37,1.32,0.86," 10 001000000 001"
"16","assist",2.64,1.46,0.53," 10 111111111 000"
"17","astonish",1.03,1.05,0.59," 01 111111111 000"
"18","astound",1.3,1.41,0.94," 01 111111111 000"
"19","attack",-2.25,0.23,1.18," 10 001100010 001"
"20","avoid",-1.45,-0.86,-0.12," 01 111111110 010"
"21","baby",-0.07,-0.3,-0.07," 10 000000010 100"
"22","back",1.92,1.78,1.02," 10 010100000 010"
"23","badger",-1.66,0.25,0.49," 10 111111111 100"
"24","beg",-1.06,-1.31,-0.01," 10 111111111 000"
"25","belittle",-2.22,0.21,0.1," 10 111111111 100"
"26","beseech",0.14,0.47,0.03," 10 111111111 000"
"27","bind",-1.43,0.46,0.17," 10 001000001 001"
"28","blame",-1.35,0.19,-0.04," 10 111111111 010"
"29","bless",2.39,1.07,0.07," 10 000000100 000"
"30","boss",-0.9,0.98,0.06," 10 110101011 000"
"31","bribe",-1.18,0.81,0.42," 10 011100000 110"
"32","bury",-0.53,-0.44,-1.12," 10 000100100 000"
"33","cajole",0.86,0.45,0.49," 10 111111111 000"
"34","call",1.78,0.87,0.9," 10 111111111 010"
"35","caress",2.23,1.35,0.75," 10 000000011 001"
"36","caution",1.47,0.89,0.53," 10 111111111 100"
"37","challenge",0.79,1.21,1.21," 10 111111111 100"
"38","charm",1.65,1.49,0.75," 01 111111111 000"
"39","chatter_to",0.9,0.11,0.87," 10 111111111 100"
"40","cheer_for",2.24,1.16,1.09," 10 111111111 110"
"41","coach",2.3,1.66,1.07," 10 011111111 010"
"42","coach",2.46,2.09,1.5," 10 011111111 010"
"43","coax",0.17,0.46,-0.01," 01 111111111 100"
"44","coddle",0.16,-0.08,0.02," 11 000001011 100"
"45","combat",-0.5,0.95,0.9," 10 001100000 000"
"46","command",-0.67,1.27,0.28," 10 011111111 000"
"47","commend",2.51,1.73,0.98," 10 011111111 010"
"48","compliment",2.66,1.58,0.79," 10 111111111 000"
"49","confine",-0.69,0.95,0.1," 10 001101010 001"
"50","confront",0.92,1.37,0.99," 10 111111111 100"
"51","congratulate",2.15,1.45,0.71," 10 111111111 100"
"52","console",2.39,1.47,-0.12," 10 111111111 100"
"53","consult",1.6,0.26,0.18," 10 111111111 000"
"54","contradict",-0.41,0.57,0.46," 10 111111111 110"
"55","convict",-0.23,1.05,0.14," 10 001000000 010"
"56","correct",0.69,1.02,-0.11," 10 111111111 100"
"57","counsel",2.67,1.81,0.68," 10 011111111 000"
"58","court",2.24,0.97,0.94," 01 100000001 010"
"59","criticize",-1.05,0.14,0.2," 10 111111111 100"
"60","cross_examine",-0.25,1.43,0.67," 10 001000000 010"
"61","curse",-2.3,0.26,0.52," 10 111111111 100"
"62","cuss",-2.13,-0.49,0.87," 10 111111111 100"
"63","damn",-1.93,0.35,0.02," 10 100000100 000"
"64","dance_with",2.4,1.18,1.62," 10 100000001 011"
"65","debate_with",0.65,1.12,1," 10 111111110 000"
"66","defend",2.28,1.95,0.81," 10 111111111 110"
"67","defile",-1.25,0.52,0.06," 10 000000001 111"
"68","deflate",-1.38,0.43,-0.52," 01 111111111 000"
"69","defy",-1.1,0.46,0.67," 10 011111110 000"
"70","delay",-1,-0.18,-0.4," 01 011111110 000"
"71","delight",2.42,1.57,1.16," 01 111111111 100"
"72","desire_sexually",1.07,0.84,2.03," 11 000000001 011"
"73","deter",-0.16,0.74,0.54," 01 011111111 000"
"74","disagree_with",-0.33,0.02,0.26," 10 111111111 000"
"75","discipline",0.42,1.15,-0.27," 10 011111111 100"
"76","disconcert",-0.8,0.2,0.26," 01 111111111 000"
"77","discourage",-1.09,0,-0.19," 10 111111111 100"
"78","disenchant",-0.91,-0.13,-0.24," 01 111111111 100"
"79","disillusion",-1.21,0.93,0.46," 01 111111111 000"
"80","disobey",-1.62,0.33,0.53," 10 011111111 000"
"81","displease",-1.46,-0.57,0.23," 01 111111111 100"
"82","disturb",-1.45,0.06,0.57," 01 111111111 010"
"83","doubt",-1.03,-0.22,-0.02," 01 111111111 100"
"84","educate",2.82,2.35,0.85," 10 011111111 100"
"85","elude",-0.21,0.86,0.6," 01 111111111 010"
"86","embarrass",-2.18,-0.42,0.08," 01 111111111 010"
"87","embrace",2.5,1.75,0.25," 10 100000011 001"
"88","emulate",0.29,0.87,0.2," 01 111111111 010"
"89","encourage",2.26,1.73,1.26," 10 111111111 100"
"90","endanger",-3.07,1.03,0.55," 01 101001000 100"
"91","enrage",-1.72,1.24,0.59," 01 111111111 100"
"92","entertain",1.88,1.51,1.36," 01 110110011 100"
"93","escape",0.65,0.97,0.8," 10 101100001 000"
"94","evaluate",0.63,1.1,0.46," 01 111111111 100"
"95","exalt",1.33,1.24,0.79," 10 110110101 100"
"96","exclude",-1.92,-0.05,0.08," 10 100100001 010"
"97","execute",-2.18,0.25,-0.32," 10 001000000 001"
"98","explain_something_to",1.93,1.37,0.52," 10 111111111 000"
"99","extol",-0.14,-0.03,-0.16," 10 111111111 010"
"100","eye",0.16,0.65,0.76," 10 100001011 000"
"101","face",0.64,1.28,0.91," 10 111010011 000"
"102","feed",1.93,1.58,0.57," 10 100001010 101"
"103","fine",-0.69,0.45,0.23," 10 001000010 000"
"104","fire_(an_employee)",-1.06,0.89,-0.08," 10 010000000 000"
"105","flatter",2.16,1.54,0.97," 10 111111111 000"
"106","flee_from",-0.76,-0.4,1.05," 10 101100011 000"
"107","flunk",-2.86,-0.77,0.02," 10 000010000 000"
"108","foil",-0.49,0.84,0.33," 01 001100000 010"
