"","term","E","P","A","instcodes"
"1","adopt",2.86,1.81,0.97," 10 000000010 010"
"2","aggravate",-1.63,0.35,0.52," 01 111111111 100"
"3","anger",-1.62,0.17,-0.02," 01 111111111 000"
"4","antagonize",-1.45,0.26,0.3," 01 111111111 000"
"5","apologize_to",1.91,0.86,0.44," 10 111111111 000"
"6","appeal_to",2.36,1.14,1.01," 10 111111111 000"
"7","applaud",2.37,1.63,0.97," 10 111111111 010"
"8","apprehend",0.24,1.24,1.26," 10 001000000 001"
"9","approach",0.87,0.78,0.69," 10 111111111 010"
"10","approve_of",1.38,1.25,0.48," 01 111111111 100"
"11","argue_with",-0.69,0.58,0.61," 10 111111111 000"
"12","arouse",1.68,1.94,1.62," 01 000000001 101"
"13","arrest",0.23,1.01,0.5," 10 001000000 001"
"14","ask_about",0.9,0.43,0.23," 01 111111111 010"
"15","assault",-2.67,1.21,1.22," 10 001000000 001"
"16","assist",1.91,1.32,0.65," 10 111111111 000"
"17","astonish",1.43,1.23,1.2," 01 111111111 000"
"18","astound",1.18,0.94,0.99," 01 111111111 000"
"19","attack",-2.71,0.74,1.15," 10 001100010 001"
"20","avoid",-1.24,-0.62,-0.05," 01 111111110 010"
"21","baby",-0.28,0.13,-0.3," 10 000000010 100"
"22","back",1.66,1.14,0.69," 10 010100000 010"
"23","badger",-1.51,0.32,0.55," 10 111111111 100"
"24","beg",-1.01,-1.27,-0.02," 10 111111111 000"
"25","belittle",-1.56,-0.15,0.04," 10 111111111 100"
"26","beseech",-0.62,0.49,0.47," 10 111111111 000"
"27","bind",-1,0.94,0.76," 10 001000001 001"
"28","blame",-1.56,0,0.19," 10 111111111 010"
"29","bless",2.55,2.11,0.27," 10 000000100 000"
"30","boss",-0.75,1.06,0.02," 10 110101011 000"
"31","bribe",-1.81,0.37,0.32," 10 011100000 110"
"32","bury",-1.63,0.41,-0.55," 10 000100100 000"
"33","cajole",-0.03,0.33,0.82," 10 111111111 000"
"34","call",1.47,0.87,0.8," 10 111111111 010"
"35","caress",2.67,1.51,0.76," 10 000000011 001"
"36","caution",1.57,0.97,0.2," 10 111111111 100"
"37","challenge",1.19,1.57,1.29," 10 111111111 100"
"38","charm",2.31,1.51,1.23," 01 111111111 000"
"39","chatter_to",0.4,0.3,0.82," 10 111111111 100"
"40","cheer_for",2.53,1.48,1.63," 10 111111111 110"
"41","coach",1.81,1.68,0.62," 10 011111111 010"
"42","coach",2.47,2.21,1.35," 10 011111111 010"
"43","coax",-0.96,0.75,0.91," 01 111111111 100"
"44","coddle",-0.02,0.16,0.46," 11 000001011 100"
"45","combat",-0.51,1.03,0.91," 10 001100000 000"
"46","command",0.2,1.72,0.23," 10 011111111 000"
"47","commend",1.95,0.94,0.35," 10 011111111 010"
"48","compliment",2.4,1.6,0.74," 10 111111111 000"
"49","confine",-1.03,0.89,-0.03," 10 001101010 001"
"50","confront",0.54,1.28,0.84," 10 111111111 100"
"51","congratulate",2.68,1.82,1.03," 10 111111111 100"
"52","console",2.44,1.43,0.34," 10 111111111 100"
"53","consult",1.2,0.61,-0.12," 10 111111111 000"
"54","contradict",-0.28,1.06,0.72," 10 111111111 110"
"55","convict",0.44,2.01,0.18," 10 001000000 010"
"56","correct",0.83,1.32,0.39," 10 111111111 100"
"57","counsel",2.03,1.69,0.28," 10 011111111 000"
"58","court",1.64,0.94,1.23," 01 100000001 010"
"59","criticize",-0.85,0.96,0.33," 10 111111111 100"
"60","cross_examine",0,0.85,0.44," 10 001000000 010"
"61","curse",-1.96,-0.03,-0.13," 10 111111111 100"
"62","cuss",-1.68,0.17,0.62," 10 111111111 100"
"63","damn",-2.12,0.12,-0.11," 10 100000100 000"
"64","dance_with",2.18,1.34,1.83," 10 100000001 011"
"65","debate_with",1.23,1.55,1.16," 10 111111110 000"
"66","defend",2.49,2.12,1.04," 10 111111111 110"
"67","defile",-1.46,0.54,0.1," 10 000000001 111"
"68","deflate",-1.15,0.02,-0.02," 01 111111111 000"
"69","defy",-1.43,1.34,1," 10 011111110 000"
"70","delay",-1.2,-0.18,-0.53," 01 011111110 000"
"71","delight",1.71,1.07,0.84," 01 111111111 100"
"72","desire_sexually",1.75,0.95,1.38," 11 000000001 011"
"73","deter",-0.52,0.14,0.45," 01 011111111 000"
"74","disagree_with",-0.01,0.39,0.38," 10 111111111 000"
"75","discipline",0.53,1.78,0.55," 10 011111111 100"
"76","disconcert",-1.4,0.2,-0.03," 01 111111111 000"
"77","discourage",-1.39,-0.3,-0.14," 10 111111111 100"
"78","disenchant",-0.4,0.38,-0.62," 01 111111111 100"
"79","disillusion",-1.44,0.46,0.19," 01 111111111 000"
"80","disobey",-1.11,-0.25,0.3," 10 011111111 000"
"81","displease",-2.05,-0.12,-0.13," 01 111111111 100"
"82","disturb",-1.56,-0.18,0.22," 01 111111111 010"
"83","doubt",-0.98,0.07,-0.24," 01 111111111 100"
"84","educate",2.9,2.42,0.25," 10 011111111 100"
"85","elude",-0.37,0.61,0.42," 01 111111111 010"
"86","embarrass",-1.18,-0.07,0.47," 01 111111111 010"
"87","embrace",2.66,1.95,0.81," 10 100000011 001"
"88","emulate",1,0.23,0.08," 01 111111111 010"
"89","encourage",1.88,1.53,0.77," 10 111111111 100"
"90","endanger",-2,0.01,0.12," 01 101001000 100"
"91","enrage",-1.43,0.53,0.51," 01 111111111 100"
"92","entertain",2.48,1.36,1.56," 01 110110011 100"
"93","escape",0.99,0.87,0.77," 10 101100001 000"
"94","evaluate",0.42,0.78,-0.04," 01 111111111 100"
"95","exalt",1.06,1.32,0.15," 10 110110101 100"
"96","exclude",-1.96,0.29,0.16," 10 100100001 010"
"97","execute",-1.8,1.5,0.23," 10 001000000 001"
"98","explain_something_to",1.64,1.97,0.48," 10 111111111 000"
"99","extol",0.37,0.97,0.36," 10 111111111 010"
"100","eye",0.53,0.46,1.23," 10 100001011 000"
"101","face",0.73,0.86,0.63," 10 111010011 000"
"102","feed",2.5,1.66,0.33," 10 100001010 101"
"103","fine",-0.73,0.66,-0.28," 10 001000010 000"
"104","fire_(an_employee)",-1.13,1.37,-0.07," 10 010000000 000"
"105","flatter",1.58,1.35,1.18," 10 111111111 000"
"106","flee_from",-0.46,-1.1,0.73," 10 101100011 000"
"107","flunk",-2.54,-1.53,0.18," 10 000010000 000"
"108","foil",-0.02,0.52,0.09," 01 001100000 010"
"109","follow",-0.53,-0.64,-0.15," 10 101000011 000"
"110","fondle",0.15,0.37,1.23," 10 000000011 101"
"111","forget",-2.13,-0.63,-1.13," 01 100011011 010"
"112","forgive",1.96,1.27,0.63," 01 100000111 100"
"113","forsake",-1.24,0.09,0.05," 01 100100110 000"
"114","frighten",-0.87,1.01,0.99," 01 101000111 100"
"115","frisk",-0.73,0.54,0.6," 10 001000000 001"
"116","frustrate",-1.72,0.43,0.18," 01 101100011 100"
"117","gape_at",-0.47,-0.3,0.57," 10 100000011 000"
"118","give_a_raise_to",1.79,1.33,0.69," 10 010000000 000"
"119","glorify",1.29,0.93,0.79," 10 000100100 010"
"120","goad",-0.51,0.27,0.07," 01 100100011 000"
"121","grab",-0.55,0.7,0.85," 10 101001011 001"
"122","halt",-0.06,0.3,-0.1," 10 001000001 110"
"123","handcuff",-0.87,1.6,0.62," 10 001000000 001"
"124","harangue",-0.63,-0.11,0.41," 10 111111111 000"
"125","harm",-2.43,0.85,0.76," 10 101101011 100"
"126","hassle",-1.29,-0.19,-0.07," 10 101100011 000"
"127","heal",2.76,1.71,0.72," 10 000001110 100"
"128","help",2.43,1.91,0.37," 10 111111111 100"
"129","hide_from",-0.76,-0.52,0.04," 01 101100000 010"
"130","hire",1.42,1.42,0.47," 10 010000000 000"
"131","hit",-2.04,0.47,0.66," 10 101000011 101"
"132","horrify",-1.9,0.59,0.43," 01 100100011 100"
"133","humiliate",-2.63,-0.17,0.8," 01 111111111 000"
"134","hurry",-0.01,0.19,1.36," 10 110011011 100"
"135","hush",-0.42,0.84,-0.53," 10 111111111 010"
"136","ignore",-1.13,0.73,0.09," 11 100100011 010"
"137","imitate",-0.22,0.1,1.06," 10 110000011 000"
"138","impede",-1.16,0.21,0.29," 10 011000010 000"
"139","incarcerate",-0.62,1.23,0.28," 10 001000000 010"
"140","indoctrinate",-0.51,0.98,-0.73," 10 000100111 000"
"141","indulge",0.5,0.83,0.85," 01 100000011 100"
"142","influence",1.08,1.4,0.71," 01 111111111 000"
"143","inform",2.05,1.69,0.7," 10 111111111 100"
"144","initiate",0.24,0.54,0.4," 10 100010101 000"
"145","injure",-1.86,0.45,0.67," 10 101001011 101"
"146","instruct",1.97,1.8,0.18," 10 011111111 000"
"147","insult",-2.39,-0.03,0.29," 10 111111111 000"
"148","interest",1.94,1.28,0.79," 01 110110111 100"
"149","interrogate",-0.31,1.93,0.36," 10 001000000 000"
"150","interrupt",-1.51,0.33,0.9," 10 111111111 100"
