"","term","E","P","A","instcodes"
"1","academic",1.83,1.695,0.37," 11 000010000 000"
"2","accomplice",-0.41,-0.025,0.5," 11 001000000 000"
"3","accountant",0.545,0.97,-0.02," 11 010000000 000"
"4","acquaintance",1.38,0.325,0.475," 11 100000000 000"
"5","adolescent",0.84,-0.52,2.03," 11 100000010 000"
"6","adulterer",-2.77,-0.655,0.345," 10 000000011 001"
"7","adultress",-2.405,-0.535,0.42," 01 000000011 001"
"8","advisor",1.555,1.495,-0.08," 11 110110000 000"
"9","airline_pilot",1.315,1.37,0.485," 11 010000000 000"
"10","alcoholic",-2.305,-1.865,-0.69," 11 100001000 000"
"11","amateur",0.38,-0.665,1.065," 11 100000000 000"
"12","applicant",0.925,-0.795,0.575," 11 010010000 000"
"13","apprentice",1.03,-0.58,1.205," 11 010000000 000"
"14","architect",1.595,1.495,0.35," 11 010000000 000"
"15","ass",-1.315,-0.435,0.17," 11 100000000 000"
"16","assailant",-1.44,0.56,0.585," 11 001000000 001"
"17","assistant",1.27,0.205,0.94," 11 011101000 000"
"18","athlete",1.49,2,2.32," 11 010010000 001"
"19","attorney",0.19,1.825,0.58," 11 001000000 000"
"20","auctioneer",0.65,0.905,0.91," 11 010000000 000"
"21","aunt",1.67,0.35,0.06," 01 000000010 000"
"22","author",1.035,1.13,-0.535," 11 010010000 000"
"23","authority",0.305,1.935,-0.325," 11 011111100 000"
"24","auto_mechanic",0.765,0.51,0.00499999999999999," 11 010000000 000"
"25","baby",2.96,-2.225,2.08," 11 100001010 001"
"26","babysitter",1.35,0.76,1.485," 11 000000010 011"
"27","bachelor",1.25,1.08,1.69," 10 000000011 000"
"28","baker",1.21,0.32,-0.355," 11 010000000 000"
"29","bandit",-1.365,0.325,0.975," 11 001000000 000"
"30","banker",0.805,1.47,0.085," 11 010000000 001"
"31","barkeeper",0.725,0.66,0.64," 11 010000000 000"
"32","barmaid",0.63,-0.26,0.87," 01 010000000 000"
"33","beauty",1.685,1.175,1.71," 01 100000000 001"
"34","beggar",-1.235,-1.695,-1.29," 11 100000000 000"
"35","beginner",0.63,-0.915,0.56," 11 100000000 000"
"36","bigamist",-2.46,-0.6,-0.255," 11 001000011 011"
"37","bigot",-2.525,-1.09,-0.82," 11 100000000 000"
"38","bill_collector",-1.445,1.435,-0.125," 11 010000000 000"
"39","bisexual",-1.145,-0.96,0.6," 11 000000001 001"
"40","blabbermouth",-1.5,-0.075,0.85," 11 100000000 000"
"41","blacksmith",0.905,0.755,-0.525," 11 010000000 000"
"42","blind_date",0.47,-0.385,0.94," 11 000000001 001"
"43","bodyguard",1.72,2.365,1.73," 11 001100000 001"
"44","bohemian",0.555,0.2,0.6," 11 100000000 000"
"45","bookworm",0.97,-0.095,-0.545," 11 000010000 000"
"46","boss",0.48,2.27,-0.155," 11 010000000 000"
"47","bouncer",0.22,2.105,1.375," 10 010000000 001"
"48","boxer",0.295,1.855,1.725," 10 010000000 001"
"49","boy_scout",2.02,0.56,1.46," 10 100000000 000"
"50","braggart",-1.2,-0.67,0.16," 11 100000000 000"
"51","brat",-1.695,-0.31,1.39," 11 100000010 000"
"52","brother_in_law",1.06,0.6,0.7," 10 000000010 000"
"53","brother",1.87,1.02,1.51," 10 000000010 000"
"54","brute",-1.475,1.235,0.615," 10 100000000 001"
"55","buddy",2.515,1.205,1.355," 11 100000000 000"
"56","bulldozer_operator",0.51,1.125,0.09," 11 010000000 000"
"57","bully",-2.625,1.31,1.385," 11 100000000 001"
"58","burglar",-2.915,0.07,0.91," 11 011000000 000"
"59","bus_driver",0.94,-0.05,-0.735," 11 010000000 000"
"60","butcher",0.335,0.295,-0.58," 11 010000000 000"
"61","bystander",0.27,-0.615,-0.22," 11 100000000 000"
"62","call_girl",-1.11,-0.865,1.525," 01 000000001 001"
"63","captive",-0.955,-1.91,-0.5," 11 001100000 001"
"64","car_driver",0.45,0.5,0.47," 11 100000000 000"
"65","carpenter",1.145,0.44,0.465," 11 010000000 000"
"66","celebrity",1.01,1.575,1.145," 11 110000000 000"
"67","chairman",0.755,1.575,-0.335," 11 011100000 000"
"68","chambermaid",0.59,-0.66,0.25," 01 010000000 000"
"69","champion",1.98,2.145,1.74," 11 100010000 001"
"70","chap",0.915,-0.105,0.415," 10 100000000 000"
"71","chaperone",0.395,1.01,-0.87," 11 000000010 000"
"72","chatterbox",-0.625,-0.255,1.355," 11 100000000 000"
"73","chef",1.2,0.57,0.265," 11 010000000 000"
"74","chemist",1.075,1.16,-0.485," 11 010010000 000"
"75","child",2.295,-1.255,2.205," 11 100000010 000"
"76","christian",1.855,1.6,0.815," 11 000000100 010"
"77","church_deacon",2.065,1.59,-0.82," 11 000000100 000"
"78","civil_servant",0.355,0.03,-0.385," 11 001100000 000"
"79","classmate",1.16,0.16,0.935," 11 000010000 000"
"80","clerk",0.54,-0.63,0.4," 11 011000000 000"
"81","client",1.13,0.51,0.55," 11 011000000 000"
"82","clown",0.935,0,1.37," 11 100000000 000"
"83","coed",0.96,0.185,1.13," 01 000010000 000"
"84","colleague",1.53,0.705,0.805," 11 000011000 000"
"85","comedian",1.715,0.58,1.78," 11 100000000 000"
"86","computer_programmer",1.015,1.105,0.53," 11 010010000 000"
"87","concubine",-0.43,-0.605,0.8," 01 010000001 001"
"88","confidant",1.955,1.51,0.4," 11 100000000 000"
"89","conformist",-0.47,-0.805,-0.31," 11 100000000 000"
"90","connoisseur",0.785,0.59,-0.16," 11 100000000 000"
"91","construction_foreman",0.545,1.335,0.34," 11 010000000 000"
"92","construction_laborer",0.54,0.665,0.52," 11 010000000 000"
"93","consumer",1.11,0.955,0.215," 11 010000000 000"
"94","convict",-1.52,0.04,0.34," 11 001000000 001"
"95","cook",1.72,0.48,0.13," 11 010000000 000"
"96","cop",0.755,2.195,0.84," 11 001000000 001"
"97","copycat",-1.525,-1.2,0.585," 11 100000000 000"
"98","counselor",1.505,1.165,-0.025," 11 111111100 000"
"99","courtesan",0.1,0.105,0.07," 01 010000001 001"
"100","cousin",1.605,0.055,1.265," 11 000000010 000"
"101","coward",-1.345,-2.61,-0.7," 11 100000000 000"
"102","coworker",0.845,0.51,0.725," 11 010000000 000"
"103","criminal",-2.455,0.02,0.47," 11 001000000 000"
"104","cripple",0.035,-1.33,-1.025," 11 100001000 000"
"105","crippled_person",0.23,-1.01,-0.9," 11 100001000 000"
"106","critic",-0.335,0.97,-0.265," 11 100110000 000"
"107","crone",-0.225,-0.37,-1," 01 100000000 000"
"108","crybaby",-1.695,-1.655,0.255," 11 100000000 000"
"109","culprit",-1.49,0.16,0.57," 11 001000000 010"
"110","customer",1.085,1,0.48," 11 010000000 000"
"111","cutthroat",-1.805,0.445,0.495," 10 011100000 000"
"112","cynic",-0.525,-0.045,-0.105," 11 100110000 000"
"113","daughter",1.96,-0.05,2.065," 01 000000010 000"
"114","decorator",0.87,0.43,0.795," 11 010000000 000"
"115","defendant",0.095,-0.665,0.015," 11 001000000 000"
"116","delinquent",-1.665,-0.605,1.21," 11 001000000 000"
"117","dental_assistant",1.06,0.37,0.93," 01 000001000 001"
"118","dentist",1.44,0.9,-0.005," 11 000001000 001"
"119","desperado",0.235,1,1.03," 11 001000000 001"
"120","detective",1.375,1.515,0.205," 11 001000000 001"
"121","devil",-3.045,1.275,0.575," 11 100000100 000"
"122","diner",0.885,0.08,-0.01," 11 010000000 000"
"123","disciplinarian",0.025,1.65,-0.17," 11 000010110 001"
"124","dishwasher",0.935,-0.02,0.39," 11 010000000 000"
"125","divorcee_(gender_neutral)",-0.835,-0.595,-0.32," 01 000000010 000"
"126","doll",1.105,-1.09,0.4," 01 100000000 000"
"127","dolt",-0.535,-0.595,-0.14," 11 100000000 000"
"128","dropout",-1.84,-2.125,0.23," 11 000010000 000"
"129","drug_addict",-2.72,-2.21,-0.365," 11 001001000 000"
"130","drunk",-1.665,-1.815,-0.28," 11 100000000 000"
"131","drunkard",-1.55,-1.36,-1.065," 11 100000000 000"
"132","egghead",-0.01,-0.54,-0.185," 11 000010000 000"
"133","electrician",1.14,0.885,0.22," 11 010000000 000"
"134","employee",1.185,-0.36,0.595," 11 010000000 000"
"135","employer",0.71,1.79,-0.18," 11 010000000 000"
"136","enemy",-2.13,0.45,0.27," 11 100100000 001"
"137","engineer",1.52,1.425,0.245," 11 010000000 000"
"138","entrepreneur",1.165,1.34,0.975," 11 010000000 000"
"139","evangelist",0.8,1.255,0.515," 11 000000100 000"
"140","executive",0.775,2.18,0.51," 11 010000000 000"
"141","expert",1.615,2.13,-0.015," 11 011111000 000"
"142","extrovert",0.88,0.86,1.51," 11 100000000 000"
"143","eyewitness",1.44,1.335,0.495," 11 001000000 000"
"144","fairy",1.865,0.22,1.26," 10 000000001 000"
"145","fan",1.735,1.015,1.2," 11 100000000 000"
"146","fanatic",0.06,0.435,1.145," 11 100100000 000"
"147","farm_laborer",0.905,0.19,0.025," 11 010000000 000"
"148","farmer",1.64,0.35,-0.71," 11 010000000 000"
"149","father_in_law",0.97,0.895,-0.435," 10 000000010 000"
"150","father",2.33,2.275,0.43," 10 000000010 001"
"151","fellow",0.955,0.33,0.39," 10 100000000 000"
"152","female",2.26,0.535,1.54," 01 100000001 000"
"153","fireman",2.255,2.09,1.93," 10 001000000 001"
"154","fisherman",1.14,0.265,-0.565," 11 110000000 000"
"155","flight_attendant",1.535,-0.345,1.37," 11 010000000 000"
"156","fool",-1.195,-1.51,-0.17," 11 100000000 000"
"157","freak",-0.495,-0.3,0.91," 11 100000000 000"
"158","freshman",0.85,-0.79,1.74," 11 000010000 000"
"159","friend",2.85,2.01,1.56," 11 100000000 000"
"160","funeral_director",0.505,0.355,-1.07," 11 010000000 000"
"161","g_man",-0.4,0.625,0.525," 11 001000000 001"
"162","gambler",-0.84,0.225,0.42," 11 110000000 000"
"163","garbage_collector",0.65,-0.02,-0.175," 11 010000000 000"
"164","genius",1.59,1.825,0.45," 11 000010000 000"
