"","term","E","P","A","instcodes"
"1","academic",1.96,1.89,0.47," 11 000010000 000"
"2","accomplice",-0.62,-0.11,0.48," 11 001000000 000"
"3","accountant",0.57,1.34,0.49," 11 010000000 000"
"4","acquaintance",1.29,0.25,0.56," 11 100000000 000"
"5","adolescent",0.85,-0.41,1.81," 11 100000010 000"
"6","adulterer",-2.85,-0.97,0.48," 10 000000011 001"
"7","adultress",-2.61,-0.78,0.49," 01 000000011 001"
"8","advisor",1.78,1.51,-0.28," 11 110110000 000"
"9","airline_pilot",1.69,1.66,0.89," 11 010000000 000"
"10","alcoholic",-2.36,-1.86,-0.79," 11 100001000 000"
"11","amateur",0.29,-0.55,0.85," 11 100000000 000"
"12","applicant",0.81,-0.7,0.48," 11 010010000 000"
"13","apprentice",1.09,-0.41,0.98," 11 010000000 000"
"14","architect",1.64,1.75,0.77," 11 010000000 000"
"15","ass",-1.15,-0.48,0.09," 11 100000000 000"
"16","assailant",-1.33,0.49,0.46," 11 001000000 001"
"17","assistant",1.34,0.37,0.89," 11 011101000 000"
"18","athlete",1.34,1.89,2.03," 11 010010000 001"
"19","attorney",0.04,2.01,0.72," 11 001000000 000"
"20","auctioneer",0.57,0.64,0.95," 11 010000000 000"
"21","aunt",1.96,0.75,0.42," 01 000000010 000"
"22","author",0.9,1.23,-0.56," 11 010010000 000"
"23","authority",0.36,1.7,-0.19," 11 011111100 000"
"24","auto_mechanic",0.66,0.62,0.18," 11 010000000 000"
"25","baby",3.18,-2.33,1.93," 11 100001010 001"
"26","babysitter",1.34,0.69,1.14," 11 000000010 011"
"27","bachelor",1.06,0.86,1.57," 10 000000011 000"
"28","baker",1.34,0.27,-0.53," 11 010000000 000"
"29","bandit",-1.55,0.15,0.92," 11 001000000 000"
"30","banker",0.79,1.36,0.31," 11 010000000 001"
"31","barkeeper",0.61,0.63,0.71," 11 010000000 000"
"32","barmaid",0.24,-0.25,1.04," 01 010000000 000"
"33","beauty",1.48,1.34,1.53," 01 100000000 001"
"34","beggar",-1,-1.23,-0.79," 11 100000000 000"
"35","beginner",0.83,-0.99,0.39," 11 100000000 000"
"36","bigamist",-2.59,-0.72,-0.33," 11 001000011 011"
"37","bigot",-2.75,-1,-0.57," 11 100000000 000"
"38","bill_collector",-1.56,1.52,0.45," 11 010000000 000"
"39","bisexual",-0.91,-0.88,0.54," 11 000000001 001"
"40","blabbermouth",-1.29,0.03,0.67," 11 100000000 000"
"41","blacksmith",0.89,0.89,-0.44," 11 010000000 000"
"42","blind_date",0.55,-0.37,1," 11 000000001 001"
"43","bodyguard",1.74,2.32,2.05," 11 001100000 001"
"44","bohemian",0.61,0.1,0.58," 11 100000000 000"
"45","bookworm",1.13,0.11,-0.46," 11 000010000 000"
"46","boss",0.49,2.32,0.06," 11 010000000 000"
"47","bouncer",-0.07,1.96,1.07," 10 010000000 001"
"48","boxer",0.2,1.62,1.58," 10 010000000 001"
"49","boy_scout",2.23,0.66,1.4," 10 100000000 000"
"50","braggart",-1.25,-0.53,0.24," 11 100000000 000"
"51","brat",-1.4,-0.1,1.04," 11 100000010 000"
"52","brother_in_law",1.22,0.7,0.71," 10 000000010 000"
"53","brother",1.72,1.29,1.41," 10 000000010 000"
"54","brute",-1.61,1.35,0.48," 10 100000000 001"
"55","buddy",2.86,1.27,1.31," 11 100000000 000"
"56","bulldozer_operator",0.44,1.25,0.22," 11 010000000 000"
"57","bully",-2.56,1.14,1.31," 11 100000000 001"
"58","burglar",-2.86,0.05,0.92," 11 011000000 000"
"59","bus_driver",1.12,-0.21,-0.72," 11 010000000 000"
"60","butcher",-0.07,0.28,-0.55," 11 010000000 000"
"61","bystander",-0.03,-0.34,0.07," 11 100000000 000"
"62","call_girl",-2.18,-1.19,1.18," 01 000000001 001"
"63","captive",-1.1,-2.01,-0.42," 11 001100000 001"
"64","car_driver",0.66,0.63,0.56," 11 100000000 000"
"65","carpenter",1.39,0.59,0.4," 11 010000000 000"
"66","celebrity",0.75,1.63,1.15," 11 110000000 000"
"67","chairman",0.77,1.69,0.13," 11 011100000 000"
"68","chambermaid",0.68,-0.84,0.19," 01 010000000 000"
"69","champion",2.12,2.24,1.83," 11 100010000 001"
"70","chap",0.63,-0.04,0.38," 10 100000000 000"
"71","chaperone",0.05,1.08,-1.13," 11 000000010 000"
"72","chatterbox",-0.19,0,1.55," 11 100000000 000"
"73","chef",1.35,0.58,0.39," 11 010000000 000"
"74","chemist",1.16,1.33,-0.24," 11 010010000 000"
"75","child",2.59,-1.25,2.41," 11 100000010 000"
"76","christian",1.98,1.8,1.1," 11 000000100 010"
"77","church_deacon",1.99,1.67,-0.72," 11 000000100 000"
"78","civil_servant",0.51,-0.1,0.01," 11 001100000 000"
"79","classmate",1.28,0.08,0.88," 11 000010000 000"
"80","clerk",0.34,-0.79,0.34," 11 011000000 000"
"81","client",1.03,0.1,0.45," 11 011000000 000"
"82","clown",0.59,-0.07,1.31," 11 100000000 000"
"83","coed",0.85,0.32,1," 01 000010000 000"
"84","colleague",1.59,0.32,0.74," 11 000011000 000"
"85","comedian",1.73,0.45,1.74," 11 100000000 000"
"86","computer_programmer",0.65,1.22,0.64," 11 010010000 000"
"87","concubine",-0.51,-0.77,0.53," 01 010000001 001"
"88","confidant",2.06,1.42,0.59," 11 100000000 000"
"89","conformist",-0.59,-0.93,-0.15," 11 100000000 000"
"90","connoisseur",1,0.54,0.06," 11 100000000 000"
"91","construction_foreman",0.51,0.94,0.44," 11 010000000 000"
"92","construction_laborer",0.52,0.84,0.67," 11 010000000 000"
"93","consumer",1.07,0.93,0.25," 11 010000000 000"
"94","convict",-1.62,0.1,0.29," 11 001000000 001"
"95","cook",1.93,0.7,0.47," 11 010000000 000"
"96","cop",0.64,2.22,0.66," 11 001000000 001"
"97","copycat",-1.34,-1.14,0.55," 11 100000000 000"
"98","counselor",0.98,0.77,0.09," 11 111111100 000"
"99","courtesan",0.36,0.02,0.18," 01 010000001 001"
"100","cousin",1.79,0.08,0.93," 11 000000010 000"
"101","coward",-1.2,-2.83,-0.71," 11 100000000 000"
"102","coworker",0.95,0.6,0.49," 11 010000000 000"
"103","criminal",-2.43,0.4,0.5," 11 001000000 000"
"104","cripple",-0.03,-1.49,-1.03," 11 100001000 000"
"105","crippled_person",0.5,-0.85,-0.58," 11 100001000 000"
"106","critic",-0.5,0.89,-0.14," 11 100110000 000"
"107","crone",-0.19,-0.43,-1.46," 01 100000000 000"
"108","crybaby",-1.55,-1.42,-0.22," 11 100000000 000"
"109","culprit",-1.59,0.18,0.49," 11 001000000 010"
"110","customer",0.97,0.87,0.35," 11 010000000 000"
"111","cutthroat",-1.48,0.7,0.51," 10 011100000 000"
"112","cynic",-0.34,-0.11,-0.03," 11 100110000 000"
