"","term","E","P","A","instcodes"
"1","academic",1.7,1.5,0.27," 11 000010000 000"
"2","accomplice",-0.2,0.06,0.52," 11 001000000 000"
"3","accountant",0.52,0.6,-0.53," 11 010000000 000"
"4","acquaintance",1.47,0.4,0.39," 11 100000000 000"
"5","adolescent",0.83,-0.63,2.25," 11 100000010 000"
"6","adulterer",-2.69,-0.34,0.21," 10 000000011 001"
"7","adultress",-2.2,-0.29,0.35," 01 000000011 001"
"8","advisor",1.33,1.48,0.12," 11 110110000 000"
"9","airline_pilot",0.94,1.08,0.08," 11 010000000 000"
"10","alcoholic",-2.25,-1.87,-0.59," 11 100001000 000"
"11","amateur",0.47,-0.78,1.28," 11 100000000 000"
"12","applicant",1.04,-0.89,0.67," 11 010010000 000"
"13","apprentice",0.97,-0.75,1.43," 11 010000000 000"
"14","architect",1.55,1.24,-0.07," 11 010000000 000"
"15","ass",-1.48,-0.39,0.25," 11 100000000 000"
"16","assailant",-1.55,0.63,0.71," 11 001000000 001"
"17","assistant",1.2,0.04,0.99," 11 011101000 000"
"18","athlete",1.64,2.11,2.61," 11 010010000 001"
"19","attorney",0.34,1.64,0.44," 11 001000000 000"
"20","auctioneer",0.73,1.17,0.87," 11 010000000 000"
"21","aunt",1.38,-0.05,-0.3," 01 000000010 000"
"22","author",1.17,1.03,-0.51," 11 010010000 000"
"23","authority",0.25,2.17,-0.46," 11 011111100 000"
"24","auto_mechanic",0.87,0.4,-0.17," 11 010000000 000"
"25","baby",2.74,-2.12,2.23," 11 100001010 001"
"26","babysitter",1.36,0.83,1.83," 11 000000010 011"
"27","bachelor",1.44,1.3,1.81," 10 000000011 000"
"28","baker",1.08,0.37,-0.18," 11 010000000 000"
"29","bandit",-1.18,0.5,1.03," 11 001000000 000"
"30","banker",0.82,1.58,-0.14," 11 010000000 001"
"31","barkeeper",0.84,0.69,0.57," 11 010000000 000"
"32","barmaid",1.02,-0.27,0.7," 01 010000000 000"
"33","beauty",1.89,1.01,1.89," 01 100000000 001"
"34","beggar",-1.47,-2.16,-1.79," 11 100000000 000"
"35","beginner",0.43,-0.84,0.73," 11 100000000 000"
