"","term","E","P","A","instcodes"
"1","no_emotion",0,0,0," 10 100000000 000"
"2","afraid",-1.23,-0.865,-0.49," 10 100000000 000"
"3","aggravated",-1.58,-0.53,0.07," 10 100000000 000"
"4","agitated",-1.39,-0.295,-0.005," 10 100000000 000"
"5","amused",2.16,1.17,1.125," 10 100000000 000"
"6","angry",-1.585,-0.105,0.375," 10 100000000 000"
"7","anguished",-1.45,-1.015,-0.32," 10 100000000 000"
"8","annoyed",-1.55,-0.71,0.085," 10 100010000 000"
"9","anxious",-0.155,-0.36,0.82," 10 100000000 000"
"10","anxious",0.1,-0.015,0.835," 10 100000000 000"
"11","ashamed",-1.71,-0.985,-0.45," 10 100010000 000"
"12","bitter",-1.8,-0.9,-0.34," 10 100010000 000"
"13","blue",-1.72,-0.86,-0.97," 10 100000000 000"
"14","calm",1.8,0.765,-0.33," 10 100010000 000"
"15","contented",1.655,1.305,0.455," 10 100010000 000"
"16","dejected",-1.735,-1.305,-0.86," 10 100000000 000"
"17","delighted",2.26,1.46,1.02," 10 100000000 000"
"18","depressed",-2.25,-1.7,-1.48," 10 100010000 000"
"19","disappointed",-1.81,-0.815,-0.42," 10 100000000 000"
"20","discontented",-1.425,-0.8,-0.735," 10 100000000 000"
"21","disgusted",-1.53,-0.685,-0.455," 10 100010000 000"
"22","dissatisfied",-1.995,-1.475,-0.47," 10 100000000 000"
"23","ecstatic",2.28,1.63,1.785," 10 100000000 000"
"24","elated",1.645,0.92,0.92," 10 100000000 000"
"25","embarrassed",-1.345,-1.12,-0.24," 10 100010000 000"
"26","empty",-2.25,-1.84,-1.055," 10 000100000 000"
"27","envious",-1.545,-0.995,-0.045," 10 100000000 000"
"28","excited",2.32,2.01,1.915," 10 100010000 000"
"29","frustrated",-1.455,-1.095,-0.32," 10 100000000 000"
"30","full_(of_food)",0.675,0.37,-0.495," 10 000100000 000"
"31","glad",2.325,1.615,1.405," 10 100000000 000"
"32","gratified",1.995,1.32,0.88," 10 100000000 000"
"33","happy",2.805,2.235,1.585," 10 100010000 000"
"34","heavy_hearted",-0.735,-0.45,-0.155," 10 100000000 000"
"35","homesick",-1.055,-1.005,0.19," 10 100000000 000"
"36","horrified",-1.785,-1.355,-0.23," 10 100000000 000"
"37","hurt",-2.17,-1.36,-0.6," 10 100100000 000"
"38","impatient",-1.03,-0.785,0.765," 10 100010000 000"
"39","in_love",3.065,2.165,1.93," 10 000100000 000"
"40","irked",-1.395,-0.395,-0.18," 10 100000000 000"
"41","jealous",-1.595,-0.915,0.205," 10 110000000 000"
"42","lonesome",-1.985,-1.825,-1.305," 10 100000000 000"
"43","mad",-1.115,0.28,0.13," 10 100010000 000"
"44","melancholy",-0.405,-0.725,-0.495," 10 100000000 000"
"45","miserable",-2.39,-1.56,-0.93," 10 100000000 000"
"46","moved",1.65,1.2,0.91," 10 100000000 000"
"47","nervous",-0.71,-1,0.22," 10 100010000 000"
"48","outraged",-1.445,-0.17,0.67," 10 100010000 000"
"49","overjoyed",2.775,1.99,1.715," 10 100010000 000"
"50","passionate",2.275,1.47,1.53," 10 110000000 000"
"51","proud",2.055,1.695,0.905," 10 100010000 000"
"52","regretful",-1.145,-1.05,-0.3," 10 100000000 000"
"53","relieved",2.545,1.13,0.84," 10 100000000 000"
"54","remorseful",-0.13,-0.06,-0.645," 10 100000000 000"
"55","resentful",-1.77,-0.505,-0.505," 10 100000000 000"
"56","reverent",1.11,0.48,-0.325," 10 110000000 000"
"57","sad",-1.9,-1.345,-0.935," 10 100000000 000"
"58","satisfied",2.56,1.77,1.06," 10 100000000 000"
"59","scared",-1.48,-1.23,-0.135," 10 100010000 000"
"60","self_pity",-1.58,-1.95,-0.955," 10 100000000 000"
"61","sorrowful",-0.855,-0.55,-0.6," 10 100000000 000"
"62","thrilled",2.5,1.585,1.615," 10 100010000 000"
"63","touched",2.205,1.13,0.585," 10 100000000 000"
"64","uneasy",-1.685,-1.27,-0.195," 10 100000000 000"
"65","unhappy",-2.31,-1.24,-0.895," 10 100010000 000"
"66","upset",-1.61,-0.84,-0.46," 10 100000000 000"
