"","term","E","P","A","instcodes"
"1","no_emotion",0,0,0," 10 100000000 000"
"2","afraid",-1.25,-0.75,-0.43," 10 100000000 000"
"3","aggravated",-1.82,-0.37,0.07," 10 100000000 000"
"4","agitated",-1.42,-0.59,-0.11," 10 100000000 000"
"5","amused",2.56,1.49,1.08," 10 100000000 000"
"6","angry",-1.55,-0.27,0.27," 10 100000000 000"
"7","anguished",-1.35,-0.98,-0.08," 10 100000000 000"
"8","annoyed",-1.76,-0.85,0.33," 10 100010000 000"
"9","anxious",-0.6,-0.86,0.98," 10 100000000 000"
"10","anxious",-0.09,-0.19,0.85," 10 100000000 000"
"11","ashamed",-2.06,-1.11,-0.55," 10 100010000 000"
"12","bitter",-2.07,-0.88,-0.26," 10 100010000 000"
"13","blue",-1.99,-0.72,-1.26," 10 100000000 000"
"14","calm",1.75,0.86,-0.1," 10 100010000 000"
"15","contented",1.67,1.36,0.04," 10 100010000 000"
"16","dejected",-1.68,-1.28,-0.75," 10 100000000 000"
"17","delighted",2.59,1.56,1.07," 10 100000000 000"
"18","depressed",-2.71,-2.03,-1.76," 10 100010000 000"
"19","disappointed",-1.78,-1.14,-0.57," 10 100000000 000"
"20","discontented",-1.41,-0.54,-0.87," 10 100000000 000"
"21","disgusted",-1.32,-0.53,-0.28," 10 100010000 000"
"22","dissatisfied",-2.05,-1.53,-0.32," 10 100000000 000"
"23","ecstatic",2.46,1.85,1.87," 10 100000000 000"
"24","elated",1.7,0.81,1.11," 10 100000000 000"
"25","embarrassed",-1.77,-1.49,0.12," 10 100010000 000"
"26","empty",-2.54,-2.19,-1.2," 10 000100000 000"
"27","envious",-1.69,-1.17,-0.01," 10 100000000 000"
"28","excited",2.44,2.09,2.12," 10 100010000 000"
"29","frustrated",-1.52,-1.14,0.04," 10 100000000 000"
"30","full_(of_food)",0.55,0.04,-0.54," 10 000100000 000"
"31","glad",2.44,1.69,1.62," 10 100000000 000"
"32","gratified",1.77,1.28,0.63," 10 100000000 000"
"33","happy",2.99,2.37,1.72," 10 100010000 000"
"34","heavy_hearted",-0.7,-0.39,-0.05," 10 100000000 000"
"35","homesick",-1.29,-1.13,0.31," 10 100000000 000"
"36","horrified",-2.24,-1.62,-0.34," 10 100000000 000"
"37","hurt",-2.66,-1.39,-0.42," 10 100100000 000"
"38","impatient",-1.32,-0.47,0.69," 10 100010000 000"
"39","in_love",3.21,2.52,1.92," 10 000100000 000"
"40","irked",-1.42,0.04,-0.06," 10 100000000 000"
"41","jealous",-1.74,-1.11,0.27," 10 110000000 000"
"42","lonesome",-2.35,-1.69,-1.37," 10 100000000 000"
"43","mad",-1.36,0.12,-0.17," 10 100010000 000"
"44","melancholy",-0.95,-1.14,-0.81," 10 100000000 000"
"45","miserable",-2.55,-1.74,-0.72," 10 100000000 000"
"46","moved",1.9,1.63,1.27," 10 100000000 000"
"47","nervous",-0.88,-1.21,0.29," 10 100010000 000"
"48","outraged",-1.86,-0.14,0.71," 10 100010000 000"
"49","overjoyed",3.16,2.11,2.1," 10 100010000 000"
"50","passionate",2.66,1.83,1.78," 10 110000000 000"
"51","proud",1.94,1.62,0.9," 10 100010000 000"
"52","regretful",-0.85,-1.01,-0.25," 10 100000000 000"
"53","relieved",2.57,1.06,0.63," 10 100000000 000"
"54","remorseful",0.05,-0.14,-0.8," 10 100000000 000"
"55","resentful",-1.68,-0.39,-0.49," 10 100000000 000"
"56","reverent",1.34,0.57,-0.81," 10 110000000 000"
"57","sad",-1.78,-1.38,-0.83," 10 100000000 000"
"58","satisfied",2.5,1.77,1.21," 10 100000000 000"
"59","scared",-1.85,-1.27,0.05," 10 100010000 000"
"60","self_pity",-1.42,-2.07,-1.06," 10 100000000 000"
"61","sorrowful",-0.72,-0.28,-0.66," 10 100000000 000"
"62","thrilled",2.92,1.83,1.87," 10 100010000 000"
"63","touched",2.11,1,0.62," 10 100000000 000"
"64","uneasy",-1.48,-1.17,-0.22," 10 100000000 000"
"65","unhappy",-2.46,-1.31,-0.91," 10 100010000 000"
"66","upset",-1.7,-0.95,-0.4," 10 100000000 000"
