"","term","E","P","A","instcodes"
"1","no_emotion",0,0,0," 10 100000000 000"
"2","afraid",-1.21,-0.98,-0.55," 10 100000000 000"
"3","aggravated",-1.34,-0.69,0.07," 10 100000000 000"
"4","agitated",-1.36,0,0.1," 10 100000000 000"
"5","amused",1.76,0.85,1.17," 10 100000000 000"
"6","angry",-1.62,0.06,0.48," 10 100000000 000"
"7","anguished",-1.55,-1.05,-0.56," 10 100000000 000"
"8","annoyed",-1.34,-0.57,-0.16," 10 100010000 000"
"9","anxious",0.29,0.14,0.66," 10 100000000 000"
"10","anxious",0.29,0.16,0.82," 10 100000000 000"
"11","ashamed",-1.36,-0.86,-0.35," 10 100010000 000"
"12","bitter",-1.53,-0.92,-0.42," 10 100010000 000"
"13","blue",-1.45,-1,-0.68," 10 100000000 000"
"14","calm",1.85,0.67,-0.56," 10 100010000 000"
"15","contented",1.64,1.25,0.87," 10 100010000 000"
"16","dejected",-1.79,-1.33,-0.97," 10 100000000 000"
"17","delighted",1.93,1.36,0.97," 10 100000000 000"
"18","depressed",-1.79,-1.37,-1.2," 10 100010000 000"
"19","disappointed",-1.84,-0.49,-0.27," 10 100000000 000"
"20","discontented",-1.44,-1.06,-0.6," 10 100000000 000"
"21","disgusted",-1.74,-0.84,-0.63," 10 100010000 000"
"22","dissatisfied",-1.94,-1.42,-0.62," 10 100000000 000"
"23","ecstatic",2.1,1.41,1.7," 10 100000000 000"
"24","elated",1.59,1.03,0.73," 10 100000000 000"
"25","embarrassed",-0.92,-0.75,-0.6," 10 100010000 000"
"26","empty",-1.96,-1.49,-0.91," 10 000100000 000"
"27","envious",-1.4,-0.82,-0.08," 10 100000000 000"
"28","excited",2.2,1.93,1.71," 10 100010000 000"
"29","frustrated",-1.39,-1.05,-0.68," 10 100000000 000"
"30","full_(of_food)",0.8,0.7,-0.45," 10 000100000 000"
"31","glad",2.21,1.54,1.19," 10 100000000 000"
"32","gratified",2.22,1.36,1.13," 10 100000000 000"
"33","happy",2.62,2.1,1.45," 10 100010000 000"
"34","heavy_hearted",-0.77,-0.51,-0.26," 10 100000000 000"
"35","homesick",-0.82,-0.88,0.07," 10 100000000 000"
"36","horrified",-1.33,-1.09,-0.12," 10 100000000 000"
"37","hurt",-1.68,-1.33,-0.78," 10 100100000 000"
"38","impatient",-0.74,-1.1,0.84," 10 100010000 000"
"39","in_love",2.92,1.81,1.94," 10 000100000 000"
"40","irked",-1.37,-0.83,-0.3," 10 100000000 000"
"41","jealous",-1.45,-0.72,0.14," 10 110000000 000"
"42","lonesome",-1.62,-1.96,-1.24," 10 100000000 000"
"43","mad",-0.87,0.44,0.43," 10 100010000 000"
"44","melancholy",0.14,-0.31,-0.18," 10 100000000 000"
"45","miserable",-2.23,-1.38,-1.14," 10 100000000 000"
"46","moved",1.4,0.77,0.55," 10 100000000 000"
"47","nervous",-0.54,-0.79,0.15," 10 100010000 000"
"48","outraged",-1.03,-0.2,0.63," 10 100010000 000"
"49","overjoyed",2.39,1.87,1.33," 10 100010000 000"
"50","passionate",1.89,1.11,1.28," 10 110000000 000"
"51","proud",2.17,1.77,0.91," 10 100010000 000"
"52","regretful",-1.44,-1.09,-0.35," 10 100000000 000"
"53","relieved",2.52,1.2,1.05," 10 100000000 000"
"54","remorseful",-0.31,0.02,-0.49," 10 100000000 000"
"55","resentful",-1.86,-0.62,-0.52," 10 100000000 000"
"56","reverent",0.88,0.39,0.16," 10 110000000 000"
"57","sad",-2.02,-1.31,-1.04," 10 100000000 000"
"58","satisfied",2.62,1.77,0.91," 10 100000000 000"
"59","scared",-1.11,-1.19,-0.32," 10 100010000 000"
"60","self_pity",-1.74,-1.83,-0.85," 10 100000000 000"
"61","sorrowful",-0.99,-0.82,-0.54," 10 100000000 000"
"62","thrilled",2.08,1.34,1.36," 10 100010000 000"
"63","touched",2.3,1.26,0.55," 10 100000000 000"
"64","uneasy",-1.89,-1.37,-0.17," 10 100000000 000"
"65","unhappy",-2.16,-1.17,-0.88," 10 100010000 000"
"66","upset",-1.52,-0.73,-0.52," 10 100000000 000"
