"","term","E","P","A"
"1","air_force_enlistee",2.14,1.67,0.89
"2","air_force_officer",2.22,2.54,1.77
"3","air_force_reservist",1.91,1.55,0.61
"4","american",1.41,1.78,1.76
"5","arab",0.41,0.55,0.2
"6","army_enlistee",2.42,1.69,1.37
"7","army_officer",1.47,2.44,1.72
"8","army_reservist",1.95,1.42,0.63
"9","asian",1.43,0.42,-0.27
"10","asian_american",1.13,0.79,-0.02
"11","asian_man",0.83,0.25,-0.37
"12","asian_woman",1.02,0.14,-0.35
"13","australian",1.08,0.25,0.61
"14","austrian",0.65,0.26,0.44
"15","black",0.93,0.83,1.16
"16","buddhist",1.33,0.66,-1.88
"17","ceo",0.98,3.29,1.57
"18","cpa",0.72,1.33,-0.44
"19","catholic",0.54,0.51,-0.19
"20","chinese",0.94,0.35,0.09
"21","christian",1.62,1.5,0.73
"22","christian_missionary",1.77,1.69,0.57
"23","german",0.56,0.8,0.73
"24","god",3.34,3.64,-0.37
"25","hindu",0.82,0.14,-0.61
"26","hispanic_american",1.08,-0.03,0.35
"27","hispanic_man",0.59,-0.16,0.53
"28","hispanic_woman",0.98,0.01,0.97
"29","imam",0.39,1.4,-0.02
"30","jew",1.25,0.68,0.2
"31","marine_corps_enlistee",2.09,1.51,1.21
"32","marine_corps_officer",2,2.65,2.01
"33","marine_corps_reservist",1.65,1.68,0.54
"34","methodist",1.34,0.58,0.03
"35","mormon",0.11,-0.42,-0.53
"36","muslim",0.71,0.26,-0.12
"37","navy_enlistee",1.98,1.22,1
"38","navy_officer",2.1,2.68,1.03
"39","navy_reservist",1.9,1.44,0.47
"40","pentecostal",0.4,0.07,0.65
"41","protestant",1.05,0.6,0.48
"42","turk",0.29,0.12,0.06
"43","abortionist",-0.89,1.07,-0.23
"44","academic",2.34,2.33,-0.06
"45","accomplice",-0.09,0.27,0.19
"46","accountant",1.14,1.32,-0.27
"47","accounting_clerk",0.98,0.44,-1.02
"48","accused",-1.5,-1.44,-0.03
"49","acquaintance",1.12,-0.05,-0.13
"50","actor",0.91,1.41,1.75
"51","addict",-2.44,-2.29,0.04
"52","adolescent",0.63,-0.85,2.19
"53","adopted_child",1.97,-0.04,0.19
"54","adopted_daughter",1.95,0.34,0.1
"55","adopted_son",1.72,0.35,0.26
"56","adult",0.95,1.9,0.33
"57","adulterer",-3.05,0.01,0.29
"58","adulteress",-2.48,0.42,1.08
"59","advertising_copy_writer",0.58,0.34,0.74
"60","advertising_executive",0.36,2.14,1.33
"61","agnostic",0.03,-0.26,0.06
"62","aide",2.01,1.48,0.48
"63","airline_pilot",1.71,2.53,0.42
"64","alcoholic",-2.44,-1.8,1.3
"65","ally",2.43,2.23,-0.24
"66","alumnus",1.62,1.39,0.32
"67","ambassador",1.56,2.3,0.3
"68","anesthetist",1.45,1.87,-1.11
"69","angel",3.33,2.85,-0.86
"70","anti_semite",-2.83,-0.44,1.49
"71","applicant",1.13,-0.78,0.08
"72","apprentice",1.54,-0.4,0.05
"73","architect",1.56,1.8,-0.39
"74","army_chaplain",2.08,1.46,0.49
"75","army_general",1.81,3.32,2.33
"76","arsonist",-3.31,1.52,0.65
"77","artist",1.67,0.76,-0.38
"78","ass",-1.44,0.26,1.34
"79","assailant",-2.23,1.58,0.86
"80","assassin",-2.58,2.68,-0.47
"81","assembly_line_worker",0.83,-1.04,0.7
"82","assistant",1.58,-0.26,0.12
"83","astrologer",0.88,0.29,-0.45
"84","astronaut",2.53,2.24,0.71
"85","atheist",-0.52,-0.52,-0.03
"86","athlete",1.79,2.52,2.4
"87","attorney",1.16,2.46,1.62
"88","attorney_general",0.9,2.69,0.98
"89","auctioneer",0.82,1.18,3.04
"90","auditor",-0.08,1.44,-0.67
"91","auditor_general",-0.12,1.57,0.22
"92","aunt",2.04,0.68,0.68
"93","author",1.39,1.84,-1.21
"94","authority",0.75,3.06,0.69
"95","autistic_person",0.68,-0.92,-0.19
"96","auto_mechanic",1.33,0.48,0.76
"97","automobile_assembler",1.04,0.35,0.86
"98","baby",2.55,-2.58,1.63
"99","babysitter",2.01,1.28,0.59
"100","bachelor",0.69,0.74,1.41
"101","backstabber",-3.73,0.83,-0.25
"102","bailiff",0.9,1.66,0.26
"103","bailsman",0.59,1.35,0.47
"104","baker",1.91,0.57,0.06
"105","bandit",-2.2,0.92,1.31
"106","bank_manager",0.98,1.91,0.2
"107","bank_teller",1.14,0.56,-0.49
"108","banker",1.02,1.27,-0.66
"109","baptist",0.73,0.65,0.84
"110","barber",1.33,0.25,0.45
"111","bartender",1.15,1.17,2.21
"112","bastard",-1.66,-0.72,0.6
"113","battered_woman",-2.2,-1.99,-1.69
"114","beautician",1.36,0.05,1.08
"115","beauty",2.4,2.05,0.4
"116","beggar",-1.17,-2.69,-0.77
"117","beginner",0.3,-1.42,-0.87
"118","bellhop",1.2,-0.94,0.95
"119","benefactor",2.02,2.11,0.16
"120","best_friend",3.58,3.15,1.48
"121","best_man",2.55,1.48,0.84
"122","big_shot",-0.62,1.28,2.08
"123","bigamist",-1.91,-0.06,0.97
"124","bigot",-2.69,-0.48,1.46
"125","bill_collector",-1.15,1.62,0.83
"126","biologist",1.86,1.52,-0.11
"127","bisexual",-0.21,-0.27,0.36
"128","bitch",-2.54,0.17,2.3
"129","blabbermouth",-1.96,-0.12,2.96
"130","black_man",1.35,1.04,1.09
"131","black_professional",1.56,1.43,0.73
"132","black_woman",1.36,1.46,1.88
"133","blacksmith",1.2,1.13,0.93
"134","blind_date",0.58,-0.09,0.01
"135","blind_person",0.65,-1.27,-1.56
"136","blockhead",-1.63,-1.26,-0.84
"137","blogger",0.42,0.39,1.02
"138","blonde",0.69,0.28,0.95
"139","blood_donor",3.08,2.25,-0.37
"140","blue_collar_worker",1.34,-0.3,0.41
"141","board_director",0.98,2.69,1.26
"142","boarder",0.16,-0.18,-0.11
"143","bodyguard",1.84,2.84,0.5
"144","bohemian",0.78,0.19,0.13
"145","bonehead",-1.82,-1.73,-0.8
"146","bookie",-0.49,0.99,-0.16
"147","bookkeeper",1.36,-0.28,-1.71
"148","bookworm",1.61,0.37,-2.39
"149","boor",-0.88,-0.6,-1
"150","bore",-1.66,-1.14,-2.12
"151","born_again_christian",1.45,0.97,0.78
"152","boss",0.88,3.08,1.33
"153","bouncer",0.61,2.33,0.74
"154","boxer",0.56,2.52,2.54
"155","boy",1.03,0.89,1.74
"156","boy_scout",1.73,0.46,0.96
"157","boyfriend",1.98,1.72,0.92
"158","braggart",-1.73,-0.75,1.88
"159","brain",3.41,3.72,2.31
"160","brat",-2.89,-0.08,2.66
"161","breadwinner",2.19,2.28,0.9
"162","bricklayer",1.12,0.46,0.03
"163","bride",2.01,1.83,1.29
"164","bridegroom",1.51,1.27,0.15
"165","bridesmaid",2.14,0.41,1.13
"166","broad",-0.29,-0.35,0.98
"167","broadcast_news_analyst",0.61,1.32,1.47
"168","brother",1.85,1.71,1.56
"169","brother_in_law",1.07,0.26,0.44
"170","brunette",1.35,0.76,0.42
"171","brute",-2.03,1.79,1.51
"172","buddy",2.68,1.96,1.1
"173","buffoon",-1.62,-1.31,0.72
"174","building_contractor",1.11,1.41,0.98
"175","bulldozer_operator",0.41,1.13,1.51
"176","bully",-3.32,0.74,1.99
"177","bum",-1.85,-2.49,-1.56
"178","bureaucrat",-0.61,1.34,0.2
"179","burglar",-3.35,0.93,-0.47
"180","bus_driver",1.33,0.15,0.15
"181","busboy",0.85,-1.06,0.6
"182","businessman",0.69,1.82,1.25
"183","businesswoman",1.86,2.27,1.72
"184","busybody",0.36,0.62,2.43
"185","butcher",0.63,0.85,0.74
"186","bystander",-0.05,-0.54,-1.31
"187","cabinet_maker",1.06,0.62,0.29
"188","cabinet_member",0.55,1.82,0.48
"189","cad",-1.17,-0.57,0.97
"190","call_girl",-1.08,-0.66,1.03
"191","capitalist",0.65,1.71,1.29
"192","captive",-1.14,-2.66,-0.87
"193","carpenter",1.26,0.69,1.02
"194","cashier",0.61,-0.75,0.45
"195","casual_laborer",0.8,-0.43,-0.07
"196","celebrity",0.3,2.17,2.05
"197","cement_worker",0.74,0.08,0.83
"198","censor",-0.84,1.64,-0.22
"199","chain_smoker",-2.4,-1.7,-0.65
"200","chairman",0.62,2.46,0.63
"201","chairman_of_the_board",0.92,2.95,1.01
"202","chairperson",1.03,2.52,0.83
"203","chairwoman",1.45,2.35,0.93
"204","chambermaid",0.39,-1.43,-0.75
"205","champion",2.29,2.86,1.93
"206","chap",1.12,0.08,0.45
"207","chaperone",0.93,1.33,-0.12
"208","chaplain",2.04,1.7,-0.31
"209","chatterbox",-0.42,0.27,2.96
"210","chauffeur",1.41,-0.39,-0.71
"211","cheat",-3.03,-0.58,-0.14
"212","cheerleader",1.08,0.09,3.05
"213","chef",1.91,1.49,1.82
"214","chemical_engineer",1.69,1.86,-0.43
"215","chemist",1.61,1.78,-0.63
"216","chief_operations_officer",0.94,2.52,1.11
"217","child",1.97,-1.17,1.99
"218","child_molester",-4.17,0.15,-0.91
"219","chiropractor",1.63,1.28,-0.3
"220","choreographer",1.31,1.13,2.12
"221","chum",-0.84,-1.16,-0.82
"222","church_deacon",1.44,1.43,-0.13
"223","citizen",1.42,1,0.52
"224","city_councilor",0.57,1.89,0.8
"225","civil_engineer",1.84,1.58,-0.03
"226","civil_servant",1.13,-0.42,-0.54
"227","classmate",1,0.21,0.27
"228","cleaning_woman",1.65,-0.06,-0.02
"229","clergy",0.94,1.42,-0.64
"230","clerical_worker",1.1,-0.08,-0.55
"231","clerk",1.02,-0.39,-0.11
"232","client",1.39,1.27,0.92
"233","clod",-1.18,-0.48,-0.34
"234","clown",-0.18,-1.15,2.03
"235","co_worker",1.39,0.25,0.43
"236","coach",2.02,2.6,2.34
"237","coal_miner",0.78,0.02,0.48
"238","collaborator",1.42,1.34,0.76
"239","colleague",1.57,1.02,0.39
"240","college_student",1.78,0.4,1.81
"241","comedian",1.85,1.16,2.97
"242","commentator",0.98,0.96,1.94
"243","commissioned_officer",1.33,2.06,0.89
"244","commissioner",0.88,1.77,0.59
"245","communist",-1.41,0.58,0.42
"246","companion",3.11,2.1,0.4
"247","competitor",0.35,1.88,1.59
"248","computer_programmer",1.59,1.54,-0.03
"249","computer_security_specialist",1.52,1.46,-0.67
"250","computer_support_specialist",1.45,0.76,0.07
"251","con_artist",-2.52,1.42,0.86
"252","confidant",2.46,2.44,-0.53
"253","conformist",-1.06,-2.01,-0.91
"254","connoisseur",1.35,0.97,-0.04
"255","conservative",0.48,0.55,-0.25
"256","construction_contractor",1.19,1.4,1.33
"257","construction_foreman",1.11,1.44,1.46
"258","construction_laborer",1.2,0.69,1.58
"259","consultant",1.61,1.59,0.82
"260","consumer",1.17,1.44,0.99
"261","convict",-2.18,-1.02,0.36
"262","cook",2.16,1.66,1.51
"263","cop",0.96,2.66,1.05
"264","copycat",-1.99,-1.23,0.03
"265","coroner",0.58,0.52,-1.27
"266","cosmetologist",1.41,0.37,0.53
"267","counselor",2.58,1.6,-0.84
"268","cousin",1.52,0.3,0.7
"269","coward",-2.32,-3.01,-2.04
"270","craftsman",1.71,0.96,-0.21
"271","crane_operator",0.91,1.3,0.09
"272","creditor",-0.56,1.61,0.58
"273","criminal",-2.58,-0.25,0.59
"274","cripple",-0.05,-1.91,-1.87
"275","critic",-0.45,1.55,1.32
"276","crook",-2.77,-0.31,0.21
"277","crybaby",-2.46,-2.1,1.91
"278","culprit",-2.15,-0.16,0.75
"279","custodian",1.49,-0.9,-1.02
"280","customer",1.19,1.38,0.62
"281","customer_systems_analyst",0.9,0.3,-0.63
"282","customs_officer",0.27,1.35,-0.03
"283","cutthroat",-2.05,1.4,0.93
"284","cynic",-1.43,-0.4,0.26
"285","dairy_farmer",1.52,0.39,-0.68
"286","daredevil",0.54,1.69,3.17
"287","daughter",1.69,0.92,1.26
"288","daughter_in_law",1.33,0.24,0.13
"289","deadbeat",-2.72,-2.47,-1.95
"290","deadbeat_dad",-3.35,-0.9,-0.99
"291","decorator",1.62,0.62,1.08
"292","defendant",0.15,-0.47,-0.1
"293","defense_attorney",0.88,2.17,1.44
"294","degenerate",-1.67,-1.41,-0.49
"295","delinquent",-2.26,-1.14,1.41
"296","dental_assistant",1.31,-0.09,0.02
"297","dental_hygienist",1.71,0.91,0.32
"298","dentist",1.54,1.33,0.16
"299","deputy",1.03,1.97,0.77
"300","detective",1.7,1.95,-0.7
"301","devil",-3.6,1.93,1.3
"302","dietitian",1.52,0.77,-0.18
"303","dimwit",-1.51,-2.12,-1.24
"304","diner",1.43,-0.22,1.6
"305","diplomat",1.11,2.34,0.93
"306","disabled_person",0.31,-1,-1.3
"307","disciplinarian",0.11,2.21,0.99
"308","dishwasher",1.77,0.09,1.49
"309","disregard",-1.4,0.65,-0.12
"310","district_attorney",1.02,2.52,1.12
"311","divorcee_(male)",-1.6,0.95,0.42
