"","term","E","P","A"
"1","abandoned",-3.36,-0.2,-1.57
"2","able_bodied",3.06,2.8,1.74
"3","absent_minded",-1.76,-1.73,-1.75
"4","abusive",-3.79,1.44,1.8
"5","abusive_(physically)",-3.85,0.81,2.08
"6","abusive_(verbally)",-3.42,1.55,2.28
"7","accommodating",2.49,1.56,-0.04
"8","acquiescent",0.67,-0.45,-0.83
"9","active",2.91,2.34,2.76
"10","adaptive",2.84,2.79,0.65
"11","adventurous",2.6,2.24,2.43
"12","affable",1.33,0.96,0.67
"13","affected",0.1,0.57,0.12
"14","affectionate",2.59,2.01,-1.08
"15","afraid",-1.86,-0.93,-0.74
"16","aggravated",-2.5,-0.14,0.93
"17","aggressive",-0.78,1.54,2.33
"18","aggrieved",-1.4,-0.21,-0.54
"19","agitated",-2.1,-0.65,1.11
"20","agonized",-2.88,-0.73,-0.07
"21","agreeable",1.97,1.02,-0.47
"22","aimless",-1.62,-2.06,-1.59
"23","alarmed",-1.37,0.24,1.62
"24","alert",2.23,1.91,0.92
"25","aloof",-0.9,-1.21,-1.33
"26","ambitious",2.75,2.57,1.42
"27","amorous",1.7,1.54,0.64
"28","amused",2.62,1.48,0.91
"29","amusing",2.51,1.8,1.84
"30","angry",-1.99,0.96,1.82
"31","anguished",-2.04,-0.55,-0.94
"32","annoyed",-2.16,-0.38,0.6
"33","annoying",-2.07,0.41,1.95
"34","antisocial",-1.65,-1.83,-2.61
"35","anxious",-1.7,-0.88,0.49
"36","apathetic",-1.35,-0.87,-1.81
"37","appalled",-1.36,-0.31,0.45
"38","appreciative",3.18,2.42,-0.07
"39","apprehensive",-1.65,-0.73,-0.8
"40","aroused",1.97,1.91,1.14
"41","arrogant",-2.46,-0.29,1.97
"42","artistic",2.48,1.56,0.73
"43","artistical",2.23,1.32,-0.5
"44","ashamed",-2.43,-0.28,-1.79
"45","assertive",1.15,2.24,1.86
"46","astonished",0.86,0.91,1.15
"47","at_ease",2.89,2.02,-2.1
"48","attentive",2.72,2.05,-0.84
"49","attractive",2.33,2.23,0.84
"50","audacious",0.4,1.24,1.8
"51","authoritarian",-0.7,2.3,1.4
"52","autonomous",0.96,1.66,0.32
"53","average",-0.7,-1.23,-0.82
"54","awe_struck",1.64,1.04,0.28
"55","awkward",-0.62,-0.99,-1.22
"56","bad",-3.26,0.68,1.12
"57","bad_tempered",-2.81,-0.45,1.97
"58","beautiful",2.41,2.18,0.42
"59","belligerent",-2.26,-0.51,2.24
"60","benevolent",2.47,1.9,0.12
"61","betrayed",-3.5,1.32,0.09
"62","big",0.76,2.16,0.17
"63","bitchy",-2.69,0.11,2.56
"64","bitter",-2.36,-0.86,-0.71
"65","black",0.66,0.2,1.06
"66","blue",-2.23,-1.31,-2.15
"67","bold",2.35,2.73,1.94
"68","bored",-2,-0.72,-2.19
"69","boring",-1.87,-2.01,-2.68
"70","bossy",-1.41,1.27,1.91
"71","brave",3.18,3.12,1.51
"72","bright",2.97,2.66,1.21
"73","broad_minded",2.51,2.26,0.12
"74","broken_hearted",-3.01,-0.46,-1.7
"75","bullheaded",-1.41,0.59,1.24
"76","calm",2.95,1.7,-2.39
"77","candid",1.58,1.33,0.86
"78","cantankerous",-1.48,-0.18,1.07
"79","captivated",1.67,1.14,0.6
"80","carefree",1.62,0.89,0.18
"81","careful",1.95,1.19,-1.5
"82","careless",-2.43,-0.9,0.62
"83","caring",3.29,2.78,-0.49
"84","cautious",2.02,0.91,-1.51
"85","charmed",1.84,1.48,0.4
"86","charming",2.42,2.3,0.53
"87","cheerful",3.14,2.33,1.91
"88","cheerless",-2.4,-1.17,-2.53
"89","childish",-0.98,-1.16,2.26
"90","clean_cut",2.09,1.38,-0.23
"91","clever",2.33,2.43,0.84
"92","clumsy",-1.12,-1.17,0.98
"93","cocky",-1.9,-0.2,2.22
"94","cold",-1.88,-0.51,-1.77
"95","communicative",2.71,2.69,1.31
"96","compassionate",3.17,2.58,0.32
"97","competent",2.85,2.86,0.68
"98","competitive",1.61,1.82,2.25
"99","composed",2.51,2.17,-1.54
"100","compulsive",-0.5,-0.14,1.96
"101","conceited",-2.49,-0.45,1.27
"102","confident",2.98,3.12,1.08
"103","confused",-1.49,-1.23,-0.56
"104","conscientious",2.23,1.61,-0.76
"105","conservative",0.57,0.75,-0.38
"106","considerate",3.28,2.43,-0.24
"107","contemptuous",-1.26,-0.42,0.47
"108","contented",2.4,1.7,-0.73
"109","contrite",0.03,0.29,-0.53
"110","conventional",0.49,-0.04,-0.85
"111","cool",1.68,1.56,0.76
"112","cooperative",2.39,1.5,-0.43
