"","term","E","P","A"
"1","air_force_enlistee",2.06,1.56,0.86
"2","air_force_officer",2.07,2.42,1.6
"3","air_force_reservist",1.93,1.61,0.68
"4","american",1.41,1.81,1.77
"5","arab",0.31,0.45,0.16
"6","army_enlistee",2.39,1.64,1.3
"7","army_officer",1.28,2.36,1.64
"8","army_reservist",1.74,1.18,0.62
"9","asian",1.41,0.39,-0.34
"10","asian_american",1.15,0.8,-0.06
"11","asian_man",0.82,0.2,-0.35
"12","asian_woman",1.25,0.32,-0.27
"13","australian",1.03,0.32,0.62
"14","austrian",0.57,0.28,0.31
"15","black",0.86,0.7,0.98
"16","buddhist",1.45,0.61,-1.88
"17","ceo",0.71,3.22,1.48
"18","cpa",0.88,1.48,-0.5
"19","catholic",0.55,0.49,-0.21
"20","chinese",1.17,0.41,0.13
"21","christian",1.5,1.44,0.65
"22","christian_missionary",1.72,1.67,0.43
"23","german",0.58,0.68,0.62
"24","god",3.19,3.45,-0.46
"25","hindu",0.76,0.14,-0.66
"26","hispanic_american",1.15,-0.02,0.31
"27","hispanic_man",0.57,-0.07,0.57
"28","hispanic_woman",1.11,0.05,0.92
"29","imam",0.17,1.2,-0.14
"30","jew",1.21,0.53,0.14
"31","marine_corps_enlistee",1.77,1.42,1.17
"32","marine_corps_officer",1.99,2.58,1.82
"33","marine_corps_reservist",1.56,1.67,0.68
"34","methodist",1.17,0.43,-0.1
"35","mormon",0.15,-0.28,-0.59
"36","muslim",0.67,0.24,-0.11
"37","navy_enlistee",1.66,1.03,1.06
"38","navy_officer",1.84,2.44,1.1
"39","navy_reservist",1.86,1.5,0.43
"40","pentecostal",0.47,0.18,0.53
"41","protestant",1.01,0.61,0.43
"42","turk",0.43,0.28,0.24
"43","abortionist",-0.69,1,-0.21
"44","academic",2.34,2.26,-0.12
"45","accomplice",-0.14,0.22,0.23
"46","accountant",1.03,1.16,-0.48
"47","accounting_clerk",1.06,0.46,-0.87
"48","accused",-1.46,-1.38,-0.09
"49","acquaintance",1.11,0.02,-0.16
"50","actor",0.82,1.36,1.68
"51","addict",-2.23,-2.36,0.19
"52","adolescent",0.66,-0.81,2.17
"53","adopted_child",1.97,-0.1,0.18
"54","adopted_daughter",2.01,0.36,0.15
"55","adopted_son",1.65,0.41,0.28
"56","adult",1.06,1.81,0.29
"57","adulterer",-2.98,-0.15,0.21
"58","adulteress",-2.43,0.45,0.96
"59","advertising_copy_writer",0.65,0.55,0.66
"60","advertising_executive",0.13,2.13,1.51
"61","agnostic",0.22,-0.08,-0.28
"62","aide",2,1.41,0.21
"63","airline_pilot",1.66,2.41,0.33
"64","alcoholic",-2.29,-1.83,1.13
"65","ally",2.34,2.15,-0.16
"66","alumnus",1.53,1.39,0.32
"67","ambassador",1.46,2.28,0.31
"68","anesthetist",1.52,1.85,-0.89
"69","angel",3.28,2.77,-0.86
"70","anti_semite",-2.81,-0.36,1.35
"71","applicant",1.12,-0.63,-0.06
"72","apprentice",1.46,-0.29,0.03
"73","architect",1.52,1.7,-0.28
"74","army_chaplain",2.16,1.59,0.23
"75","army_general",1.81,3.34,2.32
"76","arsonist",-3.31,1.55,0.69
"77","artist",1.74,0.92,-0.33
"78","ass",-1.48,0.29,1.38
"79","assailant",-2.29,1.39,0.78
"80","assassin",-2.62,2.71,-0.77
"81","assembly_line_worker",0.77,-1.02,0.76
"82","assistant",1.51,-0.1,0.05
"83","astrologer",0.95,0.42,-0.63
"84","astronaut",2.33,2.13,0.76
"85","atheist",-0.19,-0.29,0.04
"86","athlete",1.81,2.5,2.45
"87","attorney",1.21,2.46,1.51
"88","attorney_general",0.94,2.54,0.73
"89","auctioneer",0.76,1.19,3.03
"90","auditor",-0.33,1.54,-0.61
"91","auditor_general",0.14,1.55,0.1
"92","aunt",1.95,0.62,0.7
"93","author",1.45,1.88,-1.13
"94","authority",0.7,2.99,0.85
"95","autistic_person",0.9,-0.86,-0.25
"96","auto_mechanic",1.15,0.58,0.55
"97","automobile_assembler",1.19,0.55,1.06
"98","baby",2.5,-2.55,1.58
"99","babysitter",2.12,1.36,0.36
"100","bachelor",0.63,0.71,1.33
"101","backstabber",-3.62,0.55,-0.07
"102","bailiff",0.72,1.56,0.1
"103","bailsman",0.58,1.57,0.55
"104","baker",1.97,0.7,0.06
"105","bandit",-2.05,0.68,1.19
"106","bank_manager",1.11,1.81,0.27
"107","bank_teller",1.27,0.57,-0.52
"108","banker",0.96,1.26,-0.52
"109","baptist",0.7,0.66,0.87
"110","barber",1.35,0.26,0.41
"111","bartender",1.33,1.18,2.16
"112","bastard",-1.48,-0.79,0.38
"113","battered_woman",-2.21,-2.09,-1.49
"114","beautician",1.32,0.05,1.11
"115","beauty",2.31,2.07,0.23
"116","beggar",-1.3,-2.71,-0.69
"117","beginner",0.42,-1.39,-0.95
"118","bellhop",1.2,-0.82,0.95
"119","benefactor",1.97,1.98,0.1
"120","best_friend",3.62,3.1,1.25
"121","best_man",2.59,1.48,0.81
"122","big_shot",-0.59,1.38,1.95
"123","bigamist",-2.02,-0.3,0.9
"124","bigot",-2.8,-0.57,1.5
"125","bill_collector",-1.07,1.63,1.02
"126","biologist",1.83,1.45,-0.11
"127","bisexual",0.18,-0.05,0.38
"128","bitch",-2.48,0.06,2.2
"129","blabbermouth",-2.05,-0.12,2.9
"130","black_man",1.6,1.17,0.95
"131","black_professional",1.56,1.48,0.71
"132","black_woman",1.45,1.34,1.7
"133","blacksmith",1.22,1.26,0.95
"134","blind_date",0.29,-0.33,0.13
"135","blind_person",0.65,-1.2,-1.52
"136","blockhead",-1.51,-1.29,-0.78
"137","blogger",0.5,0.45,0.94
"138","blonde",0.55,0.31,0.86
"139","blood_donor",2.98,2.3,-0.37
"140","blue_collar_worker",1.52,0.05,0.43
"141","board_director",1.04,2.59,1.09
"142","boarder",0.34,-0.08,-0.17
"143","bodyguard",1.86,2.65,0.39
"144","bohemian",0.71,0.08,0.07
"145","bonehead",-1.68,-1.75,-0.79
"146","bookie",-0.62,0.85,0.08
"147","bookkeeper",1.35,0.04,-1.44
"148","bookworm",1.57,0.32,-2.29
"149","boor",-0.65,-0.49,-0.88
"150","bore",-1.6,-1.09,-2
"151","born_again_christian",1.52,0.99,0.55
"152","boss",0.91,2.79,1.07
"153","bouncer",0.55,2.3,0.63
"154","boxer",0.66,2.46,2.4
"155","boy",0.84,0.87,1.59
"156","boy_scout",1.81,0.5,0.86
"157","boyfriend",1.86,1.68,0.89
"158","braggart",-1.67,-0.62,1.81
"159","brain",3.34,3.7,2.27
"160","brat",-2.66,-0.26,2.49
"161","breadwinner",2.18,2.38,0.69
"162","bricklayer",1.21,0.69,0.11
"163","bride",2.16,1.88,0.97
"164","bridegroom",1.66,1.41,0.32
"165","bridesmaid",1.93,0.37,0.93
"166","broad",-0.31,-0.04,0.91
"167","broadcast_news_analyst",0.68,1.33,1.41
"168","brother",1.8,1.72,1.43
"169","brother_in_law",1.05,0.3,0.42
"170","brunette",1.18,0.67,0.36
"171","brute",-1.97,1.74,1.44
"172","buddy",2.66,1.98,1.01
"173","buffoon",-1.61,-1.4,0.91
"174","building_contractor",1.05,1.39,1.04
"175","bulldozer_operator",0.44,1.17,1.38
"176","bully",-3.25,0.66,2.04
"177","bum",-1.69,-2.49,-1.62
"178","bureaucrat",-0.59,1.22,0.09
"179","burglar",-3.37,0.6,-0.39
"180","bus_driver",1.31,0.17,0.05
"181","busboy",0.85,-1.16,0.33
"182","businessman",0.64,1.81,1.31
"183","businesswoman",1.82,2.35,1.6
"184","busybody",0.15,0.44,2.37
"185","butcher",0.75,0.77,0.67
"186","bystander",-0.13,-0.49,-1.27
"187","cabinet_maker",1.1,0.71,0.28
"188","cabinet_member",0.59,1.84,0.46
"189","cad",-1.36,-0.78,0.72
"190","call_girl",-1.04,-0.68,0.92
"191","capitalist",0.54,1.64,1.37
"192","captive",-1.14,-2.71,-0.76
"193","carpenter",1.25,0.65,0.86
"194","cashier",0.65,-0.73,0.42
"195","casual_laborer",0.77,-0.42,-0.05
"196","celebrity",0.25,2.25,2.16
"197","cement_worker",0.79,0.27,0.92
"198","censor",-0.97,1.73,-0.21
"199","chain_smoker",-2.29,-1.66,-0.46
"200","chairman",0.64,2.43,0.7
"201","chairman_of_the_board",1.05,3.04,0.96
"202","chairperson",1.13,2.32,0.79
"203","chairwoman",1.4,2.33,0.91
"204","chambermaid",0.5,-1.52,-0.84
"205","champion",2.36,2.69,1.67
"206","chap",1.25,0.18,0.48
"207","chaperone",1.02,1.39,-0.07
"208","chaplain",2.12,1.58,-0.52
"209","chatterbox",-0.49,0.14,2.92
"210","chauffeur",1.51,-0.51,-0.73
"211","cheat",-3.01,-0.53,-0.29
"212","cheerleader",1.05,0.24,2.93
"213","chef",1.69,1.35,1.68
"214","chemical_engineer",1.57,1.73,-0.41
"215","chemist",1.82,1.88,-0.68
"216","chief_operations_officer",0.83,2.45,1.15
"217","child",1.89,-1.14,1.87
"218","child_molester",-4.19,-0.05,-1.07
"219","chiropractor",1.77,1.38,-0.36
"220","choreographer",1.27,1.21,1.97
"221","chum",-0.67,-0.97,-0.95
"222","church_deacon",1.41,1.4,-0.17
"223","citizen",1.35,0.93,0.39
"224","city_councilor",0.66,1.8,0.7
"225","civil_engineer",1.7,1.55,-0.02
"226","civil_servant",1.18,-0.17,-0.54
"227","classmate",0.98,0.15,0.24
"228","cleaning_woman",1.82,0.16,-0.05
"229","clergy",1.08,1.44,-0.73
"230","clerical_worker",1.11,-0.09,-0.47
"231","clerk",0.98,-0.4,-0.09
"232","client",1.36,1.12,0.91
"233","clod",-1.12,-0.51,-0.42
"234","clown",-0.05,-0.98,2.04
"235","co_worker",1.42,0.29,0.5
"236","coach",1.96,2.37,2.19
"237","coal_miner",0.84,0.11,0.54
"238","collaborator",1.52,1.41,0.69
"239","colleague",1.46,0.93,0.22
"240","college_student",1.82,0.44,1.87
"241","comedian",1.94,1.19,2.88
"242","commentator",0.89,0.92,1.86
"243","commissioned_officer",1.25,1.97,0.8
"244","commissioner",0.99,1.88,0.59
"245","communist",-1.23,0.34,0.36
"246","companion",3.09,1.97,0.15
"247","competitor",0.52,1.59,1.4
"248","computer_programmer",1.51,1.46,0.01
"249","computer_security_specialist",1.57,1.45,-0.59
"250","computer_support_specialist",1.33,0.82,-0.02
"251","con_artist",-2.61,1.3,0.95
"252","confidant",2.43,2.32,-0.64
"253","conformist",-0.99,-1.89,-0.92
"254","connoisseur",1.49,0.92,-0.01
"255","conservative",0.44,0.52,-0.23
"256","construction_contractor",1.37,1.38,1.35
"257","construction_foreman",1.13,1.47,1.42
"258","construction_laborer",1.33,0.68,1.59
"259","consultant",1.53,1.61,0.77
"260","consumer",1.22,1.23,0.78
"261","convict",-2.09,-0.98,0.36
"262","cook",2.24,1.69,1.58
"263","cop",0.99,2.71,1.05
"264","copycat",-1.93,-1.28,0.13
"265","coroner",0.64,0.69,-0.95
"266","cosmetologist",1.31,0.3,0.6
"267","counselor",2.54,1.66,-0.78
"268","cousin",1.58,0.38,0.7
"269","coward",-2.39,-2.95,-1.63
"270","craftsman",1.59,1.07,-0.31
"271","crane_operator",0.94,1.23,0.29
"272","creditor",-0.45,1.63,0.63
"273","criminal",-2.55,-0.21,0.5
"274","cripple",-0.08,-1.88,-1.78
"275","critic",-0.42,1.3,1.15
"276","crook",-2.81,-0.33,0.18
"277","crybaby",-2.32,-1.93,2
"278","culprit",-2.13,-0.22,0.61
"279","custodian",1.54,-0.82,-0.93
"280","customer",1.1,1.27,0.67
"281","customer_systems_analyst",0.9,0.33,-0.6
"282","customs_officer",0.45,1.37,0.13
"283","cutthroat",-1.94,1.33,0.97
"284","cynic",-1.43,-0.48,0.13
"285","dairy_farmer",1.62,0.42,-0.62
"286","daredevil",0.51,1.74,3.08
"287","daughter",1.99,1.07,1.02
"288","daughter_in_law",1.25,0.21,0.13
"289","deadbeat",-2.8,-2.57,-1.45
"290","deadbeat_dad",-3.3,-1.13,-0.76
"291","decorator",1.7,0.81,0.84
"292","defendant",0.14,-0.32,-0.15
"293","defense_attorney",0.86,2.05,1.44
"294","degenerate",-1.6,-1.5,-0.48
"295","delinquent",-2.28,-1.31,1.2
"296","dental_assistant",1.4,0,0.05
"297","dental_hygienist",1.68,0.86,0.34
"298","dentist",1.62,1.51,0.08
"299","deputy",1.08,2,0.8
"300","detective",1.65,1.93,-0.8
"301","devil",-3.46,1.62,1.05
"302","dietitian",1.56,0.9,-0.32
"303","dimwit",-1.41,-1.98,-1.3
"304","diner",1.37,-0.33,1.6
"305","diplomat",1.2,2.21,0.8
"306","disabled_person",0.32,-1.07,-1.25
"307","disciplinarian",-0.02,1.85,1.02
"308","dishwasher",1.7,0.11,1.23
"309","disregard",-1.04,0.47,-0.13
"310","district_attorney",0.8,2.38,1.16
"311","divorcee_(male)",-1.43,0.94,0.57
"312","divorce_lawyer",-0.33,1.96,0.81
"313","divorcee_(female)",-0.87,0.05,0.17
"314","do_nothing",-2.01,-2.62,-2.23
"315","doctor",2.69,2.94,0.37
"316","doll",1.37,-1.6,-2.03
"317","dolt",-0.97,-1.41,-1
"318","dope",-1.22,-1.5,-1.14
"319","drag_queen",0.33,0.58,2.01
"320","dropout",-1.87,-2.3,-0.71
"321","drug_addict",-2.54,-2.31,0.02
"322","drug_dealer",-2.24,1.48,-0.54
"323","drunk",-1.67,-1.47,1.7
"324","drunkard",-2.17,-1.78,0.73
"325","dummy",-1.27,-2.23,-1.52
"326","dunce",-1.68,-2.13,-0.98
"327","economist",0.87,0.93,-0.26
"328","editor",1.08,1.7,0.23
"329","education_administrator",1.43,2.09,0.56
"330","educator",2.42,2.52,0.26
"331","electrical_engineer",1.71,1.61,0.28
"332","electrical_linesman",1.01,0.64,0.34
"333","electrician",1.26,0.43,-0.11
"334","elementary_school_student",1.4,-0.85,2.08
"335","elementary_school_teacher",2.66,1.81,0.71
"336","employee",1.04,-0.37,0.2
"337","employer",1.57,2.56,0.7
"338","enemy",-2.77,1.07,0.95
"339","engineer",1.75,1.94,0.3
"340","entrepreneur",1.59,2,1.99
"341","environmentalist",2.1,0.65,0.77
"342","evangelical_christian",0.67,0.65,0.88
"343","evangelist",0.77,1.09,1.16
"344","evildoer",-3.34,1.45,0.93
"345","ex_boyfriend",-1.14,-0.57,0.39
"346","ex_convict",-1,-0.91,0.31
"347","ex_girlfriend",-1,0.02,0.84
"348","ex_husband",-1.41,-0.51,0.13
"349","ex_wife",-1.52,0.17,0.98
"350","executioner",-1.77,2.77,0.25
"351","executive",0.82,2.73,1.5
"352","expert",1.98,2.8,0.48
"353","extrovert",1.33,1.69,2.66
"354","eyewitness",1.6,1.82,-0.12
"355","failure",-2.22,-0.82,-0.66
"356","fan",1.67,0.76,2.24
"357","fanatic",-0.42,0.57,2.46
"358","farm_laborer",1.47,-0.01,-0.2
"359","farmer",2.13,0.5,-0.48
"360","fast_food_server",0.67,-1.05,0.9
"361","father",2.69,2.93,0.51
"362","father_(my)",2.22,2.22,0.1
"363","father_in_law",1.37,1.6,0.13
"364","fellow",1.36,0.58,-0.04
"365","felon",-2.67,-0.4,0.77
"366","female",1.86,1.2,0.86
"367","feminist",0.83,0.86,1.55
"368","fiance_(male)",2.28,1.83,0.63
"369","fiancee_(female)",2.24,1.69,0.65
"370","fiend",-1.37,0.66,0.8
"371","fighter",0.62,2.36,2.17
"372","file_clerk",0.58,-0.67,-1.05
"373","film_star",0.48,1.77,1.76
"374","fire_investigator",1.95,1.66,0.43
"375","firefighter",3.27,2.85,2.29
"376","firstborn",1.9,1.71,0.73
"377","fisherman",1.47,0.41,-0.87
"378","flight_attendant",1.51,0.44,0.31
"379","flirt",0.55,1.01,1.48
"380","flunky",-1.7,-1.79,-0.53
"381","follower",-0.02,-1.21,-1.01
"382","fool",-1.47,-1.6,0.74
"383","foreigner",0.92,-0.7,0.19
"384","foreman",0.64,1.3,0.34
"385","forest_ranger",2.01,0.96,-0.22
"386","foster_child",1.24,-0.4,0.02
"387","foster_daughter",1.5,0.08,-0.33
"388","foster_father",1.89,1.68,0.19
"389","foster_mother",2.24,1.77,0.29
"390","foster_parent",2.16,1.83,0.36
"391","foster_son",0.92,-0.52,-0.11
"392","freak",-0.42,-0.36,0.61
"393","freeloader",-2.27,-1.9,-0.4
"394","friend",3.38,2.58,1.06
"395","fugitive",-1.83,-0.9,0.33
"396","fundamentalist",-0.21,0.61,0.62
"397","fundraiser",2.55,2.18,1.4
"398","funeral_director",0.8,0.57,-1.36
"399","gal",1.9,0.74,0.61
"400","gambler",-1.18,-1.2,1.28
"401","gamer",0.23,-0.2,0.52
"402","gangster",-2.18,1.27,1.95
"403","garbage_collector",1.25,-0.49,0.42
"404","gas_station_attendant",0.74,-1.05,-0.44
"405","gay",0.59,-0.04,0.73
"406","geek",1.49,0.53,-0.95
"407","genius",2.02,2.63,0.05
"408","gentleman",3.05,2.18,-0.25
"409","geologist",1.34,0.49,-1.01
"410","girl",2.1,1.41,0.74
"411","girl_scout",2.12,0.04,0.99
"412","girlfriend",2.08,1.37,1.01
"413","glutton",-1.96,-0.56,-0.37
"414","gold_digger",-2.43,-0.42,0.65
"415","golfer",0.78,0.34,-1.33
"416","goon",-1.31,-0.19,0.89
"417","gossip",-2.09,0.6,1.47
"418","governor",0.57,2.2,0.76
"419","graduate_student",1.91,1.11,0.05
"420","grandchild",2.39,-0.48,2.24
"421","granddaughter",2.01,0.53,1.13
"422","grandfather",2.85,1.82,-1.01
"423","grandmother",2.76,0.89,-1.03
"424","grandparent",2.52,1.78,-1.28
"425","grandson",2.11,0.53,1.45
"426","granny",2.76,0.75,-1.52
"427","grind",0.21,1.41,0.82
"428","grouch",-2.4,-1.3,-0.53
"429","grown_up",0.99,1.8,0.06
"430","guest",1.49,0.29,0.27
"431","gunman",-2.33,2.3,1.14
"432","guy",0.71,1.37,0.95
"433","hairdresser",1.56,-0.01,1.01
"434","hairstylist",1.62,0.39,0.71
"435","half_brother",0.87,0.41,0.33
"436","half_sister",0.77,0.3,0.39
"437","half_wit",-1.49,-1.76,-0.72
"438","handicapped_person",0.56,-0.72,-1.03
"439","handyman",1.76,1.04,0.46
"440","has_been",-0.87,-2.02,-0.94
"441","heel",0.15,0.26,0.28
"442","helper",2.79,1.92,0.38
"443","henchman",-1.83,-0.11,0.53
"444","hermit",-0.05,-1.28,-2.29
"445","hero",3.63,3.45,1.54
"446","heterosexual",1.29,1.03,0.31
"447","hick",-0.44,-0.77,0.57
"448","hillbilly",-0.46,-1.09,0.38
"449","hippie",0.77,-0.47,-0.31
"450","hipster",0.05,-0.54,-0.15
"451","homeless_person",-0.57,-2.43,-1.02
"452","homosexual",0.4,0.07,0.63
"453","hooker",-1.2,-1.29,1.01
"454","host",2.08,1.62,1.26
"455","hostage",-1.42,-2.91,-1.33
"456","hostess",1.94,0.39,0.92
"457","hothead",-1.92,-0.42,2.59
"458","hotshot",-0.88,0.89,2.32
"459","housebreaker",-2.82,0.84,0.74
"460","house_guest",1.38,-0.18,0.24
"461","housekeeper",1.4,-0.74,-0.53
"462","housewife",1.79,0.39,-0.14
"463","hunk",0.91,1.69,1.01
"464","husband",1.95,1.64,0.38
"465","hypochondriac",-1.13,-1.69,0.43
"466","hypocrite",-2.6,-1.23,1.11
"467","idiot",-2.11,-1.86,0.41
"468","illegitimate_child",-0.68,-0.63,0.04
"469","imbecile",-2.41,-1.87,-0.08
"470","immigrant",0.63,-0.66,-0.29
"471","immigration_officer",0.14,1.63,0.72
"472","in_law",0.5,0.93,1.13
"473","infant",2.26,-2.35,1.23
"474","informant",0.32,1.49,0
"475","informer",0.47,1.34,0.17
"476","inmate",-1.75,-1.63,0.35
