"","term","E","P","A"
"1","abandoned",-3.25,-0.59,-1.23
"2","able_bodied",2.98,2.76,1.57
"3","absent_minded",-1.6,-1.68,-1.49
"4","abusive",-3.69,1.17,1.86
"5","abusive_(physically)",-3.76,0.43,2.04
"6","abusive_(verbally)",-3.26,1.2,2.2
"7","accommodating",2.4,1.38,-0.38
"8","acquiescent",0.61,-0.37,-1
"9","active",2.86,2.37,2.65
"10","adaptive",2.84,2.71,0.54
"11","adventurous",2.45,2.2,2.12
"12","affable",1.32,0.9,0.55
"13","affected",-0.07,0.66,0.14
"14","affectionate",2.58,1.87,-0.93
"15","afraid",-1.97,-1.13,-0.61
"16","aggravated",-2.42,-0.31,0.88
"17","aggressive",-0.83,1.46,2.2
"18","aggrieved",-1.46,-0.36,-0.44
"19","agitated",-1.97,-0.78,1.1
"20","agonized",-2.75,-0.89,-0.13
"21","agreeable",1.99,1.09,-0.54
"22","aimless",-1.51,-1.94,-1.44
"23","alarmed",-1.37,0.21,1.53
"24","alert",2.32,1.9,0.84
"25","aloof",-0.8,-1.14,-1.25
"26","ambitious",2.59,2.44,1.36
"27","amorous",1.85,1.46,0.51
"28","amused",2.52,1.44,0.92
"29","amusing",2.38,1.75,1.78
"30","angry",-1.77,0.57,1.8
"31","anguished",-1.97,-0.68,-0.8
"32","annoyed",-2.08,-0.57,0.53
"33","annoying",-2.15,0.23,1.94
"34","antisocial",-1.64,-1.65,-2.34
"35","anxious",-1.69,-1.08,0.58
"36","apathetic",-1.2,-0.8,-1.79
"37","appalled",-1.22,-0.18,0.41
"38","appreciative",3.21,2.41,0.08
"39","apprehensive",-1.45,-0.46,-0.63
"40","aroused",2.16,1.66,1.05
"41","arrogant",-2.38,-0.4,1.79
"42","artistic",2.48,1.56,0.73
"43","artistical",2.4,1.4,-0.72
"44","ashamed",-2.36,-0.41,-1.73
"45","assertive",1.31,2.36,1.88
"46","astonished",0.85,0.66,0.96
"47","at_ease",2.84,1.99,-2.1
"48","attentive",2.8,2.04,-0.74
"49","attractive",2.36,2.26,0.69
"50","audacious",0.48,1.24,1.75
"51","authoritarian",-0.45,2.02,1.24
"52","autonomous",0.92,1.59,0.17
"53","average",-0.61,-1.2,-0.77
"54","awe_struck",1.4,0.88,0.22
"55","awkward",-0.63,-0.93,-1.02
"56","bad",-3.04,0.7,1.04
"57","bad_tempered",-2.78,-0.47,2
"58","beautiful",2.41,2.35,0.45
"59","belligerent",-2.29,-0.41,2
"60","benevolent",2.35,1.82,-0.25
"61","betrayed",-3.49,0.82,0.01
"62","big",0.56,2.07,0.15
"63","bitchy",-2.78,0.04,2.52
"64","bitter",-2.33,-0.93,-0.6
"65","black",0.77,0.32,0.97
"66","blue",-2.18,-1.39,-1.94
"67","bold",2.15,2.53,1.93
"68","bored",-1.85,-0.86,-2.01
"69","boring",-1.68,-1.79,-2.45
"70","bossy",-1.38,1.11,1.96
"71","brave",3.09,3.08,1.36
"72","bright",2.79,2.7,1.21
"73","broad_minded",2.33,2.06,0.09
"74","broken_hearted",-2.97,-0.36,-1.47
"75","bullheaded",-1.36,0.35,1.18
"76","calm",2.88,1.93,-2.32
"77","candid",1.42,1.25,0.8
"78","cantankerous",-1.3,-0.15,1.19
"79","captivated",1.67,1.22,0.62
"80","carefree",1.58,0.93,-0.13
"81","careful",1.91,1.26,-1.42
"82","careless",-2.4,-0.97,0.66
"83","caring",3.24,2.75,-0.6
"84","cautious",2.02,0.94,-1.48
"85","charmed",1.73,1.32,0.2
"86","charming",2.32,2.2,0.48
"87","cheerful",3.07,2.18,1.58
"88","cheerless",-2.29,-1.25,-2.42
"89","childish",-1.12,-1.24,2.18
"90","clean_cut",2.01,1.39,-0.27
"91","clever",2.29,2.37,0.66
"92","clumsy",-1.04,-1.19,1.07
"93","cocky",-1.94,-0.32,1.79
"94","cold",-1.81,-0.7,-1.74
"95","communicative",2.63,2.54,1.06
"96","compassionate",3.13,2.46,0.18
"97","competent",2.81,2.74,0.43
"98","competitive",1.43,1.66,2.04
"99","composed",2.58,2.17,-1.43
"100","compulsive",-0.65,-0.21,1.81
"101","conceited",-2.48,-0.36,1.05
"102","confident",2.92,3.03,0.88
"103","confused",-1.66,-1.43,-0.58
"104","conscientious",2.15,1.58,-0.6
"105","conservative",0.43,0.79,-0.33
"106","considerate",3.35,2.49,-0.54
"107","contemptuous",-1.46,-0.33,0.47
"108","contented",2.35,1.7,-0.74
"109","contrite",0.08,0.21,-0.52
