"","term","E","P","A","sd1","sd2","sd3"
"1","work",0.3519,1.6766,0.9427,2.3703,0.9159,1.1602
"2","obey",0.9118,-0.2515,-1.0531,1.8509,4.4365,1.8215
"3","dispute",-0.0637,1.3963,1.5644,2.1571,1.3054,1.7336
"4","grin_at",2.3993,1.7102,-0.0551,1.4751,1.5018,4.0018
"5","eye",-0.442,0.368,-0.6234,1.3076,1.8583,1.7831
"6","misinform",-2.3827,0.9243,0.344,0.7263,2.9526,2.1451
"7","bargain_with",1.1439,1.2561,1.0708,1.7261,1.4581,1.4757
"8","sexually_proposition",-1.1354,1.2186,0.7289,3.5699,3.1518,3.4133
"9","confer_with",1.5604,1.4814,0.0128,1.6284,1.2522,2.5495
"10","injure",-3.0193,1.6498,1.358,1.9912,4.6717,2.7429
"11","evade",-0.879,-0.2037,-0.2853,1.619,2.7456,3.8758
"12","jolt",-1.0538,1.3538,1.9902,1.5109,1.3472,1.3799
"13","double_cross",-3.0044,1.3054,0.4756,0.9551,4.7487,4.2974
"14","corrupt",-3.1449,2.221,-0.1223,1.4153,3.7671,5.3693
"15","converse_with",2.2495,1.662,0.9187,0.8829,1.6636,2.7041
"16","glare_at",-1.42,0.7502,-0.9217,1.3713,1.9409,2.4149
"17","rebuke",-0.5967,1.5015,1.2127,2.2359,1.919,0.8649
"18","murder",-4.1525,2.4138,1.0288,0.1289,7.8654,8.3186
"19","tell_off",-1.1125,1.3066,2.0479,2.1553,3.0201,1.7723
"20","praise",2.6095,2.0246,0.8082,1.7878,1.9969,2.4347
"21","exalt",0.3211,1.1208,1.2815,3.7097,3.4235,1.5823
"22","detain",-1.01,1.9933,0.5627,2.7485,1.7646,3.6344
"23","blind",-3.2987,1.9282,0.5984,1.2825,5.9145,4.3661
"24","execute",-2.585,2.784,1.3557,2.7797,4.0225,6.904
"25","discipline",0.9571,2.1692,1.1466,2.3051,1.5528,1.6409
"26","test",0.2817,1.3597,0.1233,1.7277,1.074,1.9037
"27","teach",2.9689,2.9069,0.3006,1.1699,1.1258,3.9496
"28","overwork",-2.2187,1.3243,1.2495,2.4045,2.8734,3.2769
"29","steal_from",-3.5013,0.7787,0.1997,0.7088,6.3729,4.7033
"30","enrapture",0.2688,2.073,0.5777,3.1565,1.7977,2.8509
"31","ask_about",1.7315,0.8145,0.1351,2.0577,1.6195,1.444
"32","exile",-2.0482,2.2771,0.8049,2.3459,2.8633,3.9657
"33","begrudge",-1.7098,0.4677,-0.306,1.6476,3.8545,3.4667
"34","inspect",-0.0293,1.0365,-0.3345,1.811,1.3885,2.6315
"35","prompt",0.5721,0.8786,0.1842,1.2363,1.2425,2.3559
"36","back",2.2117,2.0818,0.8625,1.2905,1.3483,2.9502
"37","outdo",0.7197,1.8248,1.3553,2.9612,1.7689,1.9651
"38","bury",-0.7481,1.139,-1.6135,4.4622,5.483,3.6408
"39","wrestle_with",-0.1871,1.318,2.4729,2.2538,3.056,1.9474
"40","pray_for",3.0589,2.2747,-1.7274,2.4711,4.7679,3.9981
"41","deprive",-2.4512,1.1807,-0.4231,3.0658,5.4024,3.5785
"42","pacify",0.9116,1.2466,-0.7084,4.5123,3.5722,3.0508
"43","wheedle",-1.2643,0.5346,0.137,1.2266,2.9024,2.781
"44","hurt",-3.3318,1.3705,0.8512,0.9787,6.2852,5.3587
"45","commend",2.2254,1.9557,0.4064,2.2873,2.1066,2.9726
"46","punch",-2.6559,1.521,2.4997,2.2801,4.6579,2.2609
"47","pull_away_from",-0.8234,1.1146,-0.5912,1.2895,2.1275,3.348
"48","upset",-2.5868,1.1732,0.8783,1.6361,3.6385,3.3982
"49","fire_from_a_job",-1.2586,2.1322,0.6743,1.9679,2.8561,2.8514
"50","hush",-0.7661,0.9465,0.1502,1.63,1.7457,3.1937
"51","ostracize",-2.749,1.1026,0.6057,1.3094,4.9463,5.6276
"52","astound",1.6477,1.9853,1.4032,1.9918,1.8389,1.8099
"53","reproach",-0.7448,0.6514,0.6148,1.9812,2.4596,1.7065
"54","identify",1.3129,1.2217,0.1451,1.3779,1.518,2.1079
"55","idolize",-0.26,-0.1607,0.1888,3.0219,3.9818,2.8514
"56","incarcerate",-0.5175,2.3,0.4811,3.8205,1.6748,3.3596
"57","shove",-2.5363,1.1163,1.7956,1.4828,3.2557,2.1626
"58","corner",-1.7479,1.9317,1.0462,3.0652,2.0531,3.3998
"59","desire",1.2298,0.8403,0.0254,2.1631,4.2314,3.8755
"60","stab",-3.7285,1.9993,2.2237,1.2599,5.9844,4.4343
"61","indulge",0.92,0.9583,0.6169,1.9958,1.1867,0.9605
"62","arouse",1.9935,2.0528,1.0734,1.6891,2.0531,3.7331
"63","lend_money_to",1.6865,1.7668,-0.0715,1.9146,1.7489,2.5937
"64","stroke",1.4228,0.8166,-0.9079,2.0755,2.4503,3.7551
"65","scowl_at",-1.9685,0.3468,-0.2024,1.4139,3.1041,3.9369
"66","guide",2.7321,2.3097,-0.5364,1.3813,1.7952,3.004
"67","strangle",-3.9679,2.2604,0.4457,0.5031,5.2531,8.829
"68","giggle_with",2.9622,1.8815,2.0236,0.9298,1.4907,2.632
"69","abduct",-3.7661,1.7993,1.0393,0.6736,6.1662,6.7612
"70","cajole",-0.6009,0.6826,0.8748,2.8565,1.635,1.7191
"71","observe",0.6079,0.5697,-1.4518,1.171,1.5735,1.5053
"72","frighten",-1.3871,1.2043,1.4039,1.6366,2.7355,2.1997
"73","haggle_with",-0.3234,0.8313,1.2751,2.2481,1.6332,1.9976
"74","query",0.4949,0.4688,-0.087,0.9878,1.6233,1.1434
"75","constrain",-1.9607,1.1877,0.3535,1.9514,4.7506,2.8399
"76","underestimate",-1.8732,-0.7779,-0.5875,1.5068,3.516,2.1905
"77","order",-0.5761,1.7925,1.4397,2.5385,2.3366,1.4749
"78","need",0.6839,0.1892,0.0282,3.4405,4.3304,2.7885
"79","hunt_for",-1.1873,1.0826,-0.0935,2.4201,2.2135,4.421
"80","alert",2.1811,2.0879,2.1121,1.2231,1.8047,1.834
"81","box",-1.04,1.3359,2.0176,2.6133,3.1172,2.0881
"82","cuddle",3.2397,1.8861,-1.4411,0.7437,2.4263,3.4251
"83","adore",2.5972,1.9525,0.2793,1.4399,2.8668,3.6774
"84","mortify",-2.6218,1.3407,1.0451,1.9822,4.477,3.9601
"85","dare",-0.5032,0.8943,1.4254,1.6303,1.6209,0.8567
"86","reward",2.6811,2.2943,0.7532,1.0705,1.1304,2.4344
"87","heckle",-1.8736,0.342,1.83,0.9175,3.6089,1.6755
"88","appease",0.6255,0.6482,-0.149,1.6231,2.4974,2.2355
"89","approve_of",2.0782,2.0282,-0.1618,1.6861,1.1821,1.8167
"90","beat_up",-3.2575,1.2811,2.1568,0.973,5.3866,3.5481
"91","tempt",-1.4236,0.8496,-0.0821,2.4907,2.8454,2.4986
