"","term","E","P","A","sd1","sd2","sd3"
"1","wholesaler",0.8926,1.1418,0.6341,1.4686,2.1056,1.7896
"2","watchman",1.3963,1.4397,-1.2677,1.2406,1.2387,2.7158
"3","windbag",-0.6042,-0.4358,0.9674,1.3182,1.9055,3.2765
"4","educator",2.5653,2.5872,0.5961,1.6701,2.1995,2.5633
"5","boss",0.8846,3.0751,1.3318,1.7018,1.2491,1.8803
"6","cousin",1.5157,0.2984,0.7036,1.7388,1.5512,1.552
"7","voter",1.8679,1.7016,0.1003,1.8355,3.1407,3.1349
"8","foreman",0.4982,1.0947,0.3858,0.8892,1.9768,1.7945
"9","parolee",-0.7161,-0.8448,0.1918,2.4065,3.2989,1.9719
"10","jock",0.0813,1.8685,2.1403,1.7228,1.2107,1.2038
"11","sweetheart",2.8449,1.6885,0.1692,0.9547,2.2138,2.0747
"12","jeweler",0.7875,0.4944,-0.6302,0.8614,1.7166,1.7665
"13","boor",-0.9644,-0.5056,-0.8419,2.2476,4.0899,3.2811
"14","handyman",1.7467,1.056,0.6537,1.1878,1.4866,2.1009
"15","dietitian",1.5167,0.7692,-0.1761,1.5303,1.499,1.8167
"16","file_clerk",0.5196,-1.0424,-1.1841,1.0338,1.8249,1.8501
"17","pedestrian",0.682,-0.5328,-0.3997,1.1306,2.76,2.2853
"18","gangster",-2.3131,1.1794,2.0725,1.7839,3.8966,1.7274
"19","fighter",0.7547,2.424,2.2607,2.6007,1.5071,1.0107
"20","sadist",-2.4753,0.9298,0.5567,1.6975,4.3216,3.9339
"21","shut_in",-1.0072,-2.1544,-2.4772,1.2248,1.6777,1.1388
"22","devil",-3.5977,1.9285,1.3,1.3088,7.0347,6.1925
"23","minor",0.1807,-1.3951,1.0764,0.6918,2.3184,2.4001
"24","myself_as_i_really_am",2.1317,1.1053,0.67,1.1972,2.2346,2.9679
"25","spoilsport",-1.9664,-0.164,1.038,1.4927,2.8254,3.5469
"26","housekeeper",1.4439,-0.8016,-0.521,1.6666,2.0478,2.2841
"27","psychotic",-1.735,-0.276,1.4107,1.5937,4.9991,3.7831
"28","engineer",1.7249,2.0033,0.4505,1.9001,1.7003,2.8082
"29","wallflower",0.1283,-1.5735,-2.2273,1.7297,1.9375,2.2821
"30","street_preacher",-0.3473,-0.5127,2.33,3.4655,3.5195,1.7779
"31","civil_servant",1.1265,-0.4231,-0.542,3.596,3.912,2.2674
"32","bystander",-0.0479,-0.5357,-1.3069,0.8888,2.8162,1.5281
"33","student",1.8102,0.4643,0.08,1.7319,3.9625,2.8856
"34","slut",-2.06,-0.927,1.6203,2.4626,4.1536,3.4672
"35","ward_of_the_state",-0.1608,-0.332,-0.0064,1.9369,5.1496,1.922
"36","laborer",0.939,-0.3525,0.4318,1.1287,2.9456,2.6326
"37","retiree",1.1918,-0.3768,-1.6413,1.672,2.3469,1.1814
"38","cpa",0.7206,1.3347,-0.4365,2.1857,1.9069,2.4257
"39","consumer",1.1697,1.4423,0.9926,2.0403,3.641,2.0056
