"","term","E","P","A","sd1","sd2","sd3"
"1","aloof",-0.9013,-1.205,-1.3296,1.99,2.5403,3.6352
"2","appreciative",3.1824,2.4227,-0.0721,0.8752,1.8587,2.8747
"3","deprave",-2.2547,-0.1232,-0.1326,0.8463,3.5999,2.6096
"4","apathetic",-1.3369,-0.8438,-1.7912,3.6813,5.719,3.3001
"5","surprised",1.4796,1.3151,2.3139,2.4562,3.5517,1.356
"6","optimistic",2.9939,2.7216,1.1629,2.0816,2.3717,4.1354
"7","inexact",-1.495,-0.4275,-0.0325,0.941,1.829,1.7248
"8","forgetful",-2.0875,-1.13,-0.915,1.0611,3.4992,2.3468
"9","bad",-3.3205,0.5103,1.3538,1.1519,5.5148,2.4707
"10","faithful",2.9692,2.5744,-1.0846,2.0431,2.4645,3.1326
"11","compulsive",-0.5872,-0.1205,1.5513,2.0964,3.018,2.3374
"12","boring",-1.6576,-1.895,-2.3975,1.0839,1.477,1.4042
"13","outspoken",0.9575,1.9925,1.9525,2.3075,1.5712,1.7445
"14","rational",2.66,2.1525,-1.0475,1.1434,1.629,2.7705
"15","fun_loving",2.64,1.75,1.48,1.5663,2.1085,1.8147
"16","disloyal",-3.12,0.0225,0.2525,1.7231,8.1993,3.764
"17","downhearted",-2.17,-1.1175,-1.7975,1.6521,4.2116,1.7987
"18","unconventional",0.8154,0.9282,0.6692,2.2649,2.2313,2.2088
"19","elderly",0.5975,-0.44,-2.15,1.7568,2.6134,1.0485
"20","fickle",-1.4344,-1.2969,-0.2281,1.5636,1.1746,2.0221
"21","successful",3.11,3.175,0.775,1.1054,0.8679,3.7858
"22","superstitious",-0.741,-0.4769,-0.1461,1.5476,1.988,1.6435
"23","ecstatic",2.77,2.3975,2.28,1.0391,1.1678,1.5866
"24","mean",-2.665,0.915,1.5175,1.2418,4.0859,2.0705
"25","excited",2.8125,2.2475,2.16,0.9636,1.164,1.2109
"26","curious",2.38,1.9075,0.4725,1.1906,1.3907,2.9674
"27","mature",2.6525,2.545,-0.8,1.2824,0.9165,2.2656
"28","irked",-2.0757,-0.0865,0.5325,0.9807,3.2802,3.5529
"29","simpleminded",-0.615,-1.5625,-1.635,4.3153,3.5043,2.1618
"30","abusive_(verbally)",-3.2675,1.385,2.3725,0.9632,7.8708,2.9115
"31","reverent",1.5724,1.1517,-0.8414,2.226,2.8487,1.3452
"32","clean_cut",2.1811,1.5757,-0.3351,1.7139,2.1445,2.2601
"33","powerful",2.075,3.7812,1.5344,2.6838,1.019,2.9222
"34","crushed",-2.9719,-0.6406,-0.4063,0.932,7.2067,4.6607
"35","experienced",3.3843,3.2281,0.4156,0.6251,0.6189,3.1888
"36","pretty",2.5156,2.0094,-0.0625,1.3088,1.9746,2.003
"37","prejudiced",-3.1063,-0.1531,1.2938,0.9712,6.8695,3.7769
"38","grateful",3.3188,2.1531,-0.5438,0.8478,2.65,3.3706
"39","rueful",-1.8905,0.3714,0.2524,1.7723,2.9651,2.69
"40","absent_minded",-1.7938,-1.6906,-1.5,1.5131,1.8609,3.3481
"41","amusing",2.6125,1.7406,1.5094,0.858,1.7274,1.4622
