"","term","E","P","A"
"1","abandon",-3.19,-0.43,-0.6
"2","abduct",-3.51,1.46,2.05
"3","abet",-0.61,0.77,0.73
"4","abhor",-2.04,0.05,-0.18
"5","abort",-1.81,1.02,0.62
"6","abuse",-3.68,0.06,1.95
"7","accept",2.86,2.25,0.02
"8","acclaim",2.13,1.61,1.42
"9","accommodate",2.43,1.41,0.09
"10","accost",-2.11,0.95,1.83
"11","accuse",-1.35,1.05,1.39
"12","acknowledge",2.54,1.73,0.71
"13","address",1.41,1.06,0.77
"14","admire",1.99,0.67,-0.26
"15","admit",0.56,0.83,0.42
"16","admonish",-0.69,0.93,1.12
"17","adopt",2.91,2.36,1.02
"18","adore",2.22,0.95,0.2
"19","advise",2.1,1.61,0.3
"20","aggravate",-2.36,0.17,1.72
"21","agitate",-2.16,0.3,1.92
"22","agree_with",1.48,0.92,0.27
"23","aid",3.29,2.37,1.18
"24","alarm",-0.73,1.19,2.22
"25","alert",1.98,1.54,1.96
"26","alienate",-2.55,0.28,-0.33
"27","allow",1.14,0.99,-0.03
"28","amaze",2.81,2.29,1.7
"29","amuse",2.47,1.57,1.86
"30","analyze",1.13,1.15,-0.69
"31","anger",-2.36,1.06,1.88
"32","annihilate",-3.13,2.01,2.29
"33","annoy",-2.52,-0.1,1.73
"34","answer",2.13,1.14,0.96
"35","antagonize",-2.47,0.08,1.47
"36","apologize_to",2.94,1.88,0.31
"37","appeal_to",1.84,1.01,0.55
"38","appease",0.81,-0.29,-0.11
"39","applaud",2.62,1.62,2.47
"40","appoint",1.48,2.11,0.69
"41","appreciate",3.05,1.72,0.29
"42","apprehend",0.9,2.1,2.04
"43","approach",1.1,1,0.62
"44","approve_of",2.44,1.55,0.24
"45","argue_with",-1.31,0.59,2.18
"46","arm",-0.35,1.57,1.06
"47","arouse",1.78,1.99,1.17
"48","arrest",0.41,2.5,2.22
"49","ask",1.56,0.39,0.49
"50","ask_about",1.45,0.23,0.4
"51","ask_about_something",1.56,0.65,0.78
"52","ask_for_a_loan",-0.79,-1.36,0.14
"53","ask_out",2.19,1.41,1.03
"54","assail",-2.54,1.28,2.09
"55","assassinate",-3.34,1.9,1.72
"56","assault",-3.41,1.51,2.83
"57","assess",0.73,1.13,-0.25
"58","assist",2.97,1.85,1.1
"59","associate_with",1.3,0.67,0.58
"60","assure",2.25,1.65,0.5
"61","astonish",1.77,1.82,1.7
"62","astound",1.78,2.11,1.49
"63","attack",-3.07,1.67,2.84
"64","attend_to",2.32,1.25,0.73
"65","attract",2.29,1.92,0.8
"66","authorize",1.47,2.06,0.37
"67","avenge",-0.02,1.72,1.58
"68","avoid",-0.75,-0.58,-1.01
"69","awaken",0.01,0.63,1
"70","awe",1.99,1.8,0.99
"71","babble_to",-1.11,-0.58,2.05
"72","baby",-0.85,-0.46,-0.19
"73","back",2.42,2.01,0.85
"74","backstab",-3.3,-0.24,0.72
"75","badger",-2.19,-0.06,1.98
"76","bait",-2.05,0.22,0.33
"77","ban",-0.95,2.19,1.06
"78","banish",-1.96,2.28,1.47
"79","bankrupt",-3.01,1.07,0.74
"80","banter_with",0.92,0.29,1.53
"81","baptize",1.15,0.95,-0.01
"82","bargain_with",1.63,1.35,1.3
"83","barricade",-1.84,1.81,1.53
"84","barter_with",1.52,1.21,1.43
"85","bash",-2.78,0.3,1.91
"86","bathe",1.49,0.54,0.12
"87","bawl_out",-1.78,0.91,2.16
"88","be_intimate_with",2.38,1.79,0.41
"89","be_sarcastic_toward",-1.48,-0.36,1.23
"90","beam_at",1.64,0.98,0.05
"91","beat",-1.15,1.77,2.33
"92","beat_up",-3.15,0.94,2.83
"93","beckon_to",0.54,0.63,0.79
"94","befriend",2.78,1.86,0.91
"95","befuddle",-1.17,0.28,0.74
"96","beg",-1.42,-2.22,0.81
"97","begrudge",-1.98,-0.25,-0.16
"98","believe",1.65,0.91,-0.19
"99","belittle",-2.92,0.14,1.1
"100","bellow_at",-1.68,0.93,2.39
"101","bend",-1.19,1.22,0.62
"102","bequeath_to",1.73,1.76,-0.29
"103","berate",-2.44,0.32,1.66
"104","beseech",-0.1,-0.11,0.68
"105","bestow_something_to",2.16,1.93,0.16
"106","betray",-3.24,0.11,0.68
"107","bewilder",-0.62,0.65,0.92
"108","bewitch",-1.15,1.72,0.53
"109","bias",-2.14,0.07,-0.02
"110","bicker_with",-1.81,-0.28,1.91
"111","bill",0.11,1.15,0.07
"112","bind",-1.89,1.43,0.94
"113","bite",-2.91,0.61,1.93
"114","blabber_to",-1.65,-0.47,2
"115","blackmail",-3.18,1.04,0.68
"116","blame",-1.85,-0.39,1.03
"117","bless",2.04,1.35,-0.21
"118","blind",-3.16,1.07,1.18
"119","block",-0.9,1.24,0.56
"120","bluff",-0.93,0.63,0.08
"121","borrow_money_from",-0.95,-1.51,-0.16
"122","boss",-0.92,1.7,1.74
"123","bother",-2.11,0.15,1.71
"124","bow_to",0.76,-0.57,-1.06
"125","box",-0.73,1.35,2.17
"126","brawl_with",-2.51,0.92,2.82
"127","break_up_with",-0.78,1.5,1.17
"128","bribe",-2.2,0.56,0.33
"129","brief",1.56,1.29,0.82
"130","browbeat",-2.43,0.71,1.98
"131","brush_off",-1.63,0.18,0.09
"132","brutalize",-3.34,0.83,2.55
"133","bug",-1.97,0.13,1.74
"134","bully",-3.45,-0.07,2.16
"135","bury",-1.33,0.69,-0.24
"136","butter_up",-0.07,0.39,0.62
"137","buy_something_from",1.41,0.81,0.62
"138","cajole",-0.4,0.53,0.97
"139","call",1.34,0.97,1.05
"140","calm",2.84,1.82,-1.15
"141","captivate",1.96,2.13,1.1
"142","capture",-1.24,2.1,1.74
"143","care_for",3.25,2.4,0.38
"144","caress",2.38,1.17,-0.93
"145","catch",0.93,1.85,1.77
"146","caution",1.9,1.47,0.63
"147","cave_in_to",-1.58,-2.15,-1.13
"148","censure",-1.39,1.13,0.82
"149","challenge",0.74,1.82,1.86
"150","charge",-0.79,1.2,1.3
"151","charge_with_something",-0.53,1.94,1.29
"152","charm",1.63,1.66,0.71
"153","chase",-1,0.91,2.5
"154","chastise",-1.57,0.67,1.43
"155","chat_with",1.93,0.81,1.17
"156","chatter_to",0.14,0.02,1.93
"157","cheat",-3.24,-0.08,0.82
"158","cheat_on",-3.21,0.11,1.17
"159","cheer",2.82,1.95,2.26
"160","cheer_up",3.2,2.29,1.17
"161","chew_out",-2.05,0.71,2.32
"162","chide",-1.41,0.03,0.95
"163","choke",-3.17,1.89,2.19
"164","choose",1.66,1.87,0.48
"165","claim_something_to",0.49,0.87,0.92
"166","cling_to",-1.13,-1.64,-0.34
"167","club",-3.1,1.24,2.53
"168","coach",2.55,2.31,1.8
"169","coax",-0.1,0.78,0.64
"170","coddle",-0.36,0.17,-0.71
"171","coerce",-1.63,1.38,0.93
"172","collaborate_with",2.24,1.55,1.21
"173","combat",-1.25,1.54,2.37
"174","comfort",3.11,2.08,-0.72
"175","command",0.14,2.23,1.86
"176","commend",2.51,1.91,0.87
"177","compensate",2.65,1.54,0.44
"178","compete_with",1.25,1.46,1.96
"179","complain_about",-1.24,-0.49,1.11
"180","complain_to",-0.95,-0.35,1.18
"181","compliment",2.78,1.78,0.7
"182","comply_with",1.18,-0.07,-0.59
"183","compromise_with",2.23,1.43,0.05
"184","con",-2.9,1.16,1.34
"185","concede_to",-0.55,-1.11,-0.96
"186","concur_with",1.36,0.69,-0.18
"187","condemn",-2.19,0.77,0.96
"188","confer_with",1.65,0.75,0.38
"189","confess_to",1.91,1.21,0.13
"190","confide_in",1.92,1.18,-0.53
"191","confine",-2,1.74,0.47
"192","confound",-0.65,0.64,0.52
"193","confront",0.34,1.7,1.78
"194","confuse",-1.81,0.36,0.46
"195","congratulate",3,1.89,1.52
"196","consider",2.1,1.25,-0.43
"197","console",2.94,1.8,-0.74
"198","conspire_against",-2.66,0.66,0.41
"199","conspire_with",-0.91,1,0.19
"200","constrain",-1.85,1.34,1.18
"201","consult",1.95,0.89,0.18
"202","contact",1.54,0.95,0.92
"203","contemplate",1.14,0.52,-1.41
"204","contradict",-0.28,0.9,1.08
"205","control",-1.96,2.06,1.12
"206","converse_with",2.23,1.04,1.01
"207","convert",-0.18,1.49,0.79
"208","convey_something_to",1.28,1.01,0.68
"209","convict",0.26,2.13,1.2
"210","convince",1.05,1.83,0.95
"211","cooperate_with",2.52,1.26,0.53
"212","corner",-2.18,1.22,1.52
"213","correct",0.57,0.78,0.93
"214","corrupt",-2.95,1.15,0.5
"215","counsel",2.14,1.65,0.24
"216","court",2.08,1.28,0.7
"217","cripple",-3.48,0.48,1.6
"218","criticize",-1.65,0.07,1.24
"219","cross_examine",0.64,1.86,1.48
"220","cry_for",0.19,-0.1,0.32
"221","cuddle",2.86,1.16,-1.36
"222","cue",0.75,0.91,0.48
"223","cure",3.42,2.98,0.89
"224","curry_favor_from",0.59,0.26,0.76
"225","curse",-2.53,0.24,1.45
"226","curtsey_to",1.42,-0.27,-0.56
"227","cut",-3,1.05,1.8
"228","cut_off_relations_with",-0.85,1.35,-0.01
"229","cut_someone_down_to_size",-1.94,0.69,1.36
"230","cut_the_pay_of",-2.69,1.66,0.51
"231","damn",-2.46,0.56,1.27
"232","dance_with",2.25,1.15,1.64
"233","dare",-0.28,0.75,1.24
"234","date",2.2,1.14,1.24
"235","dazzle",2.39,2.07,2.07
"236","deafen",-2.79,1.13,2.22
"237","debase",-2.55,0.37,0.85
"238","debate_with",1.12,1.46,2.14
"239","debrief",1.46,1.07,0.52
"240","deceive",-3.03,0.1,-0.08
"241","decorate",1.44,1.12,0.77
"242","defame",-2.61,0.18,1.07
"243","defeat",0.86,2.31,2.01
"244","defend",2.57,2.33,1.93
"245","defer_to",-0.02,-0.25,-0.78
"246","defile",-3.11,0.46,1.41
"247","deflate",-2.25,0.64,0.73
"248","defy",-0.8,1.25,1.29
"249","degrade",-3.18,0.4,1.15
"250","delay",-1.78,0.25,0.13
"251","delay_payment_to",-2.49,-0.24,-1.65
"252","delight",3.05,2.25,1.46
"253","delude",-2.26,0.34,0.33
"254","demand",-1.31,1.33,1.96
"255","demean",-2.92,0.31,1.16
"256","demoralize",-3.11,0.35,1.01
"257","demote",-1.85,1.66,0.79
"258","denigrate",-2.75,-0.13,0.97
