"","term","E","P","A"
"1","27_year_old",0.77,0.18,1.31
"2","air_force_enlistee",1.66,0.86,1.52
"3","air_force_officer",1.92,2.15,1.79
"4","air_force_reservist",1.75,1.34,1.02
"5","american",1.33,1.17,1.5
"6","arab",0.56,0.12,0.15
"7","army_enlistee",1.33,0.21,1.66
"8","army_officer",1.65,2.2,1.88
"9","army_reservist",2.06,1.35,1.28
"10","asian",1.17,0.27,0.09
"11","asian_american",1.2,0.34,0.18
"12","asian_man",1.03,0.28,0.14
"13","asian_woman",1.16,-0.28,-0.05
"14","australian",1.02,0.33,0.51
"15","austrian",0.84,0.33,0.25
"16","black",0.56,0.14,0.67
"17","buddhist",1.4,0.22,-1.76
"18","ceo",0.79,3.01,2.05
"19","cpa",1.47,1.05,0.08
"20","catholic",0.59,0.4,0.05
"21","chinese",0.94,0.27,0.55
"22","christian",1.17,0.44,0.25
"23","christian_missionary",1.52,1.11,0.67
"24","german",0.53,0.41,0.4
"25","god",1.82,2.27,-0.66
"26","hindu",1.15,0.21,-0.75
"27","hispanic_american",0.63,-0.16,0.72
"28","hispanic_man",0.91,0.05,0.88
"29","hispanic_woman",0.83,0.25,0.98
"30","imam",0.31,1.42,0.15
"31","jew",1.32,0.5,0.19
"32","marine_corps_enlistee",1.84,0.9,1.81
"33","marine_corps_officer",1.74,2.3,1.97
"34","marine_corps_reservist",2.08,1.93,1.77
"35","methodist",0.64,0.23,-0.12
"36","mormon",0.49,0.19,-0.06
"37","muslim",0.01,-0.05,0.17
"38","navy_enlistee",1.81,0.6,1.44
"39","navy_officer",2.02,2.06,1.77
"40","navy_reservist",1.8,1.3,0.98
"41","pentecostal",0.3,-0.04,0.78
"42","protestant",0.81,0.2,0.14
"43","turk",1.1,0.27,0.26
"44","academic",2.07,1.14,-0.31
"45","accomplice",-0.4,0.15,0.64
"46","abortionist",-0.46,1.05,0.45
"47","accountant",1.31,0.77,-0.16
"48","accounting_clerk",1.16,0.1,-0.48
"49","accused",-1.35,-1.48,0.13
"50","acquaintance",1.26,0.02,-0.07
"51","actor",1.06,1.29,1.74
"52","addict",-2.21,-2.35,0.14
"53","administrator",1.17,1.83,0.9
"54","adolescent",0.94,-1.01,1.95
"55","adopted_child",1.5,-0.52,0.3
"56","adopted_daughter",2.1,0.2,0.48
"57","adopted_son",2.01,0.33,0.94
"58","adult",0.82,1.08,0.43
"59","adulterer",-2.91,-0.51,0.73
"60","adulteress",-2.28,0.45,0.95
"61","advertising_copy_writer",0.91,0.68,0.64
"62","advertising_executive",0.38,2.01,1.97
"63","adviser",1.62,1.64,0.88
"64","agnostic",0.48,-0.1,-0.17
"65","aide",2.17,0.77,0.8
"66","airline_pilot",1.96,2.04,0.94
"67","alcoholic",-2.49,-2.22,0.36
"68","ally",2.66,1.72,0.69
"69","alumnus",1.5,0.97,0.41
"70","amateur",0.23,-0.96,0.31
"71","ambassador",1.74,2.14,1.02
"72","analyst",1.31,0.94,-0.06
"73","anesthetist",1.53,1.31,-0.39
"74","angel",3.12,2.41,-0.78
"75","anti_semite",-3.01,-0.8,1.01
