"","term","E","P","A"
"1","abandoned",-3.05,-1.95,-1.01
"2","able_bodied",3,2.22,1.51
"3","absent_minded",-2.02,-1.74,-1.26
"4","abusive",-3.63,0.57,2.21
"5","abusive_(physically)",-3.54,0.16,2.23
"6","abusive_(verbally)",-3.44,0.61,2.38
"7","accommodating",2.4,1.05,0.22
"8","acquiescent",-0.14,-1.11,-1.39
"9","active",2.76,2.06,3.11
"10","adaptive",2.81,1.9,0.86
"11","adventurous",2.2,2,2.52
"12","affable",1.94,0.95,0.71
"13","affected",0.14,0.01,0.16
"14","affectionate",2.8,1.41,0.32
"15","afraid",-1.76,-1.75,-0.47
"16","aggravated",-2.21,-1.04,0.9
"17","aggressive",-0.97,1.64,2.47
"18","aggrieved",-1.74,-0.9,-0.15
"19","agitated",-2.2,-0.92,0.93
"20","agonized",-2.64,-1.43,0.23
"21","agreeable",2,0.5,-0.22
"22","aimless",-1.87,-2.17,-1.91
"23","alarmed",-1.22,-0.57,1.62
"24","alert",2.74,1.82,1.12
"25","aloof",-1.28,-0.86,-1.65
"26","ambitious",2.25,2.03,1.87
"27","amorous",1.76,1.21,0.97
"28","amused",2.69,1.17,1.15
"29","amusing",2.43,1.27,1.69
"30","angry",-1.98,0.04,1.55
"31","anguished",-2.24,-1.65,-0.78
"32","annoyed",-1.98,-0.93,0.29
"33","annoying",-2.69,-0.06,2.04
"34","antisocial",-1.43,-1.34,-1.78
"35","anxious",-2.03,-1.63,0.87
"36","apathetic",-1.04,-1.13,-2
"37","appalled",-1.95,-0.64,0.19
"38","appreciative",3.14,1.66,0.23
"39","apprehensive",-1.41,-1.34,-0.77
"40","aroused",2.03,1.48,1.63
"41","arrogant",-2.52,-0.01,1.59
"42","artistical",2.37,1.07,0.62
"43","ashamed",-1.89,-1.97,-1.78
"44","assertive",1.65,2.18,1.97
"45","astonished",1.15,0.65,1.06
"46","at_ease",2.95,1.2,-1.46
"47","attentive",2.92,1.7,0
"48","attractive",2.28,2.03,0.44
"49","audacious",0.24,1.36,1.92
"50","authoritarian",-0.81,2.14,1.76
"51","autonomous",1.9,1.53,0.34
"52","average",0.26,-0.46,-0.34
"53","awe_struck",1.55,0.13,-0.33
"54","awkward",-1.44,-1.88,-0.87
"55","bad",-3.43,0.19,1.1
"56","bad_tempered",-2.64,-0.62,1.59
"57","beautiful",2.33,1.73,0.12
"58","belligerent",-2.55,0.06,2.34
"59","benevolent",2.52,1.92,0.33
"60","betrayed",-3.42,-0.93,0.26
"61","big",0.66,2.33,0.11
"62","bitchy",-2.63,0.05,2.31
"63","bitter",-2.52,-1.6,-0.97
"64","black",0.8,0.23,0.55
"65","blue",-2.02,-2.02,-2.38
"66","bold",2.03,2.35,2.03
"67","bored",-1.9,-1.82,-2.43
"68","boring",-1.52,-1.88,-2.4
"69","bossy",-1.77,0.95,2.01
"70","brave",3.16,2.9,1.28
"71","bright",3.07,2.25,1.19
"72","broad_minded",2.59,1.89,0.61
"73","broken_hearted",-2.97,-2.28,-1.58
"74","bullheaded",-1.77,0.33,1.19
"75","calm",2.88,1.14,-2.16
"76","candid",1.79,1.31,0.99
"77","cantankerous",-2.04,-0.37,1.06
"78","captivated",1.33,0.41,-0.2
"79","carefree",1.95,1.39,0.42
"80","careful",2.68,0.98,-1.35
"81","careless",-2.31,-1.17,0.17
"82","caring",3.47,2.41,-0.14
"83","cautious",2.16,0.5,-1.48
"84","charmed",1.72,0.41,0.19
"85","charming",2.21,1.61,1.07
"86","cheerful",3.1,1.88,1.52
"87","cheerless",-2.21,-2.02,-2.14
"88","childish",-1.55,-1.67,1.66
"89","clean_cut",1.78,0.72,-0.15
"90","clever",2.5,1.9,0.96
"91","clumsy",-1.23,-1.25,0.71
"92","cocky",-1.84,0.22,2.22
"93","cold",-1.61,-0.85,-1.35
"94","communicative",2.72,1.92,1.74
"95","compassionate",3.12,1.77,-0.17
"96","competent",3.18,2.29,0.72
"97","competitive",1.38,1.87,2.37
"98","composed",2.69,1.62,-1.27
"99","compulsive",-1.17,-0.9,1.08
"100","conceited",-2.52,-0.46,0.73
"101","confident",2.8,2.48,0.86
"102","confused",-1.82,-1.73,-0.74
"103","conscientious",2.67,1.71,-0.34
"104","conservative",0.3,0.26,-0.17
"105","considerate",3.11,1.98,-0.12
"106","contemptuous",-1.95,-0.17,0.71
"107","contented",2.79,1.5,-1.03
"108","contrite",-0.28,-0.86,-0.82
"109","conventional",0.73,0.21,-0.61
"110","cool",2.11,1.69,0.63
"111","cooperative",2.65,1.32,0.06
"112","courageous",3.13,2.82,1.58
"113","courteous",3.09,1.91,-0.13
"114","cowardly",-2.35,-2.86,-1.87
"115","coy",-0.26,-0.05,-0.73
"116","crafty",1.37,1.13,0.33
"117","crazy",-1.57,-0.52,1.95
"118","creative",3.07,2.23,1.29
"119","credible",3.21,2.49,0.11
"120","critical",-0.39,0.61,1
"121","crude",-2.14,-0.52,1.32
"122","cruel",-3.45,-0.01,1.22
"123","crushed",-2.87,-1.68,-0.85
"124","cultivated",2.15,1.27,-0.03
"125","cunning",0.42,1.32,0.14
"126","curious",2.45,1.21,0.89
"127","cute",2.32,0.77,-0.23
"128","cynical",-1.27,-0.58,-0.1
"129","daring",0.99,1.82,2.27
"130","deceitful",-2.98,-0.23,-0.16
"131","decent",2.99,1.68,0.02
"132","decisive",2.28,2.06,1.15
"133","defensive",-0.5,-0.29,1.04
"134","defiant",-0.58,1.16,1.75
"135","deflated",-2.47,-2.45,-2.29
"136","dejected",-2.41,-2.09,-1.64
"137","delicate",0.86,-0.94,-1.88
"138","delighted",3.07,1.67,1.4
"139","demanding",-1.49,1.02,1.93
"140","demure",0.88,-0.41,-1.6
"141","dependable",3.11,2.08,0.27
"142","dependent",-1.15,-2.03,-1.24
"143","depressed",-2.92,-2.24,-2.6
"144","desperate",-2.64,-2.41,-0.63
"145","despondent",-2.3,-1.98,-1.76
"146","determined",2.84,2.3,1.5
"147","devoted",2.53,1.54,0.03
"148","diffident",-0.37,-0.73,-0.78
"149","dignified",2.73,2.2,-0.57
"150","diligent",2.77,1.68,0.75
"151","dirty",-1.95,-1.07,-0.27
"152","disabled",-1.52,-1.44,-1.44
"153","disagreeable",-1.73,0.05,1.03
"154","disappointed",-2.29,-1.76,-1.5
"155","disapproving",-1.28,0.5,0.19
"156","disconcerted",-1.61,-1.19,-0.59
"157","discontented",-2.38,-1.62,-1.32
"158","discouraged",-2.48,-2.07,-1.85
"159","discreet",1.6,0.51,-1.86
"160","disgusted",-2.11,-0.61,-0.37
"161","disheartened",-2.33,-1.87,-1.86
"162","dishonest",-2.88,-1,-0.16
"163","disloyal",-2.98,-0.27,0.25
"164","dismayed",-1.87,-1.58,-1.12
"165","disobedient",-2.05,0.14,1.32
"166","displeased",-1.95,-0.84,-0.41
"167","disreputable",-2.41,-1.09,0.36
"168","disrespectful",-2.46,-0.57,1.35
"169","dissatisfied",-2.16,-1.72,-0.87
"170","distant",-1.23,-1.05,-1.93
"171","distressed",-2.47,-1.52,-0.06
"172","distrustful",-1.57,-0.85,-0.41
