"","term","E","P","A"
"1","air_force_enlistee",2.14,1.71,0.9
"2","air_force_officer",2.09,2.44,1.72
"3","air_force_reservist",1.89,1.63,0.61
"4","american",1.42,1.82,1.82
"5","arab",0.38,0.53,0.11
"6","army_enlistee",2.39,1.62,1.37
"7","army_officer",1.37,2.37,1.65
"8","army_reservist",1.83,1.24,0.61
"9","asian",1.39,0.31,-0.4
"10","asian_american",1.05,0.72,-0.03
"11","asian_man",0.93,0.28,-0.34
"12","asian_woman",1.16,0.29,-0.28
"13","australian",1.08,0.28,0.61
"14","austrian",0.59,0.28,0.32
"15","black",0.9,0.74,1.02
"16","buddhist",1.43,0.64,-1.94
"17","ceo",0.76,3.23,1.57
"18","cpa",0.83,1.39,-0.48
"19","catholic",0.61,0.51,-0.21
"20","chinese",1.08,0.4,0.1
"21","christian",1.5,1.46,0.66
"22","christian_missionary",1.71,1.66,0.46
"23","german",0.56,0.79,0.63
"24","god",3.24,3.47,-0.48
"25","hindu",0.81,0.15,-0.58
"26","hispanic_american",1.05,-0.07,0.28
"27","hispanic_man",0.56,-0.07,0.61
"28","hispanic_woman",1.08,0.02,1.02
"29","imam",0.31,1.29,0.03
"30","jew",1.23,0.57,0.18
"31","marine_corps_enlistee",1.87,1.44,1.19
"32","marine_corps_officer",2.02,2.61,1.9
"33","marine_corps_reservist",1.63,1.7,0.68
"34","methodist",1.2,0.43,-0.07
"35","mormon",0.14,-0.4,-0.54
"36","muslim",0.69,0.24,-0.1
"37","navy_enlistee",1.76,1.13,1.11
"38","navy_officer",1.94,2.54,1.1
"39","navy_reservist",1.94,1.53,0.39
"40","pentecostal",0.38,0.13,0.62
"41","protestant",1.04,0.6,0.44
"42","turk",0.36,0.17,0.16
"43","abortionist",-0.73,1.04,-0.23
"44","academic",2.35,2.36,-0.06
"45","accomplice",-0.09,0.21,0.23
"46","accountant",1.12,1.19,-0.38
"47","accounting_clerk",1.01,0.4,-0.98
"48","accused",-1.46,-1.37,-0.07
"49","acquaintance",1.07,-0.01,-0.14
"50","actor",0.85,1.4,1.75
"51","addict",-2.2,-2.34,0.1
"52","adolescent",0.66,-0.78,2.2
"53","adopted_child",1.94,-0.1,0.16
"54","adopted_daughter",2.06,0.4,0.16
"55","adopted_son",1.67,0.38,0.28
"56","adult",1.07,1.82,0.29
"57","adulterer",-3,-0.14,0.23
"58","adulteress",-2.38,0.29,1.08
"59","advertising_copy_writer",0.66,0.49,0.72
"60","advertising_executive",0.13,2.35,1.61
"61","agnostic",0.17,-0.14,-0.21
"62","aide",1.93,1.41,0.27
"63","airline_pilot",1.71,2.53,0.42
"64","alcoholic",-2.28,-1.77,1.12
"65","ally",2.32,2.12,-0.23
"66","alumnus",1.59,1.38,0.34
"67","ambassador",1.51,2.35,0.26
"68","anesthetist",1.52,1.92,-1.09
"69","angel",3.34,2.86,-0.95
"70","anti_semite",-2.78,-0.45,1.35
"71","applicant",1.14,-0.65,-0.02
"72","apprentice",1.52,-0.33,0.02
"73","architect",1.52,1.76,-0.36
"74","army_chaplain",2.17,1.57,0.32
"75","army_general",1.78,3.32,2.25
"76","arsonist",-3.32,1.57,0.65
"77","artist",1.74,0.89,-0.39
"78","ass",-1.4,0.39,1.4
"79","assailant",-2.27,1.46,0.89
"80","assassin",-2.5,2.69,-0.74
"81","assembly_line_worker",0.8,-1.07,0.73
"82","assistant",1.53,-0.19,0.03
"83","astrologer",0.9,0.4,-0.62
"84","astronaut",2.42,2.15,0.66
"85","atheist",-0.24,-0.37,0.02
"86","athlete",1.84,2.54,2.42
"87","attorney",1.22,2.53,1.58
"88","attorney_general",0.9,2.62,0.89
"89","auctioneer",0.75,1.16,3.02
"90","auditor",-0.23,1.48,-0.58
"91","auditor_general",0.03,1.56,0.14
"92","aunt",1.99,0.61,0.64
"93","author",1.44,1.91,-1.18
"94","authority",0.7,3.07,0.79
"95","autistic_person",0.8,-0.93,-0.22
"96","auto_mechanic",1.21,0.52,0.66
"97","automobile_assembler",1.03,0.34,0.87
"98","baby",2.51,-2.6,1.58
"99","babysitter",2.03,1.25,0.49
"100","bachelor",0.63,0.67,1.4
"101","backstabber",-3.64,0.7,-0.2
"102","bailiff",0.93,1.59,0.36
"103","bailsman",0.5,1.45,0.51
"104","baker",1.89,0.48,0.05
"105","bandit",-2.06,0.74,1.21
"106","bank_manager",1.19,1.94,0.27
"107","bank_teller",1.16,0.49,-0.4
"108","banker",0.88,1.29,-0.58
"109","baptist",0.76,0.71,0.81
"110","barber",1.35,0.18,0.39
"111","bartender",1.26,1.1,2.18
"112","bastard",-1.62,-0.84,0.52
"113","battered_woman",-2.21,-1.98,-1.59
"114","beautician",1.34,0.02,1.18
"115","beauty",2.38,2.01,0.39
"116","beggar",-1.17,-2.7,-0.79
"117","beginner",0.29,-1.42,-0.93
"118","bellhop",1.22,-0.92,0.96
"119","benefactor",1.97,2.08,0.12
"120","best_friend",3.6,3.18,1.3
"121","best_man",2.59,1.44,0.75
"122","big_shot",-0.65,1.44,2.01
"123","bigamist",-1.9,-0.17,0.91
"124","bigot",-2.77,-0.43,1.44
"125","bill_collector",-1.07,1.62,1.01
"126","biologist",1.86,1.48,-0.07
"127","bisexual",0.13,-0.17,0.34
"128","bitch",-2.49,0.26,2.33
"129","blabbermouth",-2.08,-0.15,3.02
"130","black_man",1.5,1.19,1.13
"131","black_professional",1.55,1.44,0.74
"132","black_woman",1.45,1.35,1.75
"133","blacksmith",1.1,1.09,0.86
"134","blind_date",0.34,-0.22,0.19
"135","blind_person",0.65,-1.26,-1.58
"136","blockhead",-1.56,-1.29,-0.76
"137","blogger",0.51,0.46,1.03
"138","blonde",0.63,0.32,0.91
"139","blood_donor",2.95,2.26,-0.43
"140","blue_collar_worker",1.44,0,0.52
"141","board_director",1.04,2.65,1.2
"142","boarder",0.26,-0.12,-0.19
"143","bodyguard",1.84,2.75,0.4
"144","bohemian",0.7,0.08,0.02
"145","bonehead",-1.71,-1.77,-0.79
"146","bookie",-0.55,0.91,0.01
"147","bookkeeper",1.36,-0.15,-1.65
"148","bookworm",1.56,0.31,-2.42
"149","boor",-0.7,-0.45,-0.84
"150","bore",-1.68,-1.12,-2.11
"151","born_again_christian",1.53,1.07,0.62
"152","boss",0.97,2.91,1.12
"153","bouncer",0.54,2.32,0.74
"154","boxer",0.57,2.45,2.48
"155","boy",0.88,0.88,1.59
"156","boy_scout",1.73,0.4,0.85
"157","boyfriend",1.81,1.69,0.93
"158","braggart",-1.75,-0.74,1.8
"159","brain",3.33,3.71,2.39
"160","brat",-2.8,-0.27,2.57
"161","breadwinner",2.13,2.33,0.81
"162","bricklayer",1.16,0.61,0
"163","bride",2.11,1.87,1.09
"164","bridegroom",1.59,1.41,0.32
"165","bridesmaid",1.95,0.3,0.99
"166","broad",-0.36,-0.1,0.95
"167","broadcast_news_analyst",0.68,1.39,1.42
"168","brother",1.87,1.73,1.44
"169","brother_in_law",1.07,0.29,0.45
"170","brunette",1.24,0.7,0.36
"171","brute",-1.99,1.8,1.64
"172","buddy",2.63,1.93,0.96
"173","buffoon",-1.67,-1.41,0.9
"174","building_contractor",1.01,1.32,1
"175","bulldozer_operator",0.4,1.2,1.44
"176","bully",-3.27,0.72,2.02
"177","bum",-1.79,-2.48,-1.48
"178","bureaucrat",-0.6,1.38,0.17
"179","burglar",-3.32,0.75,-0.42
"180","bus_driver",1.26,0.03,0.11
"181","busboy",0.88,-1.13,0.38
"182","businessman",0.64,1.82,1.33
"183","businesswoman",1.73,2.31,1.73
"184","busybody",0.28,0.49,2.46
"185","butcher",0.62,0.75,0.73
"186","bystander",-0.14,-0.59,-1.33
"187","cabinet_maker",1.1,0.67,0.22
"188","cabinet_member",0.59,1.84,0.49
"189","cad",-1.47,-0.88,0.8
"190","call_girl",-1.07,-0.73,0.96
"191","capitalist",0.57,1.62,1.26
"192","captive",-1.14,-2.69,-0.8
"193","carpenter",1.22,0.63,0.89
"194","cashier",0.66,-0.75,0.4
"195","casual_laborer",0.76,-0.48,-0.06
"196","celebrity",0.13,2.22,2.17
"197","cement_worker",0.78,0.09,0.81
"198","censor",-0.97,1.72,-0.21
"199","chain_smoker",-2.35,-1.67,-0.53
"200","chairman",0.63,2.45,0.7
"201","chairman_of_the_board",0.95,2.96,0.92
"202","chairperson",1.08,2.42,0.75
"203","chairwoman",1.4,2.32,0.94
"204","chambermaid",0.43,-1.59,-0.81
"205","champion",2.35,2.67,1.73
"206","chap",1.12,0.07,0.47
"207","chaperone",0.94,1.39,-0.12
"208","chaplain",2.07,1.59,-0.51
"209","chatterbox",-0.45,0.21,2.91
"210","chauffeur",1.57,-0.53,-0.73
"211","cheat",-2.97,-0.54,-0.14
"212","cheerleader",1.03,0.12,2.99
"213","chef",1.88,1.44,1.82
"214","chemical_engineer",1.64,1.84,-0.42
"215","chemist",1.73,1.8,-0.75
"216","chief_operations_officer",0.88,2.55,1.22
"217","child",1.89,-1.25,2
"218","child_molester",-4.18,0.19,-0.92
"219","chiropractor",1.71,1.33,-0.32
"220","choreographer",1.3,1.18,1.94
"221","chum",-0.74,-1.1,-0.86
"222","church_deacon",1.41,1.37,-0.24
"223","citizen",1.41,0.97,0.41
"224","city_councilor",0.66,1.87,0.75
"225","civil_engineer",1.64,1.45,-0.07
"226","civil_servant",1.21,-0.19,-0.56
"227","classmate",0.96,0.15,0.24
"228","cleaning_woman",1.71,0.03,-0.05
"229","clergy",1,1.41,-0.69
"230","clerical_worker",1.17,-0.1,-0.5
"231","clerk",1.02,-0.42,-0.09
"232","client",1.33,1.27,0.94
"233","clod",-1.15,-0.46,-0.33
"234","clown",-0.08,-1.11,1.98
"235","co_worker",1.5,0.38,0.49
"236","coach",2.01,2.49,2.3
"237","coal_miner",0.83,0.07,0.53
"238","collaborator",1.43,1.32,0.7
"239","colleague",1.46,0.93,0.28
"240","college_student",1.79,0.36,1.9
