"","term","E","P","A"
"1","abandoned",-3.32,-0.56,-1.61
"2","able_bodied",3,2.8,1.7
"3","absent_minded",-1.63,-1.73,-1.61
"4","abusive",-3.75,1.22,1.85
"5","abusive_(physically)",-3.73,0.61,2.01
"6","abusive_(verbally)",-3.32,1.4,2.2
"7","accommodating",2.5,1.36,-0.35
"8","acquiescent",0.64,-0.43,-0.97
"9","active",2.84,2.33,2.64
"10","adaptive",2.85,2.76,0.68
"11","adventurous",2.57,2.27,2.26
"12","affable",1.29,0.86,0.63
"13","affected",0.04,0.58,0.15
"14","affectionate",2.59,1.83,-1.05
"15","afraid",-1.91,-1.04,-0.73
"16","aggravated",-2.45,-0.25,0.92
"17","aggressive",-0.86,1.42,2.21
"18","aggrieved",-1.44,-0.36,-0.45
"19","agitated",-2.05,-0.7,1.15
"20","agonized",-2.78,-0.94,-0.17
"21","agreeable",1.98,1.04,-0.5
"22","aimless",-1.54,-2.01,-1.52
"23","alarmed",-1.37,0.27,1.58
"24","alert",2.27,1.92,0.87
"25","aloof",-0.85,-1.23,-1.28
"26","ambitious",2.72,2.53,1.38
"27","amorous",1.67,1.43,0.55
"28","amused",2.52,1.49,0.93
"29","amusing",2.43,1.72,1.87
"30","angry",-1.79,0.65,1.96
"31","anguished",-1.93,-0.7,-0.86
"32","annoyed",-2.13,-0.47,0.58
"33","annoying",-2.06,0.4,1.89
"34","antisocial",-1.62,-1.77,-2.53
"35","anxious",-1.68,-1.01,0.48
"36","apathetic",-1.21,-0.75,-1.86
"37","appalled",-1.29,-0.21,0.42
"38","appreciative",3.24,2.43,-0.06
"39","apprehensive",-1.58,-0.55,-0.76
"40","aroused",2.1,1.81,1.17
"41","arrogant",-2.43,-0.31,1.96
"42","artistic",2.48,1.56,0.73
"43","artistical",2.26,1.13,-0.65
"44","ashamed",-2.29,-0.33,-1.73
"45","assertive",1.24,2.29,1.88
"46","astonished",0.79,0.68,0.96
"47","at_ease",2.87,1.95,-2.13
"48","attentive",2.75,2.09,-0.78
"49","attractive",2.31,2.27,0.8
"50","audacious",0.5,1.3,1.8
"51","authoritarian",-0.48,2.28,1.14
"52","autonomous",0.91,1.62,0.26
"53","average",-0.67,-1.2,-0.87
"54","awe_struck",1.55,0.87,0.16
"55","awkward",-0.73,-1,-1.14
"56","bad",-3.16,0.73,1.02
"57","bad_tempered",-2.75,-0.51,2
"58","beautiful",2.37,2.41,0.45
"59","belligerent",-2.33,-0.39,2.17
"60","benevolent",2.53,1.82,-0.02
"61","betrayed",-3.46,0.97,-0.08
"62","big",0.67,2.1,0.1
"63","bitchy",-2.7,0.16,2.53
"64","bitter",-2.32,-0.91,-0.58
"65","black",0.75,0.26,0.98
"66","blue",-2.3,-1.47,-2.05
"67","bold",2.31,2.63,1.96
"68","bored",-1.97,-0.83,-2.18
"69","boring",-1.72,-1.78,-2.53
"70","bossy",-1.41,1.22,1.92
"71","brave",3.11,3.12,1.46
"72","bright",2.8,2.7,1.25
"73","broad_minded",2.46,2.17,0.15
"74","broken_hearted",-3.06,-0.52,-1.65
"75","bullheaded",-1.43,0.57,1.18
"76","calm",2.84,1.94,-2.35
"77","candid",1.51,1.28,0.77
"78","cantankerous",-1.23,-0.27,1.12
"79","captivated",1.54,1.13,0.64
"80","carefree",1.62,0.84,0.04
"81","careful",1.89,1.25,-1.43
"82","careless",-2.43,-0.87,0.73
"83","caring",3.28,2.77,-0.57
"84","cautious",2.05,0.93,-1.58
"85","charmed",1.8,1.34,0.31
"86","charming",2.3,2.21,0.49
"87","cheerful",3.15,2.16,1.75
"88","cheerless",-2.36,-1.24,-2.41
"89","childish",-1.07,-1.23,2.19
"90","clean_cut",1.95,1.37,-0.29
"91","clever",2.31,2.43,0.7
"92","clumsy",-1.1,-1.19,1.03
"93","cocky",-1.83,-0.16,2.05
"94","cold",-1.87,-0.59,-1.77
"95","communicative",2.76,2.68,1.12
"96","compassionate",3.17,2.51,0.21
"97","competent",2.81,2.76,0.52
"98","competitive",1.58,1.77,2.18
"99","composed",2.53,2.15,-1.48
"100","compulsive",-0.57,-0.18,1.87
"101","conceited",-2.45,-0.35,1.16
"102","confident",3.04,3.14,0.96
"103","confused",-1.5,-1.21,-0.64
"104","conscientious",2.15,1.58,-0.6
"105","conservative",0.45,0.74,-0.42
"106","considerate",3.38,2.48,-0.46
"107","contemptuous",-1.39,-0.3,0.41
"108","contented",2.34,1.68,-0.71
"109","contrite",0.12,0.22,-0.49
"110","conventional",0.44,-0.09,-0.73
"111","cool",1.72,1.56,0.58
"112","cooperative",2.44,1.59,-0.57
